,https://roic.ai/company/BL,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,-532000,-60830000,-549000,-443000,- -,- -,-432267000
91,Common Stock Issued,5000000,- -,159437000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-225000,-29000,- -,- -,-3356000,-3940000,-8186000,-17007000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1420000,32788000,10142000,18321000,456452000,27048000,1048514000
95,Cash Used/Provided by Financing Activities,4775000,859000,131395000,9593000,14522000,452512000,18862000,599240000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,266000,261000,220000,-314000
97,Net Change In Cash,10852000,-10502000,6913000,8986000,14951000,74047000,247411000,172078000
98,Cash at the End of Period,25707000,15205000,22118000,31104000,46455000,120502000,367913000,539991000
99,Cash at the Beginning of Period,14855000,25707000,15205000,22118000,31504000,46455000,120502000,367913000
100,Free Cash Flow,6077000,-11361000,-9802000,-2202000,4181000,20032000,35311000,56828000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1666134/000156459017004011/0001564590-17-004011-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459018004923/0001564590-18-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459019005462/0001564590-19-005462-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459020007371/0001564590-20-007371-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000166613421000004/0001666134-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000166613422000003/0001666134-22-000003-index.htm
102,false,,,,,,,,
