,https://roic.ai/company/TRVG,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,94660000,85979000,45267000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,68438000,57994000,53156000,48305000,46550000,50927000,42176000,49810000
57,Other Non-Current Liabilities,1817000,7972000,38916000,97787000,134489000,4289000,3514000,3192000
58,Total Non-Current Liabilities,70255000,65966000,92072000,146092000,181039000,149876000,131669000,98269000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,99697000,93167000,47536000
61,Total Liabilities,86230000,137975000,153175000,224479000,241960000,213224000,166381000,140735000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,38000,48000,127207000,193735000,187767000,184062000,182271000,162980000
64,Retained Earnings,-90029000,-129156000,-179837000,-192318000,-213664000,-192704000,-438082000,-427378000
65,Other Comprehensive Income/Loss,701856000,695859000,584688000,730251000,757173000,781122000,798021000,835875000
66,Other Total Stockholders Equity,52703000,55529000,122200000,122307000,122307000,122307000,122307000,- -
67,Total Stockholders Equity,664568000,622280000,654258000,853975000,853583000,894787000,664517000,693784000
68,Total Liabilities And Stockholders Equity,750798000,760255000,807433000,1078454000,1095543000,1108011000,830898000,834519000
69,Minority Interest,- -,- -,199813000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,750798000,760255000,1007246000,1078454000,1095543000,1108011000,830898000,834519000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1683825/000168382517000009/0001683825-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382518000014/0001683825-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382519000008/0001683825-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382520000008/0001683825-20-000008-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-23096000,-39127000,-50681000,-12481000,-21489000,17161000,-245378000,10704000
74,Depreciation and Amortization,31425000,32679000,18940000,11022000,13054000,11983000,10852000,8349000
75,Deferred Income Tax,-9315000,-10444000,-4838000,-4851000,-1755000,1904000,-8248000,8856000
76,Stock Based Compensation,2382000,14129000,53722000,16025000,20702000,19891000,15079000,17261000
77,Change in Working Capital,-4234000,-1389000,8956000,-17444000,-18336000,22663000,25734000,-10340000
78,Accounts Receivable,-10710000,-18540000,-11256000,-29734000,-13432000,24926000,53732000,-25754000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,6930000,13102000,13879000,13590000,-18012000,-665000,-26620000,6897000
81,Other Working Capital,2358000,-25000,5991000,-49000,-1169000,-8409000,-2308000,7992000
82,Other Non-Cash Items,3468000,3137000,5048000,-2607000,3240000,619000,209833000,-2294000
83,Cash Provided by Operating Activities,630000,-1015000,31147000,-10336000,-4584000,74221000,7872000,32536000
84,CAPEX,-3726000,-6224000,-8121000,-17364000,-24779000,-8017000,-5501000,-3781000
85,Acquisitions Net,-897000,-286000,-874000,-922000,- -,- -,-2482000,-4302000
86,Purchases of Investments,- -,- -,- -,- -,- -,-10000000,-8850000,-1351000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,19338000
88,Other Investing Activites,-3726000,-6224000,-8121000,-17364000,-24145000,-7981000,-4857000,-3667000
89,Cash Used for Investing Activites,-4623000,-6510000,-8995000,-18286000,-24145000,-17981000,-16189000,10018000
90,Debt Repayment,- -,-8168000,-40000000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,207840000,- -,161000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-158000,- -,- -,- -,- -
94,Other Financing Activites,1039000,27139000,19804000,-7058000,- -,-99000,-180000,1053000
95,Cash Used/Provided by Financing Activities,1039000,18971000,187644000,-7216000,161000,-99000,-180000,1053000
96,Effect of Forex Changes on Cash,105000,-32000,-54000,-1259000,-24000,94000,-1275000,2341000
97,Net Change In Cash,-2849000,11414000,209742000,-37097000,-28592000,56235000,-9772000,45948000
98,Cash at the End of Period,6142000,17556000,227298000,190201000,164308000,220543000,210771000,256719000
99,Cash at the Beginning of Period,8991000,6142000,17556000,227298000,192900000,164308000,220543000,210771000
100,Free Cash Flow,-3096000,-7239000,23026000,-27700000,-29363000,66204000,2371000,28755000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1683825/000168382517000009/0001683825-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382518000014/0001683825-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382519000008/0001683825-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382520000008/0001683825-20-000008-index.html,- -,- -
102,Forex Rate,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
