,https://roic.ai/company/NRDY,2018,2019,2020,2021
64,Retained Earnings,- -,-168463000,-412383000,-439708000
65,Other Comprehensive Income/Loss,- -,176000,296000,136000
66,Other Total Stockholders Equity,- -,5103000,6833000,490220000
67,Total Stockholders Equity,- -,-156391000,-398461000,50663000
68,Total Liabilities And Stockholders Equity,- -,58791000,57274000,132003000
69,Minority Interest,- -,- -,- -,45142000
70,Total Liabilities & Equity,- -,58791000,57274000,177145000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1819404/000156459021028066/0001564590-21-028066-index.htm,https://www.sec.gov/Archives/edgar/data/1819404/000181940422000016/0001819404-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-25377000,-22439000,-24663000,-27325000
74,Depreciation and Amortization,2535000,5009000,6043000,6389000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,1405000,1747000,1730000,54417000
77,Change in Working Capital,6762000,-873000,9121000,4010000
78,Accounts Receivable,632000,-239000,283000,-4846000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,186000,953000,2179000,-856000
81,Other Working Capital,4831000,26000,2547000,12735000
82,Other Non-Cash Items,7000,238000,1115000,-76382000
83,Cash Provided by Operating Activities,-14668000,-16318000,-6654000,-38891000
84,CAPEX,-5842000,-6356000,-2874000,-5163000
85,Acquisitions Net,-10000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-5842000,-6356000,-2874000,-5163000
89,Cash Used for Investing Activites,-15842000,-6356000,-2874000,-5163000
90,Debt Repayment,- -,-10000000,- -,-50000000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,11033000,34387000,12293000,209250000
95,Cash Used/Provided by Financing Activities,11033000,24387000,12293000,159250000
96,Effect of Forex Changes on Cash,-13000,28000,21000,1000
97,Net Change In Cash,-19490000,1741000,2786000,115197000
98,Cash at the End of Period,26155000,27896000,30682000,145879000
99,Cash at the Beginning of Period,45645000,26155000,27896000,30682000
100,Free Cash Flow,-20510000,-22674000,-9528000,-44054000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1819404/000156459021028066/0001564590-21-028066-index.htm,https://www.sec.gov/Archives/edgar/data/1819404/000181940422000016/0001819404-22-000016-index.htm
102,false,,,,
