,https://roic.ai/company/GWGH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
57,Other Non-Current Liabilities,- -,- -,- -,-1,- -,- -,- -,- -,1269654000,1686495000
58,Total Non-Current Liabilities,52487488,99065068,168596438,215673016,302075998,399814794,447393568,1018294603,2662551000,1737964000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,115779430,175303946,256149798,300680593,382005333,575943684,685184431,1199809169,3034379000,1891050000
62,Preferred Stock,12661276,23905878,24722693,20527866,20799841,78726297,173115447,215973039,201891000,156833000
63,Common Stock,9989,9989,4562,5870,5942,5980,5813,33018,33000,-67406000
64,Retained Earnings,-7230723,-8243622,-8438577,-14401486,-21794760,-18817294,-39449517,-184610343,-76501000,-251111000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,8169303,6971844,2942000,16257686,17149391,7383515,- -,249662168,208556000,274056000
67,Total Stockholders Equity,13609845,22644089,19230678,22389936,16160414,67298498,133671743,281057882,333979000,112372000
68,Total Liabilities And Stockholders Equity,129389275,197948035,275380476,323070529,398165747,643242182,818856174,1480867051,3368358000,2003422000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,266848000,1561535000
70,Total Liabilities & Equity,129389275,197948035,275380476,323070529,398165747,643242182,818856174,1480867051,3635206000,3564957000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1522690/000121390013001479/0001213900-13-001479-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390014001557/f10k2013_gwgholdingsinc.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390015001762/f10k2014_gwgholdings.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390016011794/0001213900-16-011794-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390017002381/0001213900-17-002381-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390018003608/0001213900-18-003608-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390019012331/f10k2018_gwgholdings.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390020007722/0001213900-20-007722-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000152269021000008/0001522690-21-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-2826656,-1012899,-194955,-5962909,-7393274,391909,-20632223,-119451413,108109000,-215839000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,20931000
75,Deferred Income Tax,4308217,1193190,2173767,-2401619,-3509587,333402,-2097371,- -,57923000,-16927000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2182125,1732000,110840000
77,Change in Working Capital,1677295,12826897,-4480468,-28223,5136490,-5604835,-27931987,221850357,-65952205,-217951000
78,Accounts Receivable,- -,- -,- -,-1750000,1750000,-5345000,-11313761,-4101926,-6683000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-274779,-257708,369809,363706,313864,709272,4167728,2882069,-8297000,3123000
81,Other Working Capital,-56617026,-43790129,-48270597,-48298820,-43162330,-48767165,-76699152,145151205,79199000,-138752000
82,Other Non-Cash Items,-23420337,-40176082,-28883852,-34074490,-33950556,-61134373,-33143977,-200060123,-244641795,136546000
83,Cash Provided by Operating Activities,-20261481,-27168894,-31385508,-42467241,-39716927,-66013897,-83805558,-95479054,-142830000,-182400000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3281000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-3204016,-73867000,- -
86,Purchases of Investments,-11929395,-15067495,-34997500,-12292401,-38906934,-8727924,-88643819,-128502654,- -,- -
87,Sales/Maturities of Investments,1803452,1067210,4563896,4185813,4511289,2553466,2762784,20763516,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-83960255,16069632,-3037234,-64102000,21287000
89,Cash Used for Investing Activites,-10125943,-14000285,-30433604,-8106588,-34395645,-90134713,-69811403,-113980388,-137969000,18006000
90,Debt Repayment,-7810398,-7589697,-16814987,-16697396,-40875742,-63373469,-77462127,-48026551,-140565000,-85505000
91,Common Stock Issued,- -,- -,- -,- -,- -,244185,-1603560,- -,- -,8000
92,Common Stock Repurchased,-1231480,-1266647,-613708,-465239,-295185,-2198233,-22598626,-6598986,-14061000,- -
93,Dividends Paid,-2306068,- -,- -,- -,- -,-3537288,-12702341,-42372143,-16943000,1042000
94,Other Financing Activites,41855489,75644218,85200556,64949375,119045900,269075292,303918124,289122156,426263000,257219000
95,Cash Used/Provided by Financing Activities,30507543,66787874,67771861,47786740,77874973,200210487,189551470,192124476,254694000,172764000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,120119,25618695,5952749,-2787089,3762401,44061877,35934509,-17334966,-26105000,8370000
98,Cash at the End of Period,1878349,27497044,33449793,30662704,34425105,78486982,114421491,125436210,99331000,124160000
99,Cash at the Beginning of Period,1758230,1878349,27497044,33449793,30662704,34425105,78486982,142771176,125436000,115790000
100,Free Cash Flow,-20261481,-27168894,-31385508,-42467241,-39716927,-66013897,-83805558,-95479054,-142830000,-185681000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1522690/000121390013001479/0001213900-13-001479-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390014001557/f10k2013_gwgholdingsinc.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390015001762/f10k2014_gwgholdings.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390016011794/0001213900-16-011794-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390017002381/0001213900-17-002381-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390018003608/0001213900-18-003608-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390019012331/f10k2018_gwgholdings.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390020007722/0001213900-20-007722-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000152269021000008/0001522690-21-000008-index.htm
102,false,,,,,,,,,,
