,https://roic.ai/company/VNE,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1733186/000173318619000044/0001733186-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318620000032/0001733186-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318621000039/0001733186-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318622000012/0001733186-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-30000000,-53000000,-217000000,-276000000,-500000000,-544000000,-385000000
74,Depreciation and Amortization,53100000,106000000,118800000,111000000,115000000,103000000,114000000
75,Deferred Income Tax,300000,-11000000,-11300000,15000000,-6000000,1000000,1000000
76,Stock Based Compensation,1800000,3000000,2100000,5000000,5000000,6000000,11000000
77,Change in Working Capital,-3500000,14300000,-14300000,848300000,151000000,-401000000,-42000000
78,Accounts Receivable,-91800000,-153000000,2200000,58000000,43000000,- -,- -
79,Inventory,-38000000,-8000000,18900000,-22000000,5000000,8000000,-82000000
80,Accounts Payable,117700000,68000000,-20800000,10000000,-56000000,18000000,36000000
81,Other Working Capital,58700000,73000000,58700000,907000000,1058000000,657000000,14000000
82,Other Non-Cash Items,-2800000,-66300000,120500000,-882300000,-90000000,643000000,10000000
83,Cash Provided by Operating Activities,18900000,-7000000,-1200000,-179000000,-325000000,-192000000,-291000000
84,CAPEX,-78300000,-103000000,-110000000,-189000000,-213000000,-101000000,-61000000
85,Acquisitions Net,-98900000,-226000000,-125300000,-71000000,-58000000,174000000,29000000
86,Purchases of Investments,- -,- -,- -,-5000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-50000000,-109000000,4900000,-109000000,-207000000,-99000000,-60000000
89,Cash Used for Investing Activites,-202300000,-335000000,-230400000,-185000000,-265000000,85000000,-31000000
90,Debt Repayment,-300000,- -,-3600000,-49000000,- -,-4000000,-8000000
91,Common Stock Issued,- -,- -,- -,- -,403000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,183700000,343000000,235200000,1275000000,233000000,-5000000,1000000
95,Cash Used/Provided by Financing Activities,183400000,343000000,231600000,1226000000,636000000,-9000000,-7000000
96,Effect of Forex Changes on Cash,- -,- -,- -,2000000,-16000000,15000000,-5000000
97,Net Change In Cash,183400000,343000000,231600000,1226000000,-5000000,-101000000,-334000000
98,Cash at the End of Period,- -,- -,- -,864000000,859000000,758000000,424000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,864000000,859000000,758000000
100,Free Cash Flow,-59400000,-110000000,-111200000,-368000000,-538000000,-293000000,-352000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1733186/000173318619000044/0001733186-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318620000032/0001733186-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318621000039/0001733186-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318622000012/0001733186-22-000012-index.htm
102,false,,,,,,,
