,https://roic.ai/company/MXC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,- -,3459522,4009852,5895429,7028659,7647284,8484743,8399929,9337566,11982950,13731126,13250021,15278274,15695312,17077962,17079923,20832199,16077497,12174974,8879243,8765269,9549043,9789804
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,282126,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,200000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20509,20509,20509,- -,- -,- -,- -,116454,7239,48980,34441,28157,149278,122407,2200,83389
45,Total Non-Current Assets,- -,- -,- -,- -,3459522,4009852,5895429,7028659,7647284,8766869,8420438,9358075,12003459,13731126,13250021,15278274,15695312,17194416,17087162,20881179,16111938,12203131,9028521,8887676,9701243,10073193
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,3853319,4961360,6347965,7688638,8172464,9303149,8978324,9958980,13202659,14508880,14029575,15948471,16574370,17935444,17918290,21470950,16467260,12708065,10400954,9449684,10070509,10830687
48,Accounts Payable,- -,- -,- -,- -,86091,77776,105332,93434,97308,111675,118125,154074,571526,- -,- -,- -,- -,- -,257431,423121,- -,137259,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,116280,443378,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21965
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,51637,- -,61086,- -,48127,- -,- -,- -,555765,301160,199944,402098,431848,51481,- -,332172,- -,446815,166113,182481,116569
53,Total Current Liabilities,- -,- -,- -,- -,86091,129413,105332,270800,540686,159802,118125,154074,571526,555765,301160,199944,402098,431848,308912,423121,332172,137259,446815,166113,182481,138534
54,Long-Term Debt,- -,- -,- -,- -,1200000,600000,1710000,2033720,1256622,1990000,600000,700000,2600000,1400000,700000,1800000,1700000,2950000,2425000,5950000,5580000,2900000,700000,- -,757423,1154949
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,185495,256591,427730,519272,715284,1006736,978686,1196280,1185494,902757,912663,884703,853199,858449,660870,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,4505,-6591,-1450,424106,404716,353264,351314,373720,440011,486305,528911,613279,763412,926577,1230216,1211077,968484,852553,854034,766243,713797
58,Total Non-Current Liabilities,- -,- -,- -,- -,1200000,790000,1960000,2460000,2200000,3110000,1960000,2030000,4170000,3025505,2089062,3241574,3197982,4566611,4210026,7841086,6791077,3868484,1552553,854034,1523666,1868746
59,Other Liabilities,- -,- -,- -,- -,- -,- -,3926591,4921450,- -,- -,- -,- -,8341069,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76703,21965
61,Total Liabilities,- -,- -,- -,- -,1286091,914908,2071923,2732250,2737245,3239592,2077277,2183344,4742595,3581270,2390222,3441518,3600080,4998459,4518938,8264207,7123249,4005743,1999368,1020147,1706147,2007280
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,811644,810693,883283,883283,883283,883283,888283,920183,920683,981308,1001933,1044558,1049558,1051433,1052133,1052133,1052133,1052133,1052133,1053583,1053583,1071833
64,Retained Earnings,- -,- -,- -,- -,-1119815,407254,-206286,466522,896368,1473895,2262700,2871085,3584729,4755299,5156138,5311834,5641827,5465453,5766566,5425580,1445895,751342,429853,416907,317429,473361
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-7193967,-7571728,-8020150,-8661977,-9346818,-9929086,-10587451,-11240277,-12019895,-13066014,-14179156,-15227063,-16223267,-17323692,-18475174,-19838036,-24395184,-25572606,-26453025,-27255451,-28109252,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,10069366,10400233,11619195,12268560,13002386,13610103,14335464,15224645,15974547,18257017,19660438,21377624,22506172,23743791,25055827,26567066,31241167,32471453,33372625,34214498,35102602,7278213
67,Total Stockholders Equity,- -,- -,- -,- -,2567228,4046452,4276042,4956388,5435219,6038195,6898996,7775636,8460064,10927610,11639353,12506953,12974290,12936985,13399352,13206743,9344011,8702322,8401586,8429537,8364362,8823407
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,3853319,4961360,6347965,7688638,8172464,9277787,8976273,9958980,13202659,14508880,14029575,15948471,16574370,17935444,17918290,21470950,16467260,12708065,10400954,9449684,10070509,10830687
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,25362,2051,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,3853319,4961360,6347965,7688638,8172464,9303149,8978324,9958980,13202659,14508880,14029575,15948471,16574370,17935444,17918290,21470950,16467260,12708065,10400954,9449684,10070509,10830687
71,SEC Link,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/66418/000006641800000005/0000066418-00-000005-index.html,https://www.sec.gov/Archives/edgar/data/66418/000006641801500004/0000066418-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/66418/000101270902000969/0001012709-02-000969-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66418/000114420405020255/0001144204-05-020255-index.htm,- -,https://www.sec.gov/Archives/edgar/data/66418/000114420407034489/0001144204-07-034489-index.html,https://www.sec.gov/Archives/edgar/data/66418/000114420408036395/0001144204-08-036395-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834409000642/0001398344-09-000642-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834410000852/0001398344-10-000852-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834411001386/0001398344-11-001386-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834412002115/0001398344-12-002115-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834413003018/0001398344-13-003018-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834414003336/0001398344-14-003336-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834415004031/0001398344-15-004031-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315216011127/0001493152-16-011127-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315217007227/0001493152-17-007227-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315218009240/0001493152-18-009240-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315219009604/0001493152-19-009604-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315220011905/0001493152-20-011905-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315221015272/0001493152-21-015272-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,200606,377867,-1323657,-425774,393647,1539458,189291,672808,429846,577527,788805,608385,713644,1170570,400839,155696,329993,-176374,301113,-340986,-3979685,-694553,-321489,-12946,-99478,155932
74,Depreciation and Amortization,262392,477830,2808753,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,906361
75,Deferred Income Tax,2573,94890,-341181,- -,- -,185495,71096,171139,137489,196012,291452,-28050,217594,-10786,-282737,9906,-27960,-31504,5250,-197499,-660870,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54688,26030,51350,120124,138303,152448,153386,116953,52864,20753,22656,34303,55678
77,Change in Working Capital,-31014,- -,- -,- -,307706,514389,-474891,41975,-404685,391984,63283,7070,180843,-405685,256405,-8141,6707,-167780,213036,-355566,-143500,344525,557943,-529723,-209110,432175
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355960,-84393,186157,63052,- -,- -,- -,- -,- -,- -,- -,- -,-367089
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17358,43289,98494,-65577,-124002,303831,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,307706,822095,347204,389179,-15506,376478,439761,446831,627674,221989,478394,470253,476960,309180,522216,166650,23150,367675,925618,395895,186785,618960
82,Other Non-Cash Items,-38148,-83656,-25349,957945,20735,-335997,1114481,483768,1354829,286105,757125,737619,362683,1985592,762614,1126649,1144432,1049229,1140654,1917644,4842604,609245,183817,1532341,1139245,-840099
83,Cash Provided by Operating Activities,396409,866931,1118566,532171,722088,1903345,899977,1369690,1517479,1451628,1900665,1325024,1474764,2794379,1163151,1335460,1573296,811874,1812501,1176979,175502,312081,441024,1012328,864960,710047
84,CAPEX,-969271,-1298347,-2103095,-644999,-804266,-937307,-2252604,-1633622,-983706,-1571123,-679626,-1556587,-3070144,-2937939,-915956,-2437733,-1642449,-1313957,-2152508,-4790415,-1138799,-802311,-1092657,-817699,-1696141,-1595238
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,-50000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,24000,-1336883,64,5678,667692,- -,- -,- -,- -,-201118,65532,28016,40452,2538,104787,-474893,471543,-80958,845877,33447,1271226,3209668,3270792,162304,104576,257614
89,Cash Used for Investing Activites,-945271,-2635230,-2103031,-639321,-136574,-937307,-2252604,-1633622,-983706,-1772241,-614094,-1528571,-3029692,-2916701,-811169,-2912626,-1170906,-2394915,-1306631,-4756968,132427,2407357,2178135,-655395,-1741565,-1387624
90,Debt Repayment,- -,- -,-500000,-38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2849521,-775000,-1395000,-1200000,-350000,-1375000,-150000,-770000,-2680000,-2200000,-700000,-490000,-550000
91,Common Stock Issued,500000,- -,1000000,- -,- -,- -,- -,- -,2950,- -,52500,197150,4000,- -,- -,-12325,-22780,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-84934,-91231,-127536,-1389,-16650,- -,-92860,-119093,- -,- -,- -,- -,-15547,- -,-5009,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1637000,685000,- -,-584000,-600000,1110000,415057,-511086,329677,-1371512,119026,1901100,2891809,359874,3003123,1140000,1616313,858806,3675000,400000,- -,- -,-21291,1272734,1251009
95,Cash Used/Provided by Financing Activities,500000,1637000,1185000,-38000,-584000,-684934,1018769,287521,-509525,313027,-1319012,223316,1786007,42288,-415126,1595798,-82780,1250766,-516194,3519991,-370000,-2680000,-2200000,-721291,782734,701009
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-48862,-131299,200535,-145150,1514,281104,-333858,23589,24248,-7586,-32441,19769,231080,-80034,-63144,18632,319610,-332275,-10324,-59998,-62071,39438,419159,-364358,-93871,23432
98,Cash at the End of Period,172112,40813,241348,96198,97712,378816,44958,68547,92795,85209,52768,72537,303617,223583,160439,179071,498681,166406,156082,96084,34013,73451,492610,128252,34381,57813
99,Cash at the Beginning of Period,220974,172112,40813,241348,96198,97712,378816,44958,68547,92795,85209,52768,72537,303617,223583,160439,179071,498681,166406,156082,96084,34013,73451,492610,128252,34381
100,Free Cash Flow,-572862,-431416,-984529,-112828,-82178,966038,-1352627,-263932,533773,-119495,1221039,-231563,-1595380,-143560,247195,-1102273,-69153,-502083,-340007,-3613436,-963297,-490230,-651633,194629,-831181,-885191
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66418/000006641899000008/0000066418-99-000008-index.html,https://www.sec.gov/Archives/edgar/data/66418/000006641800000005/0000066418-00-000005-index.html,https://www.sec.gov/Archives/edgar/data/66418/000006641801500004/0000066418-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/66418/000101270902000969/0001012709-02-000969-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66418/000114420405020255/0001144204-05-020255-index.htm,- -,https://www.sec.gov/Archives/edgar/data/66418/000114420407034489/0001144204-07-034489-index.html,https://www.sec.gov/Archives/edgar/data/66418/000114420408036395/0001144204-08-036395-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834409000642/0001398344-09-000642-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834410000852/0001398344-10-000852-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834411001386/0001398344-11-001386-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834412002115/0001398344-12-002115-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834413003018/0001398344-13-003018-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834414003336/0001398344-14-003336-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834415004031/0001398344-15-004031-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315216011127/0001493152-16-011127-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315217007227/0001493152-17-007227-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315218009240/0001493152-18-009240-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315219009604/0001493152-19-009604-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315220011905/0001493152-20-011905-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315221015272/0001493152-21-015272-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
