,https://roic.ai/company/TARS,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-1183000,-3673000,-21138000,- -
84,CAPEX,-7000,-175000,-456000,-586000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-7000,-175000,-456000,- -
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,91673000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,3564000,59445000,40098000,-303000
95,Cash Used/Provided by Financing Activities,3564000,59445000,131771000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,2374000,55597000,110177000,- -
98,Cash at the End of Period,2375000,57972000,168149000,171332000
99,Cash at the Beginning of Period,1000,2375000,57972000,- -
100,Free Cash Flow,-1190000,-3848000,-21594000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1819790/000181979021000010/0001819790-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1819790/000181979022000010/0001819790-22-000010-index.htm
102,false,,,,
