,https://roic.ai/company/FCPT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,- -,12807000,11949000,929437000,932054000,1060878000,1335231000,1440379000,1665118000,1900762000
69,Minority Interest,- -,- -,- -,- -,5097000,7781000,7867000,5691000,3061000,2218000
70,Total Liabilities & Equity,- -,12807000,11949000,929437000,937151000,1068659000,1343098000,1446070000,1668179000,1902980000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1650132/000165013216000041/0001650132-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013217000002/0001650132-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013218000025/0001650132-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013219000029/0001650132-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013220000031/0001650132-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013221000026/0001650132-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1650132/000165013222000026/0001650132-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-39000,29000,32000,5699000,156809000,71394000,82398000,72616000,77332000,85581000
74,Depreciation and Amortization,881000,875000,863000,3758000,20577000,21811000,22354000,26312000,29433000,34826000
75,Deferred Income Tax,-168000,-186000,-194000,1195000,-80685000,-196000,- -,- -,- -,-864000
76,Stock Based Compensation,52000,118000,117000,101000,1550000,2676000,3967000,3602000,3376000,3948000
77,Change in Working Capital,60000,-1037000,-167000,96294000,-83941000,62195000,30932000,-78346000,-44823000,-4080000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,26000,- -,52000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-70000,- -,18000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,51000,-986000,-1153000,95141000,11200000,73395000,104327000,25981000,-18842000,3503000
82,Other Non-Cash Items,20000,1115000,310000,-85354000,56629000,-78935000,-58769000,80489000,26140000,3005000
83,Cash Provided by Operating Activities,806000,914000,961000,21693000,70939000,78945000,80882000,104673000,91458000,122416000
84,CAPEX,-131000,-26000,-55000,-556000,-59322000,-80414000,-247046000,-207353000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,24091000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-24091000,-4905000,- -,- -,-229073000,-264917000
89,Cash Used for Investing Activites,-131000,-26000,-55000,-556000,-59322000,-85319000,-247046000,-207353000,-229073000,-264917000
90,Debt Repayment,- -,- -,- -,- -,-7083000,-83305000,-25000000,- -,-218500000,-164500000
91,Common Stock Issued,- -,- -,- -,- -,640000,32145000,161858000,47233000,151746000,116506000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-393000,-2702000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-121604000,-58695000,-69494000,-78488000,-86328000,-96903000
94,Other Financing Activites,-675000,-888000,-906000,76929000,45000000,154052000,123063000,48478000,296678000,282634000
95,Cash Used/Provided by Financing Activities,-675000,-888000,-906000,76929000,-83047000,44197000,190034000,14521000,143596000,137737000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,98066000,-71430000,37823000,23871000,-88159000,5981000,-4764000
98,Cash at the End of Period,7000,7000,7000,98073000,26643000,64466000,93242000,5083000,11064000,6300000
99,Cash at the Beginning of Period,7000,7000,7000,7000,98073000,26643000,69371000,93242000,5083000,11064000
100,Free Cash Flow,675000,914000,906000,21693000,70939000,78945000,80882000,104673000,91458000,122416000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650132/000165013216000041/0001650132-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013217000002/0001650132-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013218000025/0001650132-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013219000029/0001650132-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013220000031/0001650132-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013221000026/0001650132-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1650132/000165013222000026/0001650132-22-000026-index.htm
102,false,,,,,,,,,,
