,https://roic.ai/company/PSEC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,102967000,108270000,300048000,429623000,532596000,710685000,1114357000,1511974000,2656494000,3618182000,3703049000,3435917000,3354952000,3407047000,3306275000,3055861000,3945517000
68,Total Liabilities And Stockholders Equity,103909000,138480000,376502000,541778000,667025000,832695000,1549317000,2255254000,4448217000,6477269000,6798054000,6276707000,6172789000,5838820000,5800063000,5300163000,6303092000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,103909000,138480000,376502000,541778000,667025000,832695000,1549317000,2255254000,4448217000,6477269000,6798054000,6276707000,6172789000,5838820000,5800063000,5300163000,6303092000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1287032/000120677407002222/0001206774-07-002222-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000120677408001545/0001206774-08-001545-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000120677409001749/0001206774-09-001749-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000095012310082231/0000950123-10-082231-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746911007720/0001047469-11-007720-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746912008467/0001047469-12-008467-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746913008570/0001047469-13-008570-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703214000128/0001287032-14-000128-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703215000229/0001287032-15-000229-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703216000661/0001287032-16-000661-index.htm,https://www.sec.gov/Archives/edgar/data/1287032/000128703217000232/0001287032-17-000232-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703218000316/0001287032-18-000316-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703219000284/0001287032-19-000284-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703220000290/0001287032-20-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1287032/000128703221000413/0001287032-21-000413-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,8751000,12896000,16728000,27591000,35104000,18886000,118238000,190904000,220856000,319020000,346339000,103362000,252906000,299863000,144487000,-16224000,963807000
74,Depreciation and Amortization,- -,-910000,1264000,727000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,926000,- -,- -,-113307000,67396000,4483000,-154372000,-400700000,418500000,-301969000,346644000,-42317000,55678000,9071000,4258000,106635000,6834309
78,Accounts Receivable,-456000,-39213000,-130740000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-167255000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,842000,768000,4414000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-113307000,-45911000,-41428000,-195800000,-596500000,-178000000,-479969000,-133325000,-175642000,-119964000,-110893000,-106635000,- -,6834309
82,Other Non-Cash Items,-94406000,-42480000,-161882000,-119036000,-176500000,31469000,-545475000,-238656000,-2450457000,-1742438000,-647519000,800824000,67617000,60172000,75093000,339027000,-939622309
83,Cash Provided by Operating Activities,-84729000,-30494000,-143890000,-204025000,-74000000,54838000,-581609000,-448452000,-1811101000,-1725387000,45464000,861869000,376201000,369106000,223838000,429438000,31019000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-107000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-1757247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1757247000,- -,- -,- -,414000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-106586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,-147325000,-66524000,-268600000,-482000000,-720000000,-195000000,-1117369000,-1486174000,-1141269000,-1068629000,-1449837000,-1763144000,-1729258000,-1895441000
91,Common Stock Issued,98424000,- -,198418000,140249000,100304000,158001000,381316000,338270000,1121648000,973832000,146085000,- -,- -,- -,- -,6146000,- -
92,Common Stock Repurchased,-1463000,- -,-867000,- -,-1023000,-1781000,-1388000,- -,- -,- -,- -,-34140000,- -,- -,- -,- -,- -
93,Dividends Paid,-2646000,-7663000,-21634000,-24915000,-43257000,-82908000,-91247000,-127564000,-242301000,-377070000,-414833000,-336637000,-333623000,-255911000,-245096000,-239954000,-195574000
94,Other Financing Activites,- -,28570000,-32027000,236571000,93887000,238175000,775339000,959079000,1183903000,2176983000,1685259000,857949000,1026336000,1102317000,1807742000,1471091000,2079045000
95,Cash Used/Provided by Financing Activities,94315000,20907000,143890000,204580000,83387000,42887000,582020000,449785000,1868250000,1656376000,-69663000,-654097000,-375916000,-603431000,-200498000,-491975000,-11970000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9586000,- -,- -,- -,9387000,-8861000,411000,1333000,57149000,-69011000,-24199000,207772000,285000,-234325000,23340000,-62537000,19049000
98,Cash at the End of Period,9587000,- -,- -,555000,9942000,1081000,1492000,2825000,59974000,134225000,110026000,317798000,318083000,83758000,107098000,44561000,63610000
99,Cash at the Beginning of Period,1000,9587000,- -,- -,555000,9942000,1081000,1492000,2825000,203236000,134225000,110026000,317798000,318083000,83758000,107098000,44561000
100,Free Cash Flow,-84729000,-30494000,-143890000,-204025000,-74000000,54838000,-581609000,-448452000,-1811101000,-1725387000,45464000,861869000,376201000,369106000,223838000,429438000,31019000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1287032/000120677407002222/0001206774-07-002222-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000120677408001545/0001206774-08-001545-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000120677409001749/0001206774-09-001749-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000095012310082231/0000950123-10-082231-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746911007720/0001047469-11-007720-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746912008467/0001047469-12-008467-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746913008570/0001047469-13-008570-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703214000128/0001287032-14-000128-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703215000229/0001287032-15-000229-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703216000661/0001287032-16-000661-index.htm,https://www.sec.gov/Archives/edgar/data/1287032/000128703217000232/0001287032-17-000232-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703218000316/0001287032-18-000316-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703219000284/0001287032-19-000284-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703220000290/0001287032-20-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1287032/000128703221000413/0001287032-21-000413-index.htm
102,false,,,,,,,,,,,,,,,,,
