,https://roic.ai/company/PFGC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,2555453000,3161263000,4312685000,5381081000,6035977000,5650894000,5751622000,6217724000,- -,- -,- -,- -,11395010000,12711800000,13570124000,15109900000,15902600000,16550800000,17366400000,19460200000,- -,30198200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76330000,93900000,86096000,85700000,83900000,54900000,60400000,65400000,116900000,152400000
14,Depreciation and Amortization,17877000,31981000,44862000,51229000,58699000,26380000,28869000,29688000,- -,- -,- -,- -,102302000,120000000,132700000,121300000,118600000,126100000,130100000,155000000,276300000,338900000
15,EBITDA,61233000,97276000,151224000,170892000,143375000,298846000,97297000,111018000,- -,- -,- -,- -,212520000,233400000,249011000,303600000,317000000,338700000,384100000,438700000,- -,546000000
16,EBITDA ratio,0.0235,0.0300,0.0341,0.0310,0.0233,0.0522,0.0167,0.0176,- -,- -,- -,- -,0.0185,0.0182,0.0182,0.0199,0.0197,0.0202,0.0218,0.0222,- -,0.0180
17,Operating Income,50015000,75985000,125698000,138730000,112946000,70478000,75110000,87168000,- -,- -,- -,- -,110882000,114700000,115580000,160100000,202200000,211000000,253500000,283300000,-99000000,200700000
18,Operating Income ratio,0.0192,0.0235,0.0283,0.0251,0.0184,0.0123,0.0129,0.0138,- -,- -,- -,- -,0.0096,0.0089,0.0084,0.0105,0.0126,0.0126,0.0144,0.0143,-Infinity,0.0066
19,Total Other Income Expenses (Gains),-6659000,-10690000,-19336000,-19067000,-28270000,-3386000,-6568000,-5567000,- -,- -,- -,- -,-76994000,-95200000,-85365000,-63500000,-87700000,-53300000,-59900000,-65000000,- -,-146000000
20,Income Before Tax,43356000,65295000,106362000,119663000,84676000,67092000,68542000,81601000,- -,- -,- -,- -,33888000,19500000,30215000,96600000,114500000,157700000,193600000,218300000,- -,54700000
21,Income Before Tax Ratio,0.0166,0.0202,0.0240,0.0217,0.0138,0.0117,0.0118,0.0129,- -,- -,- -,- -,0.0029,0.0015,0.0022,0.0063,0.0071,0.0094,0.0110,0.0111,- -,0.0018
22,Income Tax expense (Gain),16475000,24812000,39886000,45472000,32118000,25328000,25642000,30474000,- -,- -,- -,- -,12869000,11100000,14711000,40100000,46200000,61400000,-5100000,51500000,- -,14000000
23,Net Income,26881000,40483000,66476000,74191000,52558000,247138000,42786000,50856000,- -,- -,- -,- -,21019000,8400000,15504000,56500000,68300000,96300000,198700000,166800000,- -,40700000
24,Net Income ratio,0.0103,0.0125,0.0150,0.0134,0.0085,0.0432,0.0073,0.0081,- -,- -,- -,- -,0.0018,0.0007,0.0011,0.0037,0.0042,0.0057,0.0113,0.0084,- -,0.0013
25,EPS,1.90,1.07,1.50,1.63,1.13,5.72,1.25,1.46,- -,- -,- -,- -,0.24,0.10,0.18,0.66,0.71,0.96,1.95,1.61,-1.01,0.31
26,EPS Diluted,1.82,1.03,1.42,1.54,1.11,5.64,1.23,1.45,- -,- -,- -,- -,0.24,0.10,0.18,0.65,0.70,0.93,1.90,1.59,-1.01,0.30
27,Weighted Average Shares Outstanding,14168000,37957000,44445000,45583000,46398000,43233000,34348000,34745000,- -,- -,- -,- -,86885548,86885548,86885548,85606061,96451931,100236486,102000000,103800000,113000000,132100000
28,Weighted Average Shares Outstanding Diluted,14769000,39328000,52047000,53002000,47181000,43795000,34769000,35156000,- -,- -,- -,- -,87653160,87653160,87653160,86923077,98128626,103036723,104600000,105200000,113000000,133400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618673/000119312517267515/0001193125-17-267515-index.html,https://www.sec.gov/Archives/edgar/data/1618673/000156459018021907/0001564590-18-021907-index.html,https://www.sec.gov/Archives/edgar/data/1618673/000156459019032384/pfgc-10k_20190629.htm,https://www.sec.gov/Archives/edgar/data/1618673/000156459020040455/0001564590-20-040455-index.htm,https://www.sec.gov/Archives/edgar/data/1618673/000156459021045434/0001564590-21-045434-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18530000,68274000,33660000,38916000,52322000,99461000,75087000,87711000,- -,- -,- -,- -,- -,14077000,5310000,9200000,10900000,8100000,7500000,14700000,420700000,11100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18530000,68274000,33660000,38916000,52322000,99461000,75087000,87711000,- -,- -,- -,- -,- -,14077000,5310000,9200000,10900000,8100000,7500000,14700000,420700000,11100000
34,Net Receivables,167444000,153032000,220676000,251654000,247809000,196929000,226058000,256306000,- -,- -,- -,- -,- -,709170000,834769000,964600000,968200000,1028500000,1065600000,1227300000,- -,1629600000
35,Inventory,123586000,176245000,239846000,257198000,314835000,303073000,308901000,329686000,- -,- -,- -,- -,- -,741375000,848995000,882600000,919700000,1013300000,1051900000,1356900000,1549400000,1839400000
36,Other Current Assets,14696000,20238000,34964000,34107000,30953000,32855000,35419000,33645000,- -,- -,- -,- -,- -,40160000,38247000,43900000,40100000,35000000,78500000,71700000,1483800000,100300000
37,Total Current Assets,324256000,417789000,529146000,581875000,645919000,632318000,645465000,707348000,- -,- -,- -,- -,- -,1504782000,1727321000,1900300000,1938900000,2084900000,2203500000,2670600000,3453900000,3580400000
38,PP&E,143142000,247197000,293994000,363052000,394701000,255816000,291947000,318264000,- -,- -,- -,- -,- -,548586000,569909000,594700000,637000000,740700000,795500000,950500000,- -,2028300000
39,Goodwill,234421000,425186000,575464000,582966000,586510000,356597000,356509000,356509000,- -,- -,- -,- -,- -,665781000,663868000,664000000,674000000,718600000,740500000,765800000,- -,1354700000
40,Intangible Assets,4890000,179126000,205497000,196814000,184871000,51213000,47575000,44238000,- -,- -,- -,- -,- -,308349000,241281000,186900000,149300000,201100000,193800000,194300000,- -,796400000
41,Intangible Assets,239311000,604312000,780961000,779780000,771381000,407810000,404084000,400747000,- -,- -,- -,- -,- -,974130000,905149000,850900000,823300000,919700000,934300000,960100000,- -,2151100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100300000,- -,103000000,- -,108000000,- -,- -
44,Other Non-Current Assets,2987000,8493000,13616000,11761000,15764000,16346000,18279000,25681000,- -,- -,- -,- -,- -,27901000,37408000,-55300000,56200000,-44200000,67600000,-35700000,4265800000,85900000
45,Total Non-Current Assets,385440000,860002000,1088571000,1154593000,1181846000,679972000,714310000,744692000,- -,- -,- -,- -,- -,1550617000,1512466000,1490600000,1516500000,1719200000,1797400000,1982900000,4265800000,4265300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,709696000,1277791000,1617717000,1736468000,1827765000,1312290000,1359775000,1452040000,- -,- -,- -,- -,- -,3055399000,3239787000,3390900000,3455400000,3804100000,4000900000,4653500000,7719700000,7845700000
48,Accounts Payable,134986000,183457000,236438000,235392000,267657000,258791000,269590000,275580000,- -,- -,- -,- -,- -,724432000,826790000,895900000,918000000,907100000,973000000,1130800000,- -,1776500000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,- -,- -,- -,- -,125700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,- -,1900000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103000000,- -,108000000,- -,- -
52,Other Current Liabilities,92800000,164577000,211626000,233532000,293438000,230333000,235130000,243760000,- -,- -,- -,- -,- -,257085000,343638000,381100000,396300000,373200000,497000000,460500000,2618700000,625000000
53,Total Current Liabilities,227786000,348034000,448064000,468924000,561095000,489124000,504720000,519340000,- -,- -,- -,- -,- -,981517000,1170428000,1277000000,1316700000,1383300000,1470000000,1699300000,2618700000,2527200000
54,Long-Term Debt,114492000,270594000,370095000,353919000,278584000,3250000,11664000,9529000,- -,- -,- -,- -,- -,1445843000,1418110000,1429600000,1143100000,1285900000,1123000000,1331800000,- -,2873500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,9701000,50966000,84689000,109810000,113773000,43399000,48582000,58947000,- -,- -,- -,- -,- -,108386000,103847000,- -,81100000,103000000,106300000,108000000,- -,140400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3530000,- -,- -,- -,- -,- -,99644000,113294000,191300000,111700000,106400000,166300000,216200000,3090400000,198500000
58,Total Non-Current Liabilities,124193000,321560000,454784000,463729000,392357000,46649000,60246000,72006000,- -,- -,- -,- -,- -,1653873000,1635251000,1620900000,1335900000,1495300000,1395600000,1656000000,3090400000,3212400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31540000,33923000,37300000,33900000,49900000,61200000,147200000,662800000,758700000
61,Total Liabilities,351979000,669594000,902848000,932653000,953452000,535773000,564966000,591346000,- -,- -,- -,- -,- -,2635390000,2805679000,2897900000,2652600000,2878600000,2865600000,3355300000,5709100000,5739600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,177000,438000,453000,459000,468000,356000,349000,355000,- -,- -,- -,- -,- -,1791000,1791000,900000,1000000,1000000,1000000,1000000,- -,1300000
64,Retained Earnings,115738000,155528000,222004000,296195000,348753000,595891000,638677000,689074000,- -,- -,- -,- -,- -,-169460000,-153956000,-97500000,-29200000,66600000,264800000,430700000,- -,357300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-264571000,-325515000,-5000000,-5800000,2000000,8000000,-400000,-10000000,-5300000
66,Other Total Stockholders Equity,241802000,452231000,492412000,507161000,525092000,180270000,155783000,171265000,- -,- -,- -,- -,- -,852249000,911788000,594600000,- -,855900000,861500000,866900000,2020600000,1752800000
67,Total Stockholders Equity,357717000,608197000,714869000,803815000,874313000,776517000,794809000,860694000,- -,- -,- -,- -,- -,420009000,434108000,493000000,802800000,925500000,1135300000,1298200000,2010600000,2106100000
68,Total Liabilities And Stockholders Equity,709696000,1277791000,1617717000,1736468000,1827765000,1312290000,1359775000,1452040000,- -,- -,- -,- -,- -,3055399000,3239787000,3390900000,3455400000,3804100000,4000900000,4653500000,7719700000,7845700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,709696000,1277791000,1617717000,1736468000,1827765000,1312290000,1359775000,1452040000,- -,- -,- -,- -,- -,3055399000,3239787000,3390900000,3455400000,3804100000,4000900000,4653500000,7719700000,7845700000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618673/000119312517267515/0001193125-17-267515-index.html,https://www.sec.gov/Archives/edgar/data/1618673/000156459018021907/0001564590-18-021907-index.html,https://www.sec.gov/Archives/edgar/data/1618673/000156459019032384/pfgc-10k_20190629.htm,https://www.sec.gov/Archives/edgar/data/1618673/000156459020040455/0001564590-20-040455-index.htm,https://www.sec.gov/Archives/edgar/data/1618673/000156459021045434/0001564590-21-045434-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,26881000,40483000,66476000,74191000,52558000,247138000,42786000,50856000,- -,- -,- -,- -,21019000,8400000,15504000,56500000,68300000,96300000,198700000,166800000,- -,40700000
74,Depreciation and Amortization,17877000,31981000,44862000,51229000,58699000,26380000,28869000,29688000,- -,- -,- -,- -,102302000,120000000,132700000,121300000,118600000,126100000,130100000,155000000,276300000,338900000
75,Deferred Income Tax,-1520000,13239000,6291000,24443000,- -,2919000,-4566000,12720000,- -,- -,- -,- -,-3423000,-6000000,-1425000,-6100000,-400000,6300000,1400000,11600000,10500000,21200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1099000,1100000,702000,1200000,17200000,17300000,21600000,15700000,17900000,25400000
77,Change in Working Capital,-26715000,11327000,31869000,-28127000,58370000,-2449000,47263000,335257000,- -,- -,- -,- -,33628000,66407000,-1100000,79400000,31900000,237800000,-136100000,218000000,1033800000,31000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28294000,-18300000,-134435000,-136300000,-1200000,-35700000,-33900000,-50200000,189000000,-296500000
79,Inventory,-11112000,-21543000,-25710000,-13602000,-57308000,-16054000,-5828000,-20785000,- -,- -,- -,- -,-48053000,-21400000,-107318000,-33500000,-29600000,-63800000,-21800000,-98400000,101700000,-286700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1169000,133200000,102358000,69100000,17800000,-23200000,57100000,80600000,234300000,57800000
81,Other Working Capital,69755000,81082000,112951000,84824000,143194000,140745000,188008000,523265000,- -,- -,- -,- -,556893000,623300000,622200000,701600000,733500000,971300000,835200000,1053200000,2087000000,2118000000
82,Other Non-Cash Items,-1937000,68191000,-31465000,5301000,-53653000,-197818000,-48679000,-371632000,- -,- -,- -,- -,-57011000,-49207000,-26631000,-124900000,-700000,-282100000,151300000,-249700000,-714900000,-392600000
83,Cash Provided by Operating Activities,14586000,165221000,118033000,127037000,115974000,76170000,65673000,56889000,- -,- -,- -,- -,97614000,140700000,119750000,127400000,234900000,201700000,367000000,317400000,623600000,64600000
84,CAPEX,-30992000,-30136000,-58365000,-112819000,-83471000,-77576000,-53688000,-74931000,- -,- -,- -,- -,-68926000,-66500000,-90625000,-98600000,-119700000,-140200000,-140100000,-139100000,-158000000,-188800000
85,Acquisitions Net,-124193000,-395439000,-215129000,-13956000,-3086000,-3917000,- -,- -,- -,- -,- -,- -,-319802000,-86000000,-949000,-400000,-39000000,-192900000,-71100000,-211600000,-1989000000,-18100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4500000,- -,- -,- -,953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1697000,2713000,598000,534000,1283000,140000,462000,16060000,- -,- -,- -,- -,530000,2500000,-1849000,-1700000,1100000,1100000,1800000,1300000,1000000,7100000
89,Cash Used for Investing Activites,-153488000,-422862000,-272187000,-121741000,-85274000,-81353000,-53226000,-57918000,- -,- -,- -,- -,-388198000,-150000000,-93423000,-100700000,-157600000,-332000000,-209400000,-349400000,-2146000000,-199800000
90,Debt Repayment,-812000,-2172000,-2503000,-2551000,-202528000,-697000,-576000,-2654000,- -,- -,- -,- -,-512000,-531700000,-30858000,-26100000,-740300000,-6400000,-134600000,-18600000,-285300000,-164100000
91,Common Stock Issued,124397000,143391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1165000,- -,- -,- -,226400000,- -,- -,- -,828100000,- -
92,Common Stock Repurchased,-11907000,- -,- -,- -,- -,-361718000,-39617000,- -,- -,- -,- -,- -,-45000,- -,- -,- -,- -,-3500000,-28200000,-16800000,-12900000,-4200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-220000000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40148000,166166000,122043000,2511000,185234000,-201826000,-3184000,16578000,- -,- -,- -,- -,386129000,764000000,-4236000,3300000,438300000,137400000,2000000,75000000,1398900000,-106100000
95,Cash Used/Provided by Financing Activities,151826000,307385000,119540000,-40000,-17294000,-564241000,-43377000,13924000,- -,- -,- -,- -,286737000,12300000,-35094000,-22800000,-75600000,127500000,-160800000,39600000,1928800000,-274400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12924000,49744000,-34614000,5256000,13406000,47139000,-24374000,12624000,- -,- -,- -,- -,-3847000,3000000,-8767000,3900000,1700000,-2800000,-3200000,7600000,406400000,-409600000
98,Cash at the End of Period,18530000,68274000,33660000,38916000,52322000,99461000,75087000,87711000,- -,- -,- -,- -,11077000,14100000,5310000,9200000,10900000,8100000,17800000,25400000,431800000,22200000
99,Cash at the Beginning of Period,5606000,18530000,68274000,33660000,38916000,52322000,99461000,75087000,- -,- -,- -,- -,14924000,11100000,14077000,5300000,9200000,10900000,21000000,17800000,25400000,431800000
100,Free Cash Flow,-16406000,135085000,59668000,14218000,32503000,-1406000,11985000,-18042000,- -,- -,- -,- -,28688000,74200000,29125000,28800000,115200000,61500000,226900000,178300000,465600000,-124200000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618673/000119312517267515/0001193125-17-267515-index.html,https://www.sec.gov/Archives/edgar/data/1618673/000156459018021907/0001564590-18-021907-index.html,https://www.sec.gov/Archives/edgar/data/1618673/000156459019032384/pfgc-10k_20190629.htm,https://www.sec.gov/Archives/edgar/data/1618673/000156459020040455/0001564590-20-040455-index.htm,https://www.sec.gov/Archives/edgar/data/1618673/000156459021045434/0001564590-21-045434-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
