,https://roic.ai/company/AVGR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30324000,25008000,24780000,54104000,53557000,15088000,23699000,23825000,33195000,29485000
48,Accounts Payable,1251000,996000,1013000,1113000,1607000,1273000,1148000,663000,694000,1394000
49,Short-Term Debt,- -,- -,1873000,- -,41289000,44744000,7486000,9689000,4396000,985000
50,Tax Payable,36000,91000,- -,82000,40000,21000,435000,18000,43000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2430000,2730000,5997000,6368000,5874000,4460000,5564000,2436000,2372000,2327000
53,Total Current Liabilities,3681000,3726000,8883000,7481000,48770000,50477000,14198000,12788000,7462000,4706000
54,Long-Term Debt,- -,33783000,27180000,29565000,41289000,- -,- -,- -,9400000,14481000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100287000,100281000,132585000,1469000,-40743000,301000,41000,4142000,3257000,575000
58,Total Non-Current Liabilities,100287000,134064000,159765000,31034000,546000,301000,41000,4142000,12657000,15056000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,4857000,4063000,- -
61,Total Liabilities,103968000,137790000,168648000,38515000,49316000,50778000,14239000,16930000,20119000,19762000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,13000,24000,1000,34000,10000,85000,- -
64,Retained Earnings,-74668000,-114569000,-146533000,-196261000,-252389000,-301327000,-328885000,-348335000,-367341000,-384753000
65,Other Comprehensive Income/Loss,-1597000,-2813000,-3827000,-5044000,-6389000,-5564000,-3155000,-3948000,- -,- -
66,Other Total Stockholders Equity,2621000,4600000,6492000,216881000,262995000,271200000,341466000,359168000,380332000,394476000
67,Total Stockholders Equity,-73644000,-112782000,-143868000,15589000,4241000,-35690000,9460000,6895000,13076000,9723000
68,Total Liabilities And Stockholders Equity,30324000,25008000,24780000,54104000,53557000,15088000,23699000,23825000,33195000,29485000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30324000,25008000,24780000,54104000,53557000,15088000,23699000,23825000,33195000,29485000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1506928/000110465915023450/0001104659-15-023450-index.htm,https://www.sec.gov/Archives/edgar/data/1506928/000110465916103101/0001104659-16-103101-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000110465917016428/0001104659-17-016428-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000110465918021543/0001104659-18-021543-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774919004223/0001437749-19-004223-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774920004451/0001437749-20-004451-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774921005713/0001437749-21-005713-index.htm,https://www.sec.gov/Archives/edgar/data/1506928/000143774922006919/0001437749-22-006919-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-33864000,-39901000,-31964000,-47344000,-56128000,-48732000,-27558000,-19450000,-19006000,- -
74,Depreciation and Amortization,772000,1501000,1451000,1300000,1506000,1476000,1281000,890000,897000,687000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,449000,654000,641000,5899000,7392000,4966000,3080000,2091000,1513000,1015000
77,Change in Working Capital,-2628000,-6588000,-5820000,33522000,-43556000,-39046000,46449000,-3587000,16597000,652000
78,Accounts Receivable,-182000,-443000,-441000,7000,-1512000,2318000,-160000,-248000,-1000,89000
79,Inventory,-3851000,-3069000,1714000,-2307000,-6099000,-1181000,-92000,-1169000,-490000,125000
80,Accounts Payable,162000,-275000,17000,84000,470000,-334000,-125000,-485000,31000,679000
81,Other Working Capital,22462000,15874000,10054000,43576000,20000,-39026000,7423000,3836000,20433000,21085000
82,Other Non-Cash Items,37000,3679000,13891000,-34260000,37717000,46860000,-41718000,2792000,-14836000,-18051000
83,Cash Provided by Operating Activities,-35234000,-40655000,-21801000,-40883000,-53069000,-34476000,-18466000,-17264000,-14835000,-15697000
84,CAPEX,-288000,-496000,-117000,-577000,-971000,-45000,-32000,-88000,65000,-34000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,255000,- -,4000,28000,18000,- -,- -
89,Cash Used for Investing Activites,-288000,-496000,-117000,-322000,-971000,-41000,-4000,-70000,65000,-34000
90,Debt Repayment,-9000,-18000,-17000,-27647000,-27000,-25000,- -,- -,- -,- -
91,Common Stock Issued,206000,98000,23000,63972000,37388000,3835000,13519000,3811000,23646000,13043000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,3866000,4175000
94,Other Financing Activites,37106000,32675000,22007000,35623000,9716000,- -,15972000,8056000,-1500000,-4175000
95,Cash Used/Provided by Financing Activities,37303000,32755000,22013000,71948000,47077000,3810000,29491000,11867000,26012000,13043000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1781000,-8396000,95000,30743000,-6963000,-30707000,11021000,-5467000,11242000,-2688000
98,Cash at the End of Period,20617000,12221000,12316000,43059000,36096000,5389000,16410000,10943000,22185000,19497000
99,Cash at the Beginning of Period,18836000,20617000,12221000,12316000,43059000,36096000,5389000,16410000,10943000,22185000
100,Free Cash Flow,-35522000,-41151000,-21918000,-41460000,-54040000,-34521000,-18498000,-17352000,-14835000,-15731000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1506928/000110465915023450/0001104659-15-023450-index.htm,https://www.sec.gov/Archives/edgar/data/1506928/000110465916103101/0001104659-16-103101-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000110465917016428/0001104659-17-016428-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000110465918021543/0001104659-18-021543-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774919004223/0001437749-19-004223-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774920004451/0001437749-20-004451-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774921005713/0001437749-21-005713-index.htm,https://www.sec.gov/Archives/edgar/data/1506928/000143774922006919/0001437749-22-006919-index.htm
102,false,,,,,,,,,,
