,https://roic.ai/company/NGMS,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,289000,3658000,3264000,1116000
58,Total Non-Current Liabilities,- -,18555000,18645000,31669000,21835000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,4837000,3506000,8589000
61,Total Liabilities,- -,21607000,38783000,43764000,57534000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,21000,21000,44000,45000
64,Retained Earnings,- -,-35879000,-39857000,-33343000,-28691000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2191000,11605000
66,Other Total Stockholders Equity,- -,33613000,34228000,86311000,76835000
67,Total Stockholders Equity,- -,-2245000,-5608000,50821000,59794000
68,Total Liabilities And Stockholders Equity,- -,19362000,33175000,94585000,117328000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,19362000,33175000,94585000,117328000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-7453000,-5975000,-3978000,6514000,- -
74,Depreciation and Amortization,7731000,7759000,9685000,11657000,- -
75,Deferred Income Tax,110000,210000,782000,1443000,- -
76,Stock Based Compensation,12000,- -,615000,969000,- -
77,Change in Working Capital,-1656000,-802000,-655000,-2031000,- -
78,Accounts Receivable,-1136000,-1683000,-304000,-1286000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,55000,-68000,-460000,1411000,- -
81,Other Working Capital,6000,42000,-13000,- -,- -
82,Other Non-Cash Items,3234000,4186000,7766000,5966000,- -
83,Cash Provided by Operating Activities,1978000,5378000,14215000,24518000,- -
84,CAPEX,-6241000,-8425000,-12210000,-14056000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-901000,-3296000,-5214000,-11768000,- -
89,Cash Used for Investing Activites,-7142000,-11721000,-17424000,-12696000,- -
90,Debt Repayment,- -,- -,-1334000,-3955000,- -
91,Common Stock Issued,- -,- -,- -,43380000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,6000000,7325000,2504000,- -
95,Cash Used/Provided by Financing Activities,- -,6000000,5991000,41929000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-5164000,-343000,2782000,53751000,- -
98,Cash at the End of Period,3577000,3234000,6016000,59767000,- -
99,Cash at the Beginning of Period,8741000,3577000,3234000,6016000,- -
100,Free Cash Flow,-4263000,-3047000,2005000,10462000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,false,,,,,
