,https://roic.ai/company/ACMC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,5590000,8550000,89000,79000,41000,11878937,11932496,10277849,9996923,8379708,9079442,8808603,10513428,111000,14232165,15392217,16058347,18100711,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,26010000,31430000,38663753,45075810,46729000,33701063,30617504,29902151,28453077,27290292,25200558,25903387,24155772,34836760,21156095,19593433,- -,- -,- -
45,Total Non-Current Assets,31600000,39980000,39510000,46280000,46770000,45580000,42550000,40180000,38450000,35670000,34280000,34711990,34669200,34947760,35388260,34985650,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37942640,35135674,30503096
47,Total Assets,37140000,43060000,49700000,49980000,48280000,46960000,44360000,42610000,41000000,40030000,39210000,40708780,40646150,39566640,37845370,40023630,37942640,35574723,30697781
48,Accounts Payable,20000,20000,20000,30000,30000,20000,70000,60000,20000,20000,20000,22430,29420,36950,56850,604880,12311,14400,137
49,Short-Term Debt,- -,40000,1841998,1166000,3350000,8469000,5251000,2318000,1257000,1103000,1876000,2340000,3120000,2803000,- -,- -,1445000,2288000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-865533,- -,- -
52,Other Current Liabilities,1120000,1840000,2658002,3654000,2420000,481000,259000,192000,163000,217000,174000,167780,125830,100670,4233440,4247610,- -,-2288000,- -
53,Total Current Liabilities,1140000,1900000,4520000,4850000,5800000,8970000,5580000,2570000,1440000,1340000,2070000,2530210,3275250,2940620,4290290,4852490,591778,14400,137
54,Long-Term Debt,13570000,17860000,22790000,23470000,20630000,17670000,19030000,23490000,24340000,25120000,23820000,25406000,25126000,25121000,22367620,24394590,25984467,- -,300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,560000,580000,510000,610000,600000,- -,- -,- -,- -,10000,60000,61600,- -,- -,10,- -,- -,- -,21624284
58,Total Non-Current Liabilities,14130000,18440000,23300000,24080000,21230000,17670000,19030000,23490000,24340000,25130000,23880000,25467600,25126000,25121000,22367630,24394590,25984467,- -,21924284
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52987557,25474996,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,15270000,20340000,27820000,28930000,27030000,26640000,24610000,26060000,25780000,26470000,25950000,27997810,28401250,28061620,26657920,29247080,27594868,25489396,21924421
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,30000,30000,30000,30000,30000,30000,20000,20000,20000,20000,20000,16780,16780,16780,16780,16780,16778,- -,- -
64,Retained Earnings,-630000,-730000,-1570000,-1900000,-1700000,-2520000,-3090000,-3650000,-4320000,-5570000,-5870000,-6419270,-6885340,-7625220,-7942780,-8353690,-8782464,- -,-10354466
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,22470000,23420000,23415473,22924962,22923580,22813684,22818461,20178277,19515132,19114816,19110612,19113461,19113458,19113459,19113457,19113458,- -,10085327,19127826
67,Total Stockholders Equity,21870000,22720000,21875473,21054962,21253580,20323684,19748461,16548277,15215132,13564816,13260612,12710971,12244898,11505019,11187457,10776548,10347772,10085327,8773360
68,Total Liabilities And Stockholders Equity,37140000,43060000,49695473,49984962,48283580,46963684,44358461,42608277,40995132,40034816,39210612,40708781,40646148,39566639,37845377,40023628,37942640,35574723,30697781
69,Minority Interest,- -,- -,4527,-4962,-3580,-3684,1539,1723,4868,-4816,-612,-1,2,1,-7,2,- -,- -,- -
70,Total Liabilities & Equity,37140000,43060000,49700000,49980000,48280000,46960000,44360000,42610000,41000000,40030000,39210000,40708780,40646150,39566640,37845370,40023630,37942640,35574723,30697781
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454309000013/0000934543-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454310000007/0000934543-10-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454312000003/0000934543-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454313000012/0000934543-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454314000005/0000934543-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454315000006/0000934543-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454316000035/0000934543-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454317000002/0000934543-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454318000009/0000934543-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454319000006/0000934543-19-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454321000009/0000934543-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454322000022/0000934543-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,1600000,740000,1150000,850000,50000,410000,300000,80000,-590000,370000,71140,-38230,-337210,152220,-50180,57786,- -,-1
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79818,0
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-60000,-3220000,4490000,-6820000,-3140000,-3300000,3820000,3630000,1250000,1910000,-160000,606580,-764880,-1023440,-3511440,2018670,-777268,1016427,-230101
78,Accounts Receivable,- -,- -,-80000,- -,30000,-20000,- -,-1180000,- -,- -,58115,47438,-55516,29743,41433,-9250,125675,64509,0
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-3938,6971,2630,-5624,44548,-30501,-16164,-51159,1524,874,43536,7534,19896,548029,-564864,2089,-0
81,Other Working Capital,4400000,1180000,5670000,-1150000,-4290000,-7590000,-3770000,-140000,1110000,3020000,2860000,3466580,2701700,1678260,-1833180,185490,-591778,424649,194548
82,Other Non-Cash Items,340000,3490000,-3560000,7300000,3770000,4270000,-3050000,-2860000,-650000,-760000,310000,-148860,1295550,1597040,3779320,-1135990,746966,-687241,230102
83,Cash Provided by Operating Activities,1580000,1870000,1670000,1630000,1480000,1020000,1180000,1070000,680000,560000,520000,528860,492440,236390,420100,832500,27484,409004,-0
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1934000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1067870,- -,- -
88,Other Investing Activites,-12400000,-7970000,-325626,-9403899,1271616,93006,1570863,1458888,1367951,460962,2646104,-1067840,218722,-376831,-2125617,-721434,530877,1833358,-4
89,Cash Used for Investing Activites,-12400000,-7970000,-325626,-9403899,1271616,93006,1570863,1458888,1367951,460962,2646104,-1067840,218722,-376831,-2125617,-721434,-335253,1833358,-4
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2536000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,2290000,950000,- -,-490000,- -,-110000,- -,-80000,-660000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1480000,-1630000,-1690000,-1450000,-930000,-870000,-870000,-900000,-790000,-590000,-720000,-620790,-469780,-427840,-453010,-335560,-503340,-243245,-0
94,Other Financing Activites,6530000,4590000,5523223,2582963,-1767071,-142752,-2085448,-1261429,-339943,539336,-483143,1783500,368631,-425835,-721979,1905446,1355655,-2103402,-4
95,Cash Used/Provided by Financing Activities,7340000,3910000,3833223,642963,-2697071,-1122752,-2955448,-2241429,-1789943,-450664,-1203143,1162710,-101149,-853675,-1174989,1569886,-1683685,-2346647,-4
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3480000,-2190000,5180000,-7130000,50000,-10000,-200000,280000,260000,570000,1960000,623730,610010,-994120,-2880500,1680950,-1991454,-104285,-87702
98,Cash at the End of Period,-3480000,2180000,7360000,230000,280000,280000,70000,350000,610000,1180000,3140000,3763730,4377110,3382990,502490,2183440,191987,87702,0
99,Cash at the Beginning of Period,- -,4370000,2180000,7360000,230000,290000,270000,70000,350000,610000,1180000,3140000,3767100,4377110,3382990,502490,2183441,191987,87702
100,Free Cash Flow,1580000,1870000,1670000,1630000,1480000,1020000,1180000,1070000,680000,560000,520000,528860,492440,236390,420100,832500,27484,409004,-0
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454309000013/0000934543-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454310000007/0000934543-10-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454312000003/0000934543-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454313000012/0000934543-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454314000005/0000934543-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454315000006/0000934543-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454316000035/0000934543-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454317000002/0000934543-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454318000009/0000934543-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454319000006/0000934543-19-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454321000009/0000934543-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454322000022/0000934543-22-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,
