,https://roic.ai/company/SNWV,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417663/000143774912002307/0001437749-12-002307-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000143774913003482/0001437749-13-003482-index.html,- -,https://www.sec.gov/Archives/edgar/data/1417663/000143774915003987/0001437749-15-003987-index.htm,https://www.sec.gov/Archives/edgar/data/1417663/000143774916028700/0001437749-16-028700-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000143774917005765/0001437749-17-005765-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495418003375/0001654954-18-003375-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495419003872/0001654954-19-003872-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495420003538/0001654954-20-003538-index.htm,https://www.sec.gov/Archives/edgar/data/1417663/000114036121035116/0001140361-21-035116-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,21987,-35692,-26550,-6153040,-14922441,-10238797,-6401494,-11299721,-5974080,-4810285,-6439040,-5537936,-11631394,-10429839,-30937033
74,Depreciation and Amortization,- -,- -,- -,671864,1136333,325790,327132,326331,321042,310369,326614,24069,22332,61977,1011762
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1078128,3037634,1118813,1391316,792160,135015,504534,547842,768105,2480970,333422,21900
77,Change in Working Capital,-26059,- -,-72971,-114488,-6842176,9286605,-4670506,713418,-483741,1332054,-6150519,-2952789,-5448496,5492615,-18334929
78,Accounts Receivable,- -,- -,- -,48176,-63724,-23965,24467,-51068,81596,18005,-412578,250678,-22502,-8600,-2582046
79,Inventory,- -,- -,- -,92161,128946,67359,103619,46659,-25865,-13037,-29249,-7079,-123118,-185135,-553424
80,Accounts Payable,-27899,13960,-14008,93612,760392,-1073158,-200759,379130,-703188,277426,203698,783559,276120,-138730,3014972
81,Other Working Capital,- -,- -,-72971,-187459,-7029635,2256970,-2413536,-1700118,-2183859,-851805,-7002324,-9955113,-15403609,-9910994,-28245923
82,Other Non-Cash Items,- -,13620,57598,-1754396,11723374,-9324110,5063431,5543608,-676605,-810128,8515650,6169580,10955416,-1868933,35520008
83,Cash Provided by Operating Activities,-4072,-22072,-41923,-6271932,-5867276,-8831699,-4290121,-3924204,-6678369,-3473456,-3199453,-1528971,-3621172,-6410758,-12718292
84,CAPEX,- -,- -,- -,-10363,- -,-42302,-2011,- -,-8859,- -,-10364,- -,-42888,-53939,-52870
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,3611599,7000,- -,- -,7500,- -,100000,1594,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,3601236,7000,-42302,-2011,7500,-8859,100000,-8770,- -,-42888,-53939,-20052870
90,Debt Repayment,- -,-3000,- -,- -,- -,-1092,-4576,-329933,-543951,- -,-365750,-40000,-241208,-58687,-5600361
91,Common Stock Issued,32000,- -,- -,1819844,2052326,8467121,25000,2218638,9462500,- -,- -,- -,- -,2800100,21456468
92,Common Stock Repurchased,- -,- -,- -,-180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,40000,2055085,2450000,3900334,430000,2146417,1152600,- -,3573521,2157298,3558718,5118556,17591632
95,Cash Used/Provided by Financing Activities,32000,-3000,40000,3694929,4502326,12366363,450424,4035122,10071149,- -,3207771,2117298,3317510,7859969,33447739
96,Effect of Forex Changes on Cash,- -,- -,- -,218510,-10962,-436,2650,-6428,-19165,-20685,-18907,8286,-19085,634,-48
97,Net Change In Cash,27928,-25072,-1923,1242743,-1368912,3491926,-3839058,111990,3364756,-3394141,-19359,596613,-365635,1395906,676529
98,Cash at the End of Period,30221,5149,3226,1786369,417457,3909383,70325,182315,3547071,152930,133571,730184,364549,1760455,2436984
99,Cash at the Beginning of Period,2293,30221,5149,543626,1786369,417457,3909383,70325,182315,3547071,152930,133571,730184,364549,1760455
100,Free Cash Flow,-4072,-22072,-41923,-6282295,-5867276,-8874001,-4292132,-3924204,-6687228,-3473456,-3209817,-1528971,-3664060,-6464697,-12771162
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417663/000143774912002307/0001437749-12-002307-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000143774913003482/0001437749-13-003482-index.html,- -,https://www.sec.gov/Archives/edgar/data/1417663/000143774915003987/0001437749-15-003987-index.htm,https://www.sec.gov/Archives/edgar/data/1417663/000143774916028700/0001437749-16-028700-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000143774917005765/0001437749-17-005765-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495418003375/0001654954-18-003375-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495419003872/0001654954-19-003872-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495420003538/0001654954-20-003538-index.htm,https://www.sec.gov/Archives/edgar/data/1417663/000114036121035116/0001140361-21-035116-index.htm
102,false,,,,,,,,,,,,,,,
