,https://roic.ai/company/KDOZF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,-Infinity,-3.2286,-1.0039,-0.9397,0.1178,0.1905,0.0337,-0.2626,-0.7038,-0.2016,-0.2261,-0.6565,-0.4769,-0.0557,-0.4069,-80.8928,-26.4209,-9.4054,-19.6745,-25.4858,-0.3667,0.0021,0.0029
19,Total Other Income Expenses (Gains),- -,50000,326023,-133212,-293406,-344810,-290940,53371,357093,238022,-20881,148394,364746,-12748,48640,-599,-44111,-32672,-531658,66458,44116,-13848073,- -,- -
20,Income Before Tax,- -,-2350000,-3290000,-1880000,-970000,-240000,-70000,120000,-310000,-1430000,-1160000,-1170000,-830000,-690000,-50000,-790000,-2670700,-2981510,-3155010,-1772710,-2682350,-15504510,14869,35743
21,Income Before Tax Ratio,- -,-Infinity,-2.9375,-1.0805,-1.3472,-0.2697,-0.0603,0.0606,-0.1220,-0.6034,-0.2053,-0.2007,-0.4560,-0.4859,-0.0282,-0.4072,-82.2513,-26.7136,-11.3115,-18.9635,-25.0734,-3.4322,0.0021,0.0029
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,50000,- -,- -,- -,850,480,1290,-30760,-89520,-850280,- -,-6178
23,Net Income,- -,-2910000,-3340000,-1880000,-970000,-240000,-70000,120000,-310000,-1430000,-1160000,-1190000,-880000,-690000,-50000,-790000,5062230,-2965680,-3156300,-1741950,-2592830,-14654230,14869,41921
24,Net Income ratio,- -,-Infinity,-2.9821,-1.0805,-1.3472,-0.2697,-0.0603,0.0606,-0.1220,-0.6034,-0.2053,-0.2041,-0.4835,-0.4859,-0.0282,-0.4072,155.9048,-26.5718,-11.3161,-18.6345,-24.2366,-3.2440,0.0021,0.0034
25,EPS,- -,-0.31,-0.33,-0.18,-0.09,-0.02,-0.00,0.00,-0.01,-0.04,-0.03,-0.03,-0.02,-0.01,-0.00,-0.01,0.07,-0.05,-0.05,-0.03,-0.04,-0.12,0.00,0.00
26,EPS Diluted,- -,-0.31,-0.33,-0.18,-0.09,-0.02,-0.00,0.00,-0.01,-0.04,-0.03,-0.03,-0.02,-0.01,-0.00,-0.01,0.07,-0.05,-0.05,-0.03,-0.04,-0.12,0.00,0.00
27,Weighted Average Shares Outstanding,1000000,9677419,10065054,10447200,10953238,11104608,20183438,26066441,27275700,32784405,35092369,40494148,54716388,63877703,64156392,67165374,69564552,55812511,58227957,61730928,72111456,121208912,131124989,131124989
28,Weighted Average Shares Outstanding Diluted,1000000,9677419,10065054,10447200,10953238,11104608,20183438,29447967,27275700,32784405,35092369,40494148,54716388,63877703,64156392,67165374,69584417,55812511,58227957,61730928,72111456,121208912,131124989,131124989
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848208000001/0001318482-08-000001-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848214000002/0001318482-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848215000004/0001318482-15-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848217000001/0001318482-17-000001-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848219000002/0001318482-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848220000002/0001318482-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848221000005/0001318482-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000149315222008214/0001493152-22-008214-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,160000,3380000,170000,10000,20000,30000,70000,1070000,520000,750000,410000,560000,1400000,790000,880000,491200,2876390,570090,60000,478400,641540,967210,1226045,2078607
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,160000,3380000,170000,10000,20000,30000,70000,1070000,520000,750000,410000,560000,1400000,790000,880000,491200,2876390,570090,60000,478400,641540,967210,1226045,2078607
34,Net Receivables,- -,100000,300000,350000,20000,70000,60000,170000,220000,140000,40000,40000,60000,150000,360000,122060,122056,44950,20000,15020,12100,2392780,3933540,6627864
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,90000,60000,20000,20000,20000,20000,100000,170000,120000,130000,70000,400000,210000,510000,2399550,- -,17200,30000,54710,99740,109910,89970,105468
37,Total Current Assets,160000,3570000,530000,380000,60000,120000,150000,1340000,910000,1010000,580000,670000,1860000,1150000,1750000,3012810,- -,632240,110000,548130,753380,3469900,5249555,8811939
38,PP&E,- -,220000,510000,480000,130000,50000,120000,100000,150000,130000,200000,190000,30000,10000,10000,9270,- -,6310,10000,9720,16260,162100,- -,65464
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3301440,3301439,3301439
40,Intangible Assets,- -,1200000,1650000,1290000,1290000,1320000,1300000,1300000,1310000,1380000,1380000,1410000,1280000,1270000,1610000,- -,964030,482010,- -,- -,- -,2807060,2250989,1694917
41,Intangible Assets,- -,1200000,1650000,1290000,1290000,1320000,1300000,1300000,1310000,1380000,1380000,1410000,1280000,1270000,1610000,- -,964030,482010,- -,- -,- -,6108500,5552428,4996356
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,20000,-10000,-10000,-10000,- -,- -,-10000,- -,- -,- -,-10000,10000,-10000,974670,19906,8970,10000,- -,-10,46140,- -,51772
45,Total Non-Current Assets,- -,1420000,2180000,1760000,1410000,1360000,1420000,1400000,1450000,1510000,1580000,1600000,1300000,1290000,1610000,983940,983936,497290,20000,9720,16250,6316740,5552428,5113592
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,160000,4990000,2710000,2140000,1470000,1480000,1570000,2740000,2360000,2520000,2160000,2270000,3160000,2440000,3360000,3996750,- -,1129530,130000,557850,769630,9786640,10801983,13925531
48,Accounts Payable,- -,- -,450000,790000,600000,620000,470000,490000,360000,170000,120000,90000,10000,10000,20000,35010,- -,74200,- -,30110,15400,851870,1722066,3693944
49,Short-Term Debt,- -,50000,- -,50000,312670,190858,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25715,30083,32068
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,100486000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,160000,270000,500000,590000,447330,479142,310000,270000,70000,-100296000,330000,600000,130000,90000,90000,121570,- -,103590,100000,172840,75410,399815,425861,549076
53,Total Current Liabilities,160000,320000,950000,1430000,1360000,1290000,780000,760000,430000,360000,450000,690000,140000,100000,110000,156580,- -,177790,100000,202950,90810,1277400,2178010,4275088
54,Long-Term Debt,- -,10000,100000,30000,- -,190000,160000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000,502310,- -,101900000000,73835,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210499
57,Other Non-Current Liabilities,- -,- -,280000,630000,1020000,1140000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,-101899898100,- -,89247
58,Total Non-Current Liabilities,- -,10000,380000,660000,1020000,1330000,150000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340000,502310,- -,101900,73835,299746
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194759,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127615,103918,- -
61,Total Liabilities,160000,330000,1330000,2090000,2380000,2620000,930000,770000,430000,360000,450000,690000,140000,100000,110000,156580,- -,177790,440000,705260,90810,1379300,2298934,4574834
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,240000,10000,10000,10000,10000,20000,11280000,11580000,13240000,13940000,14800000,18230000,18240000,19200000,19257040,- -,19334290,21220000,23133400,26552470,48935210,49094096,49964919
64,Retained Earnings,-10000,-2920000,-6250000,-8210000,-9170000,-9410000,-9480000,-9360000,-9670000,-11110000,-12260000,-13450000,-15230000,-15920000,-15970000,-15441450,- -,-18407140,-21560000,-23305390,-25898220,-40552450,- -,-40638802
65,Other Comprehensive Income/Loss,- -,-60000,-270000,-490000,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580,24580
66,Other Total Stockholders Equity,- -,7440000,7894021,8271802,8228393,8232902,10074324,26297,-9569,-943,-1142,201553,902867,898096,1866,-471587,3943326,4,-167,1,-2,1,-40448481,- -
67,Total Stockholders Equity,- -,4700000,1384021,-418198,-907027,-1142518,638904,1970877,1925011,2153637,1703438,1576133,3927447,3242676,3256446,3368583,3840166,951734,-315587,-147409,678828,8407341,8670195,9350697
68,Total Liabilities And Stockholders Equity,160000,5030000,2714021,1671802,1472973,1477482,1568904,2740877,2355011,2513637,2153438,2266133,4067447,3342676,3366446,3525163,- -,1129524,124413,557851,769638,9786641,10969129,13925531
69,Minority Interest,- -,-40000,-4021,468198,-2973,2518,1096,-877,4989,6363,6562,3867,-907447,-902676,-6446,471587,- -,6,5587,-1,-8,-1,-167146,- -
70,Total Liabilities & Equity,160000,4990000,2710000,2140000,1470000,1480000,1570000,2740000,2360000,2520000,2160000,2270000,3160000,2440000,3360000,3996750,- -,1129530,130000,557850,769630,9786640,10801983,13925531
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848208000001/0001318482-08-000001-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848214000002/0001318482-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848215000004/0001318482-15-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848217000001/0001318482-17-000001-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848219000002/0001318482-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848220000002/0001318482-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848221000005/0001318482-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000149315222008214/0001493152-22-008214-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2910000,-3340000,-1880000,-970000,-240000,-70000,120000,-310000,-1430000,-1160000,-1190000,-880000,-690000,-50000,-790000,5062230,-2965680,-3156300,-1741950,-2592830,-14654230,14869,-190321
74,Depreciation and Amortization,- -,40000,536419,611147,287366,145525,286170,45942,62003,61892,58133,73122,35245,7774,4755,4687,3470,485479,485583,4068,5614,546270,618699,606391
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-752205,- -,210499
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86544,63677,68967,- -,60005,- -,- -,- -,257293,43212,595580,15890,158883,660266
77,Change in Working Capital,160000,3250000,-3670000,-630000,-250000,130000,540000,1210000,-100000,170000,-520000,-150000,1740000,-670000,590000,1216230,-2856230,454450,-444450,335180,317390,1529930,879045,1465306
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99947,-284,-75308,-90229,-216065,81609,159201,77108,27754,2172,2919,-963129,-1540762,-2694324
79,Inventory,- -,- -,- -,- -,-2631,1968,-201,305,559,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,3250000,-420000,-1050000,-1300000,-1170000,-630000,580000,480000,650000,130000,-20000,1720000,1050000,1640000,2856230,- -,454450,10000,345180,662570,2192500,3071545,4536851
82,Other Non-Cash Items,- -,-2880000,3818531,1252136,849382,23224,-565286,-1427664,-414036,-199331,658151,365336,-2617007,748373,-1080167,-655109,-3111967,-357287,381167,-279347,-434551,12103988,-1414518,-1900608
83,Cash Provided by Operating Activities,160000,-2500000,-2655050,-646717,-83252,58749,190884,-51722,-762033,-1397439,-877172,-837865,-1652795,-603853,-475407,-224192,-902497,-2383038,-2476707,-1638837,-2108797,-1210357,256978,851533
84,CAPEX,- -,-300000,-119629,-23088,-84263,-7138,-90146,-14976,-115859,-25405,-127147,-65550,-5068,-5007,-336113,-1060609,-56670,-512,-7404,-3640,-12149,-6514,-28684,- -
85,Acquisitions Net,- -,- -,- -,-188348,-61440,- -,-49436,- -,- -,- -,63000,62500,241044,- -,- -,- -,- -,- -,- -,- -,- -,183264,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-200000,-187859,-361869,-137769,- -,- -,210,188507,120112,- -,414,5952,- -,-335905,-1058432,1883299,- -,- -,- -,- -,-46139,7147,-384
89,Cash Used for Investing Activites,- -,-500000,-307488,-573305,-283472,-7138,-139582,-14766,72648,94707,-64147,-2636,241928,-5007,-336113,-1060609,1878330,-512,-7404,-3640,-12149,130611,-21537,-384
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-357778,-23697,-29851
91,Common Stock Issued,- -,6300000,- -,- -,- -,- -,22500,1211183,147446,27582,600000,750000,2250000,- -,900000,900000,1400000,- -,1562479,1846055,2551500,1763200,- -,- -
92,Common Stock Repurchased,- -,- -,-8778,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-235212,1067065,373091,-32247,-33816,-147639,-7946,1498543,8725,235750,- -,- -,- -,- -,9350,77250,411736,214629,-267415,- -,47089,31264
95,Cash Used/Provided by Financing Activities,- -,6300000,-243990,1067065,373091,-32247,-11316,1063544,139500,1526125,608725,985750,2250000,- -,900000,900000,1409350,77250,1974215,2060684,2284085,1405422,23392,1413
96,Effect of Forex Changes on Cash,- -,- -,-1538,-7478,-5713,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,160000,6300000,-3208066,-160435,654,19364,39986,997056,-549885,223393,-332594,145249,839133,-608860,88480,-384801,2385183,-2306300,-509896,418207,163139,325676,258833,852562
98,Cash at the End of Period,160000,3400000,174463,14028,14682,34046,74032,1071088,521203,744596,412002,557251,1396384,787524,876004,491203,2876386,570086,60190,478397,641536,967212,1226045,2078607
99,Cash at the Beginning of Period,- -,- -,3382529,174463,14028,14682,34046,74032,1071088,521203,744596,412002,557251,1396384,787524,876004,491203,2876386,570086,60190,478397,641536,967212,1226045
100,Free Cash Flow,160000,-2800000,-2774679,-669805,-167515,51611,100738,-66698,-877892,-1422844,-1004319,-903415,-1657863,-608860,-811520,-1284801,-959167,-2383550,-2484111,-1642477,-2120946,-1216871,228294,851533
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848208000001/0001318482-08-000001-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848214000002/0001318482-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848215000004/0001318482-15-000004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848217000001/0001318482-17-000001-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318482/000131848219000002/0001318482-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848220000002/0001318482-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000131848221000005/0001318482-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1318482/000149315222008214/0001493152-22-008214-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
