,https://roic.ai/company/LGIH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,2150345,4850989,19085286,21819000,34686000,28002000,74874000,51252000,375353000,377329000,81863000
54,Long-Term Debt,6414516,14968762,35535260,216099000,308192000,400483000,475195000,653734000,394531000,247004000,810569000
55,Deferred Revenue,37747,75423,330030,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,2685000,2726000,164000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,275000,450000,1685057,15025000,29340000,30664000,39977000,34544000,51038000,62749000,63585000
58,Total Non-Current Liabilities,6727263,15494185,37550347,233809000,340258000,431311000,515172000,688278000,445569000,309753000,874154000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,5645000,5287000,5333000
61,Total Liabilities,8877608,20345174,56635633,255628000,374944000,459313000,590046000,739530000,820922000,687082000,956017000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,207634,208000,213000,223000,228000,237000,264000,267000,269000
64,Retained Earnings,- -,- -,7110126,35321000,88151000,163182000,276488000,431774000,610382000,934277000,1363922000
65,Other Comprehensive Income/Loss,-451329,-636566,-676732,-967000,-1554000,-2421000,-3148000,-3462000,-4092000,- -,- -
66,Other Total Stockholders Equity,15086354,25847543,157732923,147937000,160579000,194217000,216278000,227394000,238639000,204461000,- -
67,Total Stockholders Equity,12990732,25210977,164373951,182499000,247389000,355201000,489846000,655943000,845193000,1139005000,1395848000
68,Total Liabilities And Stockholders Equity,21868340,45556151,221009584,438127000,622333000,814514000,1079892000,1395473000,1666115000,1826087000,2351865000
69,Minority Interest,1644293,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23512633,45556151,221009584,438127000,622333000,814514000,1079892000,1395473000,1666115000,1826087000,2351865000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580670/000144530514001234/lgih12311310k.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067015000023/lgih12311410k.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067016000172/0001580670-16-000172-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067017000017/0001580670-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067018000011/0001580670-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067019000022/0001580670-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067020000017/0001580670-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067021000020/0001580670-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067022000023/0001580670-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,3350419,9705129,22327073,28211000,52830000,75031000,113306000,155286000,178608000,323895000,429645000
74,Depreciation and Amortization,79747,185120,291611,825000,883000,1089000,791000,711000,643000,710000,1154000
75,Deferred Income Tax,- -,- -,-287781,1000,42000,-2562000,-2092000,-724000,-1831000,-2365000,788000
76,Stock Based Compensation,- -,- -,42814,862000,2279000,3396000,4188000,5937000,7539000,13517000,13595000
77,Change in Working Capital,5069882,16164127,149738783,202427722,166611000,204817000,200084000,310128000,-47458000,125035000,-436741000
78,Accounts Receivable,-429827,-204905,-3870924,-1963000,-9960000,270000,-27651000,1870000,-13554000,-59549000,58030000
79,Inventory,7751795,-15963517,-74595550,-198357000,-151707000,-183884000,-200609000,-234664000,-266651000,-70228000,-463643000
80,Accounts Payable,-6403,1669644,5827258,1480000,9630000,-11747000,-257000,-2779000,3254000,1181000,-760000
81,Other Working Capital,16493368,32657495,182396278,384824000,551435000,756252000,956336000,1266464000,1219006000,1344041000,- -
82,Other Non-Cash Items,1054728,-30707745,-226600980,-405540722,-311801000,-389954000,-384744000,-588061000,-179435000,-258634000,13259000
83,Cash Provided by Operating Activities,9554776,-4653369,-54488480,-173214000,-89156000,-108183000,-68467000,-116723000,-41934000,202158000,21700000
84,CAPEX,-451214,-434886,-684448,-1195000,-1117000,-722000,-518000,-475000,-734000,-2692000,-1729000
85,Acquisitions Net,-1299189,-2244047,-31067000,-15169000,- -,- -,- -,-74463000,-1059000,-2956000,-68662000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,14713,33490,492554,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1735690,-2645443,-31258894,-16364000,-1117000,-722000,-518000,-74938000,-1793000,-5648000,-70391000
90,Debt Repayment,-32483236,-37810361,-52041782,-43531000,-154786000,-45000000,-25000000,-436238000,-273762000,-530000000,-969000000
91,Common Stock Issued,- -,- -,102635396,- -,9593000,29448000,17130000,2690000,2886000,4259000,7114000
92,Common Stock Repurchased,- -,- -,- -,-16550000,- -,- -,- -,-1506000,- -,-48081000,-193783000
93,Dividends Paid,-5770000,-4134884,-9111206,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,30283054,51207345,91264228,226960000,241664000,136407000,94908000,605768000,306324000,374909000,1218932000
95,Cash Used/Provided by Financing Activities,-7970182,9262100,132746636,166879000,96471000,120855000,87038000,170714000,35448000,-198913000,63263000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-151096,1963288,46999262,-22699000,6198000,11950000,18053000,-20947000,-8279000,-2403000,14572000
98,Cash at the End of Period,5106183,7069471,54068733,31370000,37568000,49518000,67571000,46624000,38345000,35942000,50514000
99,Cash at the Beginning of Period,5257279,5106183,7069471,54069000,31370000,37568000,49518000,67571000,46624000,38345000,35942000
100,Free Cash Flow,9103562,-5088255,-55172928,-174409000,-90273000,-108905000,-68985000,-117198000,-42668000,199466000,19971000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580670/000144530514001234/lgih12311310k.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067015000023/lgih12311410k.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067016000172/0001580670-16-000172-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067017000017/0001580670-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067018000011/0001580670-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067019000022/0001580670-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067020000017/0001580670-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067021000020/0001580670-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067022000023/0001580670-22-000023-index.htm
102,false,,,,,,,,,,,
