,https://roic.ai/company/USAQ,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,10000,10000,20000,40000,70000,70000,70000,70000,90000,100000,130000,196330,217375,221430,220000,220000,220000,248749,854831,929541,1088322,1088749,1088740,1088740,1088740,1088740,1088740,3142713,4188740,3588740,3590135,5410583,6200303,6200303
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/856984/000085698406000022/0000856984-06-000022-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/856984/000129534508000101/0001295345-08-000101-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000085698409000003/0000856984-09-000003-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/856984/000129534512000036/0001295345-12-000036-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000129534514000032/0001295345-14-000032-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000129534514000118/0001295345-14-000118-index.htm,- -,https://www.sec.gov/Archives/edgar/data/856984/000129534516000517/0001295345-16-000517-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315218011033/0001493152-18-011033-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315218012599/0001493152-18-012599-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315219004064/0001493152-19-004064-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315220002791/0001493152-20-002791-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315221005816/0001493152-21-005816-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315222008634/0001493152-22-008634-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2950000,9250000,15630000,4170000,2030000,5440000,10760000,7120000,3050000,90000,1190000,670000,- -,- -,- -,- -,- -,23,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23590,94342,286855
32,Short-Term Investments,- -,- -,- -,- -,4890000,10940000,5230000,4400000,3020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,2950000,9250000,20520000,15110000,7260000,9840000,13780000,7120000,3050000,90000,1190000,670000,- -,- -,- -,- -,- -,23,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23590,94342,286855
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,210000,150000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60522,70474
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,550000,510000,530000,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99701,65740
36,Other Current Assets,- -,- -,20000,110000,200000,230000,200000,160000,530000,40000,30000,80000,80000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2750,11598,22713
37,Total Current Assets,- -,- -,2970000,9360000,20720000,15340000,7460000,10000000,14310000,7460000,3810000,890000,1950000,1040000,- -,- -,- -,- -,- -,23,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26340,266163,445782
38,PP&E,- -,60000,90000,90000,220000,880000,930000,710000,590000,510000,630000,480000,480000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,290000,230000,310000,290000,400000,550000,770000,980000,1340000,2050000,2550000,2570000,1980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31700,1576444
41,Intangible Assets,- -,290000,230000,310000,290000,400000,550000,770000,980000,1340000,2050000,2550000,2570000,1980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31700,1576444
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,70000,- -,- -,- -,20000,20000,1040000,590000,80000,20000,20000,90000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186271
45,Total Non-Current Assets,- -,420000,320000,400000,510000,1300000,1500000,2520000,2160000,1930000,2700000,3050000,3140000,2150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31700,1762715
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,420000,3290000,9760000,21230000,16640000,8960000,12520000,16470000,9390000,6510000,3940000,5090000,3190000,- -,- -,- -,- -,- -,23,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26340,297863,2208497
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,- -,- -,- -,- -,10000,10000,- -,- -,- -,10000,10000,- -,20940,159620,20370
49,Short-Term Debt,- -,- -,1300000,- -,- -,- -,- -,- -,- -,- -,- -,746000,200000,16000,- -,- -,- -,82,82,- -,- -,- -,- -,- -,76000,331681,331681,329181,- -,- -,- -,- -,55000,542104
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1060000,190000,330000,480000,850000,410000,510000,610000,500000,860000,1584000,370000,644000,- -,- -,- -,-82,-82,10000,50000,20000,80000,150000,214000,38319,- -,- -,140000,160000,210000,- -,- -,312480
53,Total Current Liabilities,- -,1060000,1490000,330000,480000,850000,410000,510000,610000,500000,860000,2330000,570000,660000,- -,- -,- -,10000,10000,10000,50000,20000,80000,160000,300000,370000,331681,329181,150000,170000,210000,20940,214620,874954
54,Long-Term Debt,- -,2650000,- -,- -,- -,- -,- -,7870000,10320000,2210000,60000,30000,80000,60000,- -,- -,- -,- -,- -,- -,- -,80000,80000,80000,- -,- -,- -,- -,330000,330000,330000,341690,576003,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,-10000,- -,-10000,- -,- -,- -,- -,- -,-10000,- -,93500,115566,509477
58,Total Non-Current Liabilities,- -,2650000,- -,- -,- -,- -,- -,7870000,10320000,2210000,60000,30000,80000,50000,- -,- -,- -,- -,- -,- -,- -,70000,80000,70000,- -,- -,- -,- -,330000,320000,330000,435190,691569,509477
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,3710000,1490000,330000,480000,850000,410000,8380000,10930000,2710000,920000,2360000,650000,710000,- -,- -,- -,10000,10000,10000,50000,90000,160000,230000,300000,370000,- -,- -,480000,490000,540000,456130,906189,509477
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108,108,- -
63,Common Stock,- -,- -,10000,10000,10000,10000,10000,10000,20000,20000,40000,40000,40000,40000,50000,50000,50000,10000,20000,20000,20000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,580,656,876
64,Retained Earnings,- -,-4290000,-6390000,-10990000,-15010000,-21530000,-28960000,-34570000,-42270000,-49420000,-56960000,-62310000,-68540000,-73720000,- -,- -,- -,-10000,-20000,-60000,-100000,-140000,-200000,-280000,-350000,-420000,- -,- -,-1200000,-1220000,-1250000,-1421330,-1748719,-2518895
65,Other Comprehensive Income/Loss,- -,- -,-200000,-240000,-280000,-420000,-650000,-900000,-1180000,-1480000,-1720000,-1840000,-1960000,-1950000,- -,- -,- -,-7350,-6050,-2270,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,1000000,8380000,20650000,36030000,37730000,38160000,39610000,48970000,57560000,64240000,65690000,74900000,78110000,- -,- -,- -,2533,-7117,29107,29544,26607,40000,50000,50000,50000,- -,- -,720000,730000,720000,990851,1139629,3342085
67,Total Stockholders Equity,- -,-3290000,1800000,9430000,20750000,15790000,8560000,4150000,5540000,6680000,5600000,1580000,4440000,2480000,- -,- -,- -,-4817,-13167,-13163,-50456,-93393,-156185,-233201,-302821,-372691,-413166,-460280,-483528,-494884,-533515,-429791,-608326,824066
68,Total Liabilities And Stockholders Equity,- -,420000,3290000,9760000,21230000,16640000,8970000,12530000,16470000,9390000,6520000,3940000,5090000,3190000,- -,- -,- -,5183,-3167,-3163,-456,-3393,3815,-3201,-2821,-2691,- -,- -,-3528,-4884,6485,26339,297863,1333543
69,Minority Interest,- -,- -,- -,- -,- -,- -,-10000,-10000,- -,- -,-10000,- -,- -,- -,- -,- -,- -,-5183,3167,3186,456,3393,-3815,3201,2821,2691,- -,- -,3528,4884,-6485,1,- -,874954
70,Total Liabilities & Equity,- -,420000,3290000,9760000,21230000,16640000,8960000,12520000,16470000,9390000,6510000,3940000,5090000,3190000,- -,- -,- -,- -,- -,23,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26340,297863,2208497
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/856984/000085698406000022/0000856984-06-000022-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/856984/000129534508000101/0001295345-08-000101-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000085698409000003/0000856984-09-000003-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/856984/000129534512000036/0001295345-12-000036-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000129534514000032/0001295345-14-000032-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000129534514000118/0001295345-14-000118-index.htm,- -,https://www.sec.gov/Archives/edgar/data/856984/000129534516000517/0001295345-16-000517-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315218011033/0001493152-18-011033-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315218012599/0001493152-18-012599-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315219004064/0001493152-19-004064-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315220002791/0001493152-20-002791-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315221005816/0001493152-21-005816-index.htm,https://www.sec.gov/Archives/edgar/data/856984/000149315222008634/0001493152-22-008634-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1030000,-1520000,-2100000,-4610000,-4020000,-6520000,-7430000,-5610000,-7700000,-7150000,-7550000,-5350000,-3780000,-4290000,-2570000,- -,- -,-10000,-10000,-40000,-40000,-40000,-60000,-80000,-70000,-70000,-40000,-722110,-23250,-11360,-38630,-166520,-327388,-770176
74,Depreciation and Amortization,40000,40000,40000,50000,70000,160000,270000,390000,1890000,1020000,820000,-318000,-328000,-310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36056
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7082,35683
77,Change in Working Capital,- -,-1060000,2540000,7550000,11210000,-5750000,-7440000,2440000,4210000,-6740000,-4010000,-4390000,2820000,-1000000,-380000,- -,- -,-10000,- -,23,-40023,30000,-60000,-80000,-140000,-70000,38319,2500,179181,-20000,-40000,215400,46143,-480715
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34000,65000,-112000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60522,-9952
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-250000,34000,-20000,-73000,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99701,33961
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000,-1064000,219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9319,11251,- -,20404,130726,-125052
81,Other Working Capital,- -,-1060000,1480000,9030000,20240000,14490000,7050000,9490000,13700000,6960000,2950000,-1440000,1380000,380000,- -,- -,- -,-10000,-10000,-9977,-50000,-20000,-80000,-160000,-300000,-370000,-331681,-329181,-150000,-170000,-210000,5400,51543,-429172
82,Other Non-Cash Items,- -,1710000,-3220000,-6470000,-11150000,5360000,7550000,-2180000,-4020000,7280000,5560000,6334000,-2865000,2286000,2230000,- -,- -,18072,3915,36201,79460,9354,120000,157000,207500,127932,-16694,681575,-169860,31255,39097,-183718,108599,824414
83,Cash Provided by Operating Activities,-990000,-830000,-2740000,-3480000,-3890000,-6750000,-7050000,-4960000,-5620000,-5590000,-5180000,-3724000,-4153000,-3314000,-720000,- -,- -,-1928,-6085,-3776,-563,-646,- -,-3000,-2500,-12068,-18375,-38035,-13929,-105,-39533,-134838,-165564,-354738
84,CAPEX,-20000,-10000,-60000,-30000,-170000,-800000,-280000,-40000,-160000,-220000,-40000,-552000,-32000,-7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31700,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-30000,-90000,-40000,-100000,-4890000,-5480000,5000000,590000,1100000,2590000,-350000,4000,-203000,935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31700,-154571
89,Cash Used for Investing Activites,-50000,-100000,-100000,-130000,-5060000,-6280000,4720000,550000,940000,2370000,-390000,-548000,-235000,928000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31700,-154571
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179178
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2250,5700,3780,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217,- -,1612500
92,Common Stock Repurchased,- -,- -,5700000,11210000,15330000,1570000,200000,20000,1440000,830000,3180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1050000,900000,80000,-1300000,- -,- -,- -,7790000,8560000,-1250000,-1680000,1318000,5489000,1864000,50000,- -,- -,82,- -,- -,40,646,- -,3000,2500,12068,18375,38035,13929,105,39533,158211,268016,-731500
95,Cash Used/Provided by Financing Activities,1050000,900000,5780000,9910000,15330000,1570000,200000,7810000,10000000,-420000,1500000,1318000,5489000,1864000,50000,- -,- -,2332,5700,3780,540,646,- -,3000,2500,12068,18375,38035,13929,105,39533,158428,268016,701822
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20000,-20000,2950000,6300000,6380000,-11460000,-2140000,3410000,5320000,-3640000,-4070000,-2954000,1101000,-522000,-670000,- -,- -,2332,-385,4,540,646,- -,3000,2500,12068,18375,38035,13929,105,39533,158428,70752,192513
98,Cash at the End of Period,20000,-20000,2950000,9250000,15630000,4170000,2030000,5440000,10760000,7120000,3050000,93000,1194000,672000,- -,- -,- -,404,19,23,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23590,94342,286855
99,Cash at the Beginning of Period,- -,- -,- -,2950000,9250000,15630000,4170000,2030000,5440000,10760000,7120000,3047000,93000,1194000,670000,- -,- -,- -,404,19,23,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23590,94342
100,Free Cash Flow,-1010000,-840000,-2800000,-3510000,-4060000,-7550000,-7330000,-5000000,-5780000,-5810000,-5220000,-4276000,-4185000,-3321000,-720000,- -,- -,-1928,-6085,-3776,-563,-646,- -,-3000,-2500,-12068,-18375,-38035,-13929,-105,-39533,-134838,-197264,-354738
