,https://roic.ai/company/VEEV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
66,Other Total Stockholders Equity,- -,8374000,9943000,231534000,317881000,361691000,440677000,515272000,617623000,745475000,965670000,1196547000
67,Total Stockholders Equity,- -,14103000,33966000,280096000,406833000,505249000,652978000,871527000,1237749000,1665594000,2266320000,2911637000
68,Total Liabilities And Stockholders Equity,- -,41414000,89820000,370308000,544890000,705799000,917700000,1197008000,1653766000,2271777000,3046067000,3816465000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,41414000,89820000,370308000,544890000,705799000,917700000,1197008000,1653766000,2271777000,3046067000,3816465000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1393052/000119312514103258/0001193125-14-103258-index.htm,https://www.sec.gov/Archives/edgar/data/1393052/000156459015002300/0001564590-15-002300-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459016015753/0001564590-16-015753-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459017005637/0001564590-17-005637-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459018007164/0001564590-18-007164-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459019009853/0001564590-19-009853-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000162828020004385/0001628280-20-004385-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000139305221000015/0001393052-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1393052/000139305222000017/0001393052-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,3909000,4230000,18783000,23615000,40383000,54460000,68804000,141966000,229832000,301118000,379998000,427390000
74,Depreciation and Amortization,219000,407000,789000,2410000,3929000,8464000,13825000,14277000,14071000,19859000,29455000,27448000
75,Deferred Income Tax,-619000,530000,-639000,-1781000,-4268000,-6264000,-5073000,3282000,-8091000,-6663000,-1048000,11079000
76,Stock Based Compensation,169000,434000,715000,6950000,14325000,24258000,40798000,54049000,76425000,115906000,185001000,234636000
77,Change in Working Capital,1225000,8053000,19145000,234514000,99199000,-51629000,150396000,228379000,338932000,-52440000,614922000,671530000
78,Accounts Receivable,-5468000,-12838000,-17067000,-19738000,-34455000,-46653000,-38148000,-50673000,-78995000,-55531000,-174067000,-67020000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,430000,416000,1747000,-1303000,1290000,-494000,1113000,1396000,1822000,2813000,754000,-2997000
81,Other Working Capital,5403000,13456000,32601000,267115000,366314000,314685000,465081000,693460000,1032392000,979952000,1594874000,2266404000
82,Other Non-Cash Items,- -,-8918000,-7994000,-223955000,-85994000,50865000,-124739000,-208516000,-340342000,59595000,-657082000,-607620000
83,Cash Provided by Operating Activities,4903000,4736000,30799000,41753000,67574000,80154000,144011000,233437000,310827000,437375000,551246000,764463000
84,CAPEX,-582000,-1193000,-1554000,-2977000,-26944000,-22152000,-7507000,-11367000,-9819000,-4321000,- -,-2489000
85,Acquisitions Net,- -,- -,- -,-12149000,- -,-126183000,- -,- -,- -,-448162000,- -,-7780000
86,Purchases of Investments,- -,- -,-14372000,-21403000,-401955000,-313357000,-314847000,-437858000,-726379000,-752518000,-979292000,-1117076000
87,Sales/Maturities of Investments,- -,- -,- -,9700000,156860000,364968000,225600000,294705000,632329000,688091000,654341000,792918000
88,Other Investing Activites,-231000,-1033000,-1028000,-864000,-392000,-958000,-482000,-1936000,-1379000,-1208000,-8683000,-11725000
89,Cash Used for Investing Activites,-657000,-1683000,-16364000,-26576000,-272018000,-96683000,-96652000,-154722000,-103869000,-516910000,-333634000,-346152000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-984000,-1039000,-384000
91,Common Stock Issued,- -,- -,- -,214523000,34172000,- -,- -,- -,- -,- -,- -,51538000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,887000,49000,575000,917000,37090000,19406000,37976000,20773000,25910000,10994000,34857000,-55294000
95,Cash Used/Provided by Financing Activities,887000,49000,575000,215440000,71262000,19406000,37976000,20773000,25910000,10010000,33818000,-4140000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-72000,49000,92000,3089000,-2077000,-2856000,484000,-4657000
97,Net Change In Cash,5133000,3102000,15010000,230617000,-133254000,2926000,85427000,102577000,230791000,-72381000,251914000,409514000
98,Cash at the End of Period,13778000,16880000,31890000,262507000,129253000,132179000,217606000,320183000,552178000,479797000,731711000,1141225000
99,Cash at the Beginning of Period,8645000,13778000,16880000,31890000,262507000,129253000,132179000,217606000,321387000,552178000,479797000,731711000
100,Free Cash Flow,4321000,3543000,29245000,38776000,40630000,58002000,136504000,222070000,301008000,433054000,551246000,764463000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393052/000119312514103258/0001193125-14-103258-index.htm,https://www.sec.gov/Archives/edgar/data/1393052/000156459015002300/0001564590-15-002300-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459016015753/0001564590-16-015753-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459017005637/0001564590-17-005637-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459018007164/0001564590-18-007164-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459019009853/0001564590-19-009853-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000162828020004385/0001628280-20-004385-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000139305221000015/0001393052-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1393052/000139305222000017/0001393052-22-000017-index.htm
102,false,,,,,,,,,,,,
