,https://roic.ai/company/SNYR,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,EPS Diluted,- -,-0.00,-0.00,-0.01,-0.11,-0.01,0.01,-0.07,-0.10
27,Weighted Average Shares Outstanding,- -,150000000,152896230,97165479,68852305,81650381,89241212,89862683,89883194
28,Weighted Average Shares Outstanding Diluted,- -,150000000,152896230,97165479,68852305,81650381,89241212,89862683,89883194
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1562733/000149315216008381/0001493152-16-008381-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315217002824/0001493152-17-002824-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315218004347/0001493152-18-004347-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315219004286/0001493152-19-004286-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315220008382/0001493152-20-008382-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,4000,33908,338,3640893,2517642,1955614,459736,1224514
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4000,33908,338,3640893,2517642,1955614,459736,1224514
34,Net Receivables,- -,- -,- -,18975,3979857,2195391,4333608,4844911,1675400
35,Inventory,- -,- -,- -,26064,686654,1102777,2842376,2670305,1861038
36,Other Current Assets,- -,- -,- -,9999,1029519,1448602,1282322,965027,286143
37,Total Current Assets,- -,4000,33908,55376,9336923,7264412,10413920,8939979,5047095
38,PP&E,- -,- -,- -,- -,12017,257386,293205,269771,135898
39,Goodwill,- -,- -,- -,- -,11496402,7793240,7793240,7793240,- -
40,Intangible Assets,- -,- -,- -,- -,5915262,5145434,5532210,3007521,7636
41,Intangible Assets,- -,- -,- -,- -,17411664,12938674,13325450,10800761,7636
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,378852,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,17802533,13196060,13618655,11070532,143534
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4000,33908,55376,27139456,20460472,24032575,20010511,5190629
48,Accounts Payable,- -,3000,3000,- -,4793111,401594,106395,76617,26206
49,Short-Term Debt,- -,- -,- -,106400,3912060,6640903,2487233,2142712,5466248
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,36000,3058,49709,7887
52,Other Current Liabilities,- -,15000,20691,74642,6797564,5130502,4538331,8141778,4646723
53,Total Current Liabilities,- -,18000,23691,181042,15502735,12208999,7135017,10410816,10147064
54,Long-Term Debt,- -,- -,- -,- -,5958111,830245,7464279,5629002,246916
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,258897,313752,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,6217008,1143997,7464279,5629002,246916
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,18000,23691,181042,21719743,13352996,14599296,16039818,10393980
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,50,60,621,817,888,899,899,899
64,Retained Earnings,- -,-25047,-48248,-1033291,-8569841,-9366000,-8866432,-15027122,-24234569
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-6170,-50698,-144153,-296674,-430547
66,Other Total Stockholders Equity,- -,10997,- -,- -,13994907,16523286,18442965,19293590,19460866
67,Total Stockholders Equity,- -,-14000,10217,-125666,5419713,7107476,9433279,3970693,-5203351
68,Total Liabilities And Stockholders Equity,- -,4000,33908,55376,27139456,20460472,24032575,20010511,5190629
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4000,33908,55376,27139456,20460472,24032575,20010511,5190629
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1562733/000149315216008381/0001493152-16-008381-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315217002824/0001493152-17-002824-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315218004347/0001493152-18-004347-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315219004286/0001493152-19-004286-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315220008382/0001493152-20-008382-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-16200,-23201,-960092,-7536548,-796161,499568,-6160690,-9207447
74,Depreciation and Amortization,- -,- -,- -,- -,608002,1170778,1493285,1822064,1211860
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,322247,551714,2200160,1458850,440999,201155
77,Change in Working Capital,- -,3000,- -,39629,-1047430,-266527,-4652328,2566453,308451
78,Accounts Receivable,- -,- -,- -,-2898,-1317050,1734466,-2085778,-193687,2750468
79,Inventory,- -,- -,- -,-26064,-19632,-547295,-1449425,-884141,552158
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-3730128
81,Other Working Capital,- -,- -,- -,- -,- -,36000,-32942,46652,-41823
82,Other Non-Cash Items,- -,13200,7418,109041,6779946,3730370,369555,2635806,10432331
83,Cash Provided by Operating Activities,- -,- -,-15783,-489175,-644316,6038620,-831070,1304632,2946350
84,CAPEX,- -,- -,- -,- -,-7833,-302227,-1914956,-198007,- -
85,Acquisitions Net,- -,- -,- -,- -,-3784939,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-607084,-2044416,-1794807,-68920,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4399856,-2346643,-1947828,-198007,- -
90,Debt Repayment,- -,- -,- -,-97640,-1150000,-4831250,-7456250,-2862500,-2050000
91,Common Stock Issued,- -,- -,- -,- -,26000,- -,220000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1173975,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,45691,583923,10982702,- -,9547131,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,45691,486283,8684727,-4831250,2310881,-2862500,-2050000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,16022,-94011,257106,-167752
97,Net Change In Cash,- -,- -,29908,-2892,3640555,-1123251,-562028,-1498769,728598
98,Cash at the End of Period,- -,4000,33908,338,3640893,2517642,1955614,595916,1324514
99,Cash at the Beginning of Period,- -,4000,4000,3230,338,3640893,2517642,2094685,595916
100,Free Cash Flow,- -,- -,-15783,-489175,-652149,5736393,-2746026,1106625,2946350
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1562733/000149315216008381/0001493152-16-008381-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315217002824/0001493152-17-002824-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315218004347/0001493152-18-004347-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315219004286/0001493152-19-004286-index.html,https://www.sec.gov/Archives/edgar/data/1562733/000149315220008382/0001493152-20-008382-index.htm
102,false,,,,,,,,,
