,https://roic.ai/company/PAYD,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,3187584,1812687,861578,289534,203286,85166,40855,49465,79774,1566100,1246196,48798,46118,285711,16039008,16289928,4381616,4259719,3693268,3276731
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,4308068,2702386,1764866,4229573,1680555,1770581,1613539,2983105,3255788,4934300,4231547,1850911,1036125,498714,16645375,17110993,5211693,4991418,5509263,6496350
48,Accounts Payable,- -,- -,- -,- -,- -,- -,260546,204698,164829,275336,396257,272476,399383,159716,292493,491400,728026,500320,215707,95441,563860,636997,758365,876260,1460484,2300509
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24202,17850,143209,14954,- -,2844,36123
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2305278,- -,109500,119700,190753,164627,303400,230481,13614,7102,6768,238040,279250,144221,5338,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,543005,808993,1281196,1207081,1013176,380276,495139,592350,476463,1346300,1539145,459723,689242,1004456,1155243,1075453,1277213,247992,318418,387541
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,803551,1013691,1446025,3787695,1409433,762252,1014222,942819,933583,2141100,2497652,973657,912051,1130867,1974993,2134909,2194753,1129590,1781746,2724173
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,3778377,3001573,2398021,1150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25187
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260369,1269660,1088306,1070189,- -,838312
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10307,21000,48624,19848,3095,- -,28933,22494,12116,96439,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,3778377,3001573,2398021,1150000,- -,- -,- -,- -,10307,21000,48624,19848,3095,- -,1289302,1292154,1100422,1166628,- -,863499
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1022741,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16817,34800,74927,40623,18318,3097,36588,30953,20696,136645,97756,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,4581928,4015264,3844046,4937695,1409433,762252,1014222,942819,943890,2162100,2546276,993505,915146,1130867,3264295,3427063,3295175,2296218,2804487,3587672
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3825,3725,3785,4439,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,128310,159100,173321,200406,218330,234637,251369,268175,286450,308800,328874,328874,339374,8932,1649,1649,1649,1649,6489,7807
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-15589228,-19304101,-23383835,-26484487,-28586105,-31310188,-36044556,-39528874,-42835679,-46809900,-50956058,-52083978,-53749748,-55059245,-55406826,-55845766,-67127122,-67008347,- -,-70322550
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1300772,-1820061,-2117184,-2267354,-1031495,-1159629,-386227,-403635,-429572,-469300,-545400,-415986,-441111,-450767,-453565,-489358,-495043,-519830,570761,590067
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,16487830,19652184,23248518,27843313,29670392,33243509,36778731,41704620,45290699,49742600,52857855,53028496,53972464,54868927,69235997,70013680,69533249,70217289,2405349,72633354
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-273860,-1312878,-2079180,-708122,271122,1008329,599317,2040286,2311898,2772200,1685271,857406,120979,-632153,13381080,13683930,1916518,2695200,2982599,2908678
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,4308068,2702386,1764866,4229573,1680555,1770581,1613539,2983105,3255788,4934300,4231547,1850911,1036125,498714,16645375,17110993,5211693,4991418,5787086,6496350
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-277823,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,4308068,2702386,1764866,4229573,1680555,1770581,1613539,2983105,3255788,4934300,4231547,1850911,1036125,498714,16645375,17110993,5211693,4991418,5509263,6496350
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017655/000114036110011587/0001140361-10-011587-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000114036111016136/0001140361-11-016136-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000101765512000025/0001017655-12-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420413021865/0001144204-13-021865-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420414019476/0001144204-14-019476-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420415019424/0001144204-15-019424-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000141588916005382/0001415889-16-005382-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495417002927/0001654954-17-002927-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495418003409/0001654954-18-003409-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495419003887/0001654954-19-003887-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495420003514/0001654954-20-003514-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495421003649/0001654954-21-003649-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000185173422000179/0001851734-22-000179-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,128504,-7185755,-987145,-2183040,-5493136,-4357556,-3531365,-3714873,-4079734,-3100652,-1704108,-2724083,-4734368,-3484318,-3306805,-3974200,-4146200,-1127920,-1665770,-1309497,-347581,-617020,-11531526,282011,-2232553,-696760
74,Depreciation and Amortization,392015,3712,- -,235271,881459,1826089,1661387,1428970,1087889,840752,148366,129074,71031,18348,26877,40600,77055,73907,26067,34520,102905,859210,836292,513100,488745,545145
75,Deferred Income Tax,174000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77078,-84075,-73208,-120835,-131204
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453000,453000,452000,699900,850459,367591,247807,181365,41814,118572,599799,407974,2452701,603533
77,Change in Working Capital,-137140,-157477,-11001,-427863,429275,- -,316933,-440925,-418745,695081,-84508,855327,-364701,1432359,251610,-1015331,-739401,340757,-750500,-995820,-450762,54782,-50832,966785,432140,461197
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1425,-199500,-144175,86300,-159534,-28528,219477,62741,896,-12717,-53626,-39574,-60044,-41710
79,Inventory,-432187,- -,- -,171489,243756,240516,194061,264671,77996,140334,32887,-14328,28751,-138289,-9824,50800,57883,419404,- -,1305,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126907,-239667,132777,198900,236664,-235672,-284613,-120266,-33785,37000,173561,164652,546859,837650
81,Other Working Capital,167066,9589,-1412,-429275,- -,- -,316933,-123992,-542737,152344,67836,923163,558462,1990821,2242431,1227100,487699,828456,77956,-917864,-1368626,-1313844,-1364676,-397891,34249,495446
82,Other Non-Cash Items,72905,7237103,997616,881709,1539970,1923281,1117897,2198096,2681919,2980924,-12141,575184,3179679,1067809,2248999,4537631,4511116,-629576,1645084,1511223,447834,88241,10547561,-2081129,80611,421443
83,Cash Provided by Operating Activities,630284,-99417,-530,-1493923,-2642432,-608186,-435148,-528732,-728671,1416105,-1652391,-1164498,-1395359,-512802,-327319,288600,553029,-975241,-497312,-578209,-205790,426707,317219,15533,1100809,1203354
84,CAPEX,-245480,-2258,- -,-633506,-227206,-168244,-350081,-9454,-66330,-233708,-62118,-10954,-26720,-26958,-57186,-28500,-134596,- -,- -,-297500,- -,-28710,-31006,-16106,-739,-1120
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-3247091,-401203,- -,-1117,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,3134381,384974,20193,512,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157650,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-320480,50856,-313115,10352,-50000,10698,-16000,- -,-50000,96885,- -,- -,- -,- -,- -,- -,- -,31830,- -,-297500,280888,- -,1182,- -,1478,- -
89,Cash Used for Investing Activites,-320480,50856,-313115,-735864,-293435,-137353,-366686,-9454,-116330,-136823,-62118,-10954,-26720,-26958,-57186,-28500,-134596,31830,157650,-297500,280888,-28710,-29824,-16106,739,-1120
90,Debt Repayment,-442016,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1489,-12400,-23350,-26338,-22305,-26696,-39449,-61830,-332894,-24167,-9627,-2907
91,Common Stock Issued,- -,- -,314150,- -,517188,- -,2948,- -,573236,180147,381848,1319937,- -,925000,- -,- -,- -,- -,550000,375000,180000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26529,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-163236,-26252,- -
94,Other Financing Activites,202000,- -,- -,2451000,2300000,690674,792500,601300,210926,- -,-32000,-18000,1264214,238245,402806,1000,41962,- -,- -,- -,- -,-146350,- -,- -,35636,- -
95,Cash Used/Provided by Financing Activities,-240016,- -,314150,2451000,2817188,690674,795448,601300,784162,180147,349848,1301937,1264214,1163245,401317,-11400,18612,-26338,527695,348304,140551,-234709,-332894,-187403,-243,-2907
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32670,-60860,31526,67024,-3850
97,Net Change In Cash,69788,-48561,314150,2451000,-118679,-54865,-6386,63114,-60839,1459429,-1364661,126485,-157865,623485,16812,248700,437045,-969749,188033,-527405,215649,195958,-106359,-156450,1168329,1195477
98,Cash at the End of Period,248457,1316,505,221213,102534,47669,41283,104397,43558,1502987,138326,264811,106946,730433,747245,996000,1433034,463285,651318,123913,339562,535520,632331,475881,1644210,2839687
99,Cash at the Beginning of Period,178669,49877,- -,- -,221213,102534,47669,41283,104397,43558,1502987,138326,264811,106948,730433,747300,995989,1433034,463285,651318,123913,339562,738690,632331,475881,1644210
100,Free Cash Flow,384804,-101675,-530,-2127429,-2869638,-776430,-785229,-538186,-795001,1182397,-1714509,-1175452,-1422079,-539760,-384505,260100,418433,-975241,-497312,-875709,-205790,397997,286213,-573,1100070,1202234
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017655/000114036110011587/0001140361-10-011587-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000114036111016136/0001140361-11-016136-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000101765512000025/0001017655-12-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420413021865/0001144204-13-021865-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420414019476/0001144204-14-019476-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420415019424/0001144204-15-019424-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000141588916005382/0001415889-16-005382-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495417002927/0001654954-17-002927-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495418003409/0001654954-18-003409-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495419003887/0001654954-19-003887-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495420003514/0001654954-20-003514-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495421003649/0001654954-21-003649-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000185173422000179/0001851734-22-000179-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
