,https://roic.ai/company/NEGG,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Income Before Tax,1395683,3263353,5410000,3780000,4080000,-380000,1280000,-6710850,-9704760,-5136430,-8910000,-4450990,-3241697
21,Income Before Tax Ratio,0.1482,0.2638,0.2760,0.1747,0.1909,-0.0514,0.4621,-9.0896,-0.7430,-5.8236,-15.9281,-11.6074,-9.0415
22,Income Tax expense (Gain),415332,531461,850000,850034,656297,520000,49991000,11978000,95026000,- -,- -,- -,- -
23,Net Income,918020,2673971,4540000,3100000,3210000,2000000,-24300000,-10223130,-9731870,-5136430,-8910000,-4450990,-3241697
24,Net Income ratio,0.0975,0.2162,0.2316,0.1433,0.1502,0.2703,-8.7726,-13.8469,-0.7450,-5.8236,-15.9281,-11.6074,-9.0415
25,EPS,3.84,10.32,1.09,0.69,0.70,0.43,-4.41,-1.71,-0.93,-0.30,-0.51,-0.25,-0.18
26,EPS Diluted,2.48,10.32,1.09,0.69,0.70,0.43,-4.41,-1.71,-0.93,-0.30,-0.51,-0.25,-0.18
27,Weighted Average Shares Outstanding,236491,259576,4150000,4510000,4600000,4630000,5510000,5990550,10422770,17312590,17617420,17806590,17806590
28,Weighted Average Shares Outstanding Diluted,375000,259576,4150000,4510000,4600000,4630000,5510000,5990550,10422770,17312590,17617420,17806590,17806590
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474627/000114420412015850/0001144204-12-015850-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420413015840/0001144204-13-015840-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420414019673/0001144204-14-019673-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420415026182/v407257_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000114420416113220/v443834_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000114420417023283/v460666_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390018004948/f20f2017_lianluosmart.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390019008649/f20f2018_lianluosmart.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390020012609/f20f2019_lianluosmart.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,282603,1151721,5920000,3690000,3510000,2590000,1730000,615520,10792820,6809490,477310,22830,1816177
32,Short-Term Investments,- -,- -,- -,- -,3030000,2370000,- -,- -,- -,- -,- -,36850,273913
33,Cash and Short-Term Investments,282603,1151721,5920000,3690000,6540000,4960000,1730000,615520,10792820,6809490,477310,59680,2090090
34,Net Receivables,6604062,8390402,15800000,15570000,12850000,13750000,1810000,115250,167630,419500,734200,351270,210984
35,Inventory,1575228,2326126,6370000,5530000,4650000,4910000,4080000,3975110,136920,2217800,1349100,1085020,88603
36,Other Current Assets,1798887,1691387,5300000,6840000,8650000,12810000,5770000,2162450,238780,386240,152750,181140,3582849
37,Total Current Assets,10260780,13559636,33390000,31630000,32690000,36430000,13390000,6868330,11336150,9833030,2713360,1677110,5972526
38,PP&E,2196127,2862625,3490000,3350000,2900000,3160000,2690000,1755000,1406140,531470,1485270,656840,75653
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,36525,- -,- -,- -,2690000,2620000,5010000,4448800,3809850,3698570,- -,- -,- -
41,Intangible Assets,36525,- -,- -,- -,2690000,2620000,5010000,4448800,3809850,3698570,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500040,1500040,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,552968,1362372,- -,- -,- -,- -,150000,803120,- -,- -,- -,- -,- -
45,Total Non-Current Assets,2785620,4224997,3490000,3350000,5590000,5780000,7850000,7006920,5215990,5730080,2985310,656840,75653
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13046400,17784633,36880000,34980000,38280000,42210000,21240000,13875250,16552140,15563110,5698670,2333950,6048179
48,Accounts Payable,75289,97631,30000,30000,40000,90000,- -,20870,72930,47890,234450,226220,18614
49,Short-Term Debt,- -,- -,1514620,1585890,2407200,2477715,2440500,3716892,- -,1536720,- -,1208331,- -
50,Tax Payable,- -,- -,- -,2042048,401574,82750,156024,114112,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,303000,248940,- -,- -,- -,- -,- -,- -,- -,165320
52,Other Current Liabilities,5157175,7147577,9235380,2731110,1143860,1242285,1209500,2667888,1042140,1096270,1218350,1798559,2533188
53,Total Current Liabilities,5232464,7245208,10780000,4650000,3840000,3810000,3650000,6405650,1115070,2680880,1452800,3233110,2717122
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,118030,119437,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1640000,1391970,1690563,2540000,1610000,1030560,1499370,1729110,1129250,389630,518666
58,Total Non-Current Liabilities,- -,- -,1640000,1510000,1810000,2540000,1610000,1030560,1499370,1729110,1129250,389630,518666
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5232464,7245208,12420000,6160000,5650000,6350000,5260000,7436210,2614440,4409990,2582050,3622740,3235788
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5167,8193,10000,10000,10000,10000,20000,16920,47280,47280,48630,48630,78644
64,Retained Earnings,2624771,5298742,9840000,12940000,16150000,18140000,-6150000,-16377900,-26109770,-31246200,-40156200,-44607200,-47848895
65,Other Comprehensive Income/Loss,-680778,-931312,2940000,5180000,5940000,7900000,3000000,3000000,3000000,3000000,3000000,2000000,-1354778
66,Other Total Stockholders Equity,4659544,4901413,11670000,10690000,10530000,9810000,19110000,19800020,37000190,39352040,40224190,41269780,51937420
67,Total Stockholders Equity,6608704,9277036,24460000,28820000,32630000,35860000,15980000,6439040,13937700,11153120,3116620,-1288790,2812391
68,Total Liabilities And Stockholders Equity,11841168,16522244,36880000,34980000,38280000,42210000,21240000,13875250,16552140,15563110,5698670,2333950,6048179
69,Minority Interest,1205232,1262389,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13046400,17784633,36880000,34980000,38280000,42210000,21240000,13875250,16552140,15563110,5698670,2333950,6048179
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474627/000114420412015850/0001144204-12-015850-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420413015840/0001144204-13-015840-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420414019673/0001144204-14-019673-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420415026182/v407257_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000114420416113220/v443834_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000114420417023283/v460666_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390018004948/f20f2017_lianluosmart.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390019008649/f20f2018_lianluosmart.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390020012609/f20f2019_lianluosmart.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,918020,2673971,4540000,3100000,3210000,2000000,-24300000,-10223130,-9731870,-5136430,-8910000,-4450990,-3241697
74,Depreciation and Amortization,235867,286395,370000,450000,550000,220000,270000,525920,1232260,1328400,827630,778120,451884
75,Deferred Income Tax,- -,- -,- -,-120000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,144453,- -,1408421000,1055744000,947481000,- -,- -,- -,- -
77,Change in Working Capital,-2098257,-1256411,-10320000,-7330000,-3150000,530000,-150000,4431530,1518760,-2090110,275740,1106920,95791
78,Accounts Receivable,-2269896,-1429001,-2220000,-2202475,-3797045,-660000,-80089000,10014000,-139716000,- -,- -,- -,-48635
79,Inventory,701882,-803887,-4040000,-4042481,842052,-260000,541944000,16203000,2450213000,- -,947172000,- -,209521
80,Accounts Payable,25425,19450,60000,-64452,3607,-50000,185104000,208457000,51579000,- -,- -,- -,-60944
81,Other Working Capital,- -,- -,- -,28852500,32619067,- -,27416281,462687,10221074,7152147,1260558,-1555999,-117476
82,Other Non-Cash Items,141406,86012,430000,740000,945547,-2950000,-1380101000,-1052823140,-943275310,489140,4177060,895050,357697
83,Cash Provided by Operating Activities,-802964,1789967,-4980000,-3160000,1700000,-200000,4140000,-2344820,-2775160,-5409000,-3629570,-1670900,-2336325
84,CAPEX,- -,- -,-890000,-150000,-2730000,-10000,-5410000,-27480,-636130,-40780,947172000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-1000000,-6000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-637811,-914527,-880000,-160000,-14547,-130000,-5200000,-27860,-636130,-1686860,-6225830,23020,-2354
89,Cash Used for Investing Activites,-637811,-914527,-880000,-160000,-2730000,-1130000,-11200000,-27860,-636130,-1686860,-6225830,23020,-2354
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33178
91,Common Stock Issued,- -,- -,- -,9944207,- -,- -,6066546000,- -,18412462000,1492538000,- -,- -,7192537
92,Common Stock Repurchased,- -,- -,9940000,- -,- -,- -,6260000,36250,18422610,1492540,17850,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,231948,- -,4207,-9935131,792709,330866,-6066549854,1462474,-18417208802,-1491057682,3682643,1362681,498191
95,Cash Used/Provided by Financing Activities,231948,- -,9944207,9076,792709,330866,6256146,1498724,13675808,2972858,3700493,1362681,7657550
96,Effect of Forex Changes on Cash,348078,-6322,684115,1079195,39766,87820,-61033,-229087,-98531,139656,-177275,-169269,-25528
97,Net Change In Cash,-860749,869118,4770000,-2230000,-190000,-910000,-870000,-1103040,10168100,-3983340,-6332180,-454480,5293343
98,Cash at the End of Period,282603,1151721,5920000,3690000,3500000,2600000,1720000,626960,10783620,6809480,477310,22830,5316177
99,Cash at the Beginning of Period,1143352,282603,1150000,5920000,3690000,3510000,2590000,1730000,615520,10792820,6809490,477310,22834
100,Free Cash Flow,-802964,1789967,-5870000,-3310000,-1030000,-210000,-1270000,-2372300,-3411290,-5449780,-4405900,-1670900,-2336325
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1474627/000114420412015850/0001144204-12-015850-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420413015840/0001144204-13-015840-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420414019673/0001144204-14-019673-index.html,https://www.sec.gov/Archives/edgar/data/1474627/000114420415026182/v407257_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000114420416113220/v443834_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000114420417023283/v460666_20f.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390018004948/f20f2017_lianluosmart.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390019008649/f20f2018_lianluosmart.htm,https://www.sec.gov/Archives/edgar/data/1474627/000121390020012609/f20f2019_lianluosmart.htm,- -
102,false,,,,,,,,,,,,,
