,https://roic.ai/company/SST,2018,2019,2020,2021
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1805833/000110465921145306/0001104659-21-145306-index.htm,https://www.sec.gov/Archives/edgar/data/1805833/000110465922040410/0001104659-22-040410-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-1979000,8795000,63761000,21026763
74,Depreciation and Amortization,5313000,11244000,13832000,- -
75,Deferred Income Tax,- -,-2143000,32000,- -
76,Stock Based Compensation,2485000,1764000,1192000,- -
77,Change in Working Capital,11358000,-12644000,35296000,-35605978
78,Accounts Receivable,-23259000,-10950000,6833000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,30707000,3739000,4234000,- -
81,Other Working Capital,- -,-12644000,22652000,-12953978
82,Other Non-Cash Items,106000,25696000,-67566000,13338719
83,Cash Provided by Operating Activities,17283000,32712000,46547000,-1240496
84,CAPEX,-5288000,-6696000,-6131000,- -
85,Acquisitions Net,-74424000,-35941000,74544000,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-4944000,-5630000,-6359000,- -
89,Cash Used for Investing Activites,-79832000,-42757000,68166000,- -
90,Debt Repayment,-13670000,-38380000,-98285000,- -
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,-6024000,-8655000,-46545000,- -
94,Other Financing Activites,89292000,73182000,16755000,450000
95,Cash Used/Provided by Financing Activities,69598000,26147000,-128075000,450000
96,Effect of Forex Changes on Cash,- -,-148000,-450000,- -
97,Net Change In Cash,7049000,15954000,-13812000,-28959853
98,Cash at the End of Period,26871000,42825000,29013000,53147
99,Cash at the Beginning of Period,19822000,26871000,42825000,29013000
100,Free Cash Flow,11995000,26016000,40416000,-1240496
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1805833/000110465921145306/0001104659-21-145306-index.htm,https://www.sec.gov/Archives/edgar/data/1805833/000110465922040410/0001104659-22-040410-index.htm
102,false,,,,
