,https://roic.ai/company/YUM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,501000000,1173000000,1424000000,1038000000,1087000000,1228000000,1286000000,1474000000,1495000000,1587000000,1733000000,2089000000,2176000000,2358000000,2455000000,2948000000,2569000000,2326000000,2225000000,2559000000,2967000000,2428000000,1971000000,1709000000,2382000000
16,EBITDA ratio,0.0518,0.1385,0.1821,0.1463,0.1563,0.1583,0.1535,0.1636,0.1599,0.1660,0.1664,0.1852,0.2008,0.2079,0.1944,0.2162,0.1963,0.1752,0.3467,0.4020,0.5048,0.4269,0.3522,0.3024,0.3618
17,Operating Income,662000000,768000000,910000000,863000000,866000000,1005000000,1059000000,1155000000,1153000000,1262000000,1357000000,1506000000,1590000000,1769000000,1815000000,2294000000,1798000000,1557000000,1921000000,1625000000,2761000000,2296000000,1930000000,1503000000,2139000000
18,Operating Income ratio,0.0684,0.0907,0.1163,0.1217,0.1246,0.1296,0.1264,0.1282,0.1233,0.1320,0.1303,0.1335,0.1467,0.1560,0.1438,0.1683,0.1374,0.1173,0.2993,0.2553,0.4697,0.4037,0.3448,0.2659,0.3249
19,Total Other Income Expenses (Gains),-697000000,-12000000,128000000,-179000000,-133000000,-147000000,-173000000,-129000000,-127000000,-154000000,-166000000,-226000000,-194000000,-175000000,-156000000,-149000000,-247000000,-130000000,-668000000,-307000000,-487000000,-457000000,-557000000,-483000000,-465000000
20,Income Before Tax,-35000000,756000000,1038000000,684000000,733000000,858000000,886000000,1026000000,1026000000,1108000000,1191000000,1280000000,1396000000,1594000000,1659000000,2145000000,1551000000,1427000000,1253000000,1318000000,2274000000,1839000000,1373000000,1020000000,1674000000
21,Income Before Tax Ratio,-0.0036,0.0893,0.1327,0.0964,0.1054,0.1106,0.1057,0.1139,0.1097,0.1159,0.1143,0.1135,0.1288,0.1405,0.1314,0.1573,0.1185,0.1075,0.1952,0.2070,0.3869,0.3233,0.2453,0.1805,0.2543
22,Income Tax expense (Gain),76000000,311000000,411000000,271000000,241000000,275000000,268000000,286000000,264000000,284000000,282000000,316000000,313000000,416000000,324000000,537000000,487000000,406000000,489000000,324000000,934000000,297000000,79000000,116000000,99000000
23,Net Income,-111000000,445000000,627000000,413000000,492000000,583000000,617000000,740000000,762000000,824000000,909000000,964000000,1071000000,1158000000,1319000000,1597000000,1091000000,1051000000,1283000000,1619000000,1340000000,1542000000,1294000000,904000000,1575000000
24,Net Income ratio,-0.0115,0.0526,0.0802,0.0582,0.0708,0.0752,0.0736,0.0821,0.0815,0.0862,0.0873,0.0855,0.0988,0.1021,0.1045,0.1171,0.0834,0.0791,0.1999,0.2543,0.2280,0.2711,0.2312,0.1599,0.2392
25,EPS,-0.19,0.73,1.02,0.70,0.84,0.98,1.05,1.27,1.33,1.51,1.74,2.03,2.28,2.44,2.81,3.46,2.41,2.37,2.97,4.17,3.86,4.80,4.23,2.99,5.22
26,EPS Diluted,-0.19,0.71,0.98,0.69,0.81,0.94,1.01,1.21,1.27,1.46,1.68,1.96,2.22,2.38,2.74,3.38,2.36,2.32,2.92,4.10,3.77,4.69,4.14,2.94,5.13
27,Weighted Average Shares Outstanding,576623377,609589041,613202934,587900356,585714286,591878173,587619048,582677165,572932331,545695364,522413793,475000000,471000000,474000000,469000000,461000000,443000000,444000000,436000000,394000000,347000000,322000000,306000000,302000000,302000000
28,Weighted Average Shares Outstanding Diluted,576623377,626760563,639795918,596389892,607407407,620212766,610891089,611570248,597647059,564383562,541071429,491000000,483000000,486000000,481000000,473000000,443000000,453000000,443000000,400000000,355000000,329000000,313000000,307000000,307000000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1041061/000104106198000004/0001041061-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106199000003/0001041061-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106100000007/0001041061-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106101500003/0001041061-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106102000003/0001041061-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106103000003/0001041061-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106104000122/0001041061-04-000122-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106105000102/0001041061-05-000102-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000011/0001041061-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/form_10k122510.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106112000005/0001041061-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106113000007/0001041061-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106114000007/yum10k12282013.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106115000007/yum10k12272014.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000056/0001041061-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/0001041061-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000013/0001041061-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106119000010/0001041061-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106120000015/0001041061-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106121000012/0001041061-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106122000009/0001041061-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,268000000,121000000,89000000,133000000,110000000,130000000,192000000,62000000,158000000,319000000,789000000,216000000,353000000,1426000000,1198000000,776000000,573000000,578000000,313000000,704000000,1522000000,292000000,605000000,730000000,486000000
32,Short-Term Investments,33000000,87000000,48000000,63000000,35000000,27000000,15000000,54000000,43000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,301000000,208000000,137000000,196000000,145000000,157000000,207000000,116000000,201000000,325000000,789000000,216000000,353000000,1426000000,1198000000,776000000,573000000,578000000,313000000,704000000,1522000000,292000000,605000000,730000000,486000000
34,Net Receivables,149000000,155000000,161000000,302000000,175000000,168000000,169000000,192000000,236000000,220000000,225000000,229000000,397000000,371000000,286000000,356000000,408000000,380000000,363000000,431000000,575000000,597000000,623000000,569000000,646000000
35,Inventory,73000000,68000000,61000000,47000000,56000000,63000000,67000000,76000000,85000000,93000000,128000000,143000000,122000000,189000000,273000000,313000000,294000000,301000000,40000000,36000000,13000000,- -,- -,- -,- -
36,Other Current Assets,160000000,194000000,127000000,143000000,171000000,342000000,363000000,363000000,315000000,261000000,339000000,363000000,336000000,327000000,564000000,464000000,416000000,387000000,971000000,311000000,397000000,318000000,299000000,390000000,400000000
37,Total Current Assets,683000000,625000000,486000000,688000000,547000000,730000000,806000000,747000000,837000000,899000000,1481000000,951000000,1208000000,2313000000,2321000000,1909000000,1691000000,1646000000,1687000000,1482000000,2507000000,1207000000,1527000000,1689000000,1532000000
38,PP&E,3261000000,2896000000,2531000000,2540000000,2777000000,3037000000,3280000000,3439000000,3356000000,3631000000,3849000000,3710000000,3899000000,3830000000,4042000000,4250000000,4459000000,4498000000,2347000000,2160000000,1697000000,1237000000,1812000000,2086000000,2016000000
39,Goodwill,136000000,110000000,77000000,53000000,59000000,485000000,521000000,553000000,- -,662000000,672000000,605000000,640000000,659000000,681000000,1034000000,889000000,700000000,571000000,541000000,512000000,525000000,530000000,597000000,657000000
40,Intangible Assets,676000000,541000000,450000000,366000000,399000000,364000000,357000000,347000000,868000000,347000000,333000000,335000000,462000000,475000000,299000000,690000000,638000000,318000000,164000000,151000000,110000000,242000000,244000000,343000000,359000000
41,Intangible Assets,812000000,651000000,527000000,419000000,458000000,849000000,878000000,900000000,868000000,1009000000,1005000000,940000000,1102000000,1134000000,980000000,1724000000,1527000000,1018000000,735000000,692000000,622000000,767000000,774000000,940000000,1016000000
42,Investments,143000000,159000000,170000000,257000000,213000000,- -,- -,- -,- -,- -,- -,65000000,144000000,154000000,167000000,72000000,53000000,52000000,61000000,- -,- -,214000000,137000000,- -,118000000
43,Tax Assets,33000000,65000000,7000000,10000000,- -,- -,- -,- -,- -,305000000,- -,300000000,- -,- -,549000000,- -,- -,- -,- -,774000000,139000000,195000000,447000000,553000000,724000000
44,Other Non-Current Assets,166000000,135000000,240000000,235000000,393000000,784000000,656000000,610000000,637000000,509000000,907000000,561000000,795000000,885000000,775000000,1056000000,965000000,1131000000,3231000000,370000000,346000000,510000000,534000000,584000000,560000000
45,Total Non-Current Assets,4415000000,3906000000,3475000000,3461000000,3841000000,4670000000,4814000000,4949000000,4861000000,5454000000,5761000000,5576000000,5940000000,6003000000,6513000000,7102000000,7004000000,6699000000,6374000000,3996000000,2804000000,2923000000,3704000000,4163000000,4434000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5098000000,4531000000,3961000000,4149000000,4388000000,5400000000,5620000000,5696000000,5698000000,6353000000,7242000000,6527000000,7148000000,8316000000,8834000000,9011000000,8695000000,8345000000,8061000000,5478000000,5311000000,4130000000,5231000000,5852000000,5966000000
48,Accounts Payable,453000000,476000000,375000000,326000000,326000000,417000000,439000000,414000000,1238000000,1386000000,639000000,1473000000,499000000,540000000,1874000000,684000000,704000000,694000000,181000000,200000000,119000000,202000000,173000000,215000000,227000000
49,Short-Term Debt,- -,- -,- -,- -,- -,146000000,10000000,11000000,211000000,227000000,288000000,25000000,59000000,673000000,320000000,10000000,71000000,267000000,923000000,66000000,375000000,321000000,498000000,550000000,156000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,182000000,61000000,142000000,200000000,262000000,177000000,193000000,101000000,213000000,117000000,202000000,69000000,13000000
51,Deferred Revenue,- -,- -,- -,- -,- -,121000000,- -,156000000,- -,- -,- -,- -,81000000,61000000,- -,111000000,123000000,93000000,676000000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1126000000,997000000,923000000,890000000,1479000000,836000000,1012000000,795000000,156000000,111000000,1135000000,224000000,1014000000,1174000000,256000000,1383000000,1367000000,1357000000,1307000000,1103000000,1018000000,778000000,870000000,910000000,1032000000
53,Total Current Liabilities,1579000000,1473000000,1298000000,1216000000,1805000000,1520000000,1461000000,1376000000,1605000000,1724000000,2062000000,1722000000,1653000000,2448000000,2450000000,2188000000,2265000000,2411000000,3087000000,1369000000,1512000000,1301000000,1541000000,1675000000,1415000000
54,Long-Term Debt,4551000000,3436000000,2391000000,2397000000,1552000000,2299000000,2056000000,1731000000,1649000000,2045000000,2924000000,3564000000,3207000000,2915000000,2997000000,2932000000,2918000000,3077000000,3007000000,9061000000,9429000000,9751000000,10061000000,10272000000,11178000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,- -,111000000,123000000,93000000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,588000000,785000000,832000000,858000000,927000000,987000000,983000000,994000000,995000000,1147000000,1117000000,1349000000,1263000000,1316000000,1471000000,1626000000,1223000000,1217000000,1056000000,704000000,704000000,1004000000,1645000000,1796000000,1746000000
58,Total Non-Current Liabilities,5139000000,4221000000,3223000000,3255000000,2479000000,3286000000,3039000000,2725000000,2644000000,3192000000,4041000000,4913000000,4470000000,4292000000,4468000000,4669000000,4264000000,4387000000,4063000000,9765000000,10133000000,10755000000,11706000000,12068000000,12924000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784000000,97000000,88000000
61,Total Liabilities,6718000000,5694000000,4521000000,4471000000,4284000000,4806000000,4500000000,4101000000,4249000000,4916000000,6103000000,6635000000,6123000000,6740000000,6918000000,6857000000,6529000000,6798000000,7150000000,11134000000,11645000000,12056000000,13247000000,13743000000,14339000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1271000000,1305000000,1264000000,1133000000,1097000000,1046000000,916000000,659000000,- -,- -,- -,- -,253000000,86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-2763000000,-2318000000,-1691000000,-1278000000,-786000000,-203000000,414000000,1067000000,1619000000,1593000000,1119000000,303000000,996000000,1717000000,2052000000,2286000000,2102000000,1737000000,1150000000,-5223000000,-6063000000,-7592000000,-7628000000,-7480000000,-8048000000
65,Other Comprehensive Income/Loss,-256000000,-300000000,-266000000,-354000000,-414000000,-249000000,-210000000,-131000000,-170000000,-156000000,20000000,-418000000,-224000000,-227000000,-247000000,-132000000,64000000,-190000000,-239000000,-433000000,-271000000,-334000000,-388000000,-411000000,-325000000
66,Other Total Stockholders Equity,128000000,150000000,133000000,177000000,207000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,-1620000000,-1163000000,-560000000,-322000000,104000000,594000000,1120000000,1595000000,1449000000,1437000000,1139000000,-108000000,1025000000,1576000000,1823000000,2154000000,2166000000,1547000000,911000000,-5656000000,-6334000000,-7926000000,-8016000000,-7891000000,-8373000000
68,Total Liabilities And Stockholders Equity,5098000000,4531000000,3961000000,4149000000,4388000000,5400000000,5620000000,5696000000,5698000000,6353000000,7242000000,6527000000,7148000000,8316000000,8741000000,9011000000,8695000000,8345000000,8061000000,5478000000,5311000000,4130000000,5231000000,5852000000,5966000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5098000000,4531000000,3961000000,4149000000,4388000000,5400000000,5620000000,5696000000,5698000000,6353000000,7242000000,6527000000,7148000000,8316000000,8834000000,9011000000,8695000000,8345000000,8061000000,5478000000,5311000000,4130000000,5231000000,5852000000,5966000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1041061/000104106198000004/0001041061-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106199000003/0001041061-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106100000007/0001041061-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106101500003/0001041061-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106102000003/0001041061-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106103000003/0001041061-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106104000122/0001041061-04-000122-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106105000102/0001041061-05-000102-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000011/0001041061-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/form_10k122510.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106112000005/0001041061-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106113000007/0001041061-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106114000007/yum10k12282013.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106115000007/yum10k12272014.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000056/0001041061-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/0001041061-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000013/0001041061-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106119000010/0001041061-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106120000015/0001041061-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1041061/000104106121000012/0001041061-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1041061/000104106122000009/0001041061-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-111000000,445000000,627000000,413000000,492000000,583000000,617000000,740000000,762000000,824000000,909000000,964000000,1071000000,1158000000,1319000000,1597000000,1091000000,1051000000,1283000000,1619000000,1340000000,1542000000,1294000000,904000000,1575000000
74,Depreciation and Amortization,536000000,417000000,386000000,354000000,354000000,370000000,401000000,448000000,469000000,479000000,542000000,556000000,580000000,589000000,628000000,645000000,721000000,739000000,319000000,309000000,253000000,137000000,112000000,146000000,164000000
75,Deferred Income Tax,-138000000,3000000,-16000000,-51000000,-72000000,21000000,-23000000,142000000,-101000000,-30000000,-95000000,1000000,72000000,-110000000,-137000000,28000000,-24000000,-172000000,-101000000,27000000,634000000,-11000000,-232000000,-65000000,-200000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,-59000000,47000000,59000000,50000000,49000000,55000000,57000000,80000000,65000000,50000000,59000000,97000000,75000000
77,Change in Working Capital,-442000000,48000000,36000000,284000000,-730000000,468000000,135000000,26000000,-139000000,-57000000,244000000,-190000000,326000000,310000000,6000000,-150000000,-295000000,-191000000,-635000000,1513000000,882000000,-1089000000,80000000,28000000,2000000
78,Accounts Receivable,-24000000,-6000000,-6000000,-141000000,127000000,32000000,-1000000,-39000000,- -,- -,-5000000,-6000000,3000000,-12000000,-39000000,-18000000,-12000000,-21000000,-54000000,- -,- -,- -,- -,- -,- -
79,Inventory,15000000,5000000,7000000,14000000,-9000000,11000000,-4000000,-7000000,-4000000,-3000000,-35000000,-8000000,27000000,68000000,-75000000,9000000,18000000,-22000000,58000000,- -,3000000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,- -,61000000,144000000,9000000,-102000000,60000000,128000000,17000000,-173000000,-68000000,-36000000,128000000,122000000
81,Other Working Capital,-896000000,-848000000,-812000000,-528000000,-1258000000,-790000000,-655000000,-629000000,-768000000,-825000000,-581000000,-771000000,-445000000,-135000000,-129000000,-279000000,-574000000,-765000000,-1400000000,113000000,995000000,-94000000,-14000000,14000000,- -
82,Other Non-Cash Items,965000000,-239000000,-468000000,-509000000,788000000,-354000000,-77000000,-225000000,281000000,86000000,-33000000,131000000,-569000000,-26000000,295000000,124000000,597000000,567000000,337000000,-2344000000,-2144000000,547000000,2000000,195000000,90000000
83,Cash Provided by Operating Activities,810000000,674000000,565000000,491000000,832000000,1088000000,1053000000,1131000000,1272000000,1302000000,1567000000,1521000000,1421000000,1968000000,2170000000,2294000000,2139000000,2049000000,1260000000,1204000000,1030000000,1176000000,1315000000,1305000000,1706000000
84,CAPEX,-541000000,-460000000,-470000000,-572000000,-636000000,58000000,-663000000,52000000,-609000000,-614000000,-742000000,-970000000,34000000,-796000000,-940000000,-1099000000,-1049000000,-1033000000,-973000000,-422000000,-318000000,-234000000,-196000000,-160000000,-230000000
85,Acquisitions Net,- -,- -,- -,-24000000,-108000000,-288000000,-41000000,-38000000,-2000000,250000000,113000000,266000000,170000000,203000000,165000000,-179000000,161000000,86000000,237000000,346000000,1773000000,559000000,110000000,-183000000,85000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-371000000,- -,-965000000,-770000000,-820000000,-1200000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,12000000,39000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1007000000,762000000,992000000,359000000,241000000,-655000000,185000000,-500000000,254000000,-151000000,197000000,-907000000,-931000000,385000000,-1171000000,1238000000,772000000,831000000,1737000000,-370000000,-301000000,-246000000,-198000000,-152000000,-258000000
89,Cash Used for Investing Activites,466000000,302000000,522000000,-237000000,-503000000,-885000000,-519000000,-486000000,-345000000,-476000000,-432000000,-641000000,-727000000,-579000000,-1006000000,-1005000000,-886000000,-936000000,-199000000,-24000000,1472000000,313000000,-88000000,-335000000,-173000000
90,Debt Repayment,- -,- -,- -,- -,- -,-511000000,- -,-371000000,- -,- -,- -,-279000000,-528000000,-29000000,-666000000,-282000000,-666000000,-66000000,-263000000,-3025000000,-385000000,-1323000000,-457000000,-1617000000,-3657000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,235000000,142000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,59000000,13000000,-104000000,-179000000,-52000000,-103000000,-168000000,-369000000,-1056000000,-983000000,-1298000000,-1628000000,113000000,-269000000,-752000000,-903000000,-733000000,-791000000,-1200000000,-5402000000,-1960000000,-2390000000,-815000000,-239000000,-1591000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-58000000,-123000000,-144000000,-273000000,-322000000,-362000000,-412000000,-481000000,-544000000,-615000000,-669000000,-730000000,-744000000,-416000000,-462000000,-511000000,-566000000,-592000000
94,Other Financing Activites,-1197000000,-1133000000,-1015000000,-28000000,-300000000,427000000,-307000000,19000000,112000000,312000000,893000000,770000000,235000000,373000000,486000000,13000000,563000000,412000000,1104000000,8494000000,966000000,1555000000,845000000,1684000000,4073000000
95,Cash Used/Provided by Financing Activities,-1138000000,-1120000000,-1119000000,-207000000,-352000000,-187000000,-475000000,-779000000,-832000000,-673000000,-678000000,-1459000000,-542000000,-337000000,-1413000000,-1716000000,-1451000000,-1114000000,-1089000000,-677000000,-1795000000,-2620000000,-938000000,-738000000,-1767000000
96,Effect of Forex Changes on Cash,-7000000,-3000000,- -,-3000000,- -,4000000,3000000,4000000,1000000,8000000,13000000,-11000000,-15000000,21000000,21000000,5000000,-5000000,6000000,- -,-25000000,61000000,-63000000,5000000,24000000,-19000000
97,Net Change In Cash,131000000,-147000000,-32000000,44000000,-23000000,20000000,62000000,-130000000,96000000,161000000,470000000,-573000000,137000000,1073000000,-228000000,-422000000,-203000000,5000000,-28000000,478000000,768000000,-1194000000,294000000,256000000,-253000000
98,Cash at the End of Period,268000000,121000000,89000000,133000000,110000000,130000000,192000000,62000000,158000000,319000000,789000000,216000000,353000000,1426000000,1198000000,776000000,573000000,578000000,550000000,812000000,1599000000,474000000,768000000,1024000000,771000000
99,Cash at the Beginning of Period,137000000,268000000,121000000,89000000,133000000,110000000,130000000,192000000,62000000,158000000,319000000,789000000,216000000,353000000,1426000000,1198000000,776000000,573000000,578000000,334000000,831000000,1668000000,474000000,768000000,1024000000
100,Free Cash Flow,269000000,214000000,95000000,-81000000,196000000,328000000,390000000,486000000,663000000,688000000,825000000,551000000,624000000,1172000000,1230000000,1195000000,1090000000,1016000000,818000000,782000000,712000000,942000000,1119000000,1145000000,1476000000
