,https://roic.ai/company/NH,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,754000,5838000,2437000,1879000,- -,1775000
57,Other Non-Current Liabilities,150065000,166400000,6432000,11612000,37352000,56779000,- -,72291000
58,Total Non-Current Liabilities,159077000,183712000,215464000,220034000,246970000,266122000,- -,331875000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,186930000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,12933000,10070000,6248000
61,Total Liabilities,246074000,226948000,272713000,255893000,283506000,323623000,311688000,359820000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,283912000,476263000,12000,10000,11000,11000,11000,12000
64,Retained Earnings,-219160000,-291171000,-475273000,-693233000,-884122000,-946884000,- -,-1052897000
65,Other Comprehensive Income/Loss,-4051000,-6651000,1000000,-21244000,-34730000,-45834000,-168000,-212000
66,Other Total Stockholders Equity,4100000,6564000,885855000,907769000,921672000,935571000,-111627000,- -
67,Total Stockholders Equity,64801000,185005000,411594000,193302000,2831000,-57136000,-111784000,-161992000
68,Total Liabilities And Stockholders Equity,310875000,411953000,684307000,449195000,286337000,266487000,199904000,197828000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-9905000,- -
70,Total Liabilities & Equity,310875000,411953000,684307000,449195000,286337000,266487000,189999000,197828000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1566469/000156646917000007/0001566469-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646918000006/0001566469-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646919000012/0001566469-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646920000015/0001566469-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646921000010/0001566469-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646922000013/0001566469-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-84425000,-72011000,-184102000,-175211000,-192152000,-62762000,-56446000,-58259000
74,Depreciation and Amortization,16178000,15788000,30933000,28055000,22355000,22362000,16770000,15723000
75,Deferred Income Tax,- -,- -,-23385000,5059000,-3769000,-560000,-23000,-78000
76,Stock Based Compensation,340000,1429000,53952000,4511000,5657000,2786000,2648000,3887000
77,Change in Working Capital,-1022000,-156431000,138540000,-82296000,-43126000,-22496000,-74575000,105628000
78,Accounts Receivable,468000,3580000,8111000,4000,406000,3316000,4786000,-2660000
79,Inventory,-2308000,989000,-570000,196000,343000,-302000,-18000,- -
80,Accounts Payable,1634000,1731000,-5644000,-1852000,-1667000,1363000,1431000,-1914000
81,Other Working Capital,146221000,-10210000,128330000,46034000,2908000,-19588000,-94163000,11465000
82,Other Non-Cash Items,26794000,135475000,-86572000,138734000,181403000,51905000,94772000,-94590000
83,Cash Provided by Operating Activities,-42135000,-75750000,-70634000,-81148000,-29632000,-8765000,-16854000,-27689000
84,CAPEX,-11637000,-13244000,-15780000,-13636000,-10546000,-4590000,-5672000,-5081000
85,Acquisitions Net,- -,- -,-79000000,2000000,- -,- -,41000000,- -
86,Purchases of Investments,-251729000,-15219000,-31000,-360000,- -,- -,- -,- -
87,Sales/Maturities of Investments,26072000,136315000,1275000,- -,- -,- -,- -,- -
88,Other Investing Activites,3217000,-206364000,4771000,-279000,68000,300000,-74000,-556000
89,Cash Used for Investing Activites,-230077000,-93512000,-88765000,-12275000,-10478000,-4290000,35254000,-5637000
90,Debt Repayment,-1975000,-34502000,-23324000,- -,-93000,-1409000,- -,- -
91,Common Stock Issued,260525000,200000000,83566000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,295000,6190000,253352000,-5335000,-2066000,1377000,-555000,40577000
95,Cash Used/Provided by Financing Activities,258845000,171688000,313594000,-5335000,-2159000,-32000,-555000,40577000
96,Effect of Forex Changes on Cash,49000,-136000,169000,65000,-300000,25000,-62000,-11000
97,Net Change In Cash,-13318000,2290000,154364000,-98693000,-42569000,-13062000,17783000,7240000
98,Cash at the End of Period,3699000,5989000,160353000,61660000,19441000,6379000,24162000,31402000
99,Cash at the Beginning of Period,17017000,3699000,5989000,160353000,62010000,19441000,6379000,24162000
100,Free Cash Flow,-53772000,-88994000,-86414000,-94784000,-40178000,-13355000,-22526000,-32770000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1566469/000156646917000007/0001566469-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646918000006/0001566469-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646919000012/0001566469-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646920000015/0001566469-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646921000010/0001566469-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646922000013/0001566469-22-000013-index.htm
102,false,,,,,,,,
