,https://roic.ai/company/CHT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,37400000000,44208697310,47232601260,50918000000,33411160000,42067196270,49458388250,45792000000,43757000000,47609000000,48095000000,39904000000,41494000000,36970000000,42039000000,40485000000,38988000000,37557000000,32947000000,33419000000,35753579000
24,Net Income ratio,0.2028,0.2459,0.2593,0.2750,0.1804,0.2258,0.2462,0.2271,0.2206,0.2352,0.2211,0.1813,0.1820,0.1631,0.1814,0.1760,0.1714,0.1743,0.1588,0.1610,0.1707
25,EPS,32.39,41.61,41.02,44.19,28.91,37.05,48.17,52.73,72.38,72.75,60.40,61.10,51.20,49.80,55.20,51.60,50.10,45.80,42.30,43.10,46.10
26,EPS Diluted,32.39,41.61,41.02,44.19,28.91,37.05,48.17,52.61,72.13,72.50,60.30,60.90,51.10,49.70,55.00,51.60,50.00,45.70,42.20,43.00,46.00
27,Weighted Average Shares Outstanding,1154573371,1048359680,1152619096,1152619096,1152619096,1134610609,1026169663,860308856,775744640,775744640,778932600,775744700,775744700,775744700,775744700,775744700,775744700,775744700,775744700,775744700,775744700
28,Weighted Average Shares Outstanding Diluted,1154573371,1048359680,1152619096,1152619096,1152619096,1134610609,1026169663,860308856,778049120,778036880,781060500,777723800,776990600,776978600,777567800,776936900,776793300,776650900,776530900,776455500,776522000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4600000000,7652174200,13514432280,29283000000,42027030000,70676799930,76246997230,81288000000,73259000000,90875000000,67390000000,53202000000,14585000000,23560000000,30271000000,31100000000,28825000000,27645000000,34050000000,30420000000,39778624000
32,Short-Term Investments,- -,- -,- -,9115000000,14206320000,6940598610,18810403400,15210000000,18678000000,4232000000,1201000000,6503000000,7606000000,6764000000,5182000000,6961000000,5308000000,9504000000,7499000000,6134000000,5063444000
33,Cash and Short-Term Investments,4600000000,7652174200,13514432280,38398000000,56233350000,77617398540,95057400630,96498000000,91937000000,95107000000,68591000000,59705000000,22191000000,30324000000,35453000000,38061000000,34133000000,37149000000,41549000000,36554000000,44842068000
34,Net Receivables,- -,17252174560,14804754960,13673000000,12890920000,12642968360,11448400690,10847000000,12067000000,14567000000,22430000000,26584000000,24288000000,26328000000,26968000000,31036000000,31990000000,34969000000,30866000000,28183000000,29542705000
35,Inventory,- -,1147826130,1222410960,1439000000,2137525000,2183192990,4313420090,6412000000,4049000000,4561000000,5214000000,11172000000,10848000000,10074000000,10656000000,9199000000,10899000000,17543000000,19680000000,14565000000,14163600000
36,Other Current Assets,- -,19339131160,19151105040,19494000000,10325890000,8439507230,10118699760,4450000000,6439000000,6556000000,10304000000,3534000000,3186000000,2686000000,3130000000,3324000000,2312000000,2028000000,1977000000,2501000000,2472686000
37,Total Current Assets,- -,45391306050,48692703240,73004000000,81587685000,100883067120,120937921170,118207000000,114492000000,120791000000,106539000000,100995000000,60513000000,69412000000,76207000000,81620000000,79334000000,91689000000,94072000000,81803000000,91021059000
38,PP&E,336400000000,339200012720,329134150980,311638000000,294419405000,277395849610,265194256210,323050000000,313022000000,305730000000,302612000000,303650000000,302714000000,302650000000,296399000000,291170000000,288708000000,288914000000,295058000000,292425000000,300151397000
39,Goodwill,- -,- -,- -,- -,- -,65169940,227022110,226000000,282000000,283000000,245000000,245000000,163000000,163000000,218000000,218000000,209000000,209000000,200000000,246000000,217582000
40,Intangible Assets,- -,34504349120,40305605820,43608000000,9931270000,9188961540,8724135370,8045000000,7335000000,6573000000,6085000000,5568000000,44236000000,42662000000,50229000000,47135000000,54674000000,50735000000,46847000000,90039000000,83727501000
41,Intangible Assets,- -,34504349120,40305605820,43608000000,9931270000,9254131480,8951157480,8271000000,7617000000,6856000000,6330000000,5813000000,44399000000,42825000000,50447000000,47353000000,54883000000,50944000000,47047000000,90285000000,83945083000
42,Investments,- -,- -,- -,4035000000,- -,- -,- -,8918000000,9089000000,13867000000,18818000000,20792000000,16331000000,14059000000,11546000000,8150000000,9077000000,11182000000,16071000000,15565000000,12857437000
43,Tax Assets,- -,3443478390,2886248100,2444000000,2630800000,3454006820,2983719160,1543000000,483000000,472000000,339757000,438000000,1506000000,1826000000,2061000000,2322000000,2730000000,3554000000,3259000000,3133000000,2785006000
44,Other Non-Current Assets,- -,7130435050,7945671240,3692000000,7793745000,7722637890,8205227690,3601000000,4294000000,6595000000,8281243000,7759000000,15509000000,15726000000,16111000000,16300000000,16170000000,20773000000,21621000000,22969000000,22310378000
45,Total Non-Current Assets,- -,384278275280,380271676140,365417000000,314775220000,297826625800,285334360540,345383000000,334505000000,333520000000,336381000000,338452000000,380459000000,377086000000,376564000000,365295000000,371568000000,375367000000,383056000000,424377000000,422049301000
46,Other Assets,411400000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,411400000000,429669581330,428964379380,438421000000,396362905000,398709692920,406272281710,463590000000,448997000000,454311000000,442920000000,439447000000,440972000000,446498000000,452771000000,446915000000,450902000000,467056000000,477128000000,506180000000,513070360000
48,Accounts Payable,- -,11234783030,11680815840,24419000000,10358775000,9905830880,- -,11360000000,10155000000,11555000000,14265000000,15397000000,15589000000,18519000000,16301000000,18810000000,19396000000,20465000000,15312000000,15591000000,18063288000
49,Short-Term Debt,- -,- -,- -,200000000,197310000,456189580,11675422800,266000000,880000000,654000000,777000000,119000000,554000000,564000000,118000000,138000000,70000000,100000000,3381000000,12048000000,3275564000
50,Tax Payable,- -,- -,- -,5032000000,- -,- -,- -,5687000000,4312000000,4568000000,3539000000,3320000000,6171000000,6982000000,9171000000,6522000000,8674000000,6221000000,5812000000,6157000000,4593458000
51,Deferred Revenue,- -,3965217540,3191850840,18730000000,- -,8341752320,9048452670,- -,- -,- -,- -,12354000000,9464000000,9913000000,9567000000,10059000000,8842000000,10688000000,16840000000,13437000000,12234276000
52,Other Current Liabilities,- -,81982611770,91341263400,65848000000,46302080000,48388680450,53771808340,58310000000,48665000000,60132000000,44238000000,28914000000,35248000000,33523000000,36960000000,35153000000,35631000000,31965000000,30610000000,32147000000,30719170000
53,Total Current Liabilities,- -,97182612340,106213930080,109197000000,56858165000,67092453230,74495683810,69936000000,59700000000,72341000000,59280000000,56784000000,60855000000,62519000000,62946000000,64160000000,63939000000,63218000000,66143000000,73223000000,64292298000
54,Long-Term Debt,- -,17739131100,713073060,500000000,295965000,- -,- -,29000000,221000000,3148000000,1058000000,2050000000,1400000000,1900000000,1742000000,1600000000,1600000000,1600000000,8067000000,26195000000,35638364000
55,Deferred Revenue,- -,- -,- -,9778000000,- -,- -,- -,2072000000,2484000000,2589000000,2577463000,7577000000,8536000000,8157000000,8342000000,8156000000,8283000000,7311000000,11589000000,12116000000,12176399000
56,Deferred Tax Liabilities,- -,13878261390,11578948260,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,132000000,148000000,1464000000,1430000000,1992000000,1912000000,1967000000,2189411000
57,Other Non-Current Liabilities,- -,139130440,237691020,203000000,10391660000,11535079380,11221378580,11859000000,7628000000,7630000000,6961537000,3126000000,6940000000,8078000000,10254000000,4607000000,6240000000,8406000000,5145000000,5406000000,7511438000
58,Total Non-Current Liabilities,- -,31756522930,12529712340,10481000000,10687625000,11535079380,11221378580,13960000000,10333000000,13367000000,10597000000,12753000000,16977000000,18267000000,20486000000,15827000000,17553000000,19309000000,26713000000,45684000000,57515612000
59,Other Liabilities,121700000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9758000000,9597000000,10272253000
61,Total Liabilities,121700000000,128939135270,118743642420,119678000000,67545790000,78627532610,85717062390,83896000000,70033000000,85708000000,69877000000,69537000000,77832000000,80786000000,83432000000,79987000000,81492000000,82527000000,92856000000,118907000000,121807910000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,96695655800,96298818960,96477000000,96780555000,96679605990,96678987130,96968000000,96968000000,77574000000,77574000000,77574000000,77574000000,77574000000,77574000000,77574000000,77574000000,77574000000,77574000000,77574000000,77574465000
64,Retained Earnings,- -,69843480880,78268257300,85909000000,74089905000,58685530970,73555163640,96812000000,103413000000,111653000000,115866000000,113408000000,117570000000,135608000000,139698000000,135907000000,134888000000,146876000000,146234000000,147824000000,130888906000
65,Other Comprehensive Income/Loss,- -,-427895668220,-444380339820,-5000000,-483639695000,325849700,64863460,3570000000,5320000000,5837000000,5755000000,4916000000,-144000000,886000000,269000000,-5000000,383000000,460000000,587000000,927000000,- -
66,Other Total Stockholders Equity,289700000000,562086977600,580034000520,136362000000,641586350000,164293418740,147596803230,179206000000,169510000000,169515000000,169536000000,169544000000,163294000000,146720000000,146733000000,147180000000,148091000000,149762000000,149762000000,149790000000,170871475000
67,Total Stockholders Equity,289700000000,300730446060,310220736960,318743000000,328817115000,319984405400,317895817460,376556000000,375211000000,364579000000,368731000000,365442000000,358294000000,360788000000,364274000000,360656000000,360936000000,374672000000,374157000000,376115000000,379334846000
68,Total Liabilities And Stockholders Equity,411400000000,429669581330,428964379380,438421000000,396362905000,398611938010,403612879850,460452000000,445244000000,450287000000,438608000000,434979000000,436126000000,441574000000,447706000000,440643000000,442428000000,457199000000,467013000000,495022000000,501142756000
69,Minority Interest,- -,- -,- -,- -,- -,97754910,2659401860,3138000000,3753000000,4024000000,4312000000,4468000000,4846000000,4924000000,5065000000,6272000000,8474000000,9857000000,10115000000,11158000000,11927604000
70,Total Liabilities & Equity,411400000000,429669581330,428964379380,438421000000,396362905000,398709692920,406272281710,463590000000,448997000000,454311000000,442920000000,439447000000,440972000000,446498000000,452771000000,446915000000,450902000000,467056000000,477128000000,506180000000,513070360000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,37400000000,44208697310,47232601260,50918000000,33411160000,42067196270,49458388250,45792000000,43757000000,47609000000,48095000000,39904000000,41494000000,36970000000,42039000000,40485000000,38988000000,37557000000,32947000000,33419000000,35753579000
74,Depreciation and Amortization,- -,40417392820,41494060920,40703000000,41270675000,40633457590,39372120220,38216000000,36336000000,34064000000,32306000000,32525000000,32192000000,34114000000,33448000000,32485000000,31930000000,31868000000,35176000000,36366000000,38400873000
75,Deferred Income Tax,- -,765217420,407470320,157000000,9733960000,1401153710,259453840,-156000000,1099000000,27000000,56000000,-126000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,457000000,- -,- -,- -,- -,- -,- -,- -,3017000,69579000,93287000,36000000,17000000,22000000,17000000,2000000,8000000,19371000
77,Change in Working Capital,- -,904347860,-1018675800,-2401000000,-12167450000,14663236500,-3340468190,5723000000,-5584000000,1422000000,-4934000000,-6392000000,2388000000,355000000,-1500000000,-8974000000,-3169000000,-1626000000,3300000000,3191000000,-1983977000
78,Accounts Receivable,- -,- -,- -,-382000000,- -,- -,- -,- -,- -,- -,-8313000000,-483000000,1219000000,-3617000000,-1172000000,-4613000000,-1191000000,1354000000,4039000000,4071000000,-1339250000
79,Inventory,- -,-486956540,-1731748860,-326000000,-822125000,586529460,-616202870,-823000000,-144000000,-492000000,-665000000,-1945000000,-855000000,463000000,-1852000000,1166000000,-1469000000,-6778000000,-2698000000,3915000000,874670000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2377000000,14000000,2076000000,2972000000,-2223000000,2497000000,587000000,1065000000,-5152000000,21000000,2468093000
81,Other Working Capital,- -,- -,- -,-4104000000,- -,456189580,162158650,- -,350000000,-183000000,195000000,219000000,-593000000,660000000,1767000000,-8168000000,-531000000,1145000000,7332000000,-3368000000,-3198007000
82,Other Non-Cash Items,35700000000,5286956720,5331070020,1731000000,14173435000,1368568740,1491859580,2292000000,1677000000,1647000000,-164000000,1647983000,-855579000,-154287000,2302000000,939000000,3161000000,-1450000000,1002000000,1472000000,2668354000
83,Cash Provided by Operating Activities,73100000000,91582612130,93446526720,91565000000,86421780000,100133612810,87241353700,91867000000,77285000000,84769000000,75359000000,67562000000,75288000000,71378000000,76325000000,64952000000,70932000000,66366000000,72427000000,74456000000,74858200000
84,CAPEX,- -,-43373914670,-32190155280,-23011000000,- -,-27827564380,-25329181130,-30327000000,-25752000000,-24895000000,-27432000000,-33872000000,-76254000000,-33203000000,-35464000000,-23799000000,-38180000000,-29048000000,-24529000000,-71116000000,-35588880000
85,Acquisitions Net,- -,- -,-203735160,-32684753247,-22986615000,-260679760,-778361520,- -,- -,- -,- -,39000000,-50000000,-252000000,-104000000,152000000,- -,-183000000,-4158000000,344000000,-321001000
86,Purchases of Investments,- -,- -,- -,-9657000000,-4834095000,-4268631070,-25264317670,-13157000000,-12065000000,-10712000000,-11667000000,-8397000000,-20129000000,-470000000,-12525000000,-4172000000,-6631000000,-10010000000,-14899000000,-5340000000,-17726381000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,12447458540,11870013180,9513000000,8160000000,20813000000,6317000000,4367000000,46204000000,4898000000,16320000000,4785000000,7811000000,5662000000,16675000000,6972000000,21383041000
88,Other Investing Activites,-53700000000,-12069565670,237691020,32777753247,-295965000,782039280,97295190,-767000000,-88000000,-2847000000,-878000000,-1602000000,-38811000000,1009000000,-9060000000,1089000000,-11026000000,467000000,-579000000,-46719000000,825008000
89,Cash Used for Investing Activites,-53700000000,-55443480340,-32156199420,-32453000000,-28116675000,-19127377390,-39404551950,-34530000000,-29471000000,-17363000000,-33104000000,-38873000000,-49168000000,-27374000000,-30453000000,-21663000000,-36721000000,-32614000000,-27127000000,-68254000000,-31172361000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-331000000,-322000000,-767000000,-1697000000,-102000000,-1614000000,-13733000000,-3448000000,-1537000000,-7020000000,-330000000,-4313000000,-37825000000,-15884949000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,32431730,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-11404739500,-7232275790,- -,- -,- -,-19394000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-33843479530,-38539901100,-43414000000,-45479955000,-40633457590,-34604655910,-41202000000,-37836000000,-39369000000,-42855000000,-42362000000,-41502000000,-35103000000,-37673000000,-42551000000,-38336000000,-37205000000,-34746000000,-32783000000,-33403565000
94,Other Financing Activites,-38900000000,730434810,-16876062420,32000000,-197310000,-195509820,-1037815360,-10793000000,-18291000000,-6827000000,-1792000000,-376000000,652000000,13720000000,1935000000,1570000000,8748000000,2500000000,125000000,60806000000,14974586000
95,Cash Used/Provided by Financing Activities,-38900000000,-33113044720,-55415963520,-43382000000,-45677265000,-52233706910,-42842315330,-52326000000,-56449000000,-46963000000,-65738000000,-42840000000,-42464000000,-35116000000,-39186000000,-42518000000,-36608000000,-35035000000,-38934000000,-9802000000,-34313928000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,583771140,31000000,606000000,-2827000000,-2000000,-37000000,-9000000,87000000,25000000,58000000,122000000,103000000,39000000,-30000000,-12942000
97,Net Change In Cash,-38900000000,3026087070,5874363780,15730000000,12660725000,28772528510,5578257560,5055000000,-8029000000,17616000000,-23485000000,-14188000000,-16353000000,8975000000,6711000000,829000000,-2275000000,-1180000000,6405000000,-3630000000,9358969000
98,Cash at the End of Period,- -,7652174200,13514432280,29283000000,42027030000,70676799930,76246997230,81288000000,73259000000,90875000000,67390000000,53202000000,14585000000,23560000000,30271000000,31100000000,28825000000,27645000000,34050000000,30420000000,39778624000
99,Cash at the Beginning of Period,- -,4626087130,7640068500,13553000000,29366305000,41904271420,70668739670,76233000000,81288000000,73259000000,90875000000,67390000000,30938000000,14585000000,23560000000,30271000000,31100000000,28825000000,27645000000,34050000000,30419655000
100,Free Cash Flow,73100000000,48208697460,61256371440,68554000000,86421780000,72306048430,61912172570,61540000000,51533000000,59874000000,47927000000,33690000000,-966000000,38175000000,40861000000,41153000000,32752000000,37318000000,47898000000,3340000000,39269320000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,0.0304,0.0307,0.0308,0.0305,0.0313,0.03428,0.033,0.03439,0.03351,0.0316,0.03044,0.0308,0.0337,0.03269,0.03342,0.03558,0.03607
