,https://roic.ai/company/ORTX,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,3139000,146116000,592149000,738481000,771194000,956928000
67,Total Stockholders Equity,-16524000,86405000,311338000,299193000,178434000,209950000
68,Total Liabilities And Stockholders Equity,4283000,97294000,366042000,399281000,280937000,322409000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4283000,97294000,366042000,399281000,280937000,322409000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748907/000156459020007353/0001564590-20-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1748907/000156459021010035/0001564590-21-010035-index.htm,https://www.sec.gov/Archives/edgar/data/1748907/000156459022012325/0001564590-22-012325-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-19085000,-39744000,-230495000,-163422000,-151979000,-144584000
74,Depreciation and Amortization,6000,302000,1199000,1675000,2004000,2327000
75,Deferred Income Tax,- -,- -,- -,- -,-2257000,1131000
76,Stock Based Compensation,204000,1019000,6766000,19424000,27962000,22536000
77,Change in Working Capital,1509000,83303000,224146000,-17729000,-3628000,60554000
78,Accounts Receivable,- -,- -,-927000,715000,582000,-624000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,666000,1930000,14848000,-6413000,-1553000,-9452000
81,Other Working Capital,163000,83466000,307612000,-1424000,2570000,232528000
82,Other Non-Cash Items,2800000,-77367000,-99152000,-6079000,1624000,-67061000
83,Cash Provided by Operating Activities,-14566000,-32487000,-97536000,-166131000,-126274000,-125097000
84,CAPEX,-190000,-1559000,-4032000,-4367000,-12668000,-2348000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-414010000,-113262000,-263878000
87,Sales/Maturities of Investments,- -,- -,- -,109019000,281433000,234732000
88,Other Investing Activites,- -,- -,- -,- -,1876000,-671000
89,Cash Used for Investing Activites,-190000,-1559000,-4032000,-309358000,157379000,-32165000
90,Debt Repayment,- -,- -,- -,- -,- -,1651000
91,Common Stock Issued,- -,- -,205469000,130270000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18034000,115696000,149395000,27183000,3936000,156415000
95,Cash Used/Provided by Financing Activities,18034000,115696000,354864000,157453000,3936000,158066000
96,Effect of Forex Changes on Cash,-751000,4709000,-3471000,1672000,1043000,-27000
97,Net Change In Cash,2527000,86359000,249825000,-316364000,36084000,777000
98,Cash at the End of Period,3497000,89856000,339681000,23317000,59401000,60178000
99,Cash at the Beginning of Period,970000,3497000,89856000,339681000,23317000,59401000
100,Free Cash Flow,-14756000,-34046000,-101568000,-170498000,-138942000,-127445000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748907/000156459020007353/0001564590-20-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1748907/000156459021010035/0001564590-21-010035-index.htm,https://www.sec.gov/Archives/edgar/data/1748907/000156459022012325/0001564590-22-012325-index.htm
102,false,,,,,,
