,https://roic.ai/company/GRUSF,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
67,Total Stockholders Equity,-87721,242861,3998281,4311047,2971001,134836,-2500998,-2441613,-527588,-386415,-615660,-1447184,-911636
68,Total Liabilities And Stockholders Equity,196259,548119,5759574,9682033,9060990,6562508,4871455,70318,368645,33310,25442,2912938,3797801
69,Minority Interest,- -,- -,- -,-0,-0,- -,- -,-0,-0,0,-0,19538,-33383
70,Total Liabilities & Equity,196259,548119,5759574,9682033,9060990,6562508,4871455,70318,368645,33310,25442,2932476,3764418
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-47552,-300261,-649480,-768739,-2828848,-4046714,-5624354,-2035220,-10336794,-1661825,-397554,-9300222,-2356488
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94668,277436
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,172169,- -,- -,85103,470505,1465566,157468,113227,337162
77,Change in Working Capital,-425,21872,41357,711923,374775,540152,495011,85582,166093,191850,200014,511214,1905660
78,Accounts Receivable,- -,- -,-8782,-76088,- -,- -,- -,- -,- -,- -,- -,98828,-37698
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1174678,2144178
80,Accounts Payable,-2762,30360,59772,786657,- -,- -,- -,- -,- -,- -,133577,-887903,-133516
81,Other Working Capital,- -,- -,- -,- -,- -,- -,163522,-134274,- -,- -,- -,28249,-35000
82,Other Non-Cash Items,520,121044,401296,111116,1896601,3228146,4955606,1318022,9365179,-495659,- -,5154277,-457614
83,Cash Provided by Operating Activities,-47457,-157346,-206828,54300,-385304,-278417,-173737,-546513,-335016,-500068,-40072,-3426836,-293844
84,CAPEX,- -,-9130,-25082,-3273342,-1570679,-384005,-104455,-82974,- -,- -,- -,-217084,-557758
85,Acquisitions Net,- -,82629,5063,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175000
87,Sales/Maturities of Investments,- -,- -,- -,8172,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,0,- -,- -,- -,-104455,-82974,- -,-64551,- -,-45121,- -
89,Cash Used for Investing Activites,- -,73498,-20019,-3265170,-1570679,-384005,-104455,-82974,- -,-64551,- -,-261209,-647758
90,Debt Repayment,- -,-107738,- -,-212922,-15864,- -,- -,- -,- -,- -,- -,-367270,-598280
91,Common Stock Issued,237398,164358,- -,- -,2101322,384794,- -,- -,259726,208967,- -,- -,1067744
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,0,105073,3547894,0,183080,134281,528554,396223,- -,61528,3303598,615000
95,Cash Used/Provided by Financing Activities,237398,56620,105073,3334972,2085458,567874,134281,528554,655949,208967,61528,2936328,1084464
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,36415,-31772,57809,47298,-1781,- -,- -,- -,- -
97,Net Change In Cash,189941,-27228,-121774,124102,165890,-126319,-86102,-53635,319151,-355652,21456,-751717,142862
98,Cash at the End of Period,190837,157868,41283,168820,332313,186717,94924,24311,343743,824,22257,74926,217788
99,Cash at the Beginning of Period,896,185096,163056,44717,166423,313036,181026,77946,24592,356476,801,826643,74926
100,Free Cash Flow,-47457,-166476,-231910,-3219042,-1955983,-662422,-278192,-629487,-335016,-500068,-40072,-3643920,-851602
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,
