,https://roic.ai/company/SPYR,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18,Operating Income ratio,-Infinity,-2.3333,-0.3333,-0.5471,-0.4685,-0.0253,-0.0780,-0.1550,-0.1486,-0.1549,-0.1418,-0.1519,-0.2351,-0.0030,0.0375,0.0388,-0.2815,-0.0443,-2.8878,-2.4929,-4.6727,-82.7656,-15.7809,-3.3286,-12545.9459
19,Total Other Income Expenses (Gains),- -,- -,-150000,-4555320,-2117697,-126443,-281417,-64859,-278184,-226352,-260769,-345715,-663091,298675,-665022,-191731,-116347,-1143156,7420507,-2619229,-134000,-5399000,-987000,-790000,2317943
20,Income Before Tax,-10000,-210000,-990000,-6449026,-3013866,-167012,-382565,-256077,-464662,-426719,-463172,-562911,-1028804,294843,-618538,-149934,-431174,-1201103,3230658,-6599897,-7386000,-15993000,-7110000,-1965000,-3057
21,Income Before Tax Ratio,-Infinity,-2.3333,-0.3929,-1.8632,-1.5755,-0.1040,-0.2952,-0.2076,-0.3702,-0.3298,-0.3245,-0.3937,-0.6613,0.2314,-0.4985,-0.1391,-0.3856,-0.9191,2.2267,-4.1332,-4.7590,-124.9453,-18.3247,-5.5666,-16.5243
22,Income Tax expense (Gain),- -,- -,- -,2725,2720,200,530,530,3215,1631,2430,1718,3226,3328,3243,2975,- -,179000,1040000,- -,- -,- -,- -,- -,- -
23,Net Income,-10000,-210000,-1080000,-6451751,-3016586,-167212,-383095,-256607,-467877,-428350,-465602,-564629,-1032030,291515,-621781,-152909,1923814,-1380103,2190658,-8944421,-7390000,-16125000,-7109000,-1965000,-3057
24,Net Income ratio,-Infinity,-2.3333,-0.4286,-1.8640,-1.5769,-0.1041,-0.2956,-0.2080,-0.3727,-0.3311,-0.3262,-0.3949,-0.6634,0.2288,-0.5011,-0.1419,1.7203,-1.0560,1.5099,-5.6014,-4.7616,-125.9766,-18.3222,-5.5666,-16.5243
25,EPS,-0.01,-0.02,-0.08,-0.24,-0.07,-0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.00,0.02,-0.01,0.02,-0.06,-0.05,-0.10,-0.04,-0.01,-0.01
26,EPS Diluted,-0.01,-0.02,-0.08,-0.24,-0.07,-0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.00,0.02,-0.01,0.01,-0.06,-0.05,-0.10,-0.04,-0.01,-0.01
27,Weighted Average Shares Outstanding,1030000,11730000,13060000,26406856,43857607,45002509,45048299,45048299,45048299,45048299,45048299,73613327,103998475,106577710,106577710,106577710,106906125,136627710,136649628,152346182,154092844,166443807,193493890,199910816,203839473
28,Weighted Average Shares Outstanding Diluted,1030000,11730000,13060000,26406856,43857607,45002509,48048299,45048299,45048299,45048299,45048299,73613327,103998475,116577710,106577710,106577710,121612007,139853516,164052726,152346182,154092844,166443807,193493890,199910816,203839473
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829325/000093980204000153/0000939802-04-000153-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829325/000093980209000041/0000939802-09-000041-index.html,https://www.sec.gov/Archives/edgar/data/829325/000093980210000085/0000939802-10-000085-index.html,- -,https://www.sec.gov/Archives/edgar/data/829325/000126246312000103/0001262463-12-000103-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246313000160/0001262463-13-000160-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246314001006/0001262463-14-001006-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246315000225/0001262463-15-000225-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246316000892/0001262463-16-000892-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246317000032/0001262463-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246318000087/0001262463-18-000087-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246319000088/0001262463-19-000088-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246320000133/0001262463-20-000133-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246321000108/0001262463-21-000108-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40000,230000,130000,- -,14670,62176,70607,440637,2389042,780751,846062,1543465,1131017,1238747,1212018,727648,397946,1643529,6994180,6903887,3204000,86000,24000,10000,510
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,4872,2611830,2121782,840584,234538,194615,353849,710909,228316,494323,492876,10807046,6026780,324444,59000,48000,4000,1000,- -
33,Cash and Short-Term Investments,40000,230000,130000,- -,14670,62176,75479,3052467,4510824,1621335,1080600,1738080,1484866,1949656,1440334,1221971,890822,12450575,13020960,7228331,3263000,134000,28000,11000,510
34,Net Receivables,- -,- -,30000,10439,3411,- -,6539,6337,9185,2222,2898,5058,8346,123699,12900,12877,882,1093,- -,7701,244000,4000,62000,77000,- -
35,Inventory,- -,10000,180000,46050,19832,19116,7500,7500,7500,6900,6900,6900,9400,10240,11060,12100,13400,16500,14499,12957,12000,- -,- -,- -,- -
36,Other Current Assets,20000,40000,70000,78152,13217,8210,10668,10693,10561,606,10055,519,15570,15993,17347,17787,17725,775477,65090,135533,50000,35000,21000,15000,67
37,Total Current Assets,60000,280000,410000,134641,51130,89502,100186,3076997,4538070,1631063,1100453,1750557,1518182,2099588,1481641,1264735,922829,13243645,13100549,7384522,3569000,173000,111000,103000,577
38,PP&E,- -,1800000,6170000,2591302,600634,413793,199054,144519,114914,69893,38313,14804,12754,12739,7941,340848,297464,227298,155250,274886,211000,134000,94000,139000,31
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,240000,140000,125954,110470,94986,79502,64019,48535,33051,17567,2083,- -,- -,- -,- -,- -,- -,- -,21307,58000,755000,131000,106000,3
41,Intangible Assets,- -,240000,140000,125954,110470,94986,79502,64019,48535,33051,17567,2083,- -,- -,- -,- -,- -,- -,- -,21307,58000,755000,131000,106000,3
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,10000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,22299,22000,16000,6000,13000,- -
45,Total Non-Current Assets,- -,2040000,6320000,2817256,811104,608779,278556,208538,163449,102944,55880,16887,12754,12739,7941,340848,297464,509298,175250,318492,291000,905000,231000,258000,34
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,60000,2320000,6730000,2951897,862234,698281,378742,3285535,4701519,1734007,1156333,1767444,1530936,2112327,1489582,1605583,1220293,13752943,13275799,7703014,3860000,1078000,342000,361000,611
48,Accounts Payable,10000,480000,490000,735775,462431,334247,216808,2449834,3303583,1299151,1273508,291813,8784,8784,8784,8784,43453,- -,72550,104871,176000,- -,- -,- -,1561
49,Short-Term Debt,- -,970000,2430000,1067686,1891324,1978839,2051802,2090615,4085663,3729775,3369872,4544149,4731787,4807791,2216572,2216572,- -,1882648,- -,- -,- -,- -,1820000,2799000,54
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320000,- -,- -
52,Other Current Liabilities,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176980,172205,2663422,2809687,2521026,39374,270000,7506,- -,900000,868000,1948000,3206
53,Total Current Liabilities,10000,1440000,2920000,1803461,2353755,2313086,2268610,4540449,7389246,5028926,4643380,4835962,4917551,4988780,4888778,5035043,2564479,1922022,342550,112377,176000,900000,3008000,4747000,4821
54,Long-Term Debt,- -,- -,- -,1383290,1338448,1462533,1596916,1742453,- -,- -,- -,- -,- -,151047,- -,- -,- -,8562355,- -,- -,- -,807000,- -,- -,1204
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210965,- -,- -,- -,- -,- -,- -,- -,- -,- -,262
58,Total Non-Current Liabilities,- -,- -,- -,1383290,1338448,1462533,1596916,1742453,- -,- -,- -,- -,- -,151047,210965,- -,- -,8562355,- -,- -,- -,807000,- -,- -,1466
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000,54000
61,Total Liabilities,10000,1440000,2920000,3186751,3692203,3775619,3865526,6282902,7389246,5028926,4643380,4835962,4917551,5139827,5099743,5035043,2564479,10484377,342550,112377,176000,1707000,3008000,4747000,6287
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,2,2,2,2,2,2,2,2,2,2,2,13,13,13,13,13,13,13
63,Common Stock,- -,- -,- -,4187,4490,4505,4505,4505,4505,4505,4505,9058,10658,10658,10658,10658,13663,13663,14063,15151,15763,18112,19830,20088,- -
64,Retained Earnings,-1070000,-1370000,-3410000,-9858101,-12874688,-13041900,-13424995,-13681602,-14149479,-14577829,-15043431,-15608060,-16640090,-16348575,-16970356,-17123265,-15199451,-15655575,-14749928,-23694349,-31084000,-47209000,-55951000,-57916000,- -
65,Other Comprehensive Income/Loss,- -,-10000,-300000,-547669,-196945,-287902,-279815,-334350,-368881,-415502,-458770,-488796,-490846,-495779,-500577,-35347,-85770,-158164,-230212,-325328,-437000,-115000,-153000,-188000,- -
66,Other Total Stockholders Equity,1130000,2250000,7520000,10166729,10237174,10247959,10213521,11014078,11826126,11693905,12010647,13019278,13733661,13806194,13850112,13718492,13927370,19068640,27899313,31595150,35189224,46676875,53418157,53697899,- -
67,Total Stockholders Equity,60000,870000,3810000,-234854,-2829969,-3077338,-3486784,-2997367,-2687727,-3294919,-3487047,-3068518,-3386615,-3027500,-3610161,-3429460,-1344186,3268566,12933249,7590637,3684000,-629000,-2666000,-4386000,-5560000
68,Total Liabilities And Stockholders Equity,70000,2310000,6730000,2951897,862234,698281,378742,3285535,4701519,1734007,1156333,1767444,1530936,2112327,1489582,1605583,1220293,13752943,13275799,7703014,3860000,1078000,342000,361000,-5553713
69,Minority Interest,-10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5554324
70,Total Liabilities & Equity,60000,2320000,6730000,2951897,862234,698281,378742,3285535,4701519,1734007,1156333,1767444,1530936,2112327,1489582,1605583,1220293,13752943,13275799,7703014,3860000,1078000,342000,361000,611
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829325/000093980204000153/0000939802-04-000153-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829325/000093980209000041/0000939802-09-000041-index.html,https://www.sec.gov/Archives/edgar/data/829325/000093980210000085/0000939802-10-000085-index.html,- -,https://www.sec.gov/Archives/edgar/data/829325/000126246312000103/0001262463-12-000103-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246313000160/0001262463-13-000160-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246314001006/0001262463-14-001006-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246315000225/0001262463-15-000225-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246316000892/0001262463-16-000892-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246317000032/0001262463-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246318000087/0001262463-18-000087-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246319000088/0001262463-19-000088-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246320000133/0001262463-20-000133-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246321000108/0001262463-21-000108-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10000,-210000,-1080000,-6451751,-3016586,-167212,-383095,-256607,-467877,-428350,-465602,-564629,-1032030,291515,-621781,-152909,1923814,-1380103,2190658,-8944421,-7390000,-16125000,-7109000,-1965000,-3057
74,Depreciation and Amortization,- -,10000,310000,336531,263124,106441,88944,70018,50015,62105,58752,45510,4132,4933,4798,27889,50423,72394,72048,97967,166000,105000,115000,61000,38000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179000,1040000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208000,- -,- -,- -,- -,- -,- -,796168,413000,210000,673000,143000,1335000
77,Change in Working Capital,-10000,-1210000,-1350000,841180,-633805,79041,55160,704972,-1387724,-546687,-145064,457522,-313964,510177,-517945,-363171,2128658,12963273,1436376,-5485854,-3879145,-4120000,-2170000,-1747000,4639756
78,Accounts Receivable,- -,- -,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-211,- -,-3430,-36000,27000,-58000,-15000,50000
79,Inventory,- -,- -,-170000,138065,26219,716,11616,- -,- -,600,- -,- -,-2500,-840,-820,-1040,-1300,-3100,2001,1542,1000,- -,- -,- -,- -
80,Accounts Payable,- -,-470000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,663000,688000,420000
81,Other Working Capital,50000,-1160000,-2510000,-1668820,-2302625,-2223584,-2168424,-1463452,-2851176,-3397863,-3542927,-3085405,-3399369,-2889192,-3407137,-3770308,-1641650,11321623,12757999,7272145,3393000,-727000,-2897000,-4644000,-4244
82,Other Non-Cash Items,-20000,1510000,1450000,3933443,2941853,-16947,108986,-694266,1645919,810766,412566,-53364,966755,-811789,1192812,542722,-4173685,-11826675,-7599519,10620126,6761145,15812000,6661000,2745000,-6530699
83,Cash Provided by Operating Activities,-40000,100000,-670000,-1340597,-445414,1323,-130005,-175883,-159667,-102166,-139348,-114961,-167107,-5164,57884,54531,-70790,7889,-2860437,-2916014,-3929000,-4118000,-1830000,-763000,-521000
84,CAPEX,-10000,-1800000,-4630000,-695567,-177934,-8645,-2476,-639540,-4925,-1601,-11688,-6517,- -,-4918,- -,-360796,-7039,-2228,-5000,-234954,-59000,-100000,-50000,- -,-15000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-100000,- -,- -,-7000,- -,-1466635,-2734516,-187182,-287083,-365995,-697098,-50643,-655517,-286807,-3665612,-1948285,- -,-510000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,7682,1047925,3473032,1809548,822729,1030464,599154,874910,206030,682412,286934,5365534,8579373,3060675,783000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000,-20202,-10000,-100000,-50000,- -,9000
89,Cash Used for Investing Activites,-10000,-1800000,-4630000,-795567,-177934,-8645,-1794,408385,2001472,-926569,623859,736864,233159,172894,155387,-333901,-6912,1697694,6626088,2825721,214000,-100000,-50000,- -,-6000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-550000,-60000,-240000,-220000,-252000,-460000,- -,- -,- -,- -,- -,- -,-47000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,- -,15000,300000,905000,- -,- -
92,Common Stock Repurchased,70000,900000,1720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10000,1000000,3490000,2002207,638018,54828,140230,137528,106600,-579556,-419200,75500,71500,- -,- -,- -,- -,- -,- -,- -,- -,800000,913000,749000,1074000
95,Cash Used/Provided by Financing Activities,80000,1900000,5210000,2002207,638018,54828,140230,137528,106600,-579556,-419200,75500,-478500,-60000,-240000,-220000,-252000,-460000,1600000,- -,15000,1100000,1818000,749000,1027000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,40000,200000,-100000,2002207,638018,47506,8431,370030,1948405,-1608291,65311,697403,-412448,107730,-26729,-499370,-329702,1245583,5365651,-90293,-3700000,-3118000,-62000,-14000,500000
98,Cash at the End of Period,40000,240000,130000,- -,14670,62176,70607,440637,2389042,780751,846062,1543465,1131017,1238747,1212018,712648,382946,1628529,6994180,6903887,3204000,86000,24000,10000,510000
99,Cash at the Beginning of Period,- -,40000,230000,133957,- -,14670,62176,70607,440637,2389042,780751,846062,1543465,1131017,1238747,1212018,712648,382946,1628529,6994180,6904000,3204000,86000,24000,10000
100,Free Cash Flow,-50000,-1700000,-5300000,-2036164,-623348,-7322,-132481,-815423,-164592,-103767,-151036,-121478,-167107,-10082,57884,-306265,-77829,5661,-2865437,-3150968,-3988000,-4218000,-1880000,-763000,-536000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829325/000093980204000153/0000939802-04-000153-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829325/000093980209000041/0000939802-09-000041-index.html,https://www.sec.gov/Archives/edgar/data/829325/000093980210000085/0000939802-10-000085-index.html,- -,https://www.sec.gov/Archives/edgar/data/829325/000126246312000103/0001262463-12-000103-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246313000160/0001262463-13-000160-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246314001006/0001262463-14-001006-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246315000225/0001262463-15-000225-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246316000892/0001262463-16-000892-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246317000032/0001262463-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246318000087/0001262463-18-000087-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246319000088/0001262463-19-000088-index.html,https://www.sec.gov/Archives/edgar/data/829325/000126246320000133/0001262463-20-000133-index.htm,https://www.sec.gov/Archives/edgar/data/829325/000126246321000108/0001262463-21-000108-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
