,https://roic.ai/company/VISM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-2243531,-4225423,-7519841,-7734820,-8762798,-2000981,- -,- -,- -,-1650000,830000,-1178284,-1271254,102250,-1463360,-1666320,-2558570,-747244,-2931288
16,EBITDA ratio,-2.1998,-2.0198,-0.8132,-0.2579,-0.3859,-0.0736,- -,- -,- -,-Infinity,Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-117.2515
17,Operating Income,-1208274,-3730055,-5305277,-3775124,-4259088,-2471711,- -,- -,- -,-934208,-505812,-405045,-358656,-719868,-2056854,-1043230,-2863437,-953493,-4112326
18,Operating Income ratio,-1.1847,-1.7830,-0.5737,-0.1259,-0.1875,-0.0910,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-164.4930
19,Total Other Income Expenses (Gains),-906254,- -,19866,4321,-2490912,-2978289,- -,- -,- -,-355792,-264188,-964955,-601734,1353958,296744,-347110,1105507,-588957,738867
20,Income Before Tax,- -,- -,- -,- -,-6750000,-5450000,- -,- -,- -,-1290000,-770000,-1370000,-960390,634090,-1760110,-1390340,-1757930,-1542450,-3373459
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.2972,-0.2006,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-134.9384
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2235872,-4134885,-6561220,-5597529,-6750000,-5450000,- -,- -,- -,-1290000,1100000,-1370000,-960390,634090,-1760110,-1390340,-1757930,-1542450,-3373459
24,Net Income ratio,-2.1923,-1.9766,-0.7095,-0.1866,-0.2972,-0.2006,- -,- -,- -,-Infinity,Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-134.9384
25,EPS,-134.93,-254.87,-209.90,-134.93,-89.96,-98732.18,- -,- -,- -,-6.31,9177.12,-7683.19,-1988.38,450.45,-30.03,-0.70,-0.08,-0.01,-0.00
26,EPS Diluted,-134.93,-254.87,-209.90,-134.93,-89.96,-98732.18,- -,- -,- -,-6.31,9177.12,-7683.19,-1988.38,30.03,-30.03,-0.70,-0.08,-0.01,-0.00
27,Weighted Average Shares Outstanding,16550,21976,31148,40024,80185,56,- -,- -,- -,216935,112,178,483,1361,117968,1999018,22992865,312626670,1977488957
28,Weighted Average Shares Outstanding Diluted,16550,21976,31148,40024,80185,56,- -,- -,- -,216935,112,178,483,18095,117968,1999018,22992865,312626670,1977488957
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082733/000116923208004312/0001169232-08-004312-index.htm,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1082733/000149315215004104/0001493152-15-004104-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315216007114/0001493152-16-007114-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315215004104/0001493152-15-004104-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315216014027/0001493152-16-014027-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315217011047/0001493152-17-011047-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315218012383/0001493152-18-012383-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315219014676/0001493152-19-014676-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000165495420010986/0001654954-20-010986-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000165495421011057/0001654954-21-011057-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18400,832130,837753,223525,40000,80000,- -,- -,- -,- -,- -,- -,6130,1810,2310,11410,18670,30251,125166
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18400,832130,837753,223525,40000,80000,- -,- -,- -,- -,- -,- -,6130,1810,2310,11410,18670,30251,125166
34,Net Receivables,316961,319089,1171427,2773019,2040000,4190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,33026,59039,99595,270807,1480000,430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55418
37,Total Current Assets,368387,1210258,2108775,3267351,3560000,4700000,- -,- -,- -,- -,- -,- -,6130,1810,2310,11410,18670,30251,180584
38,PP&E,132154,175299,393929,382915,2170000,660000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,524649,1076345,-180000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,524649,1076345,-180000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,31481,1051765,1582989,525098,220000,170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,163635,1227064,2501567,1984358,2210000,840000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,532022,2437322,4610342,5251709,5770000,5540000,- -,- -,- -,- -,- -,- -,6130,1810,2310,11410,18670,30251,180584
48,Accounts Payable,361576,305705,1098483,1977647,1460000,2090000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213805,333805,425804
49,Short-Term Debt,143000,60000,116660,912287,761836,3686019,- -,- -,- -,1760840,1859552,1200788,1661971,1888804,2593037,2036190,1270060,1205927,1368908
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,241173,932110,5227204,6118164,3483981,- -,- -,- -,4659160,2420448,4199212,4229429,2612056,2338603,2489460,1779425,1871279,1223059
53,Total Current Liabilities,504576,606878,2147253,8117138,8340000,9260000,- -,- -,- -,6420000,4280000,5400000,5891400,4500860,4931640,4525650,3263290,3411011,3017771
54,Long-Term Debt,435000,2962080,3796309,107803,210000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2,- -,-1,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,435002,2962080,3796308,107803,220000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,939578,3568958,5943561,8224941,8560000,9350000,- -,- -,- -,6420000,4280000,5400000,5891400,4500860,4931640,4525650,3263290,3411011,3017771
62,Preferred Stock,- -,- -,- -,- -,- -,3371,- -,- -,- -,2672,2672,- -,2671,15320,15320,15320,15320,15320,15320
63,Common Stock,27115,38248,66134,84348,150000,290000,- -,- -,- -,330000,510000,810000,2176950,570,149750,940,4210,154413,294627
64,Retained Earnings,-8369164,-12759197,-19056093,-24731371,-31480000,-37010000,- -,- -,- -,-41310000,-40280000,-41210000,-42174840,-41540750,-43300860,-44691200,-46449130,-47991578,-51365037
65,Other Comprehensive Income/Loss,-33506,-72800,-136579,-253627,-380000,-570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,7967999,11662113,17793319,21927418,28921228,33473427,- -,- -,- -,34557958,35488428,35002354,34103823,37025803,38206460,40160700,43184983,44441085,48217903
67,Total Stockholders Equity,-407556,-1131636,-1333219,-2973232,-2788772,-3813202,- -,- -,- -,-6419370,-4278900,-5397646,-5891396,-4499057,-4929330,-4514240,-3244617,-3380760,-2837187
68,Total Liabilities And Stockholders Equity,532022,2437322,4610342,5251709,5771228,5536798,- -,- -,- -,630,1100,2354,4,1803,2310,11410,18673,30251,180584
69,Minority Interest,- -,- -,- -,- -,-1228,3202,- -,- -,- -,-630,-1100,-2354,6126,7,- -,- -,-3,- -,- -
70,Total Liabilities & Equity,532022,2437322,4610342,5251709,5770000,5540000,- -,- -,- -,- -,- -,- -,6130,1810,2310,11410,18670,30251,180584
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082733/000116923208004312/0001169232-08-004312-index.htm,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1082733/000149315215004104/0001493152-15-004104-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315216007114/0001493152-16-007114-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315215004104/0001493152-15-004104-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315216014027/0001493152-16-014027-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315217011047/0001493152-17-011047-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315218012383/0001493152-18-012383-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315219014676/0001493152-19-014676-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000165495420010986/0001654954-20-010986-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000165495421011057/0001654954-21-011057-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-2235872,-4134885,-6561220,-5597529,-6750000,-5450000,- -,- -,- -,-1290000,1100000,-1370000,-960390,634090,-1760110,-1390340,-1757930,-1542450,-3373459
74,Depreciation and Amortization,-7659,-90538,-958621,-2137291,-2012798,194616,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141970,206249,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,195284,- -,- -,- -,49900,1080000,658095,2076000,346735,3163000
77,Change in Working Capital,3135658,739569,-641858,-4811309,69787,220000,- -,- -,- -,-1860000,2140000,-1120000,-485270,1386220,-430280,415090,1269620,-136140,543573
78,Accounts Receivable,-324328,59447,-830233,-1717970,631041,-1123365,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,442047,249936,1184506,1474513,-19761,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94956,-90751,130832,445850
81,Other Working Capital,-136189,603380,-38478,-4849787,-4780000,-4560000,- -,- -,- -,-6420000,-4280000,-5400000,-5885270,-4499050,-4929330,-4514240,-3244620,-3380760,-2837187
82,Other Non-Cash Items,-1718495,887665,4960851,9239271,7234556,4253099,- -,- -,- -,2672830,-3384539,2361094,1266725,-2494534,831397,257754,-2296405,1018849,-1125754
83,Cash Provided by Operating Activities,-826368,-2598189,-3200848,-3306858,-1458455,-782285,- -,- -,- -,-281886,-144539,-128906,-178935,-424324,-278993,-59401,-566745,-106757,-792640
84,CAPEX,-130663,-79773,-16409,-468497,-407465,-168492,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,-269208,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-361784,- -,- -,-73792,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-130663,-79773,-647401,-468497,-407465,-242284,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,-26816,-400000,-258333,-404500,-751834,-12608965,- -,- -,- -,- -,- -,- -,- -,-5000,- -,- -,- -,- -,-73700
91,Common Stock Issued,749220,1396858,2493350,1260000,1478500,- -,- -,- -,- -,- -,90000,- -,- -,- -,- -,10000,250501,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,217000,2449916,1618855,2305627,1154992,13666917,- -,- -,- -,269000,55000,128500,185000,425000,279500,58500,323500,118340,961255
95,Cash Used/Provided by Financing Activities,939404,3446774,3853872,3161127,1881658,1057952,- -,- -,- -,269000,145000,128500,185000,420000,279500,68500,574001,118340,887555
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-17627,768812,5623,-614228,15738,33383,- -,- -,- -,-12886,461,-406,6065,-4324,507,9099,7256,11583,94915
98,Cash at the End of Period,18400,832130,837753,223525,44156,77539,- -,- -,- -,10,471,65,6130,1806,2313,11412,18668,30251,125166
99,Cash at the Beginning of Period,36027,63318,832130,837753,28418,44156,- -,- -,- -,12896,10,471,65,6130,1806,2313,11412,18668,30251
100,Free Cash Flow,-957031,-2677962,-3217257,-3775355,-1865920,-950777,- -,- -,- -,-281886,-144539,-128906,-178935,-424324,-278993,-59401,-566745,-106757,-792640
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082733/000116923208004312/0001169232-08-004312-index.htm,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1082733/000149315215004104/0001493152-15-004104-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315216007114/0001493152-16-007114-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315215004104/0001493152-15-004104-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315216014027/0001493152-16-014027-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000149315217011047/0001493152-17-011047-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315218012383/0001493152-18-012383-index.html,https://www.sec.gov/Archives/edgar/data/1082733/000149315219014676/0001493152-19-014676-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000165495420010986/0001654954-20-010986-index.htm,https://www.sec.gov/Archives/edgar/data/1082733/000165495421011057/0001654954-21-011057-index.htm
102,false,,,,,,,,,,,,,,,,,,,
