,https://roic.ai/company/LZ,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,16390000,20097000,16686000
75,Deferred Income Tax,- -,- -,472000,1325000,-11595000
76,Stock Based Compensation,- -,- -,5181000,12894000,112596000
77,Change in Working Capital,- -,- -,-86996000,22940000,103924000
78,Accounts Receivable,- -,- -,-413000,954000,-1511000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,3914000,12416000,2360000
81,Other Working Capital,- -,- -,-89312000,-66372000,37552000
82,Other Non-Cash Items,- -,- -,110205000,25897000,-58795000
83,Cash Provided by Operating Activities,- -,- -,52695000,93049000,54152000
84,CAPEX,- -,- -,-18349000,-10587000,-11740000
85,Acquisitions Net,- -,- -,-355000,-2140000,-61523000
86,Purchases of Investments,- -,- -,-2013000,- -,-4410000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-20717000,-12727000,-77673000
90,Debt Repayment,- -,- -,-5376000,-46630000,-525663000
91,Common Stock Issued,- -,- -,- -,- -,666883000
92,Common Stock Repurchased,- -,- -,-6246000,-8411000,-2342000
93,Dividends Paid,- -,- -,-877000,-284000,-112000
94,Other Financing Activites,- -,- -,-353000,40236000,-15407000
95,Cash Used/Provided by Financing Activities,- -,- -,-12852000,-15089000,123359000
96,Effect of Forex Changes on Cash,- -,- -,-495000,57000,-11000
97,Net Change In Cash,- -,- -,18631000,65290000,99827000
98,Cash at the End of Period,- -,- -,74180000,139470000,239297000
99,Cash at the Beginning of Period,- -,- -,55549000,74180000,139470000
100,Free Cash Flow,- -,- -,34346000,82462000,42412000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1286139/000128613922000048/0001286139-22-000048-index.htm
102,false,,,,,
