,https://roic.ai/company/WOW,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,270800000,251000000,191400000,224100000,227400000,235000000,320900000
54,Long-Term Debt,- -,2861600000,2848500000,2227200000,2271400000,2259500000,37000000,737300000
55,Deferred Revenue,- -,10800000,14500000,800000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,406500000,370200000,220400000,201400000,192500000,- -,257600000
57,Other Non-Current Liabilities,- -,1000000,4600000,6200000,13000000,38100000,13000000,20100000
58,Total Non-Current Liabilities,- -,3279900000,3237800000,2454600000,2485800000,2490100000,50000000,1015000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,2514000000,- -
60,Capital Lease Obligations,- -,- -,- -,2227200000,- -,29500000,27800000,18900000
61,Total Liabilities,- -,3550700000,3488800000,2646000000,2709900000,2717500000,2699000000,1335900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,900000,900000,900000,1000000,1000000
64,Retained Earnings,- -,-686200000,-659900000,-500400000,-519300000,-474400000,- -,310500000
65,Other Comprehensive Income/Loss,- -,-1301600000,-1467700000,-1598600000,-6500000,-15500000,-6500000,- -
66,Other Total Stockholders Equity,- -,1121800000,1409600000,1893700000,234600000,243100000,-206900000,259300000
67,Total Stockholders Equity,- -,-866000000,-718000000,-204400000,-290300000,-245900000,-212400000,570800000
68,Total Liabilities And Stockholders Equity,- -,2684700000,2770800000,2441600000,2419600000,2471600000,2486600000,1906700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-862600000,- -
70,Total Liabilities & Equity,- -,2684700000,2770800000,2441600000,2419600000,2471600000,1624000000,1906700000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1701051/000104746918001643/0001047469-18-001643-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837019001626/0001558370-19-001626-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837020002015/0001558370-20-002015-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837021001595/0001558370-21-001595-index.htm,https://www.sec.gov/Archives/edgar/data/1701051/000155837022001834/0001558370-22-001834-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-27300000,-48700000,26300000,159500000,-90600000,36400000,14000000,770500000
74,Depreciation and Amortization,251300000,221100000,207000000,198100000,186900000,206200000,230000000,210300000
75,Deferred Income Tax,-17400000,4400000,-36300000,-149800000,-54000000,4300000,5000000,54900000
76,Stock Based Compensation,- -,- -,1100000,13400000,13000000,10100000,11000000,15300000
77,Change in Working Capital,1400000,-99400000,-22100000,95300000,-85500000,3000000,-12300000,105900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-28000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-99400000,-121500000,-26200000,-111700000,-108700000,-121000000,- -
82,Other Non-Cash Items,-6500000,130800000,15200000,-121000000,299500000,6300000,29300000,-982900000
83,Cash Provided by Operating Activities,201500000,208200000,191200000,195500000,269300000,266300000,277000000,174000000
84,CAPEX,-251900000,-231900000,-287500000,-301300000,-314100000,-247500000,- -,-207700000
85,Acquisitions Net,-5100000,- -,-54300000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,17700000,- -,- -,- -,- -,- -
88,Other Investing Activites,10700000,-232500000,-284800000,435800000,26400000,23400000,-300000,1559300000
89,Cash Used for Investing Activites,5600000,-232500000,-321400000,134500000,-287700000,-224100000,-234300000,1559300000
90,Debt Repayment,-151400000,-1581600000,-2529600000,-3082200000,-74300000,-112800000,-141000000,-2303500000
91,Common Stock Issued,- -,- -,- -,334100000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-4800000,-73300000,-1600000,- -,-8500000
93,Dividends Paid,- -,- -,-2200000,- -,- -,- -,- -,- -
94,Other Financing Activites,191300000,1408600000,2626200000,2461500000,109800000,80000000,89300000,759500000
95,Cash Used/Provided by Financing Activities,39900000,-173000000,94400000,-291400000,-37800000,-34400000,-51700000,-1552500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,247000000,-197300000,-35800000,38600000,-56200000,7800000,-9000000,180800000
98,Cash at the End of Period,263900000,66600000,30800000,69400000,13200000,21000000,12000000,193200000
99,Cash at the Beginning of Period,16900000,263900000,66600000,30800000,69400000,13200000,21000000,12400000
100,Free Cash Flow,-50400000,-23700000,-96300000,-105800000,-44800000,18800000,277000000,-33700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701051/000104746918001643/0001047469-18-001643-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837019001626/0001558370-19-001626-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837020002015/0001558370-20-002015-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837021001595/0001558370-21-001595-index.htm,https://www.sec.gov/Archives/edgar/data/1701051/000155837022001834/0001558370-22-001834-index.htm
102,false,,,,,,,,
