,https://roic.ai/company/BATRK,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,61000000,145000000,92000000,99000000,94000000,945000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,22000000,30000000,55000000,75000000,87000000,2554000000
45,Total Non-Current Assets,- -,1409000000,1646000000,1548000000,1326000000,1327000000,39539000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1548000000,1866000000,1805000000,1593000000,1571000000,44351000000
48,Accounts Payable,- -,141000000,58000000,29000000,63000000,53000000,1832000000
49,Short-Term Debt,- -,- -,13000000,14000000,59000000,59000000,2891000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,44000000,51000000,54000000,70000000,90000000,1790000000
52,Other Current Liabilities,- -,-17000000,-31000000,-13000000,-4000000,-29000000,97000000
53,Total Current Liabilities,- -,168000000,91000000,84000000,188000000,173000000,6610000000
54,Long-Term Debt,- -,328000000,649000000,477000000,495000000,611000000,15699000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,48000000,62000000,69000000,61000000,52000000,2218000000
57,Other Non-Current Liabilities,- -,604000000,637000000,737000000,471000000,444000000,987000000
58,Total Non-Current Liabilities,- -,980000000,1348000000,1283000000,1027000000,1107000000,18904000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1148000000,1439000000,1367000000,1215000000,1280000000,25514000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-13000000,-51000000,-96000000,-128000000,-178000000,- -
66,Other Total Stockholders Equity,- -,413000000,478000000,534000000,506000000,469000000,- -
67,Total Stockholders Equity,- -,385000000,413000000,446000000,378000000,291000000,14672000000
68,Total Liabilities And Stockholders Equity,- -,1533000000,1852000000,1813000000,1593000000,1571000000,40186000000
69,Minority Interest,- -,15000000,14000000,-8000000,- -,- -,4165000000
70,Total Liabilities & Equity,- -,1548000000,1866000000,1805000000,1593000000,1571000000,44351000000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1560385/000155837017001148/0001558370-17-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837018001342/0001558370-18-001342-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837019001329/0001558370-19-001329-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837020001494/0001558370-20-001494-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-62000000,-25000000,5000000,-77000000,-78000000,-11000000
74,Depreciation and Amortization,- -,32000000,67000000,76000000,71000000,69000000,72000000
75,Deferred Income Tax,- -,-18000000,-37000000,-15000000,-15000000,-38000000,8000000
76,Stock Based Compensation,- -,9000000,48000000,11000000,17000000,6000000,12000000
77,Change in Working Capital,- -,88000000,158000000,44000000,-94000000,-8000000,-44000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,105000000,-15000000,-22000000,23000000,41000000,-1000000
81,Other Working Capital,- -,-29000000,129000000,173000000,79000000,71000000,- -
82,Other Non-Cash Items,- -,40000000,-253000000,-18000000,173000000,-6000000,25000000
83,Cash Provided by Operating Activities,- -,89000000,-42000000,103000000,75000000,-55000000,62000000
84,CAPEX,- -,-360000000,-219000000,-33000000,-103000000,-81000000,-35000000
85,Acquisitions Net,- -,-20000000,-2000000,- -,-4000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,5000000,155000000,- -,- -,2000000
88,Other Investing Activites,- -,-393000000,-224000000,4000000,-103000000,-77000000,-27000000
89,Cash Used for Investing Activites,- -,-413000000,-221000000,159000000,-107000000,-77000000,-25000000
90,Debt Repayment,- -,-276000000,-218000000,-317000000,-31000000,-114000000,-93000000
91,Common Stock Issued,- -,203000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,491000000,506000000,105000000,85000000,219000000,115000000
95,Cash Used/Provided by Financing Activities,- -,418000000,288000000,-212000000,54000000,105000000,22000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,94000000,25000000,50000000,22000000,-27000000,59000000
98,Cash at the End of Period,- -,107000000,132000000,190000000,212000000,185000000,244000000
99,Cash at the Beginning of Period,- -,13000000,107000000,140000000,190000000,212000000,185000000
100,Free Cash Flow,- -,-271000000,-261000000,70000000,-28000000,-136000000,27000000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1560385/000155837017001148/0001558370-17-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837018001342/0001558370-18-001342-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837019001329/0001558370-19-001329-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837020001494/0001558370-20-001494-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
102,false,,,,,,,
