,https://roic.ai/company/SUIC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,- -,3300,1670000,10000,13650000,10000,1073560,5280,23298,- -,- -,- -,108879,193354
45,Total Non-Current Assets,- -,- -,- -,150000,6530000,33920000,13650000,1160000,1073560,5280,169440,- -,- -,- -,109129,193554
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20000,- -,10000000,26650000,38730000,14500000,3340000,3000700,1957610,2240990,65040,45880,168440,314387,592429
48,Accounts Payable,- -,- -,- -,8390000,11250000,1900000,- -,1090000,559900,350630,- -,4630,14640,9350,- -,- -
49,Short-Term Debt,- -,- -,2250,- -,- -,- -,- -,1420732,538675,512268,427168,95000,85000,190000,287000,172734
50,Tax Payable,- -,450,710,314511,3757791,47219,8640,1952,4954,25196,3417,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,470223,141080,78943,- -,132000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,7750,620000,4430000,18560000,12049777,-691812,642772,164692,865162,43920,25070,53650,95578,475862
53,Total Current Liabilities,- -,- -,10000,9010000,15680000,20460000,12520000,1960000,1820290,1027590,1424330,143550,124710,253000,382578,648596
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,750000,506620,361750,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433460,- -,- -,- -,-1,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,750000,506620,361750,433460,- -,- -,- -,-1,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,10000,9010000,15680000,20460000,12520000,2710000,2326910,1389340,1857790,143550,124710,253000,382577,592429
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10000,10000,30000,30000,30000,30000,230000,233760,58440,58990,33500,33500,33500,33504,33504
64,Retained Earnings,- -,-30000,-60000,940000,9750000,16450000,40000,-440000,-513850,-646230,-960230,-1759740,-1760060,-1765800,-1749425,-1737402
65,Other Comprehensive Income/Loss,- -,- -,- -,218,261489,747773,878523,894127,836701,775574,690504,-2000000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,35417,36788,23342,926971,1038333,1033469,-53136,117172,380486,593939,3647732,1647737,1647736,1647731,1647731
67,Total Stockholders Equity,- -,15417,-13212,993560,10968460,18266106,1981992,630991,673783,568270,383203,-78508,-78823,-84564,-68190,-56167
68,Total Liabilities And Stockholders Equity,- -,20000,-3212,10003560,26648460,38726106,14501992,3340991,3000693,1957610,2240993,65042,45887,168436,314387,536262
69,Minority Interest,- -,- -,3212,-3560,1540,3894,-1992,-991,7,- -,-3,-2,-7,4,- -,56167
70,Total Liabilities & Equity,- -,20000,- -,10000000,26650000,38730000,14500000,3340000,3000700,1957610,2240990,65040,45880,168440,314387,592429
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1394108/000135028409000032/0001350284-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/1394108/000135028410000012/0001350284-10-000012-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1394108/000155479513000584/0001554795-13-000584-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479515000012/0001554795-15-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1394108/000155479516000852/0001554795-16-000852-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479517000206/0001554795-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479518000179/0001554795-18-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479519000099/0001554795-19-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479520000152/suic0520form10k.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479521000102/0001554795-21-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479522000132/0001554795-22-000132-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-30000,-30000,940000,8800000,6710000,-60000,-480000,-72780,-132390,-314000,-799510,-320,-5740,16373,- -
74,Depreciation and Amortization,- -,384,384,- -,323,501,348373,25244,13528,5100,32751,- -,- -,- -,50,50
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,20000,-30000,850000,3600000,-20090000,3980000,11890000,-113150,817890,-277520,-725730,-320,-5730,-92760,-72401
78,Accounts Receivable,- -,- -,- -,-9696095,9614815,-2787398,3016062,-1249529,792628,-85433,-185869,-15000,-5000,-85000,-45000,-189025
79,Inventory,- -,- -,- -,- -,- -,-1396837,748141,-38074,30189,59245,-81058,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,94,8391981,2481551,-8941309,-1916255,338098,-534571,-209269,233969,- -,-5000,- -,- -,- -
81,Other Working Capital,- -,20000,-10000,840000,4440000,-15650000,-11670000,220000,106850,924740,647220,-78510,-78830,-84560,-177320,-249721
82,Other Non-Cash Items,- -,-17655,37980,-2025367,12263821,2969321,-6971067,-12388953,462009,-992483,387577,1502246,-13522,-105976,21462,-95791
83,Cash Provided by Operating Activities,- -,-27271,-21636,-235367,24664144,-10396178,-2702694,-953709,289607,-301883,-171192,-22994,-14162,-117446,-54875,-168142
84,CAPEX,- -,- -,- -,-841,-6252344,-7753936,- -,-2158,- -,- -,-187783,- -,- -,- -,-300,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-519750,- -,- -,- -,- -,- -,-30000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,93402,22732,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,50000,-19768341,-7753936,8876590,1011,-3465,944199,-178348,-2810,- -,- -,-300,- -
89,Cash Used for Investing Activites,- -,- -,- -,49159,-24503649,-7753936,8876590,-1147,-523215,1037601,-165051,-2810,- -,- -,-30300,- -
90,Debt Repayment,- -,- -,- -,- -,-95994,- -,- -,-497608,-247091,-144868,-85100,- -,-30000,- -,- -,- -
91,Common Stock Issued,- -,41900,- -,- -,910000,90000,- -,352000,- -,88000,214004,105000,- -,- -,- -,- -
92,Common Stock Repurchased,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4000,266527,-404709,17297322,-6157642,1083340,524641,-524797,255009,-48392,20000,105000,97000,172734
95,Cash Used/Provided by Financing Activities,10000,41900,4000,266527,409297,17387322,-6157642,937732,277550,-581665,383913,56608,-10000,105000,97000,172734
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,5482,125418,-7760,29450,16226,-61127,-85070,16224,- -,- -,- -,- -
97,Net Change In Cash,- -,14629,-17636,266527,575274,-637374,8494,12325,60168,92926,-37400,47028,-24162,-12446,11823,4592
98,Cash at the End of Period,25880,18019,383,80366,655640,18266,26760,140987,198906,291832,254432,50044,25882,13435,25258,29850
99,Cash at the Beginning of Period,25880,3390,18019,- -,80366,655640,18266,128662,138738,198906,291832,3016,50044,25881,13435,25258
100,Free Cash Flow,- -,-27271,-21636,-236208,18411800,-18150114,-2702694,-955867,289607,-301883,-358975,-22994,-14162,-117446,-55175,-168142
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1394108/000135028409000032/0001350284-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/1394108/000135028410000012/0001350284-10-000012-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1394108/000155479513000584/0001554795-13-000584-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479515000012/0001554795-15-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1394108/000155479516000852/0001554795-16-000852-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479517000206/0001554795-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479518000179/0001554795-18-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479519000099/0001554795-19-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479520000152/suic0520form10k.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479521000102/0001554795-21-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479522000132/0001554795-22-000132-index.htm
102,false,,,,,,,,,,,,,,,,
