,https://roic.ai/company/TTMI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,10786612,20218000,13195000,10122000,9270000,9811000,10555000,15686000,34095000,27874000,22707000,62542000,87125000,98970000,101452000,103736000,152396000,- -,180481000,225734000,219870000,166129000,- -
15,EBITDA,11395372,46390000,30378000,9429000,20613000,51324000,38872000,71788000,85363000,-30839000,42028000,185066000,181502000,-37113000,163239000,149857000,220861000,- -,322777000,394460000,349288000,386929000,- -
16,EBITDA ratio,0.1071,0.2277,0.2355,0.1060,0.1143,0.2133,0.1618,0.1944,0.1275,-0.0453,0.0722,0.1569,0.1270,-0.0275,0.1193,0.1130,0.1054,- -,0.1274,0.1385,0.1299,0.1838,- -
17,Operating Income,12469412,45701000,19239000,-6494000,10218000,41235000,26442000,55034000,63580000,-49856000,18453000,125559000,91120000,-142017000,69128000,46539000,61342000,- -,173453000,159085000,120121000,28092000,- -
18,Operating Income ratio,0.1171,0.2243,0.1492,-0.0730,0.0567,0.1713,0.1101,0.1490,0.0950,-0.0732,0.0317,0.1064,0.0638,-0.1053,0.0505,0.0351,0.0293,- -,0.0685,0.0559,0.0447,0.0133,- -
19,Total Other Income Expenses (Gains),-10377483,-12737000,-2056000,-495000,-328000,278000,1875000,1068000,-12312000,-8857000,-10330000,-16922000,-17888000,-26355000,-29356000,-24248000,-52366000,- -,-106451000,-69317000,-73937000,-74369000,- -
20,Income Before Tax,2091929,32964000,17183000,-6989000,9890000,41513000,28317000,56102000,51268000,-58713000,8123000,108637000,73232000,-168372000,39772000,22291000,8976000,- -,67002000,89768000,46184000,-46277000,- -
21,Income Before Tax Ratio,0.0197,0.1618,0.1332,-0.0785,0.0548,0.1725,0.1179,0.1519,0.0766,-0.0862,0.0139,0.0921,0.0513,-0.1248,0.0291,0.0168,0.0043,- -,0.0264,0.0315,0.0172,-0.0220,- -
22,Income Tax expense (Gain),836110,-1900000,6189000,-2278000,3901000,13183000,-2524000,21063000,16585000,-23443000,3266000,28738000,26005000,12728000,15879000,7598000,34594000,- -,31427000,-83816000,4883000,-29891000,- -
23,Net Income,-227350,28072000,10994000,1585000,7442000,28330000,30841000,35039000,34683000,-35270000,4857000,71531000,41868000,-174595000,21877000,14693000,-25882000,- -,34861000,173584000,41301000,177535000,- -
24,Net Income ratio,-0.0021,0.1378,0.0852,0.0178,0.0413,0.1177,0.1284,0.0949,0.0518,-0.0518,0.0083,0.0606,0.0293,-0.1295,0.0160,0.0111,-0.0124,- -,0.0138,0.0610,0.0154,0.0843,- -
25,EPS,-0.01,0.88,0.29,0.04,0.19,0.69,0.75,0.84,0.82,-0.83,0.12,1.02,0.48,-2.11,0.27,0.18,-0.28,- -,0.35,1.68,0.39,1.67,- -
26,EPS Diluted,-0.01,0.82,0.28,0.04,0.18,0.68,0.74,0.83,0.81,-0.83,0.12,1.01,0.48,-2.11,0.26,0.18,-0.28,- -,0.34,1.38,0.39,1.67,- -
27,Weighted Average Shares Outstanding,22312000,31900000,37910345,39625000,39168421,41057971,41121333,41713095,42296341,42681000,43080000,70220000,81176000,81800000,82506000,83238000,92675000,- -,100099000,103355000,105195000,106366000,- -
28,Weighted Average Shares Outstanding Diluted,22669000,34234146,39264286,39625000,41344444,41661765,41677027,42215663,42818519,42681000,43579000,70819000,81944000,81800000,83132000,83941000,92675000,- -,101482000,134036000,106332000,106366000,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1116942/000156459021007045/0001564590-21-007045-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1316362,9294000,24490000,18879000,24237000,43188000,61258000,59660000,18681000,148465000,94347000,216078000,196052000,285433000,330600000,279042000,259100000,- -,256277000,256360000,400154000,451565000,- -
32,Short-Term Investments,- -,- -,- -,- -,7508000,15350000,21100000,10996000,- -,3657000,1351000,- -,3566000,390000,600000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1316362,9294000,24490000,18879000,31745000,58538000,82358000,70656000,18681000,152122000,95698000,216078000,199618000,285823000,331200000,279042000,259100000,- -,256277000,256360000,400154000,451565000,- -
34,Net Receivables,21555428,33690000,11208000,17913000,29349000,35935000,38631000,126152000,120818000,118664000,89519000,287703000,316568000,301557000,290400000,312867000,456000000,- -,432788000,810906000,791899000,381105000,- -
35,Inventory,5992416,6893000,3126000,10485000,8617000,8993000,12564000,67020000,65675000,71011000,60153000,135385000,129430000,146012000,138100000,145187000,268923000,- -,269212000,109377000,122019000,115651000,- -
36,Other Current Assets,320095,419000,5147000,12977000,5176000,2868000,6862000,7920000,14762000,11333000,137189000,37333000,25918000,32220000,45300000,61027000,38497000,- -,54564000,30271000,28612000,300437000,- -
37,Total Current Assets,29184301,50296000,43971000,60254000,74887000,106334000,140415000,271748000,219936000,353130000,382559000,676499000,671534000,765612000,805000000,798123000,1022520000,- -,1012841000,1206914000,1342684000,1248758000,- -
38,PP&E,27547052,44774000,50906000,45569000,43536000,52174000,51798000,150837000,123646000,114931000,88577000,740630000,766800000,833678000,810700000,754718000,1103067000,- -,966638000,1052024000,1047085000,650435000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,115627000,130126000,14149000,14130000,197808000,183320000,12120000,12100000,12111000,346990000,- -,372609000,767045000,774791000,637324000,- -
40,Intangible Assets,87912721,83028000,78220000,77018000,76108000,74789000,73471000,26235000,22128000,18330000,15111000,97873000,80508000,36984000,27700000,19250000,150874000,- -,126613000,375923000,332008000,281307000,- -
41,Intangible Assets,87912721,83028000,78220000,77018000,76108000,74789000,73471000,141862000,152254000,32479000,29241000,295681000,263828000,49104000,39800000,31361000,497864000,- -,499222000,1142968000,1106799000,918631000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1709000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,19219000,14442000,10343000,1051000,6834000,2685000,- -,49183000,37430000,23733000,21798000,15263000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,23683273,24035000,760000,223000,983000,1422000,625000,6566000,2962000,6527000,3542000,25409000,25109000,13305000,18100000,17087000,16682000,- -,21375000,55597000,64365000,- -,- -
45,Total Non-Current Assets,139143046,151837000,149105000,137252000,130970000,129436000,132728000,301950000,278862000,203120000,160499000,1085453000,1077535000,911350000,868600000,803166000,1617613000,- -,1487235000,2250589000,2218249000,1569066000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,168327347,202133000,193076000,197506000,205857000,235770000,273143000,573698000,498798000,556250000,543058000,1761952000,1749069000,1676962000,1673600000,1601289000,2640133000,- -,2500076000,3457503000,3560933000,2817824000,- -
48,Accounts Payable,6500583,9984000,5861000,12540000,7862000,9530000,11310000,49276000,53632000,48750000,37867000,154600000,149055000,186745000,211900000,235276000,377222000,- -,371610000,431288000,483566000,327102000,- -
49,Short-Term Debt,- -,7031000,4500000,2222000,4444000,- -,1052000,60705000,40000000,- -,- -,67123000,120882000,30004000,96204000,128045000,157375000,- -,110652000,30000000,249975000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,9252000,4037000,3910000,7159000,4923000,- -,- -,- -,11345000,12899000,2428000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3220000,3838000,- -,- -
52,Other Current Liabilities,8689026,11095000,4511000,5087000,10229000,14159000,16829000,34362000,27465000,23981000,21580000,196477000,167203000,153131000,149896000,132691000,210397000,- -,206803000,208706000,209287000,190944000,- -
53,Total Current Liabilities,15189609,28110000,14872000,19849000,22535000,23689000,29191000,144343000,121097000,72731000,59447000,418200000,437140000,369880000,458000000,496012000,744994000,- -,689065000,673214000,946666000,518046000,- -
54,Long-Term Debt,128916531,36281000,28125000,7778000,3333000,- -,- -,140000000,45000000,175000000,139882000,458278000,368518000,527541000,477500000,374642000,1013411000,- -,909030000,1462425000,1242479000,842853000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1688000,- -,- -,12608000,14718000,9441000,5421000,2913000,13148000,- -,14049000,- -,- -,- -,- -
57,Other Non-Current Liabilities,7684120,- -,- -,2453000,1662000,455000,1052000,2040000,2419000,2522000,2812000,40008000,6023000,17270000,27379000,12258000,49475000,- -,67085000,94777000,92751000,73825000,- -
58,Total Non-Current Liabilities,136600651,36281000,28125000,10231000,4995000,455000,1052000,142040000,49107000,177522000,142694000,510894000,389259000,554252000,510300000,389813000,1076034000,- -,990164000,1557202000,1335230000,916678000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16517000,17211000,- -
61,Total Liabilities,151790260,64391000,42997000,30080000,27530000,24144000,29191000,286383000,170204000,250253000,202141000,929094000,826399000,924132000,968300000,885825000,1821028000,- -,1679229000,2230416000,2281896000,933889000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,37505000,132937000,134228000,149936000,153256000,158190000,41000,42000,42000,43000,43000,80000,81000,82000,100000,83000,99000,- -,100000,104000,106000,107000,- -
64,Retained Earnings,-22986913,5085000,16079000,17664000,25106000,53436000,84277000,119316000,154337000,119067000,122283000,193814000,228661000,45921000,83000000,97657000,71775000,- -,106636000,433008000,474309000,651844000,- -
65,Other Comprehensive Income/Loss,-17307552,-22644000,-29893000,-174000,-35000,-40667000,-46221000,107000,850000,3166000,3130000,15310000,44617000,61915000,64296000,52251000,27435000,- -,-12480000,-3920000,-10086000,-38913000,- -
66,Other Total Stockholders Equity,19326552,22364000,29665000,- -,- -,40667000,205855000,- -,173365000,183721000,215461000,519051000,535558000,546029000,557899000,565473000,719796000,- -,726591000,797895000,- -,830971000,- -
67,Total Stockholders Equity,16537087,137742000,150079000,167426000,178327000,211626000,243952000,287315000,328594000,305997000,340917000,728255000,808917000,653947000,705295000,715464000,819105000,- -,820847000,1227087000,1279037000,1444009000,- -
68,Total Liabilities And Stockholders Equity,168327347,202133000,193076000,197506000,205857000,235770000,273143000,573698000,498798000,556250000,543058000,1657349000,1635316000,1578079000,1673595000,1601289000,2640133000,- -,2500076000,3457503000,3560933000,2377898000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104603000,113753000,98883000,5000,- -,- -,- -,- -,- -,- -,439926000,- -
70,Total Liabilities & Equity,168327347,202133000,193076000,197506000,205857000,235770000,273143000,573698000,498798000,556250000,543058000,1761952000,1749069000,1676962000,1673600000,1601289000,2640133000,- -,2500076000,3457503000,3560933000,2817824000,- -
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1116942/000156459021007045/0001564590-21-007045-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-227350,28072000,10994000,1585000,7442000,28330000,30841000,35039000,34683000,-35270000,4857000,71531000,41868000,-174595000,21877000,14693000,-25882000,- -,34861000,173584000,41301000,177535000,- -
74,Depreciation and Amortization,10786612,20218000,13195000,10122000,9270000,9811000,10555000,15686000,34095000,27874000,22707000,62542000,87125000,98970000,101452000,103736000,152396000,- -,180481000,225734000,219870000,166129000,- -
75,Deferred Income Tax,1827,-8828000,2513000,3004000,4227000,9211000,-8564000,4925000,1831000,-37026000,-4841000,15894000,4169000,-544000,8116000,2018000,23892000,- -,900000,-98291000,-12454000,6653000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6265000,6913000,8075000,10266000,8985000,7800000,9661000,- -,11090000,20681000,16816000,16073000,- -
77,Change in Working Capital,-13310134,8191308,6913000,11306000,11947000,30293000,28579000,16181000,-28566000,181560000,42713000,-64813000,-23905000,161338000,-48732000,-44889000,-24585000,- -,46250000,32749000,-137682000,334694000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25686000,- -,- -,-20927000,-96394000,-22485000,66062000,- -,23212000,1366000,19501000,122547000,- -
79,Inventory,-2375234,-901000,3767000,1796000,1939000,-376000,-3571000,-623000,1628000,-4854000,10850000,-8830000,6273000,-16581000,-9332000,-7113000,8482000,- -,-289000,18254000,-12642000,1380000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9996000,23400000,-17843000,65923000,35362000,23937000,-31916000,- -,-7796000,-45739000,42045000,1210000,- -
81,Other Working Capital,13994692,22186000,29099000,40405000,52352000,82645000,111224000,127405000,98839000,280399000,323112000,258299000,234394000,395732000,347000000,302111000,277526000,- -,323776000,533700000,396018000,730712000,- -
82,Other Non-Cash Items,521688,-3961308,4630000,-16006000,-14304000,-28835000,-30384000,-39047000,31941000,-61620000,2276000,33752000,62013000,87130000,-20310000,46452000,101980000,- -,24754000,-81319000,184086000,-413908000,- -
83,Cash Provided by Operating Activities,-2227357,43692000,38245000,10011000,18582000,48810000,31027000,32784000,73984000,75518000,73977000,125819000,179345000,182565000,71388000,129810000,237462000,- -,298336000,273138000,311937000,287176000,- -
84,CAPEX,-4489758,-22921000,-12071000,-7674000,-6564000,-17502000,-7962000,-14299000,-14040000,-17675000,-11857000,-68489000,-142750000,-139550000,-103347000,-109624000,-99925000,- -,-85139000,-150127000,-142576000,-103289000,- -
85,Acquisitions Net,-95475369,- -,- -,-860000,- -,- -,- -,-230920000,- -,- -,- -,-28529000,- -,- -,- -,- -,-169162000,- -,- -,-596396000,- -,507466000,- -
86,Purchases of Investments,- -,- -,- -,- -,-8508000,-46017000,-68915000,-40909000,- -,-19522000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1000000,52769000,63290000,51335000,11000000,15865000,2631000,1351000,388000,2898000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,58800,-1158000,-1105000,17000,-15000,1474000,4000,214000,1335000,165000,-119621000,128623000,1745000,208000,67658000,1053000,21427000,- -,7171000,331000,6604000,115000,- -
89,Cash Used for Investing Activites,-99906327,-24079000,-13176000,-8517000,-14087000,-9276000,-13583000,-234579000,-1705000,-21167000,-128497000,32956000,-140617000,-136444000,-35689000,-108571000,-247660000,- -,-77968000,-746192000,-135972000,404292000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-425967000,-67122000,-412180000,-201377000,-109568000,-968866000,- -,-1022625000,-292982000,-30010000,-649975000,- -
91,Common Stock Issued,37500000,91958000,814000,15754000,3320000,1788000,858000,4957000,1712000,28591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-234000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,65752757,-103593000,-10687000,-22625000,-2457000,-7777000,-232000,195070000,-115540000,46202000,440000,390599000,11907000,457248000,214362000,32427000,963110000,- -,805516000,614038000,-1803000,7669000,- -
95,Cash Used/Provided by Financing Activities,103252757,-11635000,-9873000,-7105000,863000,-5989000,626000,200027000,-113828000,74793000,440000,-35368000,-55215000,45068000,12985000,-77141000,-5756000,- -,-217109000,321056000,-31813000,-642306000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,170000,570000,640000,-38000,-1676000,-3539000,-1808000,-3563000,4390000,-3988000,- -,-6082000,-968000,-358000,2249000,- -
97,Net Change In Cash,1119073,7978000,15196000,-5611000,5358000,33545000,18070000,-1598000,-40979000,129784000,-54118000,121731000,-20026000,89381000,45121000,-51512000,-19942000,- -,-2823000,-152966000,143794000,51411000,- -
98,Cash at the End of Period,1316362,9294000,24490000,18879000,24237000,43188000,61258000,59660000,18681000,148465000,94347000,216078000,196052000,285433000,330554000,279042000,259100000,- -,256277000,256360000,400154000,451565000,- -
99,Cash at the Beginning of Period,197289,1316000,9294000,24490000,18879000,9643000,43188000,61258000,59660000,18681000,148465000,94347000,216078000,196052000,285433000,330554000,279042000,- -,259100000,409326000,256360000,400154000,- -
100,Free Cash Flow,-6717115,20771000,26174000,2337000,12018000,31308000,23065000,18485000,59944000,57843000,62120000,57330000,36595000,43015000,-31959000,20186000,137537000,- -,213197000,123011000,169361000,183887000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1116942/000156459021007045/0001564590-21-007045-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,
