,https://roic.ai/company/FRGI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,23161822,23161822,22890018,23271431,26293714,- -,26515029,26821471,26890577,26500356,- -,25341415
28,Weighted Average Shares Outstanding Diluted,- -,23161822,23161822,22890018,23271431,26296049,- -,26522196,26821471,26894083,26500356,- -,25341415
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534992/000153499214000011/0001534992-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499215000009/0001534992-15-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1534992/000153499216000043/0001534992-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499218000010/0001534992-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499219000008/0001534992-19-000008-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1534992/000153499221000020/0001534992-21-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,13670000,15533000,11000000,5087000,- -,5281000,3599000,5258000,13413000,- -,50035000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,13670000,15533000,11000000,5087000,- -,5281000,3599000,5258000,13413000,- -,50035000
34,Net Receivables,- -,- -,4842000,5935000,10500000,11314000,- -,16665000,21164000,26362000,11754000,- -,18283000
35,Inventory,- -,- -,2264000,2750000,2600000,2719000,- -,2910000,2880000,2842000,3394000,- -,4205000
36,Other Current Assets,- -,- -,6833000,6739000,8800000,6060000,- -,6382000,13405000,9937000,10722000,- -,11503000
37,Total Current Assets,- -,- -,27609000,30957000,32900000,25180000,- -,31238000,41048000,44399000,39283000,- -,84026000
38,PP&E,- -,- -,195122000,126516000,144500000,191371000,- -,248992000,234561000,231328000,463216000,- -,422385000
39,Goodwill,- -,- -,123484000,123484000,123500000,123484000,- -,123484000,123484000,123484000,56307000,- -,56307000
40,Intangible Assets,- -,- -,301000,202000,100000,40000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,123785000,123686000,123600000,123484000,- -,123484000,123484000,123484000,56307000,- -,56307000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,11659000,13101000,- -,- -,- -,- -,17232000,- -,4759000,- -,- -
44,Other Non-Current Assets,- -,- -,11991000,9469000,17800000,17921000,- -,11931000,6988000,19448000,5076000,- -,6025000
45,Total Non-Current Assets,- -,- -,342557000,272772000,285900000,332776000,- -,384407000,382265000,374260000,529358000,- -,484717000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,370166000,303729000,318800000,357956000,- -,415645000,423313000,418659000,568641000,- -,568743000
48,Accounts Payable,- -,- -,7515000,10411000,10800000,10151000,- -,12405000,20293000,16410000,14776000,- -,13339000
49,Short-Term Debt,- -,- -,59000,60000,61000,61000,- -,69000,98000,108000,22550000,- -,20818000
50,Tax Payable,- -,- -,3197000,3653000,4505000,6977000,- -,9152000,8139000,7829000,8386000,- -,8947000
51,Deferred Revenue,- -,- -,- -,- -,3018000,2925000,- -,8497000,- -,10383000,- -,- -,- -
52,Other Current Liabilities,- -,- -,29099000,30807000,24221000,26286000,- -,25334000,39453000,19660000,26294000,- -,30752000
53,Total Current Liabilities,- -,- -,36673000,41278000,38100000,39423000,- -,46305000,59844000,46561000,63620000,- -,64909000
54,Long-Term Debt,- -,- -,200949000,203918000,74000000,68924000,- -,74275000,76425000,79636000,76823000,- -,72328000
55,Deferred Revenue,- -,- -,4055000,36096000,- -,- -,- -,- -,23466000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,36096000,3018000,2925000,- -,- -,- -,10383000,4759000,- -,4109000
57,Other Non-Current Liabilities,- -,- -,133161000,-24163000,45382000,47097000,- -,51083000,32062000,42020000,265203000,- -,279616000
58,Total Non-Current Liabilities,- -,- -,338165000,251947000,122400000,118946000,- -,125358000,131953000,132039000,346785000,- -,356053000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,123019000,3029000,1657000,1660000,- -,1663000,- -,1744000,279136000,- -,287889000
61,Total Liabilities,- -,- -,374838000,293225000,160500000,158369000,- -,171663000,191797000,178600000,410405000,- -,420962000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,227000,227000,300000,264000,- -,266000,268000,270000,271000,- -,273000
64,Retained Earnings,- -,- -,-8244000,23000,9300000,45456000,- -,83992000,64425000,72268000,1884000,- -,-8327000
65,Other Comprehensive Income/Loss,- -,- -,-159358000,- -,-152900000,-172909000,- -,-197003000,-220154000,-228090000,-257821000,- -,- -
66,Other Total Stockholders Equity,- -,- -,162703000,- -,301606000,326776000,- -,356727000,386977000,395611000,413902000,- -,155835000
67,Total Stockholders Equity,- -,- -,-4672000,10504000,158306000,199587000,- -,243982000,231516000,240059000,158236000,- -,147781000
68,Total Liabilities And Stockholders Equity,- -,- -,370166000,303729000,318806000,357956000,- -,415645000,423313000,418659000,568641000,- -,568743000
69,Minority Interest,- -,- -,- -,- -,-6000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,370166000,303729000,318800000,357956000,- -,415645000,423313000,418659000,568641000,- -,568743000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1534992/000153499214000011/0001534992-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499215000009/0001534992-15-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1534992/000153499216000043/0001534992-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499218000010/0001534992-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499219000008/0001534992-19-000008-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1534992/000153499221000020/0001534992-21-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,7043000,9541000,8267000,9300000,36176000,- -,38536000,-36232000,7787000,-84386000,- -,-10211000
74,Depreciation and Amortization,- -,19075000,19537000,18278000,20375000,23047000,- -,30575000,34957000,37604000,39195000,- -,38206000
75,Deferred Income Tax,- -,-2950000,-44000,-1030000,-178000,957000,- -,5483000,-2828000,6830000,10888000,- -,-650000
76,Stock Based Compensation,- -,1002000,1708000,1834000,2298000,3497000,- -,4293000,3545000,3469000,2844000,- -,3484000
77,Change in Working Capital,- -,1034000,- -,-1257000,5121000,-9043000,- -,-824000,1031000,16634000,-22175000,- -,43454000
78,Accounts Receivable,- -,901000,-1361000,-1093000,-77000,-329000,- -,-2877000,-1171000,805000,640000,- -,-951000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-173000,1892000,2398000,-1817000,-529000,- -,283000,1046000,-1797000,504000,- -,1309000
81,Other Working Capital,- -,-9064000,-9064000,-10321000,-5200000,-14243000,- -,-15067000,-18796000,-2162000,-24337000,- -,19117000
82,Other Non-Cash Items,- -,7325000,12425000,11883000,-740000,9472000,- -,3289000,50347000,-18521000,118666000,- -,-34011000
83,Cash Provided by Operating Activities,- -,32529000,43167000,37975000,36176000,64106000,- -,81352000,50820000,53803000,65032000,- -,40272000
84,CAPEX,- -,-24743000,-22865000,-43078000,-51463000,-74079000,- -,-87820000,-55866000,-57850000,-41247000,- -,-18369000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,3363000,- -,7934000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-23398000,-15082000,-38570000,-29629000,-66658000,- -,-87421000,-26353000,-52124000,-39431000,- -,8412000
89,Cash Used for Investing Activites,- -,-21380000,-15082000,-32718000,-34067000,-66658000,- -,-87671000,-55492000,-52124000,-39431000,- -,8412000
90,Debt Repayment,- -,-18085000,-139009000,-8206000,-222604000,-30061000,- -,-23553000,-85988000,-23101000,-35164000,- -,-244380000
91,Common Stock Issued,- -,- -,- -,- -,135286000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2769000,-14282000,- -,-3728000
93,Dividends Paid,- -,- -,-75469000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,5665000,197480000,4812000,80654000,26722000,- -,30066000,90063000,25850000,32000000,- -,239630000
95,Cash Used/Provided by Financing Activities,- -,-12420000,-16998000,-3394000,-6664000,-3339000,- -,6513000,4075000,-20000,-17446000,- -,-8478000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1271000,11087000,1863000,-4555000,-5891000,- -,194000,-597000,1659000,8155000,- -,40206000
98,Cash at the End of Period,- -,2583000,13670000,15533000,10978000,5087000,- -,5281000,3599000,5258000,13413000,- -,53619000
99,Cash at the Beginning of Period,- -,3854000,2583000,13670000,15533000,10978000,- -,5087000,4196000,3599000,5258000,- -,13413000
100,Free Cash Flow,- -,7786000,20302000,-5103000,-15287000,-9973000,- -,-6468000,-5046000,-4047000,23785000,- -,21903000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534992/000153499214000011/0001534992-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499215000009/0001534992-15-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1534992/000153499216000043/0001534992-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499218000010/0001534992-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1534992/000153499219000008/0001534992-19-000008-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1534992/000153499221000020/0001534992-21-000020-index.htm
102,false,,,,,,,,,,,,,
