,https://roic.ai/company/PRVB,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,206720,1141000,2842000,13223000,11839000
77,Change in Working Capital,- -,519856,38508509,22498000,27668000,6320000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,459747,109000,1207000,5793000,-4022000
81,Other Working Capital,- -,21149491,59658000,82156000,109824000,7105000
82,Other Non-Cash Items,- -,3525000,-35813509,-18120000,-18679000,501000
83,Cash Provided by Operating Activities,- -,-4881698,-22642000,-36065000,-76336000,-95385000
84,CAPEX,- -,- -,- -,- -,-1111000,-961000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-46250000,-28715000,-55285000
87,Sales/Maturities of Investments,- -,- -,- -,- -,55000000,25150000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-46250000,25174000,-31096000
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,1000,59347000,62941000,113139000,102329000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,26714752,- -,- -,1152000,48000
95,Cash Used/Provided by Financing Activities,- -,26715752,59347000,62941000,114291000,102377000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,26715752,36705000,-19374000,63129000,-24104000
98,Cash at the End of Period,- -,21834054,58539000,39165000,102294000,78190000
99,Cash at the Beginning of Period,- -,- -,21834000,58539000,39165000,102294000
100,Free Cash Flow,- -,-4881698,-22642000,-36065000,-77447000,-96346000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1695357/000149315219003588/0001493152-19-003588-index.html,https://www.sec.gov/Archives/edgar/data/1695357/000149315220003770/0001493152-20-003770-index.html,https://www.sec.gov/Archives/edgar/data/1695357/000149315221004781/0001493152-21-004781-index.htm,https://www.sec.gov/Archives/edgar/data/1695357/000149315222005304/0001493152-22-005304-index.htm
102,false,,,,,,
