,https://roic.ai/company/NMEX,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-35.4350,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-12.9466,-2.3922,-12.6292,-38.7140,-63.7257,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-491811,-19044,-19012,152910,-65058
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-96292,-306928,-185150,-620235,-769776,-571577,-35017,-242968
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-12.9466,-11.5532,-12.9496,-40.0460,-11.8742,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-482,-32423,-21664,-64124,-113969,125339,-306792,-96292,-306928,-185150,-620235,-769776,-571577,-35017,-242968
24,Net Income ratio,-Infinity,-35.4350,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-12.9466,-11.5532,-12.9496,-40.0460,-11.8742,-Infinity
25,EPS,-0.00,-0.01,-0.00,-0.01,-0.02,0.03,-0.06,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,-0.00,-0.00
26,EPS Diluted,-0.00,-0.01,-0.00,-0.01,-0.02,0.03,-0.06,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,4565625,5000000,5000000,5000000,5000000,5000000,5033875,5439005,15573251,18920512,25827818,40396771,51155037,58125466,68102636
28,Weighted Average Shares Outstanding Diluted,4565625,5000000,5000000,5000000,5000000,5000000,5033875,5439005,15573251,18920512,25827818,40396771,51155037,58125466,68102636
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1415744/000135580808000043/0001355808-08-000043-index.html,- -,https://www.sec.gov/Archives/edgar/data/1415744/000141574410000011/0001415744-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808011000016/0001398080-11-000016-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808012000057/0001398080-12-000057-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808013000037/0001398080-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390014008080/0001213900-14-008080-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390015008778/0001213900-15-008778-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390016019063/0001213900-16-019063-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390018004286/0001213900-18-004286-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390018015529/0001213900-18-015529-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495420006296/0001654954-20-006296-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495420011604/0001654954-20-011604-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495421011514/0001654954-21-011514-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22618,2198,1234,- -,- -,- -,- -,35400,2170,5239,822,52672,21847,6840,967
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,5015,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22618,2198,1234,- -,- -,- -,5015,35400,2170,5239,822,52672,21847,6840,967
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,50,4413,23229,10000,11146,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,74,- -,- -,- -,2550,2500,- -,3500,5000,- -,- -
37,Total Current Assets,22618,2198,1234,- -,74,- -,5015,35400,4720,7789,5235,79401,36847,17986,967
38,PP&E,- -,- -,- -,- -,- -,- -,1715010,2096260,2088460,2090804,- -,- -,- -,28800,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5000,5000,5000,5000,- -,- -,20000,20000,20000,20000,126065,171315,28800,- -,- -
45,Total Non-Current Assets,5000,5000,5000,5000,- -,- -,1735010,2116260,2108460,2110804,126065,171315,28800,28800,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27618,7198,6234,5000,74,- -,1740025,2151660,2113180,2118593,131300,250716,65647,46786,967
48,Accounts Payable,- -,2003,- -,- -,- -,18994,256154,321555,271053,282241,44380,128520,113959,89037,56936
49,Short-Term Debt,- -,- -,- -,- -,- -,6520,6795,138990,135990,135990,174990,150990,153210,242210,157210
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,59747,63747,- -,- -,- -,- -,- -
52,Other Current Liabilities,100,10100,32803,95693,204736,53809,118166,54747,- -,- -,268503,443580,637754,467332,383044
53,Total Current Liabilities,100,12103,32803,95693,204736,79323,381115,515292,466790,481978,487873,723090,904923,798579,597190
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1375000,1387500,1444450,1419450,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1375000,1387500,1444450,1419450,- -,85000,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,100,12103,32803,95693,204736,79323,1756115,1902792,1911240,1901428,487873,808090,904923,798579,597190
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5000,5000,5000,5000,5000,5000,5045,13345,16145,25828,26798,48287,55837,63079,72819
64,Retained Earnings,-482,-32905,-54569,-118693,-232662,-107323,-414115,-510407,-817335,-1002485,-1622720,-2392496,-2964073,-2999090,-3242058
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,23000,23000,23000,23000,28000,23000,392980,745930,1003130,1193822,1239349,1786835,2068960,2184218,2573016
67,Total Stockholders Equity,27518,-4905,-26569,-90693,-204662,-79323,-16090,248868,201940,217165,-356573,-557374,-839276,-751793,-596223
68,Total Liabilities And Stockholders Equity,27618,7198,6234,5000,74,- -,1740025,2151660,2113180,2118593,131300,250716,65647,46786,967
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,27618,7198,6234,5000,74,- -,1740025,2151660,2113180,2118593,131300,250716,65647,46786,967
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1415744/000135580808000043/0001355808-08-000043-index.html,- -,https://www.sec.gov/Archives/edgar/data/1415744/000141574410000011/0001415744-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808011000016/0001398080-11-000016-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808012000057/0001398080-12-000057-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808013000037/0001398080-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390014008080/0001213900-14-008080-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390015008778/0001213900-15-008778-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390016019063/0001213900-16-019063-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390018004286/0001213900-18-004286-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390018015529/0001213900-18-015529-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495420006296/0001654954-20-006296-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495420011604/0001654954-20-011604-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495421011514/0001654954-21-011514-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-482,-32423,-21664,-64124,-113969,125339,-306792,-96292,-306928,-185150,-620235,-769776,-571577,-35017,-242968
74,Depreciation and Amortization,- -,- -,- -,- -,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13575,- -,- -
77,Change in Working Capital,100,-32423,-21664,-64124,-108969,125339,-296777,-103792,17822,-12119,-8449,-161051,-224387,87483,184370
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4413,1184,3229,-1146,1146
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,2003,- -,- -,- -,- -,- -,- -,- -,- -,- -,88259,237895,-19935,-12109
81,Other Working Capital,22518,-9905,-31569,-95693,-204662,-79323,-376100,-479892,-462070,-474189,-482638,-643689,-868076,-780593,-596223
82,Other Non-Cash Items,- -,44426,26411,115325,208471,-263798,1883922,174208,-70874,23308,625267,606952,538354,-256473,-110275
83,Cash Provided by Operating Activities,-382,-20420,-16917,-12923,-9467,-13120,1280353,-25876,-359980,-173961,-3417,-323875,-244035,-204007,-168873
84,CAPEX,-5000,- -,- -,- -,- -,- -,-1715010,-368750,- -,-97334,-6000,-45250,-20000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,94990,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-5000,- -,- -,- -,- -,- -,-1715010,-368750,64750,-2344,-6000,-45250,-20000,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-3000,- -,- -,- -,-64970,- -,-5000
91,Common Stock Issued,5000,- -,- -,- -,- -,- -,370025,361250,260000,175374,5000,355975,220000,100000,163000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23000,- -,15953,11689,9467,13120,64357,69051,5000,4000,- -,65000,78180,89000,5000
95,Cash Used/Provided by Financing Activities,28000,- -,15953,11689,9467,13120,434382,430301,262000,179374,5000,420975,233210,189000,163000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-20420,-964,- -,- -,- -,- -,35675,-33230,3069,-4417,51850,-30825,-15007,-5873
98,Cash at the End of Period,22618,2198,1234,- -,- -,- -,-275,35400,2170,5239,822,52672,21847,6840,967
99,Cash at the Beginning of Period,- -,22618,2198,1,- -,- -,- -,-275,35400,2170,5239,822,52672,21847,6840
100,Free Cash Flow,-5382,-20420,-16917,-12923,-9467,-13120,-434657,-394626,-359980,-271295,-9417,-369125,-264035,-204007,-168873
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1415744/000135580808000043/0001355808-08-000043-index.html,- -,https://www.sec.gov/Archives/edgar/data/1415744/000141574410000011/0001415744-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808011000016/0001398080-11-000016-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808012000057/0001398080-12-000057-index.html,https://www.sec.gov/Archives/edgar/data/1415744/000139808013000037/0001398080-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390014008080/0001213900-14-008080-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390015008778/0001213900-15-008778-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390016019063/0001213900-16-019063-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390018004286/0001213900-18-004286-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000121390018015529/0001213900-18-015529-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495420006296/0001654954-20-006296-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495420011604/0001654954-20-011604-index.htm,https://www.sec.gov/Archives/edgar/data/1415744/000165495421011514/0001654954-21-011514-index.htm
102,false,,,,,,,,,,,,,,,
