,https://roic.ai/company/NEN,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,2706124,1830605,456277,3683451,1266225,14478972,16690943,18974446,24362328,9862810,12049392,27966428,21902311,10752931,2879663,3245361,4050157,6981906,14013380,14015898,10298186,7463697,7238905,9059901,7546324,18646972,97539396
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,684409,688245,604350,509914,686706,402376,513181,475906,550772,586983,480118,580638,505869,553392,1038820,622944,434252,924735,871709,814566,1150370,1713183,1080441,1258747,931391,1947015,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-475906,-550772,-586983,-480118,-18773816,-15517655,3018714,2857288,3639739,4267977,3073890,3895189,3287005,4685339,3585870,4122052,4219749,4639544,5003959,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18974446,24362328,9862810,12049392,9773250,6890525,14325037,6775771,7508044,8752386,10980531,18780278,18117469,16133895,12762750,12441398,14538397,13117259,25597946,97539396
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1382000,51000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1382000,51000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2114591,2040754,10873730,16906454,18677630,15399399,11023611,24964453,20076957,16780657,13986173,12025142,8807868,7819162,8336505,7212044,1985680,1430402,1410769,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1135936,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99894809,97349512,93691734,99843721,95435850,154539737,150851736,178213159,169462811,207153794,230511263,278363988,264609887,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110918420,122313965,113768691,116624378,110557959,166564879,159659604,186032321,177799316,214365838,232496943,281176390,266071656,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,59750970,58788939,58147503,58406104,87668120,93302937,96428956,84710772,110101968,121114483,123004548,120710060,117501245,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259336183
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,59750970,58788939,58147503,58406104,87668120,93302937,96428956,103685218,134464296,130977293,135053940,130483310,124391770,125243457,129089736,121276735,125376764,121538490,185345157,177777073,202166216,190562066,226807236,247035340,294293649,291669602,356875579
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2361942,3178495,3099117,4640767,4052095,3340509,3927889,4274267,3888237,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000,- -,- -,- -,- -,- -,- -,- -,116804323,- -,7168600,- -,1668600,- -,- -,- -,25000000,- -,17000000,- -,- -,17000000,370481390
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2300000,2400000,2700000,2800000,3750000,4000000,4300000,4900000,5000000,4900000,4400000,4100000,-108704323,1592610,5612606,5848042,5857404,- -,1252346,1425369,-22711910,2577606,-14193681,18351562,19970089,4339743,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2300000,2400000,2700000,2800000,4500000,4000000,4300000,4900000,5000000,4900000,4400000,4100000,8100000,1592610,12781206,5848042,7526004,2361942,4430841,4524486,6928857,6629701,6146828,22279451,24244356,25227980,370481390
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,53072037,52538499,51956821,51322552,77530651,80368031,79613051,82871406,115911209,115615800,115585241,114659052,116804323,138160262,137641354,142349260,139161612,138055522,198520478,196071540,220939469,212709080,250221258,254370843,299771246,300444533,-367776246
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1943247,2646350,2892799,3171127,3258958,3371087,3386547,2943219,2892612,3176322,3207767,- -,- -,- -,3636704,4242401,4548729,5108843,5448011,5754327,6009056,8101835,7466134,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,27963,-38499,43179,-1965799,-2677001,-2860830,-3184178,-3230364,-3382296,-3402347,-2928460,-2851664,-6380645,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403463042
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,53100000,52500000,52000000,51300000,77500000,80400000,79600000,82900000,115900000,115600000,115600000,114700000,113600000,141368029,137641354,142349260,139161612,141692226,202762879,200620269,226048312,218157091,255975585,260379899,307873081,307910667,35686796
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,106227568,- -,- -,102634224,155030459,160807117,159247784,165806992,231802319,231207737,- -,229441307,227226911,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,55427568,54890441,54682273,54134224,82030459,84407117,83947784,87806992,120902319,120507737,119971921,118841307,121726911,142960639,150422560,148197302,146687616,144054168,207193720,205144755,232977169,224786792,262122413,282659350,332117437,333138647,406168186
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51784345,-54439618,-58074391,-60199265,-64440518,-68549625,-75905862,-84579584,-94196482,-104797803,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,4300000,3900000,3500000,4300000,5600000,8900000,12500000,15900000,13600000,10500000,15100000,11600000,2700000,34084345,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,4300000,3900000,3500000,4300000,5600000,8900000,12500000,15900000,13600000,10500000,15100000,11600000,2700000,-17700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49292607
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,59727568,58790441,58182273,58434224,87630459,93307117,96447784,103706992,134502319,131007737,135071921,130441307,124426911,125260639,150422560,148197302,146687616,144054168,207193720,205144755,232977169,224786792,262122413,282659350,332117437,291669602,356875579
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,23402,-1502,-34770,-28120,37661,-4180,-18828,-21774,-38023,-30444,-17981,42003,-35141,-17182,-21332824,-26920567,-21310852,-22515678,-21848563,-27367682,-30810953,-34224726,-35315177,-35624010,-37823788,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,59750970,58788939,58147503,58406104,87668120,93302937,96428956,103685218,134464296,130977293,135053940,130483310,124391770,125243457,129089736,121276735,125376764,121538490,185345157,177777073,202166216,190562066,226807236,247035340,294293649,291669602,356875579
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/746514/0000912057-96-005751-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746514/000104746904009866/0001047469-04-009866-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746905008614/0001047469-05-008614-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000110465906017326/0001104659-06-017326-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000110465907019850/0001104659-07-019850-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746908002959/0001047469-08-002959-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746909002706/0001047469-09-002706-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746910002084/0001047469-10-002084-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746911001788/0001047469-11-001788-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746912002457/0001047469-12-002457-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746913003473/0001047469-13-003473-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746914002769/0001047469-14-002769-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746915002122/0001047469-15-002122-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837016004053/0001558370-16-004053-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837017001693/0001558370-17-001693-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837018001971/0001558370-18-001971-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837019001912/0001558370-19-001912-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837020002520/0001558370-20-002520-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837021002894/0001558370-21-002894-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837022003450/0001558370-22-003450-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,700000,-100000,1200000,1100000,1100000,1100000,-2874811,912430,1268631,2225019,3649011,5800847,6646956,7825137,2769128,1612417,9455679,1403200,1186732,6581711,1612538,-1359232,9291281,3633798,5655385,1024850,3772565,4950852,6937931,4169090,6547252,1424528,-2700163
74,Depreciation and Amortization,- -,1400000,1500000,1500000,1500000,1600000,1600000,2339883,3055786,3239186,3338924,3573658,4496500,4306578,4437043,5256999,6156952,6430055,6820360,6984033,6465057,5838246,5622395,5940878,6092725,8380013,10551527,10733773,12181396,13462395,15568973,14684248,18410811,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-400000,- -,- -,- -,- -,- -,-2300000,-100000,-300000,-100000,-1700000,500000,-300000,18374446,5287882,-14399518,2686582,-1976142,-6882725,13941902,-18737862,7665437,-433620,7392207,5730848,-756454,-4387945,-3071989,161521,-14035624,-3386043,11497063,-273311960
78,Accounts Receivable,- -,-100000,- -,-100000,100000,-100000,-100000,-3400000,200000,200000,-200000,-520902,540558,-473624,-388837,-295063,-36211,106866,126165,-938157,- -,- -,- -,- -,-40831,-21064,21924,40481,-133883,-24418,-170878,278313,-2381159,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-100000,- -,100000,-300000,100000,-100000,700000,-100000,400000,100000,2987747,42829,295645,600853,-332812,-209995,-614407,-204425,1083625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-2300000,-2400000,-2700000,-2800000,-4500000,-4000000,-4300000,14074446,19362328,4962810,7649392,5673250,-1209475,12732427,-6005435,1660002,1226382,8618589,14349437,13592983,9205038,6133049,6294570,-7741054,-11127097,369966,-272941994
82,Other Non-Cash Items,- -,600000,1000000,- -,-400000,100000,-300000,2574248,299778,824557,-5264,3749939,-756877,78320,-19307242,-5640182,14488757,-10506301,2342536,7354585,-22576570,20859418,-3614998,-5707416,-5166867,-6327107,1020711,3687728,1281966,-4423735,19929107,4603438,-13880093,291795281
83,Cash Provided by Operating Activities,- -,2300000,2400000,2700000,2200000,2800000,2400000,-260680,4167994,5032374,5458679,9272608,10040470,10731854,11329384,7673827,7858608,8066015,8589954,8642625,4412100,9572340,8313602,9091123,11951863,13439139,11840634,13806121,15342225,16138112,25631546,22448895,17452309,15783158
84,CAPEX,- -,-2700000,-1300000,-900000,-800000,-2000000,-1600000,-31436551,-3218539,-2164204,-2323710,-11030171,-5349331,-2802942,-5890128,-13235371,-8104629,-2612246,-2796691,-6361745,-10127289,-3136296,-2268039,-12660578,-2360399,-27101698,-5604791,-12895926,-5163081,-50784476,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17357879,- -,- -,- -,- -,- -,- -,1408950,1307000,358750,2792500,1729738,1042638,4716759,-1118717,-43422,-11732,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2200000,- -,-3322,-2651,-2018133,-2363972,- -,- -,- -,-1211486,- -,- -,-6927500,-2350000,-45000,- -,-15953100,-123301,-26450,-59383,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3100000,800000,- -,- -,51528,1415171,180984,- -,- -,1663489,- -,- -,2175000,50000,2900000,2912500,325000,1140801,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1600000,-500000,- -,-100000,100000,-1800000,283961,48549,7684,33271,64064,4218842,-1900358,1663489,-5000,8104629,6359088,- -,- -,7398205,20650,- -,8297928,59383,3830228,272500,990262,1288349,542241,-1318110,-29234221,-1703676,-2332446
89,Cash Used for Investing Activites,- -,-1100000,-1800000,-900000,-900000,-1000000,-2600000,-31155912,-3172641,-4123125,-3239240,-10785123,-1130489,-4703300,-3774636,-13240371,-17357879,-1005658,-5096691,-3506745,183416,-18743746,-1250539,-2980150,-1053399,-22912720,-2539791,-10175926,-2832094,-45525476,-2436827,-29277643,-1715408,-2332446
90,Debt Repayment,- -,-1200000,-200000,-300000,-10800000,-800000,-5400000,-12072871,-533538,-581678,-634269,-876154,-1696384,-754979,-843162,-784573,-708627,-2030559,-926189,-1079148,-4817914,-942282,-3372976,-10517620,-2774691,-5803159,-3558493,-132071,-26876278,-25754516,-16831480,-5491340,-3212019,- -
