,https://roic.ai/company/CWGL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,15282000,14648000,23305000,22180000,21054000,3388000,18799000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,500000,4267000,3642000,6396000,4881000,5608000,4178000,- -,748000
57,Other Non-Current Liabilities,- -,45000000,- -,- -,123000,120000,95000,63000,23000,255000,18383000,9000
58,Total Non-Current Liabilities,- -,45000000,- -,500000,4390000,19044000,21139000,28249000,27811000,25487000,21771000,19556000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000,161000,- -
61,Total Liabilities,- -,157676000,158370000,8011000,12380000,29086000,33932000,40290000,41906000,37387000,34848000,34221000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,245000,245000,245000,245000,243000,240000,240000,237000,232000,- -,- -
64,Retained Earnings,- -,-86925000,-86714000,-79606000,-74606000,-70856000,-70200000,-64018000,-64559000,-72921000,- -,-85343000
65,Other Comprehensive Income/Loss,- -,-34915000,-39378000,-30000,-39000,-47000,5000,-23000,-19000,12000,13000,2000
66,Other Total Stockholders Equity,- -,147217000,151680000,277520000,277520000,277520000,277520000,277520000,277520000,277522000,195507000,277944000
67,Total Stockholders Equity,- -,25622000,25833000,198129000,203120000,206860000,207565000,213719000,213179000,204845000,195520000,192603000
68,Total Liabilities And Stockholders Equity,- -,183298000,184203000,206140000,215500000,235946000,241497000,254009000,255085000,242232000,230368000,226824000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,183298000,184203000,206140000,215500000,235946000,241497000,254009000,255085000,242232000,230368000,226824000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1562151/000009622313000018/0000096223-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156276214000070/0001562762-14-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215115000003/0001562151-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215116000111/0001562151-16-000111-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215117000004/0001562151-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215118000013/0001562151-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215119000011/0001562151-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215120000028/0001562151-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215121000031/0001562151-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215122000007/0001562151-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-4318000,-4310000,211000,7108000,5000000,5126000,3278000,6182000,1978000,-4874000,-6408000,3165000
74,Depreciation and Amortization,3582000,5864000,6958000,6857000,7069000,7427000,8247000,8700000,8977000,8907000,6981000,- -
75,Deferred Income Tax,- -,- -,- -,-2500000,3583000,2589000,2772000,-1495000,724000,-1442000,-2614000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,- -
77,Change in Working Capital,-828000,-62698000,-41478000,173952000,10730000,16872000,-7920000,9072000,3165000,-2631000,-5900000,-1972000
78,Accounts Receivable,- -,- -,- -,- -,-644000,-354000,1292000,1073000,-3304000,-2935000,2038000,- -
79,Inventory,-205000,-1389000,-4105000,-1232000,-5817000,-6331000,-7279000,-8856000,-2364000,1731000,6434000,- -
80,Accounts Payable,-152000,1946000,-39000,1177000,576000,1095000,1162000,-305000,- -,- -,- -,- -
81,Other Working Capital,-56000,-62754000,-104232000,69720000,80450000,97322000,89402000,98474000,101639000,99008000,93108000,91136000
82,Other Non-Cash Items,3581000,66142000,41291000,-175084000,-17454000,-23301000,3796000,-16039000,-6177000,3682000,21504000,-1193000
83,Cash Provided by Operating Activities,2017000,4998000,6982000,10333000,8928000,8713000,10173000,6420000,8667000,3642000,13591000,- -
84,CAPEX,-2498000,-3407000,-3946000,-6534000,-7664000,-8632000,-14929000,-13995000,-6087000,-5355000,-3103000,- -
85,Acquisitions Net,- -,-86018000,- -,- -,- -,- -,-7320000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-10500000,-9500000,-36479000,-5750000,-5750000,-11750000,-10000000,-8500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,4250000,26729000,7500000,9500000,12500000,19250000,- -,- -
88,Other Investing Activites,1611000,269000,37000,1791000,3991000,192000,53000,42000,99000,818000,11945000,- -
89,Cash Used for Investing Activites,-887000,-89156000,-3909000,-15243000,-8923000,-18190000,-20446000,-10203000,-5238000,4713000,342000,- -
90,Debt Repayment,-158000,-66000,-3000000,-1700000,- -,- -,-640000,-765000,-1140000,-1140000,-1425000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1378000,-2625000,- -,-2522000,-3493000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,86156000,- -,14175000,- -,15914000,- -,9545000,-183000,-112000,3820000,- -
95,Cash Used/Provided by Financing Activities,-158000,86090000,-3000000,12475000,- -,14536000,-3265000,8780000,-3845000,-4745000,2395000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,972000,1932000,73000,7565000,5000,5059000,-13538000,4997000,-416000,3610000,16328000,- -
98,Cash at the End of Period,3699000,5631000,5704000,13269000,13274000,18333000,4795000,9792000,9376000,12986000,29314000,- -
99,Cash at the Beginning of Period,2727000,3699000,5631000,5704000,13269000,13274000,18333000,4795000,9792000,9376000,12986000,29314000
100,Free Cash Flow,-481000,1591000,3036000,3799000,1264000,81000,-4756000,-7575000,2580000,-1713000,10488000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1562151/000009622313000018/0000096223-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156276214000070/0001562762-14-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215115000003/0001562151-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215116000111/0001562151-16-000111-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215117000004/0001562151-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215118000013/0001562151-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215119000011/0001562151-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215120000028/0001562151-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215121000031/0001562151-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215122000007/0001562151-22-000007-index.htm
102,false,,,,,,,,,,,,
