,https://roic.ai/company/ULTA,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,COGS and Expenses,348969000,412967000,- -,549651000,715025000,865400000,1038345000,1154600000,1336000000,1580000000,1940300000,2343000000,2830954000,3417819000,4199913000,5099215000,5862535000,6496974000,5800811000,7333397000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000,894000,1143000,890000,1568000,5061000,5056000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,3943000,2202000,755000,587000,185000,- -,- -,- -,- -,- -,- -,5056000,-5735000,-1663000
14,Depreciation and Amortization,12522000,15411000,- -,22285000,29736000,39503000,51445000,62166000,64936000,75931000,88233000,106283000,131764000,165049000,210295000,252713000,279472000,295599000,297772000,268460000
15,EBITDA,23421000,23518000,9460000,48758000,66510000,81647000,97746000,130363000,183790000,272162000,368162000,433940000,543073000,672489000,866009000,1039572000,1138613000,1206805000,523122000,1562626000
16,EBITDA ratio,0.0647,0.0555,0.0193,0.0842,0.0881,0.0895,0.0901,0.1066,0.1263,0.1532,0.1658,0.1625,0.1675,0.1714,0.1784,0.1767,0.1695,0.1631,0.0850,0.1811
17,Operating Income,13248000,10896000,- -,29424000,40088000,46721000,46301000,68153000,118884000,196195000,279978000,327588000,410415000,506297000,654824000,785291000,854080000,901094000,236820000,1297492000
18,Operating Income ratio,0.0366,0.0257,- -,0.0508,0.0531,0.0512,0.0427,0.0557,0.0817,0.1105,0.1261,0.1227,0.1266,0.1290,0.1349,0.1335,0.1272,0.1218,0.0385,0.1503
19,Total Other Income Expenses (Gains),-2349000,-2789000,- -,-2951000,-3314000,-4521000,-3943000,-2153000,-784000,-595000,-178000,112000,894000,1143000,890000,1568000,5061000,5056000,-5735000,-1663000
20,Income Before Tax,10899000,8107000,- -,26473000,36774000,42200000,42358000,66000000,118100000,195600000,279800000,327700000,411309000,507440000,655714000,786859000,859141000,906150000,231085000,1295829000
21,Income Before Tax Ratio,0.0301,0.0191,- -,0.0457,0.0487,0.0463,0.0391,0.0540,0.0812,0.1101,0.1260,0.1227,0.1269,0.1293,0.1351,0.1337,0.1279,0.1225,0.0376,0.1501
22,Income Tax expense (Gain),1203000,3023000,- -,10504000,14231000,16844000,17090000,26595000,47099000,75344000,107244000,124857000,154174000,187432000,245954000,231625000,200582000,200205000,55250000,309992000
23,Net Income,9696000,5084000,9460000,15969000,22543000,25300000,25268000,39400000,71000000,120300000,172500000,202800000,257135000,320008000,409760000,555234000,658559000,705945000,175835000,985837000
24,Net Income ratio,0.0268,0.0120,0.0193,0.0276,0.0299,0.0277,0.0233,0.0322,0.0488,0.0677,0.0777,0.0759,0.0793,0.0815,0.0844,0.0944,0.0980,0.0954,0.0286,0.1142
25,EPS,0.05,-2.36,-0.70,0.74,1.38,0.69,0.44,0.68,1.20,1.96,2.73,3.17,4.00,5.00,6.55,9.02,11.00,12.21,3.12,17.49
26,EPS Diluted,0.02,-2.36,-0.70,0.33,0.45,0.48,0.43,0.66,1.16,1.90,2.68,3.15,3.98,4.98,6.52,8.96,10.94,12.15,3.11,17.43
27,Weighted Average Shares Outstanding,1936416,2331000,3180611,4094233,5770601,20383000,57425000,57915000,58959000,61259000,63250000,63992000,64335000,63949000,62519000,61556000,59864000,57840000,56351000,56351000
28,Weighted Average Shares Outstanding Diluted,3960891,2331000,3180611,48196240,49920577,53293000,58967000,59237000,61288000,63334000,64396000,64461000,64651000,64275000,62851000,61975000,60181000,58105000,56558000,56558000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1403568/000095013708005469/0000950137-08-005469-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095013709002518/0000950137-09-002518-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095012310030932/0000950123-10-030932-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095012311030900/c63694e10vk.htm,https://www.sec.gov/Archives/edgar/data/1403568/000119312512136579/0001193125-12-136579-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312513140116/0001193125-13-140116-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312514127781/0001193125-14-127781-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312515115602/0001193125-15-115602-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312516523101/0001193125-16-523101-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312517099261/0001193125-17-099261-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837018002733/0001558370-18-002733-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837019002739/0001558370-19-002739-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837020003272/0001558370-20-003272-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837021003523/0001558370-21-003523-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837022004330/0001558370-22-004330-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2628000,3178000,- -,2839000,3645000,3800000,3638000,4000000,111200000,253700000,320500000,419500000,389149000,345840000,385010000,277445000,409251000,392325000,1046051000,431560000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150209000,130000000,30000000,120000000,- -,110000000,- -,- -
33,Cash and Short-Term Investments,2628000,3178000,- -,2839000,3645000,3800000,3638000,4000000,111200000,253700000,320500000,419500000,539358000,475840000,415010000,397445000,409251000,502325000,1046051000,431560000
34,Net Receivables,- -,- -,- -,15757000,18476000,20600000,18268000,13500000,22300000,26200000,41500000,47000000,52440000,64992000,88631000,99719000,136168000,139337000,193109000,233682000
35,Inventory,- -,- -,- -,109374000,129237000,176100000,213602000,206900000,218500000,244600000,361100000,457900000,581229000,761793000,943975000,1096424000,1214329000,1293701000,1168215000,1499218000
36,Other Current Assets,- -,- -,- -,17481000,20688000,28400000,41200000,38400000,52400000,55700000,66200000,78300000,87328000,72548000,88621000,100155000,155113000,119954000,107402000,116723000
37,Total Current Assets,- -,- -,- -,145451000,172046000,228900000,276708000,262800000,404400000,580200000,789300000,1002700000,1260355000,1375173000,1536237000,1693743000,1914861000,2055317000,2514777000,2281183000
38,PP&E,85180000,99577000,- -,133003000,162080000,236400000,292224000,290900000,326100000,377000000,483100000,595700000,717159000,847600000,1004358000,1189453000,1226029000,2743089000,2500409000,2396732000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10870000,10870000,10870000,10870000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4317000,3391000,2465000,1538000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15187000,14261000,13335000,12408000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,3962000,4125000,- -,- -,21000000,30000000,44200000,56400000,66700000,- -,59527000,86498000,59403000,83864000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,199000,346000,4100000,- -,-21100000,-30000000,-44200000,-53600000,-62400000,5656000,-51382000,-75215000,-33912000,-48769000,51205000,61448000,74056000
45,Total Non-Current Assets,- -,- -,- -,137164000,166551000,240500000,292224000,290800000,326100000,377000000,485900000,600000000,722815000,855745000,1015641000,1214944000,1276311000,2808555000,2575192000,2483196000
46,Other Assets,195059000,206420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,195059000,206420000,- -,282615000,338597000,469400000,568932000,553600000,730500000,957200000,1275200000,1602700000,1983170000,2230918000,2551878000,2908687000,3191172000,4863872000,5089969000,4764379000
48,Accounts Payable,- -,- -,- -,34435000,43071000,52100000,47811000,56400000,87100000,86400000,118900000,148300000,190778000,196174000,259518000,325758000,404016000,414009000,477052000,552730000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239629000,253415000,274118000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,10781000,- -,11621000,20045000,28137000,37228000,33188000,33854000,41717000,32085000,39051000,79316000,56250000
51,Deferred Revenue,- -,- -,- -,- -,- -,9219000,- -,8060000,8922000,10573000,13364000,16439000,- -,31830000,46268000,63139000,199054000,237535000,274383000,353579000
52,Other Current Liabilities,- -,- -,- -,34543000,40870000,50581000,51202000,61940000,67378000,67927000,88836000,102061000,168816000,168223000,223557000,253269000,220666000,246088000,338863000,377583000
53,Total Current Liabilities,- -,- -,- -,68978000,83941000,111900000,117013000,126400000,163400000,164900000,221100000,266800000,359594000,396227000,529343000,642166000,823736000,1137261000,1343713000,1558010000
54,Long-Term Debt,- -,- -,- -,45381000,50737000,74800000,88047000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1698718000,1643386000,1572638000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,101288000,- -,- -,163463000,208003000,261630000,- -,321789000,366191000,407916000,434980000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,17616000,- -,- -,44195000,56361000,66718000,74498000,59527000,86498000,59403000,83864000,89367000,65359000,39693000
57,Other Non-Current Liabilities,- -,- -,- -,45241000,55159000,71200000,- -,134600000,164600000,-58000,2836000,4452000,301569000,10489000,19628000,24985000,28374000,36432000,37962000,58665000
58,Total Non-Current Liabilities,- -,- -,- -,90622000,105896000,146000000,206951000,134600000,164600000,207600000,267200000,332800000,376067000,391805000,472317000,492304000,547218000,1824517000,1746707000,1670996000
59,Other Liabilities,107700000,113642000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1938347000,1896801000,1846756000
61,Total Liabilities,107700000,113642000,- -,159600000,189837000,257900000,323964000,261000000,328000000,372500000,488300000,599600000,735661000,788032000,1001660000,1134470000,1370954000,2961778000,3090420000,3229006000
62,Preferred Stock,- -,- -,- -,208463000,223047000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,71000,117000,600000,582000,600000,600000,600000,600000,600000,647000,641000,627000,614000,592000,573000,569000,530000
64,Retained Earnings,- -,- -,- -,-91199000,-83240000,-69100000,-43856000,-4500000,66500000,186800000,296900000,462400000,679593000,832215000,905785000,1093453000,1105863000,1128477000,1189422000,653376000
65,Other Comprehensive Income/Loss,- -,- -,- -,-853000,-4448000,-719000,-631000,- -,-253700000,-296400000,-355300000,-426900000,-526090000,-654355000,-798759000,-959208000,-1149107000,-1360316000,56000,- -
66,Other Total Stockholders Equity,87359000,92778000,- -,6533000,13284000,280722000,288873000,296508000,589133000,693704000,844742000,966994000,1093359000,1264385000,1442565000,1639358000,1862870000,2133360000,809502000,- -
67,Total Stockholders Equity,87359000,92778000,- -,123015000,148760000,211503000,244968000,292608000,402533000,584704000,786942000,1003094000,1247509000,1442886000,1550218000,1774217000,1820218000,1902094000,1999549000,1535373000
68,Total Liabilities And Stockholders Equity,195059000,206420000,- -,282615000,338597000,469403000,568932000,553608000,730533000,957204000,1275242000,1602694000,1983170000,2230918000,2551878000,2908687000,3191172000,4863872000,5089969000,4764379000
69,Minority Interest,- -,- -,- -,- -,- -,-3000,- -,-8000,-33000,-4000,-42000,6000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,195059000,206420000,- -,282615000,338597000,469400000,568932000,553600000,730500000,957200000,1275200000,1602700000,1983170000,2230918000,2551878000,2908687000,3191172000,4863872000,5089969000,4764379000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1403568/000095013708005469/0000950137-08-005469-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095013709002518/0000950137-09-002518-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095012310030932/0000950123-10-030932-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095012311030900/c63694e10vk.htm,https://www.sec.gov/Archives/edgar/data/1403568/000119312512136579/0001193125-12-136579-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312513140116/0001193125-13-140116-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312514127781/0001193125-14-127781-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312515115602/0001193125-15-115602-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312516523101/0001193125-16-523101-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312517099261/0001193125-17-099261-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837018002733/0001558370-18-002733-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837019002739/0001558370-19-002739-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837020003272/0001558370-20-003272-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837021003523/0001558370-21-003523-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837022004330/0001558370-22-004330-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,9696000,5084000,- -,15969000,22543000,25300000,25268000,39400000,71000000,120300000,172500000,202800000,257135000,320008000,409760000,555234000,658559000,705945000,175835000,985837000
74,Depreciation and Amortization,12522000,15411000,- -,22285000,29736000,39503000,51445000,62166000,64936000,75931000,88233000,106283000,131764000,165049000,210295000,252713000,279472000,295599000,297772000,268460000
75,Deferred Income Tax,- -,- -,- -,-3037000,-3080000,-3284000,22583000,3143000,7741000,10827000,8673000,3868000,9246000,5809000,26971000,-27095000,34080000,5503000,-24008000,-25666000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,3877000,5949000,11155000,11605000,13375000,16003000,14923000,15594000,19340000,24399000,26636000,25045000,27583000,47259000
77,Change in Working Capital,- -,- -,- -,76473000,11632000,28895000,42695000,-23295000,104600000,174300000,152900000,167700000,164861000,78185000,27948000,44683000,39548000,-215469000,-14258000,-498212000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-5134000,-19863000,-46872000,-37493000,6654000,-11568000,-26131000,-116478000,-96808000,-123296000,-180564000,-182182000,-152449000,-122019000,-79372000,125486000,-331003000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-4311000,8576000,30706000,-651000,32444000,29396000,42496000,5396000,63344000,66240000,78256000,9993000,62324000,66156000
81,Other Working Capital,- -,- -,- -,76473000,88105000,117000000,159695000,136400000,241000000,415300000,568200000,735900000,900761000,978946000,1006894000,1051577000,1091125000,93985000,94981000,55936000
82,Other Non-Cash Items,-22218000,-20495000,- -,-74089000,-5201000,-43508000,-70665000,85464000,-82889000,-172076000,-196680000,-168929000,-181337000,-208771000,-59629000,-70568000,-82168000,284670000,347431000,281587000
83,Cash Provided by Operating Activities,- -,- -,- -,37601000,55630000,46906000,75203000,172827000,176543000,220887000,239001000,327725000,396592000,375874000,634685000,779366000,956127000,1101293000,810355000,1059265000
84,CAPEX,-27430000,-30354000,- -,-41607000,-62331000,-101866000,-110863000,-68105000,-97115000,-128636000,-188578000,-226024000,-249067000,-299167000,-373747000,-440714000,-319400000,-298534000,-151866000,-172187000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15707000,-62946000,-6885000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200209000,-130000000,-90000000,-330000000,-386193000,-110000000,- -,-4297000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,150209000,190000000,240000000,506193000,- -,110000000,- -
88,Other Investing Activites,- -,- -,- -,- -,-2414000,4467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-298534000,-151866000,-172187000
89,Cash Used for Investing Activites,- -,- -,- -,-41607000,-64745000,-97399000,-110863000,-68105000,-97115000,-128636000,-188578000,-226024000,-399276000,-278958000,-273747000,-530714000,-215107000,-471480000,-48751000,-176484000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1186692000,-1267720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000000,- -
91,Common Stock Issued,- -,- -,- -,630000,1422000,124783000,2517000,1228000,17100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2217000,-6742000,-59000,- -,- -,-3236000,-79000,-37968000,-41511000,-169368000,-347114000,-371824000,-622335000,-690519000,-118248000,-1537602000
93,Dividends Paid,- -,- -,- -,- -,- -,-93012000,- -,- -,- -,- -,-62482000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,3211000,10716000,25608000,1219743000,1162149000,10640000,53538000,78875000,35268000,13868000,29143000,25346000,15607000,13121000,43780000,810314000,40386000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,3841000,9921000,50637000,35509000,-104343000,27740000,50302000,16314000,-2700000,-27643000,-140225000,-321768000,-356217000,-609214000,-646739000,-107934000,-1497216000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,-56000
97,Net Change In Cash,- -,- -,- -,-165000,806000,144000,-151000,379000,107168000,142553000,66737000,99001000,-30327000,-43309000,39170000,-107565000,131806000,-16926000,653726000,-614491000
98,Cash at the End of Period,- -,- -,- -,2839000,3645000,3789000,3638000,4017000,111185000,253738000,320475000,419476000,389149000,345840000,385010000,277445000,409251000,392325000,1046051000,431560000
99,Cash at the Beginning of Period,- -,- -,- -,3004000,2839000,3645000,3789000,3638000,4017000,111185000,253738000,320475000,419476000,389149000,345840000,385010000,277445000,409251000,392325000,1046051000
100,Free Cash Flow,- -,- -,- -,-4006000,-6701000,-54960000,-35660000,104722000,79428000,92251000,50423000,101701000,147525000,76707000,260938000,338652000,636727000,802759000,658489000,887078000
101,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1403568/000095013708005469/0000950137-08-005469-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095013709002518/0000950137-09-002518-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095012310030932/0000950123-10-030932-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000095012311030900/c63694e10vk.htm,https://www.sec.gov/Archives/edgar/data/1403568/000119312512136579/0001193125-12-136579-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312513140116/0001193125-13-140116-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312514127781/0001193125-14-127781-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312515115602/0001193125-15-115602-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312516523101/0001193125-16-523101-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000119312517099261/0001193125-17-099261-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837018002733/0001558370-18-002733-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837019002739/0001558370-19-002739-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837020003272/0001558370-20-003272-index.html,https://www.sec.gov/Archives/edgar/data/1403568/000155837021003523/0001558370-21-003523-index.htm,https://www.sec.gov/Archives/edgar/data/1403568/000155837022004330/0001558370-22-004330-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
