,https://roic.ai/company/NVEE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,5546400,5546400,4000000,3967056,5592010,7215898,9540051,10777806,11506466,12513034,- -,12713075
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1532961/000119312513136806/0001193125-13-136806-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774914005395/0001437749-14-005395-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774915006169/0001437749-15-006169-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774916027486/0001437749-16-027486-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774917004296/0001437749-17-004296-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774918004511/0001437749-18-004511-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774919004923/0001437749-19-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000162828020002327/0001628280-20-002327-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1532961/000162828021003834/0001628280-21-003834-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,3438000,2762000,2294000,13868000,6872000,23476000,35666000,18751000,40739000,31825000,- -,64909000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3438000,2762000,2294000,13868000,6872000,23476000,35666000,18751000,40739000,31825000,- -,64909000
34,Net Receivables,16687000,15457000,15052000,16722000,27015000,47747000,75511000,110087000,141735000,210469000,- -,217163000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1615000,393000,854000,1513000,1582000,2532000,4047000,2555000,2582000,8906000,- -,6804000
37,Total Current Assets,21740000,18612000,18200000,32103000,35469000,73755000,115224000,131393000,185056000,251200000,- -,288876000
38,PP&E,2032000,1256000,1273000,1310000,1625000,3091000,6683000,8731000,11677000,72046000,- -,70618000
39,Goodwill,4496000,4336000,5857000,7106000,11142000,21679000,59380000,98899000,140930000,309216000,- -,343796000
40,Intangible Assets,3259000,2386000,2758000,2993000,5221000,12367000,40861000,65754000,99756000,255961000,- -,174931000
41,Intangible Assets,7755000,6722000,8615000,10099000,16363000,34046000,100241000,164653000,240686000,565177000,- -,518727000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,378000,619000,724000,1123000,- -,- -,10905000,16224000,53341000,- -,- -
44,Other Non-Current Assets,809000,1032000,1256000,639000,810000,877000,1511000,-9902000,-14222000,-48627000,- -,2954000
45,Total Non-Current Assets,10596000,9388000,11763000,12772000,19921000,38014000,108435000,174387000,254365000,641937000,- -,592299000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32336000,28000000,29963000,44875000,55390000,111769000,223659000,305780000,439421000,893137000,- -,881175000
48,Accounts Payable,3857000,3564000,3261000,3780000,5335000,6658000,13509000,18373000,22588000,36116000,- -,39989000
49,Short-Term Debt,- -,- -,- -,1725000,2878000,4347000,10764000,11127000,17139000,25332000,- -,22875000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,6102000,2697000,- -,- -,- -
51,Deferred Revenue,1608000,710000,477000,512000,398000,403000,334000,665000,7625000,53341000,- -,25342000
52,Other Current Liabilities,10120000,7860000,9384000,5974000,6910000,10835000,19014000,26270000,25603000,-431000,- -,47980000
53,Total Current Liabilities,15585000,12134000,13122000,11991000,15521000,22243000,43621000,56435000,72955000,114358000,- -,136186000
54,Long-Term Debt,4909000,3880000,3851000,2502000,3378000,6360000,21632000,57430000,29847000,332854000,- -,281653000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,27000,- -,- -,- -,- -,1582000,8370000,10905000,16224000,- -,- -,27791000
57,Other Non-Current Liabilities,2135000,1464000,1621000,1573000,886000,821000,1875000,913000,2853000,89962000,- -,41476000
58,Total Non-Current Liabilities,7071000,5344000,5472000,4075000,4264000,8763000,31877000,69248000,48924000,422816000,- -,350920000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,47681000,- -,16155000
61,Total Liabilities,22656000,17478000,18594000,16066000,19785000,31006000,75498000,125683000,121879000,537174000,- -,487106000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,22000,27000,26000,55000,58000,81000,106000,108000,126000,129000,- -,133000
64,Retained Earnings,-175000,985000,2278000,5037000,9930000,18422000,30029000,54035000,80891000,104647000,- -,125665000
65,Other Comprehensive Income/Loss,-471000,-1338000,-1773000,-2026000,-2410000,-2963000,-4463000,-6127000,-10358000,-29257000,- -,- -
66,Other Total Stockholders Equity,6018000,10848000,10838000,25743000,28027000,65223000,122489000,132081000,246883000,280444000,- -,268271000
67,Total Stockholders Equity,5394000,10522000,11369000,28809000,35605000,80763000,148161000,180097000,317542000,355963000,- -,394069000
68,Total Liabilities And Stockholders Equity,28050000,28000000,29963000,44875000,55390000,111769000,223659000,305780000,439421000,893137000,- -,881175000
69,Minority Interest,4286000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32336000,28000000,29963000,44875000,55390000,111769000,223659000,305780000,439421000,893137000,- -,881175000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1532961/000119312513136806/0001193125-13-136806-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774914005395/0001437749-14-005395-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774915006169/0001437749-15-006169-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774916027486/0001437749-16-027486-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774917004296/0001437749-17-004296-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774918004511/0001437749-18-004511-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774919004923/0001437749-19-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000162828020002327/0001628280-20-002327-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1532961/000162828021003834/0001628280-21-003834-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-175000,1419000,1293000,2759000,4893000,8492000,11607000,24006000,26856000,23756000,- -,21018000
74,Depreciation and Amortization,1137000,1949000,1468000,1514000,1988000,3468000,6228000,13128000,17384000,25816000,- -,45488000
75,Deferred Income Tax,-476000,-2021000,-1474000,-566000,248000,-666000,-1837000,-11242000,-3585000,-6634000,- -,-13064000
76,Stock Based Compensation,64000,153000,217000,365000,752000,1696000,2343000,4011000,6697000,10430000,- -,14955000
77,Change in Working Capital,1681000,323000,-1400000,15034000,-164000,31564000,20091000,3355000,37143000,24741000,- -,15848000
78,Accounts Receivable,1991000,643000,942000,-426000,-7592000,-4846000,-7681000,-14713000,-8662000,5140000,- -,-13592000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-991000,-481000,-383000,133000,1316000,-3830000,3047000,-1495000,398000,534000,- -,3367000
81,Other Working Capital,6155000,6478000,5078000,20112000,19948000,51512000,71603000,74958000,112101000,136842000,- -,152690000
82,Other Non-Cash Items,344000,599000,1432000,-15685000,-6297000,-38582000,-23219000,-15633000,-49496000,-38209000,- -,11764000
83,Cash Provided by Operating Activities,2575000,2422000,1536000,3421000,1420000,5972000,15213000,17625000,34999000,39900000,- -,96009000
84,CAPEX,-218000,-372000,-554000,-533000,-825000,-601000,-985000,-2239000,-2203000,-2625000,- -,-9855000
85,Acquisitions Net,-2451000,- -,-1000000,-1617000,-4650000,-10427000,-45811000,-60633000,-58155000,-348375000,- -,-882000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1670000
89,Cash Used for Investing Activites,-2669000,-321000,-1554000,-2150000,-5475000,-11028000,-46796000,-62872000,-60358000,-351000000,- -,-9067000
90,Debt Repayment,-4094000,-1513000,-1796000,-4139000,-1999000,-10797000,-4594000,-18105000,-46241000,-23393000,- -,-51832000
91,Common Stock Issued,5507000,- -,- -,9660000,- -,32068000,51319000,- -,100330000,- -,- -,- -
92,Common Stock Repurchased,-341000,-677000,-904000,-772000,-687000,-3584000,-4173000,- -,-6861000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2550000,-587000,2250000,5554000,-255000,3973000,1221000,46437000,119000,325579000,- -,-2026000
95,Cash Used/Provided by Financing Activities,3622000,-2777000,-450000,10303000,-2941000,21660000,43773000,28332000,47347000,302186000,- -,-53858000
96,Effect of Forex Changes on Cash,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3622000,-676000,-468000,11574000,-6996000,16604000,12190000,-16915000,21988000,-8914000,- -,33084000
98,Cash at the End of Period,3438000,2762000,2294000,13868000,6872000,23476000,35666000,18751000,40739000,31825000,- -,64909000
99,Cash at the Beginning of Period,- -,3438000,2762000,2294000,13868000,6872000,23476000,35666000,18751000,40739000,- -,31825000
100,Free Cash Flow,2357000,2050000,982000,2888000,595000,5371000,14228000,15386000,32796000,37275000,- -,86154000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1532961/000119312513136806/0001193125-13-136806-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774914005395/0001437749-14-005395-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774915006169/0001437749-15-006169-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774916027486/0001437749-16-027486-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774917004296/0001437749-17-004296-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774918004511/0001437749-18-004511-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000143774919004923/0001437749-19-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1532961/000162828020002327/0001628280-20-002327-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1532961/000162828021003834/0001628280-21-003834-index.htm
102,false,,,,,,,,,,,,
