,https://roic.ai/company/XPER,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,54042000,35625000,20458000,26535000,37095000,49127000,109731000,129548000,147884000,155667000,175175000,182847000,238342000,173404000,98333000,96963000,149224000,368736000,356054000,343648000,693611000,852242000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1327000,- -,8746000,8121000,4040000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2409000,28292000,25665000,23377000,37873000,38973000
14,Depreciation and Amortization,- -,- -,927000,895000,962000,1652000,7249000,13610000,18791000,21561000,26230000,27396000,40274000,38267000,20306000,22214000,34130000,119131000,115126000,106667000,174744000,227202000
15,EBITDA,-34080000,-8201000,8784000,11876000,37431000,50780000,112743000,91691000,37977000,144722000,129655000,18081000,5285000,-122805000,183063000,187747000,127254000,89080000,149175000,48490000,351492000,239096000
16,EBITDA ratio,-2.9686,-0.3036,0.3107,0.3182,0.5146,0.5362,0.5401,0.4686,0.1530,0.4833,0.4302,0.0710,0.0226,-0.7271,0.6566,0.6870,0.4903,0.2384,0.3673,0.1731,0.3940,0.2724
17,Operating Income,-35559000,-8610000,7812000,10786000,35641000,45573000,98995000,66140000,16099000,117642000,100821000,-11958000,-40861000,-134889000,165696000,162202000,89388000,-31500000,23980000,-68708000,177627000,13812000
18,Operating Income ratio,-3.0975,-0.3187,0.2763,0.2890,0.4900,0.4812,0.4743,0.3380,0.0648,0.3929,0.3345,-0.0470,-0.1746,-0.7986,0.5943,0.5935,0.3444,-0.0843,0.0590,-0.2453,0.1991,0.0157
19,Total Other Income Expenses (Gains),1300000,409000,45000,195000,828000,3555000,6499000,11941000,3087000,5519000,2604000,2643000,5872000,1780000,1550000,3432000,1327000,-26843000,-17070000,-14349000,-41718000,-44347000
20,Income Before Tax,-34259000,-8201000,7857000,10981000,36469000,49128000,105494000,78081000,19186000,123161000,103425000,-9315000,-34989000,-133109000,167246000,165634000,90715000,-58343000,6910000,-83057000,135909000,-30535000
21,Income Before Tax Ratio,-2.9842,-0.3036,0.2779,0.2942,0.5014,0.5188,0.5054,0.3990,0.0773,0.4113,0.3432,-0.0366,-0.1495,-0.7881,0.5999,0.6061,0.3495,-0.1561,0.0170,-0.2966,0.1524,-0.0348
22,Income Tax expense (Gain),- -,- -,1318000,1626000,-22594000,17679000,44143000,32943000,14544000,53365000,46079000,9985000,-4764000,24483000,-7697000,48517000,34626000,-1785000,8673000,-19024000,-7887000,28378000
23,Net Income,-34080000,-8201000,6539000,9355000,59063000,31449000,61351000,45138000,4642000,69796000,57346000,-19300000,-30225000,-185555000,170454000,117016000,56089000,-56558000,-289000,-62530000,146762000,-55457000
24,Net Income ratio,-2.9686,-0.3036,0.2313,0.2507,0.8120,0.3321,0.2939,0.2307,0.0187,0.2331,0.1903,-0.0758,-0.1292,-1.0986,0.6114,0.4282,0.2161,-0.1513,-0.0007,-0.2233,0.1645,-0.0632
25,EPS,-8.45,-3.18,-0.94,0.28,1.47,0.71,1.33,0.95,0.10,1.43,1.15,-0.38,-0.56,-3.36,3.23,2.26,1.14,-1.15,-0.01,-1.27,1.77,-0.67
26,EPS Diluted,-8.45,-3.18,-0.94,0.22,1.27,0.66,1.27,0.93,0.10,1.42,1.14,-0.38,-0.56,-3.36,3.18,2.23,1.12,-1.15,-0.01,-1.27,1.75,-0.66
27,Weighted Average Shares Outstanding,5409586,6278302,6784000,11141000,40077000,44003000,46102000,47566000,47963000,48826000,50070000,51082000,51977000,53346000,52819000,51802000,49187000,49251000,48823000,49120000,82840000,82840000
28,Weighted Average Shares Outstanding Diluted,5409586,6278302,6784000,41653000,46622000,47733000,48385000,48637000,48358000,49265000,50450000,51082000,51977000,53346000,53563000,52586000,50190000,49251000,48823000,49120000,83856000,83856000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1803696/000156459021009444/0001564590-21-009444-index.htm,https://www.sec.gov/Archives/edgar/data/1803696/000156459022006778/0001564590-22-006778-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1341000,64379000,108339000,127594000,194076000,207158000,87890000,107873000,69268000,55758000,103802000,73722000,50908000,22599000,65626000,138260000,113625000,74551000,170188000,201121000
32,Short-Term Investments,- -,- -,18829000,- -,- -,- -,- -,82566000,188610000,280085000,405737000,436687000,338801000,285865000,383513000,359145000,47379000,62432000,40739000,46926000,86947000,60534000
33,Cash and Short-Term Investments,- -,- -,20170000,64379000,108339000,127594000,194076000,289724000,276500000,387958000,475005000,492445000,442603000,359587000,434421000,381744000,113005000,200692000,154364000,121477000,257135000,261655000
34,Net Receivables,- -,- -,1883000,2540000,3263000,4602000,6783000,13464000,14724000,10237000,11797000,8599000,11595000,5449000,6616000,4211000,68096000,27876000,225730000,146003000,248406000,221360000
35,Inventory,- -,- -,- -,- -,- -,- -,1548000,1817000,1534000,1571000,1852000,1574000,1507000,- -,- -,- -,- -,- -,- -,- -,9819000,- -
36,Other Current Assets,- -,- -,763000,1335000,16475000,2229000,18248000,8835000,10629000,12495000,17026000,15556000,19581000,27275000,34473000,25703000,18840000,16949000,17434000,13735000,30944000,36459000
37,Total Current Assets,- -,- -,22816000,68254000,128077000,134425000,220655000,313840000,303387000,412261000,505680000,518174000,475286000,392311000,475510000,411658000,199941000,245517000,397528000,281215000,546304000,519474000
38,PP&E,- -,- -,1220000,1725000,2484000,8751000,24705000,29443000,36984000,42483000,42121000,36319000,72544000,9481000,4322000,3748000,38855000,34442000,31037000,50663000,143433000,129472000
39,Goodwill,- -,- -,- -,- -,- -,- -,35425000,35489000,40444000,45150000,49653000,- -,6664000,- -,- -,- -,382963000,385574000,385784000,385784000,847029000,851088000
40,Intangible Assets,- -,- -,- -,- -,- -,36911000,27529000,51336000,71312000,77753000,89956000,141326000,120432000,81202000,72925000,95089000,541879000,431789000,327720000,232275000,1004379000,817916000
41,Intangible Assets,- -,- -,- -,- -,- -,36911000,62954000,86825000,111756000,122903000,139609000,141326000,127096000,81202000,72925000,95089000,924842000,817363000,713504000,618059000,1851408000,1669004000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,22134000,15691000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,9982000,12530000,12937000,19756000,19299000,21877000,18223000,22499000,904000,21759000,15649000,2742000,5156000,3677000,3660000,7042000,- -
44,Other Non-Current Assets,- -,- -,134000,102000,9121000,58000,444000,1391000,7572000,3681000,2567000,2484000,7677000,855000,2607000,13208000,20056000,7546000,89361000,94348000,152989000,152072000
45,Total Non-Current Assets,- -,- -,1354000,1827000,11605000,55702000,100633000,130596000,198202000,204057000,206174000,198352000,229816000,92442000,101613000,127694000,986495000,864507000,837579000,766730000,2154872000,1950548000
46,Other Assets,29643000,24583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29643000,24583000,24170000,70081000,139682000,190127000,321288000,444436000,501589000,616318000,711854000,716526000,705102000,484753000,577123000,539352000,1186436000,1110024000,1235107000,1047945000,2701176000,2470022000
48,Accounts Payable,- -,- -,650000,876000,984000,3043000,3895000,2301000,2924000,2354000,4765000,7203000,14437000,3209000,3509000,1090000,7531000,4233000,2764000,4650000,13045000,7811000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,34451000,- -,5845000,61582000,36095000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,1385000,317000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,202000,107000,324000,646000,469000,6085000,5334000,5754000,2610000,4869000,1149000,10217000,6805000,895000,2686000,3130000,720000,33119000,35136000
52,Other Current Liabilities,- -,- -,2012000,3014000,3615000,6802000,10892000,15595000,33077000,25014000,26249000,26934000,33866000,34131000,20300000,12883000,36591000,55452000,48256000,36904000,116925000,110705000
53,Total Current Liabilities,- -,- -,2662000,4092000,4706000,10169000,15433000,18365000,42086000,32702000,36768000,36747000,53172000,38489000,34026000,20778000,51017000,96822000,54150000,48119000,224671000,189747000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577239000,545211000,482193000,334679000,795661000,784050000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39775000,37107000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,7747000,8991000,6684000,4627000,4083000,3102000,520000,187000,255000,32565000,15085000,64994000,29735000,24754000,19848000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3608000,4747000,5876000,5017000,6403000,5307000,1551000,3162000,17830000,17330000,15623000,90312000,165196000,98842000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7747000,12599000,11431000,10503000,9100000,9505000,5827000,1738000,3417000,627634000,577626000,562810000,454726000,1025386000,939847000
59,Other Liabilities,106789000,108347000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19259000,84136000,54658000
61,Total Liabilities,106789000,108347000,2662000,4092000,4706000,10169000,15433000,26112000,54685000,44133000,47271000,45847000,62677000,44316000,35764000,24195000,678651000,674448000,616960000,502845000,1250057000,1129594000
62,Preferred Stock,- -,- -,96000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,7000,38000,42000,45000,47000,48000,49000,50000,51000,52000,53000,55000,58000,58000,59000,60000,62000,64000,110000,113000
64,Retained Earnings,- -,- -,-100429000,-91074000,-32011000,-562000,60789000,105927000,110569000,180365000,237711000,218411000,172548000,-50595000,71524000,146863000,163794000,68556000,253208000,148317000,264250000,187814000
65,Other Comprehensive Income/Loss,- -,- -,-631000,-153000,-414000,-2245000,-15055000,-494000,-777000,-55000,299000,24000,119000,133000,-333000,-1437000,-148000,-303000,-328000,-53000,1264000,-752000
66,Other Total Stockholders Equity,- -,- -,26561000,157178000,167359000,182720000,260074000,312843000,337063000,391825000,426522000,452192000,469705000,490844000,470110000,369673000,344080000,367263000,366500000,399583000,1191253000,1162458000
67,Total Stockholders Equity,-77146000,-83764000,21508000,65989000,134976000,179958000,305855000,418324000,446904000,572185000,664583000,670679000,642425000,440437000,541359000,515157000,507785000,435576000,619442000,547911000,1456877000,1349633000
68,Total Liabilities And Stockholders Equity,29643000,24583000,24170000,70081000,139682000,190127000,321288000,444436000,501589000,616318000,711854000,716526000,705102000,484753000,577123000,539352000,1186436000,1110024000,1236402000,1050756000,2706934000,2479227000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1295000,-2811000,-5758000,-9205000
70,Total Liabilities & Equity,29643000,24583000,24170000,70081000,139682000,190127000,321288000,444436000,501589000,616318000,711854000,716526000,705102000,484753000,577123000,539352000,1186436000,1110024000,1235107000,1047945000,2701176000,2470022000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1803696/000156459021009444/0001564590-21-009444-index.htm,https://www.sec.gov/Archives/edgar/data/1803696/000156459022006778/0001564590-22-006778-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,6539000,9355000,59063000,31449000,61351000,45138000,4642000,69796000,57346000,-19300000,-30225000,-185555000,170454000,117016000,56089000,-56558000,-289000,-62530000,146762000,-55457000
74,Depreciation and Amortization,- -,- -,927000,895000,962000,1652000,7249000,13610000,18791000,21561000,26230000,27396000,40274000,38267000,20306000,22214000,34130000,119131000,115126000,106667000,174744000,227202000
75,Deferred Income Tax,- -,- -,- -,- -,- -,13496000,152000,-4522000,- -,- -,-4764000,-667000,-6100000,22735000,-44042000,18809000,955000,-18294000,-15578000,-38611000,-34670000,-978000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,24136000,27923000,27995000,25570000,17036000,13503000,13269000,11517000,21101000,33462000,31011000,31554000,39135000,58182000
77,Change in Working Capital,- -,- -,9116000,44008000,59209000,885000,80966000,90253000,-34174000,118258000,89353000,12515000,-59313000,-68292000,87662000,-50604000,-241956000,-229000,194683000,-110282000,88537000,4583000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,938000,4487000,-1552000,3198000,-2537000,8445000,-1217000,2694000,13957000,-3551000,-14381000,6191000,7091000,-27615000
79,Inventory,- -,- -,- -,- -,- -,- -,1337000,-269000,283000,-37000,-281000,278000,459000,1123000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,360000,-570000,1524000,2438000,2993000,-5887000,566000,-2685000,1709000,-3298000,-1469000,1886000,-4863000,-5234000
81,Other Working Capital,- -,- -,20154000,64162000,123371000,124256000,205222000,295475000,261301000,379559000,468912000,481427000,422114000,353822000,441484000,390880000,148924000,148695000,343378000,233096000,321633000,-651000
82,Other Non-Cash Items,- -,- -,2175000,-42554000,-83174000,4310000,-38113000,-60865000,55107000,-123247000,-90014000,33912000,63188000,131265000,-113445000,27598000,275313000,69753000,-189820000,242455000,13095000,1257000
83,Cash Provided by Operating Activities,- -,- -,18757000,11704000,36060000,51792000,111605000,83614000,68502000,114291000,106146000,79426000,24860000,-48077000,134204000,146550000,145632000,147265000,135133000,169253000,427603000,234789000
84,CAPEX,- -,- -,-459000,-1489000,-1800000,-4100000,-3048000,-11403000,-19746000,-30526000,-29900000,-72603000,-38303000,-23471000,-7404000,-8590000,-13376000,-3499000,-7438000,-13313000,-58314000,-14136000
85,Acquisitions Net,- -,- -,- -,- -,- -,-40730000,-53637000,-19450000,-31016000,-5933000,-14971000,- -,-27907000,- -,-2450000,-38561000,-888204000,- -,-500000,- -,117424000,-17400000
86,Purchases of Investments,- -,- -,-17880000,- -,- -,- -,- -,-167386000,-429723000,-365638000,-487928000,-353052000,-261754000,-233888000,-301629000,-298848000,-161595000,-33102000,-20095000,-40008000,-77178000,-67343000
87,Sales/Maturities of Investments,- -,- -,- -,18829000,- -,- -,- -,84325000,291081000,284384000,379448000,322659000,359523000,285598000,203659000,324713000,470779000,17522000,39465000,34123000,35908000,92654000
88,Other Investing Activites,- -,- -,- -,52000,7000,4000,14000,12000,-5334000,-14446000,-18394000,-64486000,-3582000,16348000,25538000,-7588000,-9582000,59000,-4100000,-4445000,-50935000,-167000
89,Cash Used for Investing Activites,- -,- -,-18339000,17392000,-1793000,-44826000,-56671000,-113902000,-189188000,-116903000,-151691000,-100789000,32852000,47947000,-76651000,-21286000,-592396000,-18844000,11432000,-19143000,17840000,-6206000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-100000000,-150000000,-1254859000,-84048000
91,Common Stock Issued,- -,- -,567000,35659000,9693000,12289000,11357000,20623000,2467000,2414000,- -,4174000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1717000,- -,- -,- -,-544000,-9961000,- -,- -,- -,-137000,-29276000,-66313000,-123282000,-70601000,-19283000,-44798000,-4506000,-80589000,-100804000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15638000,-37588000,-48335000,-41677000,-39158000,-39509000,-39187000,-39502000,-30829000,-20979000
94,Other Financing Activites,- -,- -,-272000,- -,- -,- -,191000,23291000,8912000,20181000,6940000,3679000,6107000,36914000,34281000,11386000,599550000,9005000,12785000,4824000,1015141000,9586000
95,Cash Used/Provided by Financing Activities,- -,- -,295000,33942000,9693000,12289000,11548000,43370000,1418000,22595000,6940000,7853000,-9668000,-29950000,-80367000,-153573000,489791000,-55787000,-171200000,-189184000,-351136000,-196245000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330000,-1405000
97,Net Change In Cash,- -,- -,713000,63038000,43960000,19255000,66482000,13082000,-119268000,19983000,-38605000,-13510000,48044000,-30080000,-22814000,-28309000,43027000,72634000,-24635000,-39074000,95637000,30933000
98,Cash at the End of Period,- -,- -,1341000,64379000,108339000,127594000,194076000,207158000,87890000,107873000,69268000,55758000,103802000,73722000,50908000,22599000,65626000,138260000,113625000,74551000,170188000,201121000
99,Cash at the Beginning of Period,- -,- -,628000,1341000,64379000,108339000,127594000,194076000,207158000,87890000,107873000,69268000,55758000,103802000,73722000,50908000,22599000,65626000,138260000,113625000,74551000,170188000
100,Free Cash Flow,- -,- -,18298000,10215000,34260000,47692000,108557000,72211000,48756000,83765000,76246000,6823000,-13443000,-71548000,126800000,137960000,132256000,143766000,127695000,155940000,369289000,220653000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1803696/000156459021009444/0001564590-21-009444-index.htm,https://www.sec.gov/Archives/edgar/data/1803696/000156459022006778/0001564590-22-006778-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
