,https://roic.ai/company/SDPI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1600422/000114420415019793/0001144204-15-019793-index.htm,https://www.sec.gov/Archives/edgar/data/1600422/000114420416091624/0001144204-16-091624-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315217003236/0001493152-17-003236-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315218003774/0001493152-18-003774-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315219003250/0001493152-19-003250-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315220004258/0001493152-20-004258-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315221006143/0001493152-21-006143-index.htm,https://www.sec.gov/Archives/edgar/data/1600422/000149315222007594/0001493152-22-007594-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,70188,11256,5792388,1297002,2241902,2375179,4264767,1217014,1961441,2822100
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,70188,11256,5792388,1297002,2241902,2375179,4264767,1217014,1961441,2822100
34,Net Receivables,1154494,2978666,4403001,1861002,1038664,2667042,2273189,3850509,1345622,2871932
35,Inventory,- -,- -,1219078,1410794,1167692,1196813,1003623,924032,1020008,1174635
36,Other Current Assets,258747,339596,480233,179450,2579773,111530,133607,643952,170889,490754
37,Total Current Assets,1483429,3329518,11894700,4748248,7028031,6350564,7675186,6635507,4497960,7359421
38,PP&E,15262034,15048871,15963629,14655502,9068359,8809348,8226009,8045692,7634929,6950847
39,Goodwill,- -,- -,7802903,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,13472778,11026111,8579444,6132778,3686111,1986111,819444,236111
41,Intangible Assets,- -,- -,21275681,11026111,8579444,6132778,3686111,1986111,819444,236111
42,Investments,2187926,2187926,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,116767,194935,8409323,8325038,8312671,7383166,7419099,93619,87490,65880
45,Total Non-Current Assets,17566727,17431732,45648633,34006651,25960474,22325292,19331219,10125422,8541863,7252838
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19050156,20761250,57543333,38754899,32988505,28675856,27006405,16760929,13039823,14612259
48,Accounts Payable,231393,445947,893376,638593,1066514,1021469,721361,961294,430015,1139091
49,Short-Term Debt,- -,- -,11212695,3191634,3177897,6101678,4578759,4102543,1397337,2209475
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,106446,206490
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,61421,- -,- -
52,Other Current Liabilities,1543006,8248029,2261070,1143950,666306,543758,631860,683832,1338968,739630
53,Total Current Liabilities,1774399,8693976,14367141,4974177,4910717,7666905,5931980,5809090,3166320,4088196
54,Long-Term Debt,17194780,10939216,11787131,16479889,13288701,6706375,6296994,3848863,1451049,263477
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,744577,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1463042,871252,578273,1126122,820657,- -,- -,- -,4198779,4112658
58,Total Non-Current Liabilities,18657822,11810468,13109981,17606011,14109358,6706375,6296994,3848863,5649828,4376135
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,1812783,1129487,871252,578275,217302,- -,- -,- -,4339783,- -
61,Total Liabilities,20432221,20504444,27477122,22580188,19020075,14373280,12228974,9657953,8816148,8464331
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,17292,17460,24120,24535,25018,25418,25762,28235
64,Retained Earnings,- -,- -,-766690,-15222269,-24351118,-24629823,-24688198,-32991833,-36421707,-36951508
65,Other Comprehensive Income/Loss,-2382879,-3361809,-4546572,-6739097,-6149405,-7171250,-8404288,-9658309,- -,- -
66,Other Total Stockholders Equity,1000814,3618615,35362181,38118617,44444833,46079114,47844899,49727700,40619620,43071201
67,Total Stockholders Equity,-1382065,256806,30066211,16174711,13968430,14302576,14777431,7102976,4223675,6147928
68,Total Liabilities And Stockholders Equity,19050156,20761250,57543333,38754899,32988505,28675856,27006405,16760929,13039823,14612259
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19050156,20761250,57543333,38754899,32988505,28675856,27006405,16760929,13039823,14612259
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1600422/000114420415019793/0001144204-15-019793-index.htm,https://www.sec.gov/Archives/edgar/data/1600422/000114420416091624/0001144204-16-091624-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315217003236/0001493152-17-003236-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315218003774/0001493152-18-003774-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315219003250/0001493152-19-003250-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315220004258/0001493152-20-004258-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315221006143/0001493152-21-006143-index.htm,https://www.sec.gov/Archives/edgar/data/1600422/000149315222007594/0001493152-22-007594-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,2185212,2299930,-621397,-14455579,-9128849,-278705,-58375,-936423,-3429874,-529801
74,Depreciation and Amortization,742002,1102905,3240445,4818548,4291249,3676598,3760231,3428403,2816396,2103534
75,Deferred Income Tax,- -,- -,473279,-473279,-2000,- -,3640,12240,90566,- -
76,Stock Based Compensation,- -,- -,- -,564079,783462,612851,518956,629180,550573,756743
77,Change in Working Capital,-162368,-5073488,2892017,2246512,2343243,-3433655,3059547,-916789,505223,1939585
78,Accounts Receivable,-168801,-1824172,-1424335,2541999,822338,-1628378,393853,-1577320,2504887,-1526310
79,Inventory,- -,- -,-483651,-191715,-115444,-29121,77760,-680904,-1041683,-143590
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-85630,85020
81,Other Working Capital,-290970,-5364458,-2472441,-225929,2117314,-1316341,1743206,826417,1331640,3271225
82,Other Non-Cash Items,1497308,4467791,-1616360,7924345,-218816,1782291,-2653540,-1278848,42355,-3743905
83,Cash Provided by Operating Activities,4262154,2797138,4367984,624626,-1931711,2359380,4630459,937763,575239,526156
84,CAPEX,-1019287,-196547,-3730882,-1284782,-352751,-936118,-745204,-509055,-221639,-936718
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-12500000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,164820,28141,-6648642,62000,517385,2483921,- -,- -,149833,50000
89,Cash Used for Investing Activites,-854467,-168406,-22879524,-1222782,164634,1547803,-745204,-509055,-71806,-886718
90,Debt Repayment,-764048,-889510,-3786064,-3944529,-3884777,-3773906,-2009941,-6671084,-3530551,-1277730
91,Common Stock Issued,- -,- -,31050000,- -,5027082,- -,- -,- -,- -,1697311
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2950197,-4307908,-1392399,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,207511,2509754,-1578865,47299,1569672,- -,14274,3194623,3771545,801640
95,Cash Used/Provided by Financing Activities,-3506734,-2687664,24292672,-3897230,2711977,-3773906,-1995667,-3476461,240994,1221221
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-99047,-58932,5781132,-4495386,944900,133277,1889588,-3047753,744427,860659
98,Cash at the End of Period,70188,11256,5792388,1297002,2241902,2375179,4264767,1217014,1961441,2822100
99,Cash at the Beginning of Period,169235,70188,11256,5792388,1297002,2241902,2375179,4264767,1217014,1961441
100,Free Cash Flow,3242867,2600591,637102,-660156,-2284462,1423262,3885255,428708,353600,-410562
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1600422/000114420415019793/0001144204-15-019793-index.htm,https://www.sec.gov/Archives/edgar/data/1600422/000114420416091624/0001144204-16-091624-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315217003236/0001493152-17-003236-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315218003774/0001493152-18-003774-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315219003250/0001493152-19-003250-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315220004258/0001493152-20-004258-index.html,https://www.sec.gov/Archives/edgar/data/1600422/000149315221006143/0001493152-21-006143-index.htm,https://www.sec.gov/Archives/edgar/data/1600422/000149315222007594/0001493152-22-007594-index.htm
102,false,,,,,,,,,,
