,https://roic.ai/company/SMDM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,8633835,14102764,7694140,8574165,17506652,28978182,53593514,93999536,90293438,39830060,34464982,28433805,33911487,33803517,24233198,19764653,25472920,32867877,31100664,38739669,46919392,49932650,56602019,45876715,44360743,44312168
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131755,94979,20874,7796,48421,53446,253282,261061,189230,273385,244593,240709,412270
14,Depreciation and Amortization,226947,400084,177268,144234,116369,301064,394456,622298,1660250,1648155,2547862,556051,311273,459354,439432,430115,171818,110267,168138,130254,171785,166025,219968,259662,269107,298357
15,EBITDA,-3624033,-3475044,-729317,898390,694055,4489085,8579015,2038882,-20264669,-1943820,642612,-1158937,312985,-1563454,-2516396,-168559,642730,1680164,447103,646395,2034860,3078526,1190716,1295282,-2988998,3339861
16,EBITDA ratio,-0.6975,-0.3255,-0.1171,0.0941,0.0365,0.1309,0.1388,0.0213,-0.2873,-0.0509,0.0199,-0.0434,0.0092,-0.0492,-0.1183,-0.0088,0.0248,0.0488,0.0142,0.0164,0.0416,0.0582,0.0196,0.0279,-0.0722,0.0729
17,Operating Income,-3438268,-3427885,-1464118,973651,1525668,5027593,8235380,1614230,-20195299,-1620235,-2159422,-1701661,156384,-2022808,-2955828,-598674,470912,1569897,278965,568612,1937152,2986578,1002354,1048954,-3244772,1425351
18,Operating Income ratio,-0.6618,-0.3211,-0.2350,0.1020,0.0802,0.1465,0.1332,0.0169,-0.2863,-0.0424,-0.0668,-0.0637,0.0046,-0.0636,-0.1389,-0.0312,0.0182,0.0456,0.0089,0.0145,0.0396,0.0564,0.0165,0.0226,-0.0783,0.0311
19,Total Other Income Expenses (Gains),-412712,-447243,-121079,-219495,-947982,-839572,-50821,-197646,-1729620,-1971740,254173,-13327,-154672,-131755,-94979,-20874,-7796,-48421,-53446,-305753,-335138,-263307,-304991,-257927,-254042,1203883
20,Income Before Tax,-3850980,-3875128,- -,754156,577686,4188021,8184559,1416584,-21924919,-3591975,-1905249,-1714988,1712,-2154563,-3050807,-619548,463116,1521476,225519,262859,1602014,2723271,697363,791027,-3498814,2629234
21,Income Before Tax Ratio,-0.7412,-0.3630,- -,0.0790,0.0304,0.1221,0.1324,0.0148,-0.3108,-0.0940,-0.0590,-0.0642,0.0001,-0.0678,-0.1434,-0.0323,0.0179,0.0442,0.0072,0.0067,0.0328,0.0515,0.0115,0.0170,-0.0845,0.0574
22,Income Tax expense (Gain),- -,- -,- -,-170000,-160299,23320,119277,198772,758505,- -,- -,-2453576,- -,36652,- -,- -,- -,-1619459,-778797,92701,-101376,1017073,544877,159480,-641814,456869
23,Net Income,-3850980,-3875128,-906585,924156,737985,4164701,8065282,1217812,-22683424,-3591975,-1905250,738588,1712,-2191215,-3050807,-619548,463116,3140935,1004316,170158,1703390,1706198,152486,631547,-2857000,2172365
24,Net Income ratio,-0.7412,-0.3630,-0.1455,0.0968,0.0388,0.1214,0.1304,0.0127,-0.3216,-0.0940,-0.0590,0.0276,0.0001,-0.0689,-0.1434,-0.0323,0.0179,0.0912,0.0320,0.0043,0.0349,0.0322,0.0025,0.0136,-0.0690,0.0474
25,EPS,-9.20,-9.20,-1.62,0.25,0.15,0.66,1.13,0.15,-2.65,-0.39,-0.19,0.03,0.00,-0.07,-0.08,-0.02,0.01,0.08,0.03,0.00,0.04,0.04,0.00,0.02,-0.07,0.06
26,EPS Diluted,-9.20,-9.20,-1.62,0.24,0.13,0.56,1.02,0.14,-2.65,-0.39,-0.19,0.03,0.00,-0.07,-0.08,-0.02,0.01,0.08,0.03,0.00,0.04,0.04,0.00,0.02,-0.07,0.06
27,Weighted Average Shares Outstanding,420954,422476,560053,3712962,4089033,6291792,7159142,8114330,8566116,9112278,10029085,21145003,29925952,32712191,37519668,37731684,37877460,37973309,38057628,38097226,38146391,38242535,38274432,38360883,38532889,38760092
28,Weighted Average Shares Outstanding Diluted,420954,422476,560053,3888250,5012799,7471861,7943473,8931385,8566116,9112278,10029085,24753864,30910424,32712191,37519668,37731684,37877460,38360324,38647290,38602577,38597862,39422608,39553649,39244250,38532889,39128650
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923601/000114420407036810/0001144204-07-036810-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420408039576/0001144204-08-039576-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420409035007/0001144204-09-035007-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420410037884/0001144204-10-037884-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420411038264/0001144204-11-038264-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420412037190/0001144204-12-037190-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420413037118/0001144204-13-037118-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420414040381/0001144204-14-040381-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420415039740/0001144204-15-039740-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420416110542/0001144204-16-110542-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315217007298/0001493152-17-007298-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315218009336/0001493152-18-009336-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315219009954/0001493152-19-009954-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315220015474/0001493152-20-015474-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000149315221016798/0001493152-21-016798-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,268265,356342,617054,423548,1188900,447816,957163,865777,674712,267465,1652996,1354099,116286,2116490,2305439,813908,211408,345200,396579
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,268265,356342,617054,423548,1188900,447816,957163,865777,674712,267465,1652996,1354099,116286,2116490,2305439,813908,211408,345200,396579
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,6854815,4741130,1185214,1303552,1164362,2093172,1046199,998778,1278557,948353,1503629,1342709,1603583,1592333,1898377,2230209,4295124,5617401,6856042
35,Inventory,- -,- -,- -,- -,- -,- -,- -,25194346,5228060,3094937,1688058,2280083,3514984,4729667,2804848,3016945,4008392,4123407,5827613,7448167,3690975,5426346,8057774,6024311,7601277,5490255
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,4247625,2836287,1378099,496807,521891,412552,526563,118465,59310,53233,505781,833414,615960,189678,102884,151303,287611,255806,236430
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,36565051,13161819,6275304,3911965,5155236,6468524,7259592,4787868,5029524,5277443,7785813,9357835,9783996,7589476,9733046,11253194,10818454,13819684,12979306
38,PP&E,- -,- -,- -,- -,- -,- -,- -,1096423,983980,1038843,513615,446510,598280,886770,736966,333851,296222,482777,561225,466571,430602,412805,450305,522910,1345223,2774115
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1198119,1793972,1856281,2408531,1479209,937137,758366,1285721,887164
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1273820,615773,354661,98687,56054,169362,179362,164644,164678,159674,159956,17630,107077,33000,11523,28190,93415,150509,147173
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2370243,1599753,1393504,612302,502564,767642,1066132,901610,498529,455896,1840852,2372827,2429929,2872133,1903537,1415632,1374691,2781453,3808452
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,38935294,14761572,7668808,4524267,5657800,7236166,8325724,5689478,5528053,5733339,9626665,11730662,12213925,10461609,11636583,12668826,12193145,16601137,16787758
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,8486009,3995852,1466571,1563810,1102559,1761882,2588769,895713,1118674,1303395,1135125,1918076,2767180,722213,1381870,1614748,842708,5041610,2461103
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,- -,18186,1110014,4547,- -,- -,- -,- -,696612,1924431,1189792,940367,63098,1606075
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186282,213718,217812,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31075,806475,284472
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,12763921,10548906,8187260,6435973,1219163,1188408,3117139,4126775,5451859,4987825,3393709,6089382,2945273,1464785,888491,1807931,1861341,3591226,2682549
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,21249930,14544758,9653831,8186065,2760440,3168102,5724094,6132502,6575080,6291220,4528834,8007458,5712453,2883610,4194792,4612471,3675491,9502409,7034199
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22733,4547,- -,- -,- -,- -,- -,1924431,- -,250575,- -,1085852,1818174
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624994000,409415000,- -,- -,- -,- -,2500000,13706,2575508,- -,- -,- -,17499,324813,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624994000,409415000,22733,4547,- -,- -,2500000,13706,2575508,1924431,- -,250575,17499,1410665,1818174
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25782,13706,1078,- -,- -,31913,661155,2131494
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,21249930,14544758,9653831,8186065,2760440,3168102,5746827,6137049,6575080,6291220,7028834,8021164,8287961,4808041,4194792,4863046,3692990,10913074,8852373
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,81717,87523,97696,100603,272862,317584,374494,375857,378357,379607,380289,380706,381175,375416,382593,382820,384648,385576,390407
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,12760217,-9923207,-13515182,-15420432,-14681844,-14680132,-16871347,-19922154,-20541702,-20078586,-16937651,-15933335,-15763177,-14059787,-12353589,-12201103,-11569556,-14426556,-12254191
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-1472850,-2871000,-3548656,-3246072,-1045119,-1327606,-1778837,-2214987,-2645102,-2011776,-2122043,-2274234,-2404630,-2576416,-2742441,-2962409,-1392331,-1647420,-1900000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,6316280,12923498,14981119,14904103,18351461,19758218,20854587,21313713,21761420,21152874,21277236,21536361,21712596,21914355,22155228,22586472,21077394,21376463,21673322
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,17685364,216814,-1985023,-3661798,2897360,4068064,2578897,-447571,-1047027,-557881,2597831,3709498,3925964,5653568,7441791,7805780,8500155,5688063,7909538
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,38935294,14761572,7668808,4524267,5657800,7236166,8325724,5689478,5528053,5733339,9626665,11730662,12213925,10461609,11636583,12668826,12193145,16601137,16761911
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25847
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,38935294,14761572,7668808,4524267,5657800,7236166,8325724,5689478,5528053,5733339,9626665,11730662,12213925,10461609,11636583,12668826,12193145,16601137,16787758
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923601/000114420407036810/0001144204-07-036810-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420408039576/0001144204-08-039576-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420409035007/0001144204-09-035007-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420410037884/0001144204-10-037884-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420411038264/0001144204-11-038264-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420412037190/0001144204-12-037190-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420413037118/0001144204-13-037118-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420414040381/0001144204-14-040381-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420415039740/0001144204-15-039740-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420416110542/0001144204-16-110542-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315217007298/0001493152-17-007298-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315218009336/0001493152-18-009336-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315219009954/0001493152-19-009954-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315220015474/0001493152-20-015474-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000149315221016798/0001493152-21-016798-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3850980,-3875128,-906585,924156,737985,4164701,8065282,1217812,-22683424,-3591975,-1905250,738588,1712,-2191215,-3050807,-619548,463116,3140935,1004316,170158,1703390,1706198,152486,631547,-2857000,2172365
74,Depreciation and Amortization,226947,400084,177268,144234,116369,301064,394456,622298,1660250,1648155,2547862,556051,311273,459354,439432,430115,171818,110267,168138,130254,171785,166025,219968,259662,269107,298357
75,Deferred Income Tax,- -,- -,- -,-170000,-193194,- -,- -,-1734194,1925612,- -,- -,- -,- -,- -,- -,- -,- -,- -,-778797,92701,-102976,929322,542072,178771,-527355,398557
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32826,24339,20092,26030,14777,107351,46308,24214,63745,211503,52428,32508,22710
77,Change in Working Capital,2905952,10599,-21198,10599,- -,- -,- -,15315121,-16698060,-1995588,-895573,6668896,905626,-1764924,-2880132,-200922,531779,4270756,-1906602,2721166,634323,832388,1102469,502240,-2825688,1627832
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49182,244671,-211815,426969,-326737,152765,-512283,207331,-355133,-517998,196658,-188520,-139541
79,Inventory,348878,1136415,759724,-14513,-1062401,-3326255,-4460891,-19635351,17100497,7741047,2088646,310046,-1366055,-1462087,2321139,-314029,-1203446,44985,-1839206,-1403554,3418192,-1675371,-2211428,2538623,-1756966,1908683
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1992407,1535410,1731772,184721,-168270,782951,849104,-2044967,659657,232878,-772040,4198902,-3190530
81,Other Working Capital,- -,10599,-10599,- -,- -,- -,- -,15315121,-1382939,-3378527,-4274100,2394796,3300422,1535498,-1344634,-1545556,-1013777,3256979,1350377,4071543,4705866,5538254,6640723,7142963,4317275,5945107
82,Other Non-Cash Items,526766,3592314,-2684012,-912656,-743439,-3228953,-5505051,-26953798,39017546,5057439,-179303,-10081661,-2570835,4491769,4712446,1301225,-1430227,-5854382,1470022,-4266535,121300,-2681091,-2938497,-1437194,6353193,-4348804
83,Cash Provided by Operating Activities,-191315,127869,-3434527,-3667,-82279,1236812,2954687,-11532761,3221924,1118031,-432264,-2118126,-1352224,1027810,-754722,930962,-237484,1682353,64428,-1105948,2552036,1016587,-709999,187454,444765,171017
84,CAPEX,-64111,-732,- -,-3023,-108103,-373409,-613691,-1144064,-1266321,-764153,-163723,-488946,-490697,-747844,-291276,-27000,-165216,-296822,-214677,-35600,-135816,-148228,-257468,-288741,-517546,-201161
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-34367,-975,5689,11609,-606027,11531,843740,- -,- -,3488,602390,297433,- -,- -,1648,- -,- -,- -,-138042,138042,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-98478,-1707,5689,8586,-714130,-361878,230049,-1144064,-1266321,-760665,438667,-191513,-490697,-747844,-289628,-27000,-165216,-296822,-352719,102442,-135816,-148228,-257468,-288741,-517546,-201161
90,Debt Repayment,-771021,-338496,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-668248,-18186,-1110014,-4547,- -,-10606,-12076,-416016,-697690,-1484064,-511613,-171167,-379967
91,Common Stock Issued,- -,- -,4137152,- -,1421875,580645,1319190,242119,860535,- -,- -,3125700,630881,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-105078,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,320578,222443,-710766,36599,-190828,-818206,- -,7182824,-2728060,-96654,-199909,-50710,470956,897629,971150,14987,- -,- -,- -,-222231,- -,18280,960000,10400,377740,461490
95,Cash Used/Provided by Financing Activities,-450443,-116053,3426386,36599,1125969,-237561,1319190,7424943,-1867525,-96654,-199909,3074990,1101837,229381,952964,-1095027,-4547,- -,-10606,-234307,-416016,-679410,-524064,-501213,206573,81523
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-740236,10109,-2452,41518,329560,637373,4503926,-5251882,88078,260712,-193506,765352,-741084,509347,-91386,-191065,-407247,1385531,-298897,-1237813,2000204,188949,-1491531,-602500,133792,51379
98,Cash at the End of Period,113,10222,7770,49288,378848,1016221,5520147,268265,356342,617054,423548,1188900,447816,957163,865777,674712,267465,1652996,1354099,116286,2116490,2305439,813908,211408,345200,396579
99,Cash at the Beginning of Period,740349,113,10222,7770,49288,378848,1016221,5520147,268264,356342,617054,423548,1188900,447816,957163,865777,674712,267465,1652996,1354099,116286,2116490,2305439,813908,211408,345200
100,Free Cash Flow,-255426,127137,-3434527,-6690,-190382,863403,2340996,-12676825,1955603,353878,-595987,-2607072,-1842921,279966,-1045998,903962,-402700,1385531,-150249,-1141548,2416220,868359,-967467,-101287,-72781,-30144
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/923601/000114420407036810/0001144204-07-036810-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420408039576/0001144204-08-039576-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420409035007/0001144204-09-035007-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420410037884/0001144204-10-037884-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420411038264/0001144204-11-038264-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420412037190/0001144204-12-037190-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000114420413037118/0001144204-13-037118-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420414040381/0001144204-14-040381-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420415039740/0001144204-15-039740-index.html,https://www.sec.gov/Archives/edgar/data/923601/000114420416110542/0001144204-16-110542-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315217007298/0001493152-17-007298-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315218009336/0001493152-18-009336-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315219009954/0001493152-19-009954-index.html,https://www.sec.gov/Archives/edgar/data/923601/000149315220015474/0001493152-20-015474-index.htm,https://www.sec.gov/Archives/edgar/data/923601/000149315221016798/0001493152-21-016798-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
