,https://roic.ai/company/NWBO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1072379/000089102002000385/0000891020-02-000385-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102003000869/0000891020-03-000869-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012404002386/0000950124-04-002386-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012405002442/0000950124-05-002442-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012406001956/0000950124-06-001956-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102007000098/0000891020-07-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102008000094/0000891020-08-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420409020743/0001144204-09-020743-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420410020547/0001144204-10-020547-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420411023452/0001144204-11-023452-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420412021574/0001144204-12-021574-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420413020507/0001144204-13-020507-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420414020023/0001144204-14-020023-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420415016579/0001144204-15-016579-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420416088301/0001144204-16-088301-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420417020754/0001144204-17-020754-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420418020971/0001144204-18-020971-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420419017803/0001144204-19-017803-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000110465920034145/0001104659-20-034145-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000110465921044832/0001104659-21-044832-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000141057822000244/0001410578-22-000244-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,649000,410756,14966126,2539000,255000,248000,352000,307000,7861000,16000,65000,153000,24000,7346000,18499000,13390000,21813000,6186000,117000,22224000,372000,9983,15169000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,704000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,649000,410756,14966126,3243000,255000,248000,352000,307000,7861000,16000,65000,153000,24000,7346000,18499000,13390000,21813000,6186000,117000,22224000,372000,9983,15169000
34,Net Receivables,- -,- -,- -,- -,348625,299748,1127000,8000,11000,75000,3000,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,161000,98032,421400,745000,85000,151000,117000,145000,823000,1057000,36000,86000,94000,112000,147000,1252000,2288000,1698000,1285000,1574000,2828000,5528,2121000
37,Total Current Assets,- -,- -,- -,810000,857413,15687274,5115000,348000,410000,544000,455000,8684000,1074000,101000,239000,118000,7458000,18646000,14642000,24101000,7884000,1402000,23798000,3200000,15511,17290000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39928000,- -,- -,- -,- -,- -,1040,19916000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,626,626000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1292,1292000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1918,1918000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,16000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1709000,3772031,3788989,2457000,523000,148000,87000,49000,22000,406000,- -,55000,78000,112000,138000,3871000,46696000,45022000,47505000,869000,5929000,- -,1036000
45,Total Non-Current Assets,- -,- -,- -,1709000,3772031,3788989,2457000,523000,148000,87000,49000,22000,406000,2000,55000,94000,112000,138000,43799000,46696000,45022000,47505000,869000,5929000,2958,22870000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2519000,4629444,19476263,7572000,871000,558000,631000,504000,8706000,1480000,103000,294000,212000,7570000,18784000,58441000,70797000,52906000,48907000,24667000,9129000,18469,40160000
48,Accounts Payable,- -,- -,- -,- -,886278,1341484,497000,128000,1453000,3796000,3345000,1007000,4076000,9577000,13362000,3808000,8165000,8937000,15555000,17176000,35731000,18400000,20094000,7190000,7380,10947000
49,Short-Term Debt,- -,- -,- -,- -,3881113,65464,493000,86000,3264000,6693000,2505000,- -,7501000,6650000,8100000,13625000,1990000,1222000,1172000,11654000,28171000,22912000,14811000,6135000,2437,7556000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4802000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1020000,577836,778612,659000,526000,1011000,1557000,603000,1892000,2203000,3203000,4662000,33319000,589000,9530000,52153000,35959000,12503000,46371000,30133000,27869000,372607,115266000
53,Total Current Liabilities,- -,- -,- -,1020000,5345227,2185560,1649000,740000,5763000,12046000,6453000,2899000,13780000,19430000,26124000,50752000,10744000,19689000,68880000,64789000,76405000,87683000,69840000,41194000,382424,133769000
54,Long-Term Debt,- -,- -,- -,- -,653325,- -,- -,- -,- -,- -,- -,- -,- -,1359000,1854000,1633000,1882000,- -,24490000,10086000,3000000,8517000,1986000,6588000,- -,30382000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2880000,209320,356003,1047000,115000,12000,3000,- -,- -,- -,- -,- -,- -,11017000,8913000,98000,598000,- -,- -,- -,4914000,13423,- -
58,Total Non-Current Liabilities,- -,- -,- -,2880000,862645,356003,1047000,115000,12000,3000,- -,- -,- -,1359000,1854000,1633000,12899000,8913000,24588000,10684000,3000000,8517000,1986000,11502000,13423,30382000
59,Other Liabilities,- -,- -,- -,9828000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,98000,49000,12000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5309000,5083000,5543000
61,Total Liabilities,- -,- -,- -,7968000,6207872,2541563,2696000,855000,5775000,12049000,6453000,2899000,13780000,20789000,27978000,52385000,23643000,28602000,93468000,75473000,79405000,96200000,71826000,52696000,395847,164151000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20040000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1934,16869,18000,19000,19000,19000,65000,42000,42000,58000,73000,150000,27000,46000,69000,96000,157000,329000,523000,614000,830,948000
64,Retained Earnings,- -,- -,- -,- -,-28395579,-45688004,-58492000,-64244000,-72760000,-82690000,-84085000,-142295000,-164626000,-189897000,-218948000,-251778000,-319098000,-384887000,-520521000,-635262000,-715476000,-788619000,-824413000,-839907000,-1148,-1192090000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-413135,-871561,-615000,-375000,-194000,-143000,-70000,-104000,-104000,-111000,-113000,-123000,-137000,-148000,-160000,-216000,-405000,-844000,-683000,-665000,-1148,357000
66,Other Total Stockholders Equity,- -,- -,- -,- -,27228352,63477396,63965000,64616000,67718000,71363000,78103000,148164000,152388000,169264000,191304000,199578000,303135000,375171000,485585000,630706000,689225000,721801000,777414000,796391000,-362946534,1066794000
67,Total Stockholders Equity,- -,- -,- -,-5449000,-1578428,16934700,4876000,16000,-5217000,-11418000,-5949000,5807000,-12300000,-20686000,-27684000,-52173000,-16073000,-9818000,-35027000,-4676000,-26499000,-47293000,-47159000,-43567000,-362948000,-123991000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2519000,4629444,19476263,7572000,871000,558000,631000,504000,8706000,1480000,103000,294000,212000,7570000,18784000,58441000,70797000,52906000,48907000,24667000,9129000,-362552153,40160000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362570622,- -
70,Total Liabilities & Equity,- -,- -,- -,2519000,4629444,19476263,7572000,871000,558000,631000,504000,8706000,1480000,103000,294000,212000,7570000,18784000,58441000,70797000,52906000,48907000,24667000,9129000,18469,40160000
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1072379/000089102002000385/0000891020-02-000385-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102003000869/0000891020-03-000869-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012404002386/0000950124-04-002386-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012405002442/0000950124-05-002442-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012406001956/0000950124-06-001956-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102007000098/0000891020-07-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102008000094/0000891020-08-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420409020743/0001144204-09-020743-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420410020547/0001144204-10-020547-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420411023452/0001144204-11-023452-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420412021574/0001144204-12-021574-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420413020507/0001144204-13-020507-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420414020023/0001144204-14-020023-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420415016579/0001144204-15-016579-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420416088301/0001144204-16-088301-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420417020754/0001144204-17-020754-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420418020971/0001144204-18-020971-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420419017803/0001144204-19-017803-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000110465920034145/0001104659-20-034145-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000110465921044832/0001104659-21-044832-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000141057822000244/0001410578-22-000244-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-4720000,-5610000,-12779221,-10939764,-12804000,-5752000,-8508000,-9937000,-1395000,-21257000,-22331000,-25271000,-27368000,-32830000,-67320000,-65789000,-135634000,-114741000,-80214000,-73143000,-35794000,-20296000,-529821000,179126000
74,Depreciation and Amortization,- -,- -,160000,200000,5586284,1147763,593000,249000,1691000,2971000,2025000,5769000,390000,7000,2000,10000,14000,11000,11000,56000,189000,439000,1291000,-301000,425000,586000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2712000,2004000,8445000,3203000,1350000,21329000,40765000,127000,842000,14286000,1822000,52209000,15498000
77,Change in Working Capital,- -,- -,-1176000,-210000,-4277814,17989528,-10035714,-3858000,-4961000,-6149000,5504000,11783000,-18491000,-6623000,-6556000,-24749000,47348000,2243000,-53195000,13550000,-27833000,-17760000,40239000,8048000,37627087,2725000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8205000,3566000,- -,- -,-597000
81,Other Working Capital,- -,- -,- -,-210000,-4487814,13501714,3466000,-392000,-5353000,-11502000,-5998000,5785000,-12706000,-19329000,-25885000,-50634000,-3286000,-1043000,-54238000,-40688000,-68521000,-86281000,-46042000,-37994000,-366913,- -
82,Other Non-Cash Items,- -,- -,5736000,5620000,5107649,-17139664,9121714,4684000,7353000,8931000,-13064000,-10896000,24845000,24498000,25542000,34417000,-5999000,24385000,112913000,-18238000,52079000,53127000,-54608000,-21132000,407466913,-236234000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-6363102,-8942137,-13125000,-4677000,-4425000,-4184000,-6930000,-14601000,-15587000,-4677000,-6376000,-14707000,-22754000,-37800000,-54576000,-78608000,-55652000,-36495000,-34586000,-31859000,-32093000,-38299000
84,CAPEX,- -,- -,- -,- -,-2105608,-438467,-531000,-149000,- -,-43000,- -,-24000,-397000,-2000,-41000,-49000,-31000,- -,-33727000,-6751000,-4939000,-8000,-193000,-360000,-6610000,-6015000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1532000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,172000,1828000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,895000,866000,161000,93000,17000,- -,8000,- -,- -,- -,- -,1000,-2625000,- -,- -,220000,45595000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2105608,-438467,536000,2545000,161000,50000,17000,-24000,-389000,-2000,-41000,-49000,-31000,1000,-36352000,-6751000,-4939000,212000,45402000,-360000,-8142000,-6015000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1451000,-849000,-2193000,-2104000,-25000,-1400000,- -,-5252000,-18281000,-6149000,-2024000,-5828000
91,Common Stock Issued,- -,- -,- -,- -,1874301,30178916,232000,- -,- -,1280000,5091000,25886000,1000,1393000,3838000,- -,19159000,53026000,58439000,81662000,26404000,11626000,1161000,6874000,26814000,4070000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-240000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,6356318,-4542942,-70000,-152000,4257000,2958000,1777000,-2452000,8150000,3360000,4222000,15473000,13181000,-1730000,27405000,13976000,11904000,27916000,24991000,9227000,27906000,49890000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,8230619,23935974,162000,-152000,4257000,4238000,6868000,22183000,8151000,4753000,6609000,14624000,30147000,48952000,85819000,94238000,38308000,34290000,7871000,9952000,52696000,48132000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,-20000,-25000,-104000,3000,-40000,- -,- -,-456000,6106000,-4761000,3420000,415000,-2850000,1368000
97,Net Change In Cash,- -,- -,- -,- -,-238091,14555370,-12427000,-2284000,-7000,104000,-45000,7554000,-7845000,49000,88000,-129000,7322000,11153000,-5109000,8423000,-16177000,-6754000,22107000,-21852000,9611000,5186000
98,Cash at the End of Period,- -,- -,- -,- -,410756,14966126,2539000,255000,248000,352000,307000,7861000,16000,65000,153000,24000,7346000,18499000,13390000,21813000,6871000,117000,22224000,372000,9983000,15169000
99,Cash at the Beginning of Period,- -,- -,- -,- -,648847,410756,14966000,2539000,255000,248000,352000,307000,7861000,16000,65000,153000,24000,7346000,18499000,13390000,23048000,6871000,117000,22224000,372000,9983000
100,Free Cash Flow,- -,- -,- -,- -,-8468710,-9380604,-13656000,-4826000,-4425000,-4227000,-6930000,-14625000,-15984000,-4679000,-6417000,-14756000,-22785000,-37800000,-88303000,-85359000,-60591000,-36503000,-34779000,-32219000,-38703000,-44314000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1072379/000089102002000385/0000891020-02-000385-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102003000869/0000891020-03-000869-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012404002386/0000950124-04-002386-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012405002442/0000950124-05-002442-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000095012406001956/0000950124-06-001956-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102007000098/0000891020-07-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000089102008000094/0000891020-08-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420409020743/0001144204-09-020743-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420410020547/0001144204-10-020547-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420411023452/0001144204-11-023452-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420412021574/0001144204-12-021574-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420413020507/0001144204-13-020507-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420414020023/0001144204-14-020023-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420415016579/0001144204-15-016579-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420416088301/0001144204-16-088301-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420417020754/0001144204-17-020754-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420418020971/0001144204-18-020971-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000114420419017803/0001144204-19-017803-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000110465920034145/0001104659-20-034145-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000110465921044832/0001104659-21-044832-index.htm,https://www.sec.gov/Archives/edgar/data/1072379/000141057822000244/0001410578-22-000244-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
