,https://roic.ai/company/SMTI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-72.9935,- -,- -,-74.0462,-3.5889,-3.2861,-0.8608,-6.1106,-7.9943,-5.6408,-5.7659,-1.5724,-2.4027,-0.8654,-0.3975,-0.0755,0.0525,-0.1029,-0.2392,-0.2795,-0.3281
25,EPS,-3.00,- -,- -,-69.00,-5.00,-4.00,-3.00,-8.00,-8.00,-14.00,-23.00,-3.00,-5.00,-3.00,-2.00,-1.00,0.17,-0.34,-1.32,-0.76,-1.38
26,EPS Diluted,-3.00,- -,- -,-69.00,-5.00,-4.00,-3.00,-8.00,-8.00,-14.00,-23.00,-3.00,-5.00,-3.00,-2.00,-1.00,0.09,-0.34,-1.32,-0.76,-1.38
27,Weighted Average Shares Outstanding,712342,- -,- -,91342,156658,161454,161413,219580,290753,358235,547022,628383,777106,879438,1066957,1086044,1113818,2171635,2132745,5734537,5734537
28,Weighted Average Shares Outstanding Diluted,712342,- -,- -,91342,156658,161454,161413,219580,290753,358235,547022,628383,777106,879438,1066957,1086044,2086455,2171635,2132745,5734537,5734537
29,SEC Link,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/714256/000165495420003345/0001654954-20-003345-index.htm,https://www.sec.gov/Archives/edgar/data/714256/000165495421003520/0001654954-21-003520-index.htm,https://www.sec.gov/Archives/edgar/data/714256/000149315222008222/0001493152-22-008222-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,7889,2828,236301,781,1142,-4363,50835,3608,45861,44553,523441,182337,833480,463189,731849,6611928,455366,18652841
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,- -
33,Cash and Short-Term Investments,- -,- -,- -,7889,2828,236301,781,1142,-4363,50835,3608,45861,44553,523441,182337,833480,463189,731849,6611928,1555366,18652841
34,Net Receivables,- -,- -,- -,29624,30198,59724,106318,28639,30003,509223,1145277,203967,221549,278261,452546,794294,836500,214709,1335415,2266877,2861014
35,Inventory,- -,- -,- -,95300,30644,96571,263276,99858,130668,290034,271203,454211,307502,402530,409778,348457,711397,- -,746519,1148253,2048191
36,Other Current Assets,- -,- -,- -,- -,130454,46537,- -,- -,- -,- -,169096,339988,80855,6295,114009,19782,26274,31926,161902,-488183,1046449
37,Total Current Assets,- -,- -,- -,132813,194124,439133,370375,129639,156308,850092,1589184,1044027,654459,1210527,1158670,1996013,2037360,978484,8855764,4482313,24608495
38,PP&E,- -,- -,- -,54917,48771,43415,23335,10055,2750,806,- -,- -,29259,45428,41762,34939,63211,52827,790204,1146242,2042615
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4580672,4110859,432675,- -,293428,242397,191366,140336,117291,52266,1471194,3097666,4727970
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4580672,4110859,432675,344459,293428,242397,191366,140336,117291,52266,1471194,3097666,4727970
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1958463,- -,1100000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,15696,14912,13739,12020,12020,32867,1821570,1810658,5126,- -,- -,- -,- -,- -,- -,- -,- -,-19591144
45,Total Non-Current Assets,- -,- -,- -,70613,63683,57154,35355,22075,4616289,5933235,2243333,349585,322687,287825,233128,175275,180502,2063556,2261398,5343908,-12820559
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,203426,257807,496287,405730,151714,4772597,6783327,3832517,1393612,977146,1498352,1391798,2171288,2217862,3042040,11117162,9826221,11787936
48,Accounts Payable,- -,- -,- -,97662,34919,45396,110107,93925,261161,321352,4804,205206,192166,210266,222351,238229,285462,117467,406172,494840,438154
49,Short-Term Debt,- -,- -,- -,4092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125587,203292
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,54234,867284,1721915,2109403,379046,2196449,3157837,6878036,4804956,3253530,2104849,1236743,1156130,1829862,286537,2233649,2919468,5380830
53,Total Current Liabilities,- -,- -,- -,155988,902203,1767311,2219510,472971,2457610,3479189,6882840,5010162,3445696,2315115,1459094,1394359,2115324,404004,2639821,3539895,6022276
54,Long-Term Debt,- -,- -,- -,6240,- -,- -,- -,- -,- -,435346,809692,189256,- -,- -,1200000,1200000,- -,1500000,1500000,- -,222151
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,3069,- -,- -,- -,- -,- -,- -,- -,- -,8633,3973,- -,- -,25978,584941,446090,- -
58,Total Non-Current Liabilities,- -,- -,- -,6240,3069,- -,- -,- -,- -,435346,809692,189256,- -,8633,1203973,1200000,- -,1525978,2084941,446090,222151
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,6240,3069,- -,- -,- -,- -,- -,- -,- -,- -,13137,8477,3766,- -,- -,598917,481384,- -
61,Total Liabilities,- -,- -,- -,162228,905272,1767311,2219510,472971,2457610,3914535,7692532,5199418,3445696,2323748,2663067,2594359,2115324,1929982,4724762,3985985,222151
62,Preferred Stock,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,532320,829560,802180,856460,855610,- -,11368150,- -,- -
63,Common Stock,- -,- -,- -,14921,16145,16145,16145,27237,32937,41317,58754,68782,85664,92902,107274,109690,113428,236647,3571,6297,7677
64,Retained Earnings,- -,- -,- -,-15344404,-11833067,-12456626,-12999382,-14772577,-17075104,-22924820,-37171962,-39017285,-43165373,-45443550,-46784005,-47199752,-46868443,-47469017,-2675802,-7032242,-15235044
65,Other Comprehensive Income/Loss,- -,- -,- -,221971,-19934,-41720,-41720,-75800,-83105,-85049,-85855,- -,-17062,-22477,-31477,-41328,-56951,-70116,-60694,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,11189391,11211177,11201177,14499883,19440259,25837344,33339048,35142697,40095901,43718169,44634759,45851859,46058894,48414544,-2021135,13176576,45867768
67,Total Stockholders Equity,- -,- -,- -,41198,-647465,-1271024,-1813780,-321257,2314987,2868792,-3860015,-3805806,-2468550,-825396,-1271269,-423071,102538,1112058,6614090,6150631,30640401
68,Total Liabilities And Stockholders Equity,- -,- -,- -,203426,257807,496287,405730,151714,4772597,6783327,3832517,1393612,977146,1498352,1391798,2171288,2217862,3042040,11338852,10136616,30862552
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-221690,-310395,-19074616
70,Total Liabilities & Equity,- -,- -,- -,203426,257807,496287,405730,151714,4772597,6783327,3832517,1393612,977146,1498352,1391798,2171288,2217862,3042040,11117162,9826221,11787936
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/714256/000165495420003345/0001654954-20-003345-index.htm,https://www.sec.gov/Archives/edgar/data/714256/000165495421003520/0001654954-21-003520-index.htm,https://www.sec.gov/Archives/edgar/data/714256/000149315222008222/0001493152-22-008222-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1529871,- -,- -,-6295335,-757863,-623559,-542756,-1773196,-2302527,-5135491,-12740816,-1845323,-4148088,-2278177,-1340455,-415747,331309,-600574,-2814088,-4356440,-7993795
74,Depreciation and Amortization,-61120,- -,- -,24265,16219,21786,20080,14000,124758,471757,470619,61172,51663,56446,60031,60883,80648,83891,119951,291370,596975
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,475600,- -,- -,- -,675184,- -,- -,- -,- -,- -,- -,- -,1402897,2668892
77,Change in Working Capital,- -,- -,- -,-23175,-684904,-620099,-520957,1505803,-1957970,-327795,-2664559,1327521,1174898,1686649,804164,902078,-679618,652444,5641463,-5273525,17643801
78,Accounts Receivable,-6088,- -,- -,- -,- -,- -,- -,-3971,-1364,-420139,382482,83271,-42499,-76985,20256,-503233,-64413,609233,-324368,-961462,-695018
79,Inventory,8266,- -,- -,-52344,64656,-65927,-166705,163418,-30810,-159366,125981,-160880,-97831,-178448,-140995,-91226,-420423,262886,-281205,-719810,251826
80,Accounts Payable,137690,- -,- -,- -,- -,- -,- -,- -,- -,-46959,-309848,200401,-67965,18100,33183,15877,-6713,-167995,-84636,88668,166903
81,Other Working Capital,- -,- -,- -,-23175,-708079,-1328178,-1849135,-343332,-2301302,-2629097,-5293656,-3966135,-2791237,-1104588,-300424,601654,-77964,574480,6215943,942418,18586219
82,Other Non-Cash Items,867131,- -,- -,5745788,802101,822902,662735,-1280643,2840222,3498662,14591155,-1444735,1099546,-1151603,-726629,-137969,127799,141381,-5114727,3901180,-17730399
83,Cash Provided by Operating Activities,-723860,- -,- -,-548457,-624447,-398970,-380898,-1058436,-1295517,-1492867,-343601,-1226181,-1821981,-1686685,-1202889,409245,-139862,277142,-2167401,-4034518,-4814526
84,CAPEX,-48222,- -,- -,-38778,-11992,-16430,-81650,- -,- -,- -,- -,- -,-29892,-8072,-5334,-3029,-85875,-8482,-1705310,-1644374,-171867
85,Acquisitions Net,- -,- -,- -,16048,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1146475,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035375,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-22789,- -,- -,-100000,- -,- -,- -,-476773,240,-100000,-1336237,371839,- -,-375,- -,- -,-41980,- -,-1014272,-1100000,-5112864
89,Cash Used for Investing Activites,-71011,- -,- -,-122730,-11992,-16430,-81650,-476773,240,-211100,-1336237,371839,-29892,-8447,-5334,-3029,-85875,-8482,-1197097,-2744374,-5284731
90,Debt Repayment,-240831,- -,- -,- -,- -,- -,- -,- -,-545063,-1389285,-4118351,-1676853,-662169,-68500,-1178880,-205073,-194604,- -,-2200000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,300000,- -,338900,959700,100000,- -,- -,- -,- -,- -,- -,- -,39330,2334244
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9990,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,998250,- -,- -,678691,631378,648873,227028,1235570,1834835,2809550,4791262,2473448,2512734,2252510,2046000,450000,50050,- -,12000005,583000,25962488
95,Cash Used/Provided by Financing Activities,757419,- -,- -,678691,631378,648873,227028,1535570,1289772,1759165,1632611,896595,1850565,2174020,867120,244927,-144554,- -,9800005,622330,28296732
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,757419,- -,- -,7504,-5061,233473,-235520,361,-5505,55198,-47227,42253,-1308,478888,-341103,651143,-370291,268660,6435507,-6156562,18197475
98,Cash at the End of Period,- -,- -,- -,7889,2828,236301,781,1142,-4363,50835,3608,45861,44553,523441,182338,833480,463189,731849,6611928,455366,18652841
99,Cash at the Beginning of Period,37452,- -,- -,385,7889,2828,236301,781,1142,-4363,50835,3608,45861,44553,523441,182337,833480,463189,176421,6611928,455366
100,Free Cash Flow,-772082,- -,- -,-587235,-636439,-415400,-462548,-1058436,-1295517,-1492867,-343601,-1226181,-1851873,-1694757,-1208223,406216,-225737,268660,-3872711,-5678892,-4986393
101,SEC Link,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/714256/000165495420003345/0001654954-20-003345-index.htm,https://www.sec.gov/Archives/edgar/data/714256/000165495421003520/0001654954-21-003520-index.htm,https://www.sec.gov/Archives/edgar/data/714256/000149315222008222/0001493152-22-008222-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
