,https://roic.ai/company/OXBRW,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1584831/000165495416000181/0001654954-16-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495417001925/0001654954-17-001925-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495418002491/0001654954-18-002491-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495419002948/0001654954-19-002948-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495420002991/0001654954-20-002991-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495421003408/0001654954-21-003408-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495422004186/0001654954-22-004186-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,4000000,4601000,2581000,-20592000,-5749000,-305000,88000,8565
74,Depreciation and Amortization,- -,13000,18000,21000,24000,18000,10000,10000,7
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,117000,119000,127000,126000,36000,32000,61
77,Change in Working Capital,- -,5307000,313000,17087000,-3553000,-4757000,-2649000,-1094000,9421000
78,Accounts Receivable,- -,-4081000,-36000,79000,240000,3798000,-506000,42000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,28000,-98000,33000,140000,-70000,77
81,Other Working Capital,- -,- -,313000,17400000,13847000,9090000,6441000,5347000,14768000
82,Other Non-Cash Items,- -,-641000,3077000,-19392000,-2316000,3729000,-1463000,698000,-9429146
83,Cash Provided by Operating Activities,- -,8679000,8126000,416000,-26310000,-6633000,-4371000,-266000,487
84,CAPEX,- -,-59000,-36000,-11000,-6000,- -,-1000,-14000,-3
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-19193000,-13130000,-13135000,-22647000,-10912000,-505000,-2592000,-1148
87,Sales/Maturities of Investments,- -,8013000,13405000,13087000,27320000,15957000,994000,2716000,- -
88,Other Investing Activites,- -,-18060000,-2190000,6928000,20316000,- -,- -,- -,-404
89,Cash Used for Investing Activites,- -,-29299000,-1951000,6869000,24983000,5045000,488000,110000,-1555
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-600000,- -
91,Common Stock Issued,- -,21870000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-742000,-1061000,- -,- -,- -,- -
93,Dividends Paid,- -,-1708000,-2908000,-2885000,-2091000,- -,- -,- -,- -
94,Other Financing Activites,- -,5080000,- -,- -,- -,2000000,600000,216000,- -
95,Cash Used/Provided by Financing Activities,- -,25242000,-2908000,-3627000,-3152000,2000000,600000,-384000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4622000,3267000,3658000,-4479000,412000,-3283000,-540000,-7472773
98,Cash at the End of Period,- -,5317000,8584000,12242000,7763000,11299000,8016000,7476000,3227
99,Cash at the Beginning of Period,- -,695000,5317000,8584000,12242000,10887000,11299000,8016000,7476000
100,Free Cash Flow,- -,8620000,8090000,405000,-26316000,-6633000,-4372000,-280000,484
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1584831/000165495416000181/0001654954-16-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495417001925/0001654954-17-001925-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495418002491/0001654954-18-002491-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495419002948/0001654954-19-002948-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495420002991/0001654954-20-002991-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495421003408/0001654954-21-003408-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495422004186/0001654954-22-004186-index.htm
102,false,,,,,,,,,
