,https://roic.ai/company/FRSH,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,2800000,2800000,- -,7879000,11400000,- -,- -,- -
50,Tax Payable,- -,- -,- -,72000,77000,4804000,17385000,11800000
51,Deferred Revenue,2848000,1795000,- -,1358000,1715000,68680000,106999000,163433000
52,Other Current Liabilities,9853000,9756000,- -,7503000,14899000,26048000,41533000,53592000
53,Total Current Liabilities,18558000,24149000,- -,22900000,32787000,98383000,152242000,223346000
54,Long-Term Debt,112200000,108237000,- -,100965000,70644000,- -,- -,- -
55,Deferred Revenue,640000,540000,- -,410000,8546000,- -,- -,- -
56,Deferred Tax Liabilities,42069000,42439000,- -,44179000,23121000,- -,- -,- -
57,Other Non-Current Liabilities,1740000,2450000,- -,3922000,3797000,1346106000,2911923000,21427000
58,Total Non-Current Liabilities,156649000,153666000,- -,149476000,106108000,1346106000,2911923000,21427000
59,Other Liabilities,313742000,- -,- -,- -,221022000,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,175651000,177815000,- -,172376000,147701000,1444489000,3064165000,244773000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,169000,169000,- -,170000,170000,1000,1000,3000
64,Retained Earnings,-26125000,-21214000,- -,-18606000,-22318000,-1122861000,-2697153000,-3270941000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,139000,411000,-747000
66,Other Total Stockholders Equity,117254000,118701000,- -,119932000,121171000,- -,- -,4509724000
67,Total Stockholders Equity,91298000,97656000,- -,101496000,99023000,-1122721000,-2696741000,1238039000
68,Total Liabilities And Stockholders Equity,266949000,275471000,- -,273872000,246724000,321768000,367424000,1482812000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,266949000,275471000,- -,273872000,246724000,321768000,367424000,1482812000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1592379/000159237915000020/0001592379-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1592379/000159237916000111/0001592379-16-000111-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1592379/000159237917000029/0001592379-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1592379/000159237919000013/0001592379-19-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1544522/000162828022003537/0001628280-22-003537-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,1248000,4911000,- -,2649000,4324000,-31125000,-57294000,-191995000
74,Depreciation and Amortization,8615000,10002000,- -,12236000,7241000,6260000,11169000,13294000
75,Deferred Income Tax,1123000,1707000,- -,1724000,1296000,-939000,-2360000,-1907000
76,Stock Based Compensation,1898000,1081000,- -,898000,495000,273000,43280000,173443000
77,Change in Working Capital,- -,-3024000,- -,-4531000,-2241000,198848000,-17951000,28020000
78,Accounts Receivable,- -,- -,- -,-522000,238000,-9366000,-9932000,-17509000
79,Inventory,-32000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-766000,3628000,- -,-1103000,-1208000,2665000,53000,1986000
81,Other Working Capital,-2229000,-5253000,- -,-9784000,-20735000,178113000,160162000,31771000
82,Other Non-Cash Items,2625000,9066000,- -,3828000,-875000,-181481000,55686000,-9395000
83,Cash Provided by Operating Activities,15509000,23743000,- -,16804000,10240000,-8164000,32530000,11460000
84,CAPEX,-4067000,-10430000,- -,-18010000,-576000,-14828000,-10764000,-9117000
85,Acquisitions Net,-4608000,-9691000,- -,-2562000,-134000,-5972000,-5075000,23979000
86,Purchases of Investments,-3518000,-510000,- -,-84000,-29000,-176575000,-115689000,-686078000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,48426000,120103000,250300000
88,Other Investing Activites,2666000,1077000,- -,1266000,7725000,-3323000,-6381000,-2932000
89,Cash Used for Investing Activites,-9527000,-19554000,- -,-19390000,6986000,-148949000,-11425000,-420296000
90,Debt Repayment,-169900000,-2800000,- -,-3321000,-13392000,- -,- -,- -
91,Common Stock Issued,59675000,- -,- -,- -,- -,- -,- -,1069348000
92,Common Stock Repurchased,-1518000,-10000,- -,-84000,-29000,-100000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,107112000,432000,- -,1193000,-213000,250232000,-1909000,-10979000
95,Cash Used/Provided by Financing Activities,-4631000,-2378000,- -,-2212000,-13634000,150232000,-1909000,1058369000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1351000,1811000,- -,-4798000,3592000,-6881000,19196000,649533000
98,Cash at the End of Period,5056000,6867000,- -,2069000,5766000,79135000,98331000,747864000
99,Cash at the Beginning of Period,3705000,5056000,- -,6867000,2174000,86016000,79135000,98331000
100,Free Cash Flow,11442000,13313000,- -,-1206000,9664000,-22992000,21766000,2343000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1592379/000159237915000020/0001592379-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1592379/000159237916000111/0001592379-16-000111-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1592379/000159237917000029/0001592379-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1592379/000159237919000013/0001592379-19-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1544522/000162828022003537/0001628280-22-003537-index.htm
102,false,,,,,,,,
