,https://roic.ai/company/GNAL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1398137/000139813708000017/0001398137-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878209000260/0001078782-09-000260-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000107878210000523/0001078782-10-000523-index.html,- -,https://www.sec.gov/Archives/edgar/data/1398137/000107878212001023/0001078782-12-001023-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878213000458/0001078782-13-000458-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000107878214000198/0001078782-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878215000266/0001078782-15-000266-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315216008694/0001493152-16-008694-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315217003073/0001493152-17-003073-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000149315218004368/0001493152-18-004368-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000149315219005339/0001493152-19-005339-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315220006224/0001493152-20-006224-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315221008664/0001493152-21-008664-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2245,- -,137685,33932,15453,322,322,322,106316,275783,967943,886693,103637,372000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2245,- -,137685,33932,15453,322,322,322,106316,275783,967943,886693,103637,372000
34,Net Receivables,9819,29552,170000,110297,- -,- -,- -,- -,711985,631269,417484,91208,- -,54000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,3819859,2880804,1684463,570187,389922,133000
36,Other Current Assets,50650,- -,575,- -,2000,- -,- -,- -,32661,72531,870104,255985,23806,54000
37,Total Current Assets,62714,29552,308260,144229,17453,322,322,322,4670821,3860387,3939994,1804073,517365,613000
38,PP&E,5337,4081,2825,- -,- -,- -,- -,- -,267701,204936,138243,56761,449446,78000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1301591,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1301591,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,32071,32071,37980,83887,10169,11000
45,Total Non-Current Assets,5337,4081,2825,- -,- -,- -,- -,- -,299772,237007,176223,1442239,459615,89000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,68051,33633,311085,144229,17453,322,322,322,4970593,4097394,4116217,3246312,976980,702000
48,Accounts Payable,12790,6750,11442,4320,887,675,3450,510,913534,560319,1124349,1263364,1584643,1649000
49,Short-Term Debt,5749,4231,- -,- -,- -,- -,- -,- -,612807,278711,1357585,1895516,2584093,3296000
50,Tax Payable,800,1600,2400,2400,2400,2400,2400,2400,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372727,798589,816000
52,Other Current Liabilities,53049,1680,6522,27949,50449,72949,96677,122737,1554019,1217850,527991,573757,2879362,979000
53,Total Current Liabilities,71588,12661,17964,32269,51336,73624,100127,123247,3080360,2056880,3009925,4105364,7846687,6740000
54,Long-Term Debt,- -,- -,310000,225315,226043,227954,225000,267558,23413,635623,17481,- -,422525,537000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408681,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,23207,24130,50031,- -,- -,- -,23273,- -,34219,- -,7415000,2160806,1332000,2161000
58,Total Non-Current Liabilities,23207,24130,360031,225315,226043,227954,248273,267558,57632,635623,7432481,2569487,1754525,2698000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,36220,23376,9665,- -,555713,622000
61,Total Liabilities,94795,36791,377995,257584,277379,301578,348400,390805,3137992,2692503,10442406,6674851,9601212,9438000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1045,1078,1078,1078,1078,1078,1078,1078,2958,2972,3852,45795,46821,59000
64,Retained Earnings,-33394,-91558,-155310,-201755,-348326,-389656,-436478,-478883,-881963,-1420673,-15442401,-32516406,-40410062,-40981000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179160,-109470,- -
66,Other Total Stockholders Equity,5605,87322,87322,87322,87322,87322,87322,87322,2711606,2822592,9112360,29221232,31848479,32186000
67,Total Stockholders Equity,-26744,-3158,-66910,-113355,-259926,-301256,-348078,-390483,1832601,1404891,-6326189,-3428539,-8624232,-8736000
68,Total Liabilities And Stockholders Equity,68051,33633,311085,144229,17453,322,322,322,4970593,4097394,4116217,3246312,976980,702000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,68051,33633,311085,144229,17453,322,322,322,4970593,4097394,4116217,3246312,976980,702000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1398137/000139813708000017/0001398137-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878209000260/0001078782-09-000260-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000107878210000523/0001078782-10-000523-index.html,- -,https://www.sec.gov/Archives/edgar/data/1398137/000107878212001023/0001078782-12-001023-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878213000458/0001078782-13-000458-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000107878214000198/0001078782-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878215000266/0001078782-15-000266-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315216008694/0001493152-16-008694-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315217003073/0001493152-17-003073-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000149315218004368/0001493152-18-004368-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000149315219005339/0001493152-19-005339-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315220006224/0001493152-20-006224-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315221008664/0001493152-21-008664-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-33394,-58163,-63752,-46445,-146571,-41330,-46822,-42404,-553022,-538710,-14021728,-17074005,-7893656,-571000
74,Depreciation and Amortization,942,1256,1256,- -,- -,- -,- -,- -,51118,70950,69893,271013,313423,33000
75,Deferred Income Tax,800,800,800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-40331,21470,-155020,74583,17067,24288,26503,23120,-889738,694608,440939,1094813,3251324,1038000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-160466,-282133,174103,623516,123956,46000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-1840484,1014676,1185308,315837,180265,352000
80,Accounts Payable,- -,- -,- -,- -,-3433,-212,- -,- -,- -,- -,572291,139016,870275,134000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-13619,- -,-5909,138195,73718,- -
82,Other Non-Cash Items,1,-1,- -,2825,110297,- -,- -,- -,142485,353786,11450320,12027848,3318978,-999000
83,Cash Provided by Operating Activities,-71982,-34638,-216716,30963,-19207,-17042,-20319,-19284,-1249157,580634,-2060576,-3680331,-1009931,-499000
84,CAPEX,-6279,- -,- -,- -,- -,- -,- -,- -,-144011,-8185,-3200,-656341,-222452,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,322,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278500,- -,- -
89,Cash Used for Investing Activites,-6279,- -,- -,- -,- -,- -,- -,- -,-143689,-8185,-3200,-377841,-222452,- -
90,Debt Repayment,- -,- -,- -,-49716,- -,- -,- -,- -,-13889,-1100302,-41973,-538074,-88173,-53000
91,Common Stock Issued,57300,81750,- -,- -,- -,- -,- -,- -,- -,- -,555000,1568000,- -,- -
92,Common Stock Repurchased,- -,-50650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23207,1292,354401,-85000,728,1931,20319,19284,1104055,697320,2242909,2946996,537500,820000
95,Cash Used/Provided by Financing Activities,80507,32392,354401,-134716,728,1931,20319,19284,1090166,-402982,2755936,3976922,449327,767000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,80507,32392,354401,-103753,-18479,-15111,- -,- -,-302680,169467,692160,-81250,-783056,268000
98,Cash at the End of Period,2246,- -,137685,33932,15453,322,322,322,106316,275783,967943,886693,103637,372000
99,Cash at the Beginning of Period,- -,2246,- -,137685,33932,15433,322,322,408996,106316,275783,967943,886693,104000
100,Free Cash Flow,-78261,-34638,-216716,30963,-19207,-17042,-20319,-19284,-1393168,572449,-2063776,-4336672,-1232383,-499000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1398137/000139813708000017/0001398137-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878209000260/0001078782-09-000260-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000107878210000523/0001078782-10-000523-index.html,- -,https://www.sec.gov/Archives/edgar/data/1398137/000107878212001023/0001078782-12-001023-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878213000458/0001078782-13-000458-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000107878214000198/0001078782-14-000198-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000107878215000266/0001078782-15-000266-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315216008694/0001493152-16-008694-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315217003073/0001493152-17-003073-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000149315218004368/0001493152-18-004368-index.html,https://www.sec.gov/Archives/edgar/data/1398137/000149315219005339/0001493152-19-005339-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315220006224/0001493152-20-006224-index.htm,https://www.sec.gov/Archives/edgar/data/1398137/000149315221008664/0001493152-21-008664-index.htm
102,false,,,,,,,,,,,,,,
