,https://roic.ai/company/WILC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267000,97000,309000,- -,- -,- -,- -,- -,- -,- -,- -,2212000,1592000,3062000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445000,522000,- -,- -,499000,- -,- -,- -,- -,- -,- -,768000,2017000
57,Other Non-Current Liabilities,- -,- -,70540,117360,- -,222959,161361,185585,299000,690850,462695,1441000,1044000,1281000,518000,581000,644000,635000,679000,849000,1148000,836000,1486000,1905000,1615000
58,Total Non-Current Liabilities,- -,- -,70540,117360,- -,222959,161361,185585,299000,690850,462695,1708000,1586000,2112000,518000,581000,1143000,635000,679000,849000,1148000,836000,3698000,4265000,6694000
59,Other Liabilities,- -,- -,- -,234720,- -,- -,- -,- -,- -,- -,925390,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3887000,2985000,4198000
61,Total Liabilities,12733200,9985200,13041564,13990133,5100000,16698211,22459665,31027221,35383200,33379850,47831075,87760000,76239000,60412000,37366000,50956000,29205000,25283000,19151000,20467000,21341000,25534000,45879000,44180000,56834000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,353700,416050,473032,485628,100000,526563,514610,1506260,1499600,1107888,1114323,1113000,1113000,1444000,1444000,1444000,1407000,1407000,1425000,1425000,1425000,1425000,1425000,1490000,1490000
64,Retained Earnings,15209100,24130900,32286481,40141201,15300000,59359295,66934163,77837798,80610400,108952100,111524870,111447000,141883000,170060000,188371000,212377000,244185000,263039000,269883000,261486000,286509000,311476000,362987000,415196000,400322000
65,Other Comprehensive Income/Loss,-707400,-1664200,-1813288,-2395765,-1100000,-4100000,-4600000,-5600000,-6700000,-6400000,-412570,616000,886000,983000,834000,886000,970000,190000,50000,-261000,-707000,-376000,-782000,-1075000,-712000
66,Other Total Stockholders Equity,16623900,19554350,20394301,21019599,53698517,24213754,24299089,25341064,26392600,67569713,61503706,59056000,59056000,128863000,119668000,119054000,119281000,121430000,128354000,128354000,128354000,128354000,127726000,170132000,170132000
67,Total Stockholders Equity,31479300,42437100,51340526,59250663,67998517,79999612,87147861,99085121,101802600,171229700,173730330,172232000,202938000,301350000,310317000,333761000,365843000,386066000,399712000,391004000,415581000,440879000,491356000,585743000,571232000
68,Total Liabilities And Stockholders Equity,44212500,52422300,64382090,73240796,73098517,96697823,109607526,130112342,137185800,204609550,221561405,259992000,279177000,361762000,347683000,384717000,395048000,411349000,418863000,411471000,436922000,466413000,537235000,629923000,628066000
69,Minority Interest,- -,- -,-0,- -,-48098517,- -,- -,- -,- -,14710050,18662024,13350000,3542000,5522000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,44212500,52422300,64382090,73240796,25000000,96697823,109607526,130112342,137185800,219319600,240223429,273342000,282719000,367284000,347683000,384717000,395048000,411349000,418863000,411471000,436922000,466413000,537235000,629923000,628066000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030997/000117891310001683/zk1008462.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891311001847/zk1110077.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891312001241/zk1211391.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891313001272/zk1313015.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891314001479/zk1414799.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891315001380/zk1516657.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891316005185/zk1618400.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891317001235/zk1719852.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891318001346/zk1821527.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891319000946/0001178913-19-000946-index.html,https://www.sec.gov/Archives/edgar/data/1030997/000117891320000863/0001178913-20-000863-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6720300,7488900,7767677,7782189,8227046,7205847,8774533,11204154,7718800,28531263,1970309,-786000,30436000,28177000,18311000,24006000,31808000,18854000,6844000,10852000,25023000,24967000,51511000,52209000,45101000
74,Depreciation and Amortization,353700,416050,767639,1335477,1080000,925043,955081,1061719,1251200,1200563,5452087,5020000,5777000,5815000,3506000,3134000,4459000,3634000,3723000,3762000,3682000,3614000,4815000,5690000,6200000
75,Deferred Income Tax,-353700,- -,-327803,- -,740000,-104364,353249,-690549,32200,320150,-431848,- -,739000,1343000,-239000,- -,- -,- -,- -,- -,- -,- -,- -,1586000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,88000,190000,2124000,152000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-6012900,-11649400,7510414,-659645,-400000,1907012,-1007414,-11117836,-15502000,11243163,-1472912,- -,-13414000,-12927000,120000,-30289000,-22035000,-5795000,4963000,-2960000,-777000,-15144000,-43920000,32202000,8020000
78,Accounts Receivable,- -,- -,- -,- -,22900000,- -,- -,- -,- -,- -,- -,- -,-7196000,-8470000,-5774000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-4951800,2496300,-1464738,4552763,6200000,3942106,-2516355,-8329745,-3657000,11664413,-2633505,- -,-10986000,7196000,1691000,-16657000,-4731000,5415000,14069000,-7360000,1978000,-9390000,-22259000,12034000,-14000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4665000,- -,- -,- -,- -,- -,- -,1020000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1015213,-347021,- -,- -,-5217000,- -,913000,519000,-1004000,-3109000,1260000,1851000,-2379000,2064000,- -,1249000
82,Other Non-Cash Items,1061100,2912350,547721,-886271,-627046,-583489,-3641519,-474752,-791200,-17443963,2444571,14646000,-5865000,-1992000,1056000,-4060000,-10692000,836000,-1344000,5698000,-13489000,13604000,-14972000,-27511000,-13804000
83,Cash Provided by Operating Activities,1768500,-832100,16265648,7571750,9020000,9350050,5433931,-17264,-7291000,23851175,7962206,18880000,17673000,20416000,22954000,-7121000,3730000,19653000,14338000,17352000,14439000,27041000,-2566000,64176000,45517000
84,CAPEX,-1061100,-416050,-1551876,-837708,- -,-1114795,-2027912,-694865,-14881000,-22903363,-11285897,-3615000,-1839000,-6206000,-1643000,-1628000,-6077000,-8077000,-2994000,-1915000,-2650000,-2143000,-1791000,-2903000,-6209000
85,Acquisitions Net,- -,- -,- -,- -,-321163,- -,- -,- -,- -,- -,-15438583,-14914000,-129000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-4598100,- -,-2887982,- -,- -,-5925019,-17605761,- -,-777400,-9372813,-17605537,- -,-1086000,- -,- -,- -,- -,-31222000,-22087000,-8504000,-30833000,-8058000,- -,-20739000,- -
87,Sales/Maturities of Investments,- -,832100,- -,4589185,- -,- -,- -,41117865,- -,- -,- -,16775000,663000,14000,- -,- -,56309000,65400000,- -,62298000,2168000,3970000,11336000,- -,- -
88,Other Investing Activites,353700,-416050,282159,40469,-12041404,260910,571304,34527,50600,509713,-115674,-1630000,239000,-53594000,-89158000,22423000,-65416000,969000,456000,190000,361000,415000,-17650000,-949000,21655000
89,Cash Used for Investing Activites,-5305500,- -,-4157699,3791945,-13431643,-6778904,-19062368,40457528,-15607800,-31766463,-44445691,-3084000,-2152000,-59786000,-90801000,20795000,-15184000,27070000,-24625000,52069000,-30954000,-5816000,-8105000,-24591000,15446000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5209000,-4963000,-4625000,- -,- -,- -,- -,- -,- -,- -,- -,-1128000,-1819000,-2169000
91,Common Stock Issued,14855400,- -,- -,- -,- -,- -,- -,556755,- -,73440725,- -,- -,- -,70248000,- -,- -,- -,- -,6790000,- -,- -,- -,- -,42471000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-702000,- -,- -,- -,- -,- -,- -,-628000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4739063,- -,-269000,- -,- -,- -,- -,- -,- -,- -,-19249000,- -,- -,- -,- -,-59975000
94,Other Financing Activites,-7427700,- -,- -,- -,2146951,-1171721,-1059747,2451448,-2488600,- -,6797758,6803000,-2189000,274000,-11123000,9930000,-9912000,-18000,16000,-16000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,7427700,- -,- -,- -,2146951,-1171721,-1059747,3008203,-2488600,68701663,6797758,1325000,-7152000,65897000,-11123000,9228000,-9912000,-18000,6806000,-19265000,- -,- -,-1756000,40652000,-62144000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-138808,-21000,-14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-275000,-4923000
97,Net Change In Cash,- -,-832100,12107949,11363695,-2810000,1399424,-14692546,43448467,-25382800,60786375,-29824536,17100000,8355000,26527000,-78970000,22902000,-21366000,46705000,-3481000,50156000,-16515000,21225000,-12427000,79962000,-6104000
98,Cash at the End of Period,3890700,3328400,15610043,27029245,24190000,27718082,12464024,55934453,30410600,91129013,61804458,78749000,87104000,113631000,34661000,57563000,36197000,82902000,79421000,129577000,113062000,134287000,121860000,201822000,195718000
99,Cash at the Beginning of Period,- -,4160500,3502094,15665550,27000000,26318658,27156570,12485985,55793400,30342638,91628994,61649000,78749000,87104000,113631000,34661000,57563000,36197000,82902000,79421000,129577000,113062000,134287000,121860000,201822000
100,Free Cash Flow,707400,-1248150,14713772,6734042,9020000,8235254,3406019,-712128,-22172000,947813,-3323691,15265000,15834000,14210000,21311000,-8749000,-2347000,11576000,11344000,15437000,11789000,24898000,-4357000,61273000,39308000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030997/000117891310001683/zk1008462.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891311001847/zk1110077.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891312001241/zk1211391.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891313001272/zk1313015.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891314001479/zk1414799.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891315001380/zk1516657.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891316005185/zk1618400.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891317001235/zk1719852.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891318001346/zk1821527.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891319000946/0001178913-19-000946-index.html,https://www.sec.gov/Archives/edgar/data/1030997/000117891320000863/0001178913-20-000863-index.html,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2646,0.2637,0.2837,0.2622,0.2676,0.288,0.2564,0.2567,0.259,0.2872,0.2674,0.2894,0.3108,0.3215
