,https://roic.ai/company/CMBM,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1738177/000156459020012247/0001564590-20-012247-index.htm,https://www.sec.gov/Archives/edgar/data/1738177/000156459021009841/0001564590-21-009841-index.htm,https://www.sec.gov/Archives/edgar/data/1738177/000095017022001957/0000950170-22-001957-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,2275000,9799000,-1513000,-17601000,18575000,37421000
74,Depreciation and Amortization,8433000,8871000,9018000,6367000,7268000,6977000
75,Deferred Income Tax,-118000,-1884000,-1863000,7402000,-1072000,-6065000
76,Stock Based Compensation,- -,- -,- -,17696000,3436000,7717000
77,Change in Working Capital,5514000,- -,8288000,22175000,-3925000,-17024000
78,Accounts Receivable,- -,- -,- -,- -,3165000,- -
79,Inventory,-1314000,586000,-10009000,-7634000,5696000,174000
80,Accounts Payable,-3363000,4726000,4261000,2096000,6097000,-2710000
81,Other Working Capital,30986000,30986000,39274000,61449000,57524000,4848000
82,Other Non-Cash Items,428000,6215000,-24325000,-32486000,32619000,934000
83,Cash Provided by Operating Activities,16532000,23001000,-10395000,3553000,56901000,29960000
84,CAPEX,-2031000,-5931000,-7500000,-3946000,-5066000,-10166000
85,Acquisitions Net,- -,- -,- -,-4666000,-334000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-164000,-2585000,-1912000,-944000,-1659000,-3907000
89,Cash Used for Investing Activites,-2031000,-5931000,-7500000,-8612000,-5400000,-10166000
90,Debt Repayment,-12712000,-66515000,-4500000,-40212000,-20000000,-55292000
91,Common Stock Issued,- -,- -,- -,65988000,- -,1756000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7285000,42168000,19566000,-5754000,11632000,30583000
95,Cash Used/Provided by Financing Activities,-5427000,-24347000,15066000,20022000,-8368000,-22953000
96,Effect of Forex Changes on Cash,-64000,27000,-107000,-58000,-7000,-22000
97,Net Change In Cash,9010000,-7250000,-2936000,14905000,43126000,-3181000
98,Cash at the End of Period,14627000,7377000,4441000,19346000,62472000,59291000
99,Cash at the Beginning of Period,5617000,14627000,7377000,4441000,19346000,62472000
100,Free Cash Flow,14501000,17070000,-17895000,-393000,51835000,19794000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1738177/000156459020012247/0001564590-20-012247-index.htm,https://www.sec.gov/Archives/edgar/data/1738177/000156459021009841/0001564590-21-009841-index.htm,https://www.sec.gov/Archives/edgar/data/1738177/000095017022001957/0000950170-22-001957-index.htm
102,false,,,,,,
