,https://roic.ai/company/NTR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,137900000,104800000,53700000,69500000,79800000,82800000,134000000,253400000,342800000,536200000,569400000,-213419000,452200000,375100000,302900000,80500000,670300000,1052700000,1032300000,1811100000,4980300000,1514800000,2966500000,4795000000,3589000000,3272000000,3035000000,2587000000,1266000000,1059000000,5576000000,3612000000,2859000000,6706000000
16,EBITDA ratio,0.4509,0.3771,0.2252,0.2621,0.2742,0.2644,0.3150,0.2794,0.2442,0.2305,0.2467,-0.1035,0.2026,0.1810,0.1583,0.0326,0.2066,0.2736,0.2741,0.3460,0.5272,0.3809,0.4537,0.5502,0.4528,0.4479,0.4266,0.4120,0.2841,0.2329,0.2840,0.1804,0.1367,0.2420
17,Operating Income,114400000,76300000,30300000,43900000,46400000,60300000,86500000,207600000,292900000,415100000,413300000,-376625000,270300000,269700000,166900000,-55600000,514300000,892600000,875500000,1588500000,4635100000,1192200000,2548100000,4306000000,3019000000,2616000000,2348000000,1913000000,582000000,209000000,414000000,1862000000,902000000,4781000000
18,Operating Income ratio,0.3741,0.2746,0.1270,0.1655,0.1595,0.1925,0.2033,0.2289,0.2086,0.1785,0.1791,-0.1827,0.1211,0.1301,0.0872,-0.0225,0.1585,0.2320,0.2324,0.3035,0.4907,0.2998,0.3897,0.4941,0.3809,0.3581,0.3300,0.3047,0.1306,0.0460,0.0211,0.0930,0.0431,0.1725
19,Total Other Income Expenses (Gains),-8800000,7200000,10400000,-8300000,1000000,-9200000,8200000,-25200000,-40200000,-48900000,-34800000,-27900000,-5100000,-80300000,-83100000,-91300000,-84000000,-82300000,-85600000,-74700000,-62800000,-120900000,-99100000,-159000000,-114000000,-144000000,-184000000,-192000000,-216000000,-238000000,-538000000,-554000000,-520000000,-613000000
20,Income Before Tax,105600000,- -,- -,35600000,47400000,51100000,94700000,182400000,252700000,366200000,378500000,-404525000,265200000,189400000,83800000,-146900000,430300000,810300000,789900000,1513800000,4572300000,1071300000,2449000000,4147000000,2905000000,2472000000,2164000000,1721000000,366000000,-29000000,-124000000,1308000000,382000000,4168000000
21,Income Before Tax Ratio,0.3453,- -,- -,0.1342,0.1629,0.1632,0.2226,0.2011,0.1800,0.1574,0.1640,-0.1963,0.1188,0.0914,0.0438,-0.0596,0.1326,0.2106,0.2097,0.2892,0.4840,0.2694,0.3745,0.4758,0.3665,0.3384,0.3041,0.2741,0.0821,-0.0064,-0.0063,0.0653,0.0183,0.1504
22,Income Tax expense (Gain),16700000,- -,- -,-3500000,1600000,3400000,3500000,22900000,43700000,69100000,117500000,7469000,67200000,68200000,30200000,-20600000,131700000,267400000,158100000,416200000,1077100000,83500000,642800000,1066000000,826000000,687000000,628000000,451000000,43000000,-183000000,-93000000,316000000,-77000000,989000000
23,Net Income,88900000,71200000,21900000,39100000,45800000,47700000,91200000,159500000,209000000,297100000,261000000,-411994000,198000000,121200000,53600000,-126300000,298600000,542900000,631800000,1103600000,3495200000,987800000,1806200000,3081000000,2079000000,1785000000,1536000000,1270000000,323000000,327000000,3573000000,992000000,459000000,3153000000
24,Net Income ratio,0.2907,0.2562,0.0918,0.1474,0.1574,0.1523,0.2144,0.1759,0.1489,0.1277,0.1131,-0.1999,0.0887,0.0585,0.0280,-0.0512,0.0920,0.1411,0.1677,0.2108,0.3700,0.2484,0.2762,0.3535,0.2623,0.2444,0.2159,0.2023,0.0725,0.0719,0.1820,0.0495,0.0220,0.1138
25,EPS,0.28,0.28,0.08,0.14,0.16,0.17,0.29,0.51,0.64,0.79,0.67,-1.06,0.53,0.33,0.14,-0.34,0.77,1.39,1.69,2.92,9.47,2.78,5.10,9.00,6.05,5.15,4.58,3.80,1.00,0.97,5.72,1.70,0.81,5.42
26,EPS Diluted,0.28,0.28,0.08,0.14,0.16,0.17,0.29,0.51,0.64,0.79,0.67,-1.06,0.53,0.32,0.14,-0.34,0.75,1.36,1.65,2.83,9.18,2.71,4.95,8.78,5.92,5.10,4.55,3.80,1.00,0.97,5.72,1.70,0.81,5.42
27,Weighted Average Shares Outstanding,317188476,251545663,267521759,279011685,279737364,286486486,310045895,312377595,327843137,376605634,389875519,390310105,377142857,372923077,374679612,376056000,388681200,390844800,374256000,378769200,368976000,355170660,354548400,342270800,344013200,345838400,335240400,333656400,335571200,336031600,624900000,582269000,569657000,582269000
28,Weighted Average Shares Outstanding Diluted,317188476,251545663,267521759,279011685,279737364,286486486,310045895,312377595,327843137,376605634,390170275,391261608,377142857,376137931,374679612,376056000,398660400,399880800,382428000,389169600,380925600,364726154,364437200,350654800,350362800,349592800,337817600,334939600,335783600,336126400,624900000,583102000,569686000,582269000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1725964/000119312518033026/0001193125-18-033026-index.htm,https://www.sec.gov/Archives/edgar/data/1725964/000119312519030401/0001193125-19-030401-index.htm,https://www.sec.gov/Archives/edgar/data/1725964/000119312520040691/0001193125-20-040691-index.htm,https://www.sec.gov/Archives/edgar/data/1725964/000119312521046734/0001193125-21-046734-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,4700000,458900000,93900000,325700000,719500000,276800000,385400000,411900000,430000000,562000000,628000000,215000000,91000000,32000000,116000000,2314000000,671000000,1454000000,499000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24500000,4700000,458900000,93900000,325700000,719500000,283200000,385400000,411900000,430000000,562000000,628000000,215000000,91000000,32000000,116000000,2314000000,671000000,1454000000,499000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267800000,305000000,352600000,453300000,442300000,596200000,1189900000,1137900000,1043700000,1195000000,939000000,638000000,910000000,589000000,518000000,468000000,3342000000,3542000000,3581000000,5366000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499300000,395200000,396800000,522500000,501300000,428100000,714900000,623500000,569900000,731000000,762000000,728000000,646000000,749000000,768000000,788000000,4917000000,4975000000,4930000000,6328000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40400000,29000000,35300000,41100000,40900000,67500000,79200000,124900000,114400000,52000000,233000000,195000000,167000000,124000000,76000000,1951000000,1089000000,1477000000,1505000000,1653000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,832000000,733900000,1243600000,1110800000,1310200000,1811300000,2267200000,2271700000,2139900000,2408000000,2496000000,2189000000,1938000000,1553000000,1394000000,3323000000,11662000000,10665000000,11470000000,13846000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3269900000,3108100000,3098900000,3262800000,3525800000,3887400000,4812200000,6413300000,8062700000,9922000000,11505000000,12233000000,12674000000,13212000000,13318000000,12971000000,- -,- -,19660000000,20016000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000000,97000000,97000000,97000000,97000000,97000000,97000000,97000000,97000000,97000000,97000000,97000000,97000000,11431000000,11986000000,12198000000,12220000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000000,97000000,134100000,34500000,29300000,24500000,21500000,20000000,18600000,18000000,29000000,40000000,45000000,95000000,83000000,69000000,2210000000,2428000000,2388000000,2340000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000000,97000000,134100000,131500000,126300000,121500000,118500000,117000000,115600000,115000000,126000000,137000000,142000000,192000000,180000000,166000000,13641000000,14414000000,14586000000,14560000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2750700000,3760300000,4938000000,3452000000,3735000000,2998000000,2738000000,2227000000,2113000000,292000000,878000000,821000000,562000000,703000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,21000000,10000000,10000000,- -,- -,216000000,249000000,242000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,486700000,628300000,650200000,852800000,1254700000,3896400000,300200000,359900000,363100000,360000000,314000000,380000000,222000000,275000000,250000000,246000000,19105000000,20650000000,672000000,829000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3853600000,3833400000,3883200000,4247100000,4906800000,7905300000,7981600000,10650500000,13479400000,13849000000,15710000000,15769000000,15786000000,15916000000,15861000000,13675000000,33840000000,36134000000,35722000000,36108000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4685600000,4567300000,5126800000,5357900000,6217000000,9716600000,10248800000,12922200000,15619300000,16257000000,18206000000,17958000000,17724000000,17469000000,17255000000,16998000000,45502000000,46799000000,47192000000,49954000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347000000,380300000,599900000,194600000,228900000,371000000,359500000,506800000,587000000,271000000,623000000,450000000,457000000,426000000,340000000,306000000,3053000000,4016000000,4415000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1632000000,1478000000,14000000,2391000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25200000,42100000,- -,- -,53200000,- -,85000000,60000000,81000000,80000000,59000000,51000000,1625000000,1693000000,1800000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476400000,177500000,103800000,901500000,849400000,588800000,2256300000,1053100000,2551600000,1923000000,1146000000,1603000000,1660000000,1241000000,1298000000,1245000000,2025000000,1942000000,2251000000,10052000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,823400000,557800000,703700000,1096100000,1103500000,1001900000,2615800000,1559900000,3191800000,2194000000,1854000000,2113000000,2198000000,1747000000,1697000000,1602000000,8335000000,9129000000,8480000000,12443000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1019900000,1268600000,1258600000,1257600000,1357100000,1339400000,1739500000,3319300000,3707200000,3705000000,3466000000,2970000000,3213000000,3710000000,3707000000,3711000000,7591000000,8553000000,10047000000,8455000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1052000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468900000,484200000,499400000,543300000,632100000,988100000,794200000,999300000,1078400000,- -,1482000000,2013000000,2201000000,2438000000,2463000000,2205000000,2907000000,3145000000,3149000000,3165000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280900000,282900000,279500000,328400000,344000000,368500000,510400000,543000000,837700000,1459000000,1492000000,1234000000,1320000000,1192000000,1189000000,1177000000,2244000000,3103000000,3151000000,2192000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1769700000,2035700000,2037500000,2129300000,2333200000,2696000000,3044100000,4861600000,5623300000,6216000000,6440000000,6217000000,6734000000,7340000000,7359000000,7093000000,12742000000,14801000000,16347000000,13812000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1073000000,1140000000,1220000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2593100000,2593500000,2741200000,3225400000,3436700000,3697900000,5659900000,6421500000,8815100000,8410000000,8294000000,8330000000,8932000000,9087000000,9056000000,8695000000,21077000000,23930000000,24827000000,26255000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1543000000,1600000000,1632000000,1747000000,1798000000,1806000000,16740000000,15771000000,15673000000,15457000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,641400000,462800000,701500000,716900000,1286400000,2279600000,2402300000,3272100000,2968900000,5257000000,6671000000,7136000000,6423000000,6455000000,6204000000,6242000000,7745000000,7101000000,6606000000,8192000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1454700000,-1576200000,-1754900000,-1927700000,-2073800000,-2280700000,-2526600000,-2711700000,-2993700000,-3653000000,-4176000000,-4668000000,-5276000000,-5871000000,-6408000000,-7171000000,-291000000,-251000000,-13462000000,-146000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2905800000,3087200000,3439000000,3343300000,3567700000,6019800000,4713200000,5940300000,6829000000,6243000000,5874000000,5560000000,6013000000,6051000000,6605000000,7426000000,231000000,248000000,13548000000,149000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2092500000,1973800000,2385600000,2132500000,2780300000,6018700000,4588900000,6500700000,6804200000,7847000000,9912000000,9628000000,8792000000,8382000000,8199000000,8303000000,24425000000,22869000000,22365000000,23652000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4685600000,4567300000,5126800000,5357900000,6217000000,9716600000,10248800000,12922200000,15619300000,16257000000,18206000000,17958000000,17724000000,17469000000,17255000000,16998000000,45502000000,46799000000,47192000000,49907000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4685600000,4567300000,5126800000,5357900000,6217000000,9716600000,10248800000,12922200000,15619300000,16257000000,18206000000,17958000000,17724000000,17469000000,17255000000,16998000000,45502000000,46799000000,47192000000,49954000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1725964/000119312518033026/0001193125-18-033026-index.htm,https://www.sec.gov/Archives/edgar/data/1725964/000119312519030401/0001193125-19-030401-index.htm,https://www.sec.gov/Archives/edgar/data/1725964/000119312520040691/0001193125-20-040691-index.htm,https://www.sec.gov/Archives/edgar/data/1725964/000119312521046734/0001193125-21-046734-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,21900000,39100000,45800000,47700000,91200000,159500000,209000000,297100000,261000000,-411994000,198000000,121200000,53600000,-126300000,298600000,542900000,631800000,1103600000,3495200000,987800000,1806200000,3081000000,2079000000,1785000000,1536000000,1270000000,323000000,327000000,3573000000,992000000,459000000,3153000000
74,Depreciation and Amortization,- -,- -,31800000,33900000,32400000,31700000,39300000,71000000,90100000,170000000,190900000,191106000,187000000,185700000,219100000,227400000,240000000,242400000,242400000,291300000,327500000,312100000,410700000,489000000,578000000,666000000,701000000,685000000,695000000,692000000,1592000000,1799000000,1989000000,1951000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,4700000,23700000,34500000,97200000,-7155000,34600000,47700000,6000000,-20600000,26300000,40100000,50000000,119600000,82200000,201900000,148800000,- -,392000000,397000000,268000000,204000000,-22000000,-273000000,687000000,177000000,-9000000,-31000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36200000,29500000,24300000,24000000,24000000,27000000,28000000,22000000,2000000,11000000,116000000,104000000,69000000,198000000
77,Change in Working Capital,- -,- -,25300000,-7600000,-15200000,-49000000,19800000,-3400000,-34700000,-35200000,22100000,23970000,69800000,-278300000,22800000,17000000,120000000,4800000,-244000000,163600000,-767500000,-427000000,643200000,-219000000,-133000000,285000000,-90000000,127000000,60000000,72000000,-1138000000,490000000,574000000,-1661000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-593700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,8900000,-900000,-12400000,-23200000,14600000,9300000,2500000,19900000,-7900000,-16067000,-27400000,-76100000,-18200000,11800000,-10500000,-119900000,13900000,60300000,-324400000,88200000,66500000,-146000000,-7000000,28000000,70000000,-99000000,-21000000,-10000000,-887000000,190000000,85000000,-1459000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,67000000,19000000,15000000,- -,21000000,-188000000,-17000000,- -,- -
82,Other Non-Cash Items,- -,- -,900000,-24100000,300000,200000,400000,1700000,8100000,1400000,6800000,547682000,-9000000,-600000,14900000,284000000,-35300000,34900000,16600000,10800000,-160400000,-180400000,-34200000,110000000,285000000,52000000,171000000,30000000,202000000,396000000,-2778000000,103000000,241000000,276000000
83,Cash Provided by Operating Activities,- -,- -,79900000,41300000,63300000,30600000,150700000,233500000,296200000,467800000,578000000,343609000,480400000,75700000,316400000,381500000,649600000,865100000,696800000,1688900000,3013200000,923900000,2999000000,3485000000,3225000000,3212000000,2614000000,2338000000,1260000000,1225000000,2052000000,3665000000,3323000000,3886000000
84,CAPEX,- -,- -,-11600000,-12400000,-20700000,-135100000,-16800000,-1143400000,-61700000,-1230700000,-190200000,-118846000,-185600000,-513700000,-212200000,-150700000,-220500000,-382700000,-508600000,-607200000,-1244900000,-1817900000,-2019400000,-2248000000,-2204000000,-1624000000,-1160000000,-1284000000,-895000000,-652000000,-1405000000,-1891000000,-1549000000,-1783000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5427000000,-856000000,-233000000,-88000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190900000,-352500000,-163200000,-445600000,-3200000,-422300000,-3000000,- -,- -,- -,- -,- -,- -,-135000000,-198000000,-102000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100800000,5200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540000000,- -
88,Other Investing Activites,- -,- -,-46800000,-200000,-4000000,-2500000,1800000,-9800000,22700000,15300000,-53100000,-58902000,-79800000,-176300000,-59200000,-207000000,-97100000,13100000,21400000,12300000,-3400000,97800000,-39500000,-72000000,-71000000,- -,-22000000,-67000000,-2000000,-1000000,-5394000000,-71000000,14000000,-1719000000
89,Cash Used for Investing Activites,- -,- -,-58400000,-12600000,-24700000,-137600000,-15000000,-1153200000,-39000000,-1215400000,-243300000,-177748000,-265400000,-690000000,-271400000,-357700000,-216800000,-555300000,-839700000,-758100000,-1647300000,-1669200000,-2440100000,-2251000000,-2204000000,-1624000000,-1160000000,-1284000000,-895000000,-652000000,-1507000000,-2853000000,-1204000000,-1807000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,-810500000,-607000000,-2000000,-254000000,-500000000,-502000000,-8000000,-501000000,-12000000,-1244000000,-1675000000,-2532000000
91,Common Stock Issued,- -,- -,40800000,- -,700000,74700000,2400000,163900000,2800000,580600000,16600000,3204000,7800000,5100000,4400000,58900000,161200000,93900000,47300000,26600000,36700000,20200000,55800000,44000000,40000000,39000000,36000000,53000000,25000000,1000000,7000000,20000000,- -,200000000
92,Common Stock Repurchased,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,-29262000,-104200000,- -,- -,- -,- -,-851900000,- -,- -,-3356400000,- -,-1999700000,- -,- -,-411000000,-1065000000,- -,- -,- -,-1800000000,-1930000000,-160000000,-1035000000
93,Dividends Paid,- -,- -,-22900000,- -,-21900000,- -,-33100000,-45800000,-48200000,-55300000,-51700000,-53323000,-51900000,-51900000,-52000000,-52300000,-56100000,-65400000,-60900000,-93600000,-122600000,-116900000,-118700000,-208000000,-467000000,-997000000,-1141000000,-1204000000,-809000000,-330000000,-952000000,-1022000000,-1030000000,-1045000000
