,https://roic.ai/company/TLS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,62000,235000,83000,22000,78000,116000,220000,229000,94000,32000,58000,659000,600000,72000,6751000,106045000,126562000
32,Short-Term Investments,- -,- -,4005000,103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,62000,235000,4088000,125000,78000,116000,220000,229000,94000,32000,58000,659000,600000,72000,6751000,106045000,126562000
34,Net Receivables,24913000,25710000,39907000,39916000,52800000,54085000,36946000,33879000,45632000,22522000,19045000,19087000,24520000,34542000,27942000,30913000,59844000
35,Inventory,4318000,7078000,11918000,7132000,32612000,7309000,14711000,10277000,4885000,3345000,2901000,3552000,13520000,4389000,1965000,3311000,1247000
36,Other Current Assets,1804000,6635000,3770000,5468000,10913000,5536000,6001000,7727000,1847000,8539000,3839000,1707000,3510000,2229000,3587000,3845000,4061000
37,Total Current Assets,31097000,39658000,59683000,52641000,96403000,67046000,57878000,52112000,52458000,34438000,25843000,25005000,42150000,41232000,40245000,144114000,191714000
38,PP&E,9321000,8534000,7646000,6859000,6681000,5742000,4847000,3883000,14618000,18913000,17262000,16117000,16344000,17426000,21546000,23861000,15993000
39,Goodwill,- -,- -,- -,- -,- -,- -,15058000,14916000,14916000,14916000,14916000,14916000,14916000,14916000,14916000,14916000,17922000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,10157000,7900000,5643000,3386000,1129000,- -,- -,- -,- -,- -,19199000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,25215000,22816000,20559000,18302000,16045000,14916000,14916000,14916000,14916000,14916000,37121000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,3169000,1556000,1665000,1617000,- -,- -,1000,- -,- -,- -,- -,- -,- -,723000
44,Other Non-Current Assets,1444000,268000,127000,32000,287000,351000,280000,345000,974000,2166000,814000,761000,1011000,915000,985000,926000,530000
45,Total Non-Current Assets,10765000,8802000,7773000,10060000,8524000,7758000,31959000,27044000,36151000,39382000,34121000,31794000,32271000,33257000,37447000,39703000,54367000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,41862000,48460000,67456000,62701000,104927000,74804000,89837000,79156000,88609000,73820000,59964000,56799000,74421000,74489000,77692000,183817000,246081000
48,Accounts Payable,19053000,34597000,- -,- -,- -,28933000,21947000,23138000,- -,- -,- -,- -,- -,- -,13500000,- -,- -
49,Short-Term Debt,536000,594000,618000,645000,832000,1320000,4886000,1616000,1345000,3072000,2227000,3947000,1013000,1115000,1224000,2016000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,4209000,8144000,5549000,3715000,8840000,4386000,4387000,6095000,2768000,3344000,3466000,4900000,10073000,5232000,6337000,5654000,- -
52,Other Current Liabilities,9084000,8428000,53867000,37395000,72631000,11146000,11487000,6226000,31038000,23793000,19077000,24794000,35139000,32756000,16242000,31276000,50941000
53,Total Current Liabilities,32882000,51763000,60034000,41755000,82303000,45785000,42707000,37075000,35151000,30209000,24770000,33641000,46225000,39103000,37303000,38946000,50941000
54,Long-Term Debt,5179000,5179000,5179000,4179000,4179000,13786000,29557000,18559000,19141000,8590000,9644000,- -,13075000,13581000,19262000,- -,388000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,169000,- -,3199000,3391000,741000,818000,621000,652000,723000
57,Other Non-Current Liabilities,101005000,118300000,123262000,126752000,127371000,121029000,121927000,120317000,133556000,143507000,146734000,149743000,150417000,153090000,157128000,17115000,13052000
58,Total Non-Current Liabilities,106184000,123479000,128441000,130931000,131550000,134815000,151484000,138876000,152866000,152097000,159577000,153134000,164233000,167489000,177011000,17767000,14886000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,9775000,9316000,8747000,8204000,7728000,6895000,5981000,5044000,15558000,21507000,20735000,19908000,18993000,17980000,18418000,17258000,- -
61,Total Liabilities,139066000,175242000,188475000,172686000,213853000,180600000,194191000,175951000,188017000,182306000,184347000,186775000,210458000,206592000,214314000,56713000,65827000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,78000,78000,78000,78000,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000,78000,103000,105000
64,Retained Earnings,-97282000,-126963000,-121417000,-110729000,-109452000,-106405000,-104951000,-97516000,-100134000,-112422000,-128362000,-135537000,-141370000,-139129000,-145530000,-143843000,-186977000
65,Other Comprehensive Income/Loss,-14310000,-15162000,-16029000,-17279000,17000,-26000,35000,72000,48000,45000,37000,25000,32000,17000,6000,44000,-27000
66,Other Total Stockholders Equity,14310000,15265000,16132000,17382000,181000,181000,181000,181000,224000,3307000,3307000,3307000,4388000,4310000,4310000,270800000,367153000
67,Total Stockholders Equity,-97204000,-126782000,-121236000,-110548000,-109254000,-106250000,-104735000,-97263000,-99862000,-109070000,-125018000,-132205000,-136950000,-134724000,-141136000,127104000,180254000
68,Total Liabilities And Stockholders Equity,41862000,48460000,67239000,62138000,104599000,74350000,89456000,78688000,88155000,73236000,59329000,54570000,73508000,71868000,73178000,183817000,246081000
69,Minority Interest,- -,- -,217000,563000,328000,454000,381000,468000,454000,584000,635000,2229000,913000,2621000,4514000,- -,- -
70,Total Liabilities & Equity,41862000,48460000,67456000,62701000,104927000,74804000,89837000,79156000,88609000,73820000,59964000,56799000,74421000,74489000,77692000,183817000,246081000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/320121/000119312510073473/0001193125-10-073473-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320121/000114036112018306/0001140361-12-018306-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036113014720/0001140361-13-014720-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036114014708/0001140361-14-014708-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012115000011/0000320121-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012116000045/0000320121-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012117000007/0000320121-17-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320121/000032012119000007/0000320121-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012120000009/0000320121-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036121009988/0001140361-21-009988-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012122000064/0000320121-22-000064-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-14060000,-29681000,5546000,10688000,1277000,3047000,1454000,7435000,-2618000,-12288000,-15940000,-7175000,-5833000,-1640000,-6401000,1687000,-43134000000
74,Depreciation and Amortization,1951000,1855000,1751000,1431000,1472000,1625000,2728000,3812000,3817000,4251000,4291000,2898000,1999000,3028000,4972000,5353000,5624000
75,Deferred Income Tax,- -,- -,- -,-6033000,3287000,1515000,-809000,2039000,195000,-4035000,5113000,192000,-2710000,77000,-197000,31000,70000
76,Stock Based Compensation,- -,103000,- -,- -,- -,- -,- -,- -,43000,12000,- -,- -,50000,- -,- -,4000,60231000
77,Change in Working Capital,7060000,-10320000,11754000,11237000,3214000,7161000,-6090000,-134000,2270000,-13078000,-3156000,-9709000,4561000,6204000,813000,102226000,35605000
78,Accounts Receivable,6806000,-711000,-14352000,214000,-13022000,-1380000,17122000,3120000,-11755000,23059000,3364000,14000,-5415000,-9917000,6186000,-2559000,7000
79,Inventory,9637000,-2825000,-5579000,4557000,-25564000,25225000,-7232000,4323000,5391000,181000,352000,-866000,-10041000,9101000,2048000,-1345000,10000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10376000,-3914000,-6730000,- -,16086000
81,Other Working Capital,-1785000,-12105000,-351000,10886000,14100000,21261000,15171000,15037000,17307000,4229000,1073000,-8636000,-4075000,2129000,2942000,105168000,140773000
82,Other Non-Cash Items,4960000,39490000,-18940000,-17638000,-4473000,-10226000,17617000,2898000,1103000,31322000,12415000,27649000,1342000,-1401000,12629000,-111405000,43039732000
83,Cash Provided by Operating Activities,-89000,1447000,111000,-315000,4777000,3122000,14900000,16050000,4810000,6184000,2723000,13855000,-591000,6268000,11816000,-2104000,7262000
84,CAPEX,-1389000,-753000,-616000,-644000,-1075000,-680000,-596000,-591000,-539000,-665000,-394000,-624000,-2229000,-4114000,-6532000,-7461000,-13169000
85,Acquisitions Net,1000000,- -,5803000,- -,- -,- -,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-4109000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4005000,103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6681000,-15893000
89,Cash Used for Investing Activites,-389000,-753000,1085000,3361000,-972000,-680000,-8596000,-591000,-539000,-665000,-394000,-624000,-2229000,-4114000,-6532000,-7461000,-19094000
90,Debt Repayment,- -,- -,-192530000,-231037000,-270394000,-252721000,-257722000,-270194000,-245331000,-172830000,-142190000,-79667000,-915000,-1013000,-1115000,-22233000,-1339000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272813000,64269000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-430000,-2070000,-4000000,-2000000,- -,- -,- -,-2112000,- -,- -,-108878000,-1251000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,473000,-521000,191182000,227930000,266642000,250742000,253592000,258744000,242925000,167249000,139887000,67037000,5788000,-1669000,2510000,-32843000,-29330000
95,Cash Used/Provided by Financing Activities,473000,-521000,-1348000,-3107000,-3752000,-2409000,-6200000,-15450000,-4406000,-5581000,-2303000,-12630000,2761000,-2682000,1395000,108859000,32349000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,3000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-5000,173000,-152000,-61000,56000,38000,104000,9000,-135000,-62000,26000,601000,-59000,-528000,6679000,99294000,20517000
98,Cash at the End of Period,62000,235000,83000,22000,78000,116000,220000,229000,94000,32000,58000,659000,600000,72000,6751000,106045000,126562000
99,Cash at the Beginning of Period,67000,62000,235000,83000,22000,78000,116000,220000,229000,94000,32000,58000,659000,600000,72000,6751000,106045000
100,Free Cash Flow,-1478000,694000,-505000,-959000,3702000,2442000,14304000,15459000,4271000,5519000,2329000,13231000,-2820000,2154000,5284000,-9565000,-5907000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/320121/000119312510073473/0001193125-10-073473-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320121/000114036112018306/0001140361-12-018306-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036113014720/0001140361-13-014720-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036114014708/0001140361-14-014708-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012115000011/0000320121-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012116000045/0000320121-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012117000007/0000320121-17-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320121/000032012119000007/0000320121-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012120000009/0000320121-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036121009988/0001140361-21-009988-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012122000064/0000320121-22-000064-index.htm
102,false,,,,,,,,,,,,,,,,,
