,https://roic.ai/company/DNN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1063259/000094523408000142/o39373exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1063259/000136231009004652/0001362310-09-004652-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000095012310029528/0000950123-10-029528-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000095012311030129/c14769exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1063259/000119312512140161/0001193125-12-140161-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000119312513108516/0001193125-13-108516-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1063259/000119312516521525/0001193125-16-521525-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000119312517104155/0001193125-17-104155-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495418003269/0001654954-18-003269-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495419002689/0001654954-19-002689-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495420002616/0001654954-20-002616-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19304192,9576162,700544,17503342,3730147,10650358,4920361,15190977,7105093,69127000,19489104,3901702,20736768,97569609,54638815,37990568,23197079,21638430,7447732,15911456,3644235,23207000,8190000,24992000,63998000
32,Short-Term Investments,- -,- -,- -,- -,18430727,4839180,1473725,1374647,- -,- -,13794879,- -,- -,- -,- -,- -,10690291,5085728,10105159,- -,37896020,- -,- -,16657000,14437000
33,Cash and Short-Term Investments,19304192,9576162,700544,17503342,22160875,15489538,6394086,16565623,7105093,69127000,33283983,3901702,20736768,97569609,54638815,37990568,33887370,26724158,17552891,15911456,41540255,23207000,8190000,41649000,78435000
34,Net Receivables,6801478,4588578,3202486,3670348,2444725,158467,1126343,2056485,658047,18403000,39732817,15912275,14421708,20239238,12917692,2624362,4416666,10924853,6696992,3229872,4802393,4072000,4023000,3374000,3656000
35,Inventory,13903019,19052572,17513595,2874814,2975099,2731240,2381528,1500048,3864236,21553000,30621066,54440061,54675374,32392182,36864226,1782735,2260507,2600326,3130629,3200302,3461898,3584000,3352000,3015000,3454000
36,Other Current Assets,2400522,1396522,300234,385639,324720,6712331,1127155,514613,145568,786000,1477528,1551675,1682690,1917307,2587214,679469,797513,986731,858980,659953,665218,843000,978000,1373000,1310000
37,Total Current Assets,42409211,34613833,21716859,24434143,27905419,25091576,11029113,20636770,11772944,109869000,105115394,75805713,91516540,152118335,107007947,43077134,41362055,41236069,28239492,23001583,50469763,31706000,16543000,49411000,86855000
38,PP&E,23605127,35112593,25419733,7477401,6303468,6192914,6222615,11297529,19335552,403571000,720763117,873115961,723586937,714572313,375084770,246606419,299211018,313882614,261232643,252666606,249588600,258291000,257259000,256870000,254462000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,102841000,121143399,76963080,53431419,53927627,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,800173,1197020,- -,- -,- -,- -,17383749,867068,726656,10844000,6911304,6058226,4644936,3794607,2897598,1997619,1333092,740629,148483,- -,- -,- -,- -,- -,- -
41,Intangible Assets,800173,1197020,- -,- -,- -,- -,17383749,867068,726656,113685000,128054703,83021306,58076354,57722234,2897598,1997619,1333092,740629,148483,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,32223000,37932451,13010947,11104496,2955473,532962,2828302,6283208,1107460,688294,11360333,12661768,7837000,12104000,293000,154647000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,12202649,12568711,20315771,17894670,22590640,20103083,- -,16873823,20718454,- -,-0,32009534,24578578,25258041,29556929,4293686,4216489,4443772,4933238,5209732,14315380,14353000,14092000,14116000,14320000
45,Total Non-Current Assets,36607950,48878324,45735503,25372071,28894108,26295997,23606364,29038420,40780663,549479000,886750271,1001157748,817346365,800508061,408072259,255726026,311043807,320174475,267002658,269236671,276565748,280481000,283455000,271279000,423429000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,79017160,83492157,67452362,49806214,56799527,51387573,34635476,49675190,52553607,659348000,991865664,1076963461,908862905,952626396,515080206,298803159,352405862,361410544,295242149,292238254,327035510,312187000,299998000,320690000,510284000
48,Accounts Payable,1400304,2793048,3102408,985622,642454,1210735,1146206,1109840,2432821,6737000,22422373,- -,9955827,13755200,- -,- -,8509642,- -,- -,- -,- -,- -,- -,- -,3179000
49,Short-Term Debt,- -,- -,- -,- -,26153,16255,19567,19522,19250,- -,- -,4681799,909930,200032,113331,124354,58562,34826,416307,370972,- -,- -,- -,- -,179000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,19235144,17297583,- -,- -,4386268,3839000,- -,- -,- -,- -,911753,- -,- -,- -,- -,- -,3141235,4567000,4580000,3478000,4656000
52,Other Current Liabilities,7401608,897765,1601243,7589647,- -,6697357,0,- -,- -,5550000,7514396,28948779,1513059,1043167,10503027,7837271,1499196,15033137,10099608,10164084,10684978,7918000,10366000,8362000,8337000
53,Total Current Liabilities,8801912,3690813,4703651,8575270,19903751,25221930,1165773,1129362,6838339,16126000,29936769,33630578,12378816,14998399,11528111,7961624,10067400,15067963,10515915,10535056,13826213,12485000,14946000,11840000,16351000
54,Long-Term Debt,- -,199503,19515149,18399499,58623,69113,- -,44864,22109,- -,- -,120835930,204185,205033,112310,103462,44720,10448,- -,- -,- -,- -,- -,- -,329000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2336118,3545121,3337108,3339534,- -,- -,- -,- -,- -,- -,34180108,33160000,31741000,33139000,31852000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1698512,92204000,140152208,- -,107765438,106199989,13014687,9400149,27521110,25336930,22848316,20189726,17833865,12963000,8924000,9192000,7219000
57,Other Non-Current Liabilities,18403997,20050089,10908468,12715936,30655259,19554037,19780473,20506673,15154530,27412000,30894389,178587448,22649820,21649463,26070214,19171369,16391069,23746552,30057365,29372617,29875685,31332000,34238000,39234000,57842000
58,Total Non-Current Liabilities,18403997,20249592,30423617,31115436,30713882,19623150,19780473,20551538,16875151,- -,173382714,302968499,133956550,131394020,39197211,28674980,43956900,49093930,52905681,49562343,81889658,77455000,74903000,81565000,97242000
59,Other Liabilities,- -,- -,- -,- -,61427764,- -,- -,- -,- -,- -,- -,- -,267913100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,27205908,23940403,35127268,39690705,50617633,44845078,20946246,21680898,23713490,- -,203319483,336599077,146335366,146392419,50725322,36636604,54024300,64161893,63421596,60097399,95715870,89940000,89849000,93405000,113593000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14272976,- -,- -,- -,974061929,1162882167,1301043132,1569170711,1533122127,1448548203,1331214000,1335467000,1366710000,1517029000
64,Retained Earnings,- -,2394040,-22717635,-46131781,-52875515,-52918948,-37603023,-37832819,-38534359,-62078000,-14690110,-79038065,-253915467,-256770077,-591869616,-773021708,-916590218,-1036110502,-1310113966,-1292271504,-1226827060,-1174163000,-1192304000,-1208587000,-1189610000
65,Other Comprehensive Income/Loss,-300065,-2094785,-3402641,-16407231,-18279759,-7399909,-7049062,283412,2096580,-8498000,109879727,-5730853,79037202,104878778,11248357,10717304,-8229607,-30018679,-102122882,-81702463,-60190238,1127000,1134000,1775000,1776000
66,Other Total Stockholders Equity,52111317,59252499,58445369,72654520,77337168,66861350,- -,- -,- -,- -,- -,810860326,- -,- -,- -,50409031,57028016,62334699,74886691,72992695,69788735,64069000,65852000,67387000,67496000
67,Total Stockholders Equity,51811253,59551754,32325093,10115507,6181894,6542493,13689228,25895361,28840117,519978000,788546181,740364384,762527539,806233977,464354884,262166555,295090358,297248651,231820553,232140855,231319640,222247000,210149000,227285000,396691000
68,Total Liabilities And Stockholders Equity,79017160,83492157,67452361,49806213,56799527,51387571,34635475,47576259,52553607,- -,991865664,1076963461,908862905,952626396,515080206,298803159,349114658,361410544,295242149,292238254,327035510,312187000,299998000,320690000,510284000
69,Minority Interest,0,-0,1,2,-0,2,1,2098932,- -,659348000,- -,- -,0,- -,- -,- -,3291204,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,79017160,83492157,67452362,49806214,56799527,51387573,34635476,49675190,52553607,659348000,991865664,1076963461,908862905,952626396,515080206,298803159,352405862,361410544,295242149,292238254,327035510,312187000,299998000,320690000,510284000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1063259/000094523408000142/o39373exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1063259/000136231009004652/0001362310-09-004652-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000095012310029528/0000950123-10-029528-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000095012311030129/c14769exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1063259/000119312512140161/0001193125-12-140161-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000119312513108516/0001193125-13-108516-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1063259/000119312516521525/0001193125-16-521525-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000119312517104155/0001193125-17-104155-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495418003269/0001654954-18-003269-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495419002689/0001654954-19-002689-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495420002616/0001654954-20-002616-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,2394040,-25119500,-22902885,-4451675,293588,7481319,-2757818,-2758024,- -,46785733,-98148616,-153936265,-14237278,-72357249,-117338209,-89264993,-36802745,-71549296,-23310726,-17816260,-30077000,-18141000,-16283000,18977000
74,Depreciation and Amortization,- -,3092303,2101632,1644142,1375628,1290353,834989,684894,638184,- -,13256156,48178596,38034860,60607696,40818559,19161421,693165,2432002,5031764,5408658,5819710,8585000,8711000,7145000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-737964,- -,- -,- -,- -,-38578305,-531085,-1119016,-3552538,16475186,-2674621,-5230204,-5315916,-4574785,-8294000,-5376000,-860000,-1995000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1368595,7377454,4028194,1831293,3402993,1492245,961487,928688,815962,458338,1218518,1835000,2222000,1827000,2832000
77,Change in Working Capital,-4300934,-13865483,-13610565,11149121,1138476,2624389,-80581364,2347883,-219503,- -,-26054793,-29996616,-40101836,-4695751,-26958484,-737169,-2945154,-4450737,-2597756,1481198,-1446125,355000,2256000,-307000,-199000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360202,- -,6899918,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-12602737,-3092303,-15411965,13838576,42552,16297,-54647,721372,-2481390,- -,-9376160,-62187483,-23275986,-1877300,-23793384,-13952491,-199112,-603647,-863143,-90055,-392340,-186000,232000,220000,-410000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3816512,-15780844,- -,-5786007,- -,352439,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1,- -,1,-2,- -,- -,1,- -,- -,- -,-2325224,-770361,-1107832,-1363218,-3636802,255671,-1184024,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-100022,399006,21816936,18373817,-1292486,-361587,66320757,-699993,-2792602,- -,-58215776,61923394,146112334,-7418187,35810554,94240246,51567876,13287204,48921623,10350914,32366793,6645000,-8473000,-5007000,-40860000
83,Cash Provided by Operating Activities,-4400955,-7980134,-14811498,8264196,-3230057,3846743,-5944299,-1162998,-5131944,- -,-22860085,-10665788,-44441018,35556688,-20402643,-6734004,-22512432,-27280210,-24607907,-10927533,15567850,-20951000,-18801000,-13485000,-21245000
84,CAPEX,-20204388,-10673430,-4403419,-866889,-123244,-1197353,-1934547,-5837711,-11838453,- -,-59000093,-123193259,-40679835,-27314370,-24783754,-13054159,-2408510,-997179,-2757340,-1701631,-1051270,-1567000,-929000,-278000,-1230000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157044745,- -,- -,- -,-60957784,-549146,-6135205,-229850,1244758,-1115603,-101858,- -,- -,- -,-1356000
86,Purchases of Investments,-10902368,-598510,-1501165,- -,-20612428,-1194455,-1347594,-1604662,-1464216,- -,-2960007,-19560841,-1579027,-966155,- -,-1806611,- -,-660529,-11287470,-672050,-37585418,- -,-511000,-7000,-91674000
87,Sales/Maturities of Investments,- -,- -,- -,711443,2751277,15361197,5537884,47983,4683896,- -,52357161,1601572,11652129,8119299,- -,- -,- -,11061835,5596554,11455764,2473503,37500000,- -,477000,15600000
88,Other Investing Activites,2900631,7481377,500389,945191,-2542403,-3334237,-702951,1313193,-97651,- -,9715833,338326,2213569,686110,-1803086,-550141,155456,358706,-320556,-188174,-8378723,40000,519000,113000,-20344000
89,Cash Used for Investing Activites,-28206126,-3790564,-5404195,789746,-20526798,9635152,1552791,-6081197,-8716424,- -,-156931851,-140814202,-28393164,-19475116,-87544624,-15960058,-8388258,9532982,-7524055,7778307,-44643765,35973000,-921000,305000,-99004000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-685110,-184801,- -,-128837,-61526,- -,-467747,-354615,- -,-662000,-467000,-252000
91,Common Stock Issued,51811253,- -,- -,- -,15472,27608,593465,17863853,6967391,- -,101160135,7390841,193749101,61100775,63418394,6522105,14509621,14911247,15705875,11883188,17548413,4549000,4292000,30825000,153721000
92,Common Stock Repurchased,- -,-199503,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,11408857,7744185,9098535,-6613069,-355174,-18252,-17997,- -,5014879,123007058,-104312102,159025,334888,3979,469564,1568322,953343,419359,88025,- -,1075000,148000,6348000
95,Cash Used/Provided by Financing Activities,51811253,- -,11408857,7744185,9114007,-6585461,238290,17845601,6949394,- -,106175015,130397899,89436999,60574690,63568481,6526085,14850347,16418043,16659218,11834801,17281823,4549000,4705000,30506000,159817000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24649557,1033233,776948,1106177,-585033,920218,-1414015,-2322881,-2946066,12097,552043,- -,- -,-524000,-562000
97,Net Change In Cash,51811253,-11770698,-8506603,16798126,-14642849,6896435,-4153217,10601407,-6898974,- -,-48967364,-20048858,17379766,77762440,-44963819,-15247759,-17464358,-3652066,-18418809,8697671,-11242050,19571000,-15017000,16802000,39006000
98,Cash at the End of Period,19304192,9576162,700544,17503342,3730147,10650358,4920363,15190977,7105093,- -,19489104,3901702,20736768,97569609,54638815,37990568,23197079,21638430,7447732,15911456,3644235,23207000,8190000,24992000,63998000
99,Cash at the Beginning of Period,- -,21346860,9207147,705216,18372996,3753922,9073580,4589570,14004067,- -,68456468,23950560,3357003,19807169,99602634,53238327,40661437,25290496,25866542,7213785,14886285,3636000,23207000,8190000,24992000
100,Free Cash Flow,-24605343,-18653564,-19214916,7397307,-3353301,2649390,-7878846,-7000708,-16970397,- -,-81860179,-133859047,-85120853,8242319,-45186397,-19788164,-24920942,-28277389,-27365247,-12629164,14516580,-22518000,-19730000,-13763000,-22475000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1063259/000094523408000142/o39373exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1063259/000136231009004652/0001362310-09-004652-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000095012310029528/0000950123-10-029528-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000095012311030129/c14769exv99w3.htm,https://www.sec.gov/Archives/edgar/data/1063259/000119312512140161/0001193125-12-140161-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000119312513108516/0001193125-13-108516-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1063259/000119312516521525/0001193125-16-521525-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000119312517104155/0001193125-17-104155-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495418003269/0001654954-18-003269-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495419002689/0001654954-19-002689-index.html,https://www.sec.gov/Archives/edgar/data/1063259/000165495420002616/0001654954-20-002616-index.html,- -,- -
102,Forex Rate,0.7237,0.6533,0.6815,0.6652,0.6331,0.6301,0.7389,0.7923,0.8596,undefined,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
