,https://roic.ai/company/WPM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,9300000,942000,- -,176000,300000,76000,111000,148000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,136309000,15200000,66900000,121800000,1660000,1453000,452000,3679000,-7977000,19262000,- -,36971000,40979000,57819000,66077000,71051000,54800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,86324,136309000,145500000,601600000,1196800000,1261900000,2003700000,2198600000,2027000000,2403900000,4309270000,32872000,5526335000,6025200000,5579898000,6390342000,6123255000,5755441000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,510465,156988000,266200000,662900000,1208500000,1270600000,2237200000,2635100000,2872300000,3189300000,4647763000,- -,5632211000,6153300000,5683313000,6470046000,6278007000,5957272000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,49941,2496000,1800000,400000,1000000,1400000,5400000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,13023000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,28560000,28560000,28560000,28560000,28560000,28560000,718000,1373000,1904000,228000,- -,5578000,724000,773000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3361000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2301000,9250000,2191000,942000,176000,262000,76000,111000,148000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,8998,61000,200000,1000000,5340000,3440000,135340000,141640000,137239000,11690000,13262000,- -,10488000,18610000,12067000,23152000,63828000,17373000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,58939,2557000,2000000,21400000,34900000,33400000,169300000,171300000,168100000,49500000,16171000,2315000,12568000,19100000,12143000,28841000,64700000,31169000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391300000,349200000,344000000,201000000,50100000,21500000,998518000,- -,1466000000,1193000000,770000000,1264000000,878028000,195000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,27819,- -,- -,- -,- -,- -,- -,800000,-100000,11300000,4338000,1002856000,2908000,1200000,1506000,5289000,9359000,16318000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,27819,- -,- -,- -,391300000,349200000,344000000,201800000,50000000,32800000,1002856000,1002856000,1468908000,1194200000,771506000,1269289000,887387000,211532000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,27819,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4252000,3637000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,86758,2557000,2000000,21400000,426200000,382600000,513300000,373100000,218100000,82300000,1019027000,- -,1481476000,1213300000,783649000,1298130000,952087000,242701000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,193700000,486100000,495700000,630800000,1302300000,1430100000,1793800000,1811600000,2037923000,- -,2815569000,3445900000,3472029000,3516437000,3599203000,3646291000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-257914,1342000,70500000,155400000,252800000,256600000,373900000,651300000,854800000,1318500000,1697585000,- -,1440366000,1547900000,1462504000,1761665000,1673103000,1941398000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-127490,33625000,43846000,43615000,77878000,- -,46900000,178671000,5600000,-1710000,-25618000,-28841000,-23197000,55301000,77007000,7893000,160701000,126882000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,809111,119464000,-43856000,-43576000,-44147000,625000,825000,1878000,17000,-21316000,-343344000,3657577000,-82003000,-109113000,-111876000,-114079000,-107087000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,423707,154431000,264190000,641539000,782231000,888025000,1723925000,2261949000,2654217000,3107074000,3366546000,3628736000,4150735000,4939988000,4899664000,5171916000,5325920000,5714571000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,510465,156988000,266190000,662939000,1208431000,1270625000,2237225000,2635049000,2872317000,3189374000,4385573000,- -,5632211000,6153288000,5683313000,6470046000,6278007000,5957272000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,10000,-39000,69000,-25000,-25000,51000,-17000,-74000,262190000,- -,- -,12000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,510465,156988000,266200000,662900000,1208500000,1270600000,2237200000,2635100000,2872300000,3189300000,4647763000,- -,5632211000,6153300000,5683313000,6470046000,6278007000,5957272000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1323404/000117625606000142/silverwheatonform40f2final.htm,- -,https://www.sec.gov/Archives/edgar/data/1323404/000117625608000381/0001176256-08-000381-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000095014209000451/0000950142-09-000451-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000117625610000277/0001176256-10-000277-index.html,- -,https://www.sec.gov/Archives/edgar/data/1323404/000120445912000613/0001204459-12-000613-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000106299313001652/0001062993-13-001652-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1323404/000106299316008586/0001062993-16-008586-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000106299317001625/0001062993-17-001625-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312518102198/0001193125-18-102198-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312519094594/0001193125-19-094594-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312520091051/0001193125-20-091051-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,6594,-6970,-121021,55019,-151723,25300000,85200000,91900000,17300000,117900000,290100000,550000000,586000000,375500000,199826000,-162042000,195137000,57703000,427115000,86138000,507804000
74,Depreciation and Amortization,- -,- -,- -,18170,16730,16218,14874,- -,6000000,16500000,21700000,19500000,41400000,57800000,57700000,101500000,144400000,160506000,199202000,309654000,263352000,253343000,258730000,1889000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-2566,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2475000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,463000,- -,- -,- -,- -,- -,6329000,- -,- -,- -,- -,- -,- -,- -,- -,5432000
77,Change in Working Capital,- -,63694,- -,1103,9339,-30938,-51551,762,-1843000,467000,973000,492000,1953000,-2009000,1786000,10366000,1088000,-5561000,3185000,7039000,-6599000,8964000,-11837000,1025000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1271000,-208000,719000,-78000,-2206000,- -,127000,2457000,1477000,103000,503000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-16594,- -,- -,-37064,- -,- -,383000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378000,978000,-4249000,- -,12418000,-582000,-5630000,-39000,8667000,-5651000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,9339,-30938,- -,- -,- -,118854000,3000,3000,3000,265119000,677254000,735921000,80153000,322322000,93308000,109035000,91272000,50863000,90052000,- -
82,Other Non-Cash Items,- -,- -,- -,-1,1,128296,- -,369015,80000,2533000,4727000,73808000,4647000,-26091000,10585000,21534000,13112000,77102000,391014000,72471000,224352000,-212009000,168589000,251767000
83,Cash Provided by Operating Activities,- -,63694,- -,25866,19100,-10011,18342,218054,30000000,104700000,119300000,111100000,165900000,319800000,626400000,719400000,534100000,431873000,431359000,584301000,538808000,477413000,501620000,765442000
84,CAPEX,- -,- -,- -,-2692,-15791,- -,-25602,- -,-500000,-285400000,-557900000,-184500000,-220600000,-172400000,-140100000,-640700000,-2026000000,-2025973000,-1800117000,-800432000,- -,- -,- -,-1822000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2281000,-201000,- -,-395000,- -,- -,- -,- -,-2994000,- -,-133000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-15069000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10671000
87,Sales/Maturities of Investments,- -,- -,- -,- -,3227,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162942000
88,Other Investing Activites,- -,- -,- -,-152895,-1,2373,6780,- -,-665000,-336221000,-577024000,-4348000,-2849000,-28724000,10587000,-783000,-11031000,-11443000,11093000,-916000,-14858000,264338000,12446000,-801000
89,Cash Used for Investing Activites,- -,- -,- -,-155587,-12565,2373,-18822,- -,-15734000,-336221000,-577024000,-188880000,-221212000,-201325000,-130736000,-641896000,-2050454000,-146021000,-1791149000,-805435000,-19573000,-861326000,10630000,149648000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-680204000
91,Common Stock Issued,- -,191083,- -,- -,- -,- -,- -,11436,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,88300000,182400000,7600000,118500000,540500000,108400000,7900000,12900000,58100000,7026000,802887000,654478000,1181000,1027000,37038000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63600000,-123900000,-160000000,-79775000,-68593000,-78708000,-121934000,-132915000,-129986000,-167212000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-4818000,-8869000,399900000,-44036000,-264167000,-28617000,-28534000,-28504000,935950000,-773000,420853000,-333422000,-424311000,492795000,-391243000,20519000
95,Cash Used/Provided by Financing Activities,- -,191083,- -,- -,- -,- -,- -,11436,83482000,173531000,407500000,74464000,276333000,79783000,-84234000,-139504000,834050000,-73522000,1155147000,242348000,-545064000,360907000,-484191000,-826897000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,221000,234000,419000,-597000,2851000,108000,11000,-122000,-55000,-158000,-216000,55000,252000,160000,504000
97,Net Change In Cash,- -,191083,-67002,-129721,6536,-7637,-480,229491,97800000,-57700000,-50000000,-2900000,220500000,201100000,411600000,-62000000,-682400000,212275000,-204801000,20998000,-25774000,-22754000,28219000,88697000
98,Cash at the End of Period,- -,254777,201005,79714,82237,74109,82849,322507,117800000,60000000,10000000,7100000,227600000,428700000,840200000,778200000,95800000,308098000,103297000,124295000,98526000,75767000,103986000,192683000
99,Cash at the Beginning of Period,- -,63694,268007,209435,75701,81746,83329,93016,20000000,117700000,60000000,10000000,7100000,227600000,428600000,840200000,778200000,95823000,308098000,103297000,124300000,98521000,75767000,103986000
100,Free Cash Flow,- -,63694,- -,23174,3309,-10011,-7260,218054,29500000,-180700000,-438600000,-73400000,-54700000,147400000,486300000,78700000,-1491900000,-1594100000,-1368758000,-216131000,538808000,477413000,501620000,763620000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1323404/000117625606000142/silverwheatonform40f2final.htm,- -,https://www.sec.gov/Archives/edgar/data/1323404/000117625608000381/0001176256-08-000381-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000095014209000451/0000950142-09-000451-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000117625610000277/0001176256-10-000277-index.html,- -,https://www.sec.gov/Archives/edgar/data/1323404/000120445912000613/0001204459-12-000613-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000106299313001652/0001062993-13-001652-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1323404/000106299316008586/0001062993-16-008586-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000106299317001625/0001062993-17-001625-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312518102198/0001193125-18-102198-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312519094594/0001193125-19-094594-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312520091051/0001193125-20-091051-index.html,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
