,https://roic.ai/company/GSTX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,93721,-54291,-284967,-112736,25605,27995,35455,-222880,128052,250877
81,Other Working Capital,-80000,-136991,-144021,-27679,- -,-8325,-183,-14436,- -,- -,- -
82,Other Non-Cash Items,- -,1364052,1070179,2547463,1503956,-2521474,-71646,-2,92044,68288,44098
83,Cash Provided by Operating Activities,-170000,477266,383083,928683,-291916,-89246,-34970,-120821,-456661,-600797,-192122
84,CAPEX,-80000,-3398308,-6135775,-2359820,-1012793,- -,- -,-4103,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-6113295,-2357368,4487207,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-80000,-3398308,-6135775,-2359820,4487207,- -,- -,-4103,- -,- -,- -
90,Debt Repayment,- -,-642753,- -,-325000,-5259706,- -,- -,- -,- -,-31000,- -
91,Common Stock Issued,- -,1340155,4224000,- -,- -,- -,- -,148,378603,880000,93623
92,Common Stock Repurchased,410000,- -,-199849,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2519947,4365720,- -,-230619,50000,35000,73155,65497,-177662,73852
95,Cash Used/Provided by Financing Activities,410000,3217349,8389871,-325000,-5490325,50000,35000,73303,444100,671338,167475
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,8527,-3004,-49582
97,Net Change In Cash,160000,296307,2637179,-1756137,-1295034,-39246,30,-51621,-4034,67537,-74229
98,Cash at the End of Period,160000,453243,3090422,1334285,39251,5,35,10737,6704,74241,12
99,Cash at the Beginning of Period,- -,156936,453243,3090422,1334285,39251,5,62358,10738,6704,74241
100,Free Cash Flow,-250000,-2921042,-5752692,-1431137,-1304709,-89246,-34970,-124924,-456661,-600797,-192122
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1497649/000135448811005245/0001354488-11-005245-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000135448812006628/0001354488-12-006628-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000135448814004995/0001354488-14-004995-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000135448815000027/0001354488-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033418001731/0001640334-18-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033417002470/0001640334-17-002470-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033417002470/0001640334-17-002470-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000164033419000098/0001640334-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033420000125/0001640334-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000157570521000061/0001575705-21-000061-index.htm
102,false,,,,,,,,,,,
