,https://roic.ai/company/AIG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,43200000,71000000,88100000,225500000,5080200000,5908200000,6583400000,7443700000,8498900000,8822431000,9553640000,9595949000,9703840000,10966000000,10844000000,11797000000,13989000000,59340000000,67395000000,83037000000,93692000000,91507000000,101121000000,119865000000,109652000000,59365000000,65302000000,56230000000,60307000000,54107000000,55644000000,52828000000,48464000000,47224000000,44505000000,51132000000,39786000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2030000000,1989000000,1952000000
13,Interest Expense (Gain),43200000,71000000,88100000,225500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17007000000,15369000000,7859000000,3871000000,2319000000,2142000000,1718000000,1281000000,1260000000,1168000000,1309000000,1417000000,1457000000,1305000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,325100000,391900000,472200000,581900000,734600000,805600000,872900000,932000000,1071000000,1176000000,1437000000,1458000000,1926000000,2349000000,2492000000,16394000000,2790000000,3523000000,14631000000,11320000000,9883000000,5307000000,4713000000,4448000000,4629000000,4090000000,3874000000,5362000000,5006000000,4120000000,4633000000
15,EBITDA,405600000,836000000,1185700000,1665800000,1705700000,1811500000,2347700000,2560800000,3094000000,3533879000,4200483000,4818822000,5571798000,6292000000,8345000000,9270000000,9139000000,9305000000,15464000000,16700000000,17227000000,36979000000,10445000000,-87133000000,17173000000,32824000000,13516000000,12634000000,16300000000,16622000000,9165000000,4686000000,6484000000,6819000000,10937000000,-1827000000,17502000000
16,EBITDA ratio,0.0719,0.0959,0.1064,0.1261,0.1257,0.1218,0.1487,0.1499,0.1657,0.3001,0.3226,0.3541,0.3869,0.3814,0.4546,0.4601,0.4130,0.1379,0.1902,0.1704,0.1582,0.3267,0.0949,-7.8470,0.1789,0.4246,0.2104,0.1927,0.2339,0.2573,0.1555,0.0888,0.1299,0.1436,0.2197,-0.0417,0.3373
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,2042400000,2244500000,2628500000,3021700000,3363400000,-8559455000,-10335758000,-11688925000,-12843294000,-13479000000,-18000000000,-20571000000,-30724000000,10300000000,11461000000,12984000000,15013000000,12460000000,5735000000,-29139000000,11499000000,8023000000,7266000000,3582000000,11239000000,7719000000,4088000000,3121000000,2412000000,1638000000,919000000,903000000,2176000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,2951979000,3465883000,4013222000,4698898000,5529000000,7512000000,8349000000,8139000000,8142000000,13908000000,14950000000,15213000000,21687000000,8943000000,-108761000000,-13648000000,17936000000,-1065000000,9322000000,9368000000,10501000000,3281000000,-74000000,1466000000,257000000,5287000000,-7293000000,12099000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2507,0.2662,0.2949,0.3263,0.3352,0.4092,0.4144,0.3678,0.1207,0.1711,0.1526,0.1397,0.1916,0.0813,-9.7948,-0.1422,0.2320,-0.0166,0.1422,0.1345,0.1625,0.0557,-0.0014,0.0294,0.0054,0.1062,-0.1664,0.2332
22,Income Tax expense (Gain),-11300000,108400000,153100000,223300000,338200000,369200000,469600000,512000000,683000000,776464000,955500000,1115965000,1366563000,1594000000,2219000000,2458000000,2339000000,2328000000,4264000000,4620000000,4258000000,6537000000,1455000000,-8374000000,-1878000000,5859000000,-18036000000,1570000000,360000000,2927000000,1059000000,185000000,7526000000,154000000,1166000000,-1460000000,2176000000
23,Net Income,373700000,656600000,944500000,1217000000,1367500000,1442300000,1553000000,1656900000,1938800000,2175515000,2510383000,2897257000,3332335000,3766000000,5055000000,5636000000,5363000000,5519000000,9274000000,9731000000,10477000000,14048000000,6200000000,-99289000000,-10949000000,7786000000,17798000000,3438000000,9085000000,7529000000,2196000000,-849000000,-6084000000,-6000000,3348000000,-5944000000,9388000000
24,Net Income ratio,0.0663,0.0753,0.0847,0.0921,0.1008,0.0970,0.0983,0.0970,0.1038,0.1848,0.1928,0.2129,0.2314,0.2283,0.2754,0.2798,0.2424,0.0818,0.1141,0.0993,0.0962,0.1241,0.0563,-8.9417,-0.1140,0.1007,0.2771,0.0524,0.1304,0.1165,0.0373,-0.0161,-0.1219,-0.0001,0.0672,-0.1356,0.1809
25,EPS,4.20,6.60,9.80,12.40,14.00,14.60,15.40,16.60,19.60,21.71,25.13,29.16,33.78,38.29,43.60,48.60,41.00,42.20,71.00,74.60,80.60,107.80,48.00,-756.80,-90.48,11.60,9.44,2.04,6.16,5.27,1.69,-0.78,-6.54,-0.01,3.79,-6.88,10.80
26,EPS Diluted,4.20,6.60,9.80,12.40,14.00,14.60,15.20,16.60,19.40,21.71,25.13,29.16,33.64,38.08,43.07,48.20,40.40,42.00,70.60,73.80,79.80,107.20,47.80,-756.80,-90.48,11.60,9.44,2.04,6.13,5.20,1.65,-0.78,-6.54,-0.01,3.74,-6.88,10.80
27,Weighted Average Shares Outstanding,87571429,97787879,95653061,97427419,96900000,98123288,100370130,99542169,98867347,100169789,99989015,99361054,98708906,98437500,116100000,115900000,131050000,130600000,130500000,130300000,129850000,130400000,129250000,131700000,135324896,136585844,1799385757,1687197038,1474171690,1427959799,1299825350,1091085131,930561286,898405537,876750264,869309458,869309458
28,Weighted Average Shares Outstanding Diluted,87571429,97787879,95653061,97427419,96900000,98123288,101690789,99542169,99886598,101126582,99989015,99392523,99138375,98906250,117525000,117150000,132500000,131700000,131400000,131850000,131350000,131150000,129900000,131700000,135324896,136649280,1799458497,1687226641,1481206797,1447553652,1334464883,1091085131,930561286,910141242,889511946,869309458,869309458
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5272/000110465921025742/0001104659-21-025742-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000110465922024701/0001104659-22-024701-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,76237000,88371000,58740000,86917000,303000000,132000000,256000000,698000000,1165000000,922000000,2009000000,1897000000,1590000000,2284000000,8642000000,4400000000,1558000000,1474000000,1151000000,2241000000,1758000000,1629000000,1868000000,2362000000,2873000000,2856000000,2827000000,2198000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2467453000,2272528000,2008123000,3332542000,4944000000,7007000000,5831000000,7392000000,6993000000,8914000000,16102000000,15342000000,25249000000,51351000000,46666000000,47075000000,42185000000,22572000000,298767000000,279891000000,271102000000,258377000000,253839000000,249378000000,239065000000,264316000000,289699000000,290559000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2543690000,2360899000,2066863000,3419459000,5247000000,7139000000,6087000000,8090000000,8158000000,9836000000,18111000000,17239000000,26839000000,53635000000,55308000000,51475000000,43743000000,24046000000,299918000000,282132000000,272860000000,260006000000,255707000000,251740000000,241938000000,267172000000,292526000000,292757000000
34,Net Receivables,- -,- -,- -,- -,7733500000,8793400000,9026800000,9010400000,8364100000,8802207000,9410185000,9617061000,10282987000,11679000000,12737000000,11832000000,11647000000,13088000000,14166000000,15137000000,15333000000,17789000000,18395000000,19231000000,16549000000,15713000000,14721000000,13989000000,12939000000,12031000000,11451000000,10465000000,10248000000,11011000000,10274000000,11333000000,12409000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,37190100000,44157200000,54127400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294791000000,343148000000,400961000000,380649000000,448441000000,406455000000,305262000000,307327000000,311907000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,44923600000,52950600000,63154200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316037000000,367150000000,434209000000,413221000000,493069000000,478485000000,379801000000,375351000000,371363000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
38,PP&E,- -,- -,- -,- -,1088500000,5057500000,6102600000,8103000000,10171100000,1865244000,1822061000,2122762000,2342187000,2651000000,2933000000,3578000000,4833000000,5382000000,6006000000,6192000000,7446000000,4381000000,5518000000,5566000000,4142000000,2845000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6079000000,7633000000,8601000000,8093000000,8628000000,9414000000,6952000000,6195000000,1333000000,- -,1469000000,1475000000,1454000000,1613000000,1528000000,1594000000,4082000000,4038000000,4074000000,4056000000
40,Intangible Assets,- -,- -,- -,- -,130800000,135000000,132700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,130800000,135000000,132700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6079000000,7633000000,8601000000,8093000000,8628000000,9414000000,6952000000,6195000000,1333000000,- -,1469000000,1475000000,1454000000,1613000000,1528000000,1594000000,4082000000,4038000000,4074000000,4056000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233731000000,297557000000,349658000000,424610000000,473336000000,567088000000,468099000000,461897000000,307902000000,314666000000,327225000000,307004000000,296258000000,278995000000,270397000000,264447000000,251733000000,271839000000,296046000000,297576000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,1219300000,5192500000,6235300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245192000000,311196000000,364451000000,440149000000,486345000000,582020000000,480617000000,472234000000,312080000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,15570700000,21022900000,27907700000,37408700000,- -,- -,- -,79835200000,101014800000,114346117000,134136398000,148431002000,163970687000,194398000000,268238000000,306577000000,492982000000,806421000000,989542000000,1163111000000,1293519000000,1465759000000,1642525000000,1341035000000,1319819000000,995523000000,555773000000,548633000000,541329000000,515581000000,496943000000,498264000000,498301000000,491984000000,525064000000,586481000000,596112000000
47,Total Assets,15570700000,21022900000,27907700000,37408700000,46142900000,58143100000,69389500000,79835200000,101014800000,114346117000,134136398000,148431002000,163970687000,194398000000,268238000000,306577000000,492982000000,561229000000,678346000000,798660000000,853370000000,979414000000,1060505000000,860418000000,847585000000,683443000000,555773000000,548633000000,541329000000,515581000000,496943000000,498264000000,498301000000,491984000000,525064000000,586481000000,596112000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1462545000,1886403000,1832649000,1702578000,2283000000,2254000000,2380000000,3207000000,26967000000,32787000000,53675000000,63973000000,79292000000,13069000000,3110000000,774000000,2829000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,1805900000,3928000000,1963900000,- -,- -,3789559000,3166635000,4497976000,3374907000,4636000000,4404000000,5964000000,11892000000,9112000000,5938000000,9693000000,9208000000,13029000000,13114000000,15718000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5082000000,7755000000,7042000000,6607000000,9546000000,3823000000,- -,- -,2820000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,78941896000,94431962000,101033375000,113006515000,134291000000,198799000000,223000000000,369692000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,1805900000,3928000000,1963900000,- -,- -,84194000000,99485000000,107364000000,118084000000,141210000000,205457000000,231344000000,384791000000,36079000000,38725000000,63368000000,73181000000,92321000000,26183000000,18828000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,730300000,919300000,431900000,1673800000,4054600000,6456800000,9958400000,13464300000,15689100000,13729918000,14824082000,19022538000,21885738000,26057000000,28580000000,34267000000,53839000000,62773000000,71340000000,84081000000,99250000000,125354000000,162935000000,177485000000,141472000000,106461000000,75253000000,48500000000,41693000000,31217000000,29350000000,30912000000,31640000000,34540000000,35350000000,37534000000,30163000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,33031000,- -,- -,- -,- -,- -,1873000000,- -,- -,- -,7042000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32949000,-82000,462000,262000,- -,895000000,-526000000,2202000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,730300000,919300000,431900000,1673800000,4054600000,6456800000,9958400000,13464300000,15689100000,13730000000,14824000000,19023000000,21886000000,26057000000,29475000000,35614000000,56041000000,62773000000,71340000000,91123000000,99250000000,125354000000,162935000000,177485000000,141472000000,106461000000,75253000000,48500000000,41693000000,31217000000,29350000000,30912000000,31640000000,34540000000,35350000000,37534000000,30163000000
59,Other Liabilities,12597600000,17074400000,22579400000,32080000000,39986500000,50767500000,65920600000,80417300000,101279700000,- -,- -,- -,- -,- -,- -,- -,- -,527240000000,636205000000,741025000000,787812000000,902801000000,1091034000000,956349000000,890981000000,676231000000,516697000000,498464000000,481941000000,439526000000,436083000000,452318000000,464233000000,469215000000,492987000000,556816000000,557363000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,11867300000,16155100000,22147500000,30406200000,37737800000,48238700000,57926100000,66953000000,85590600000,97724456000,113909295000,125986778000,139569560000,166867000000,233582000000,265493000000,439323000000,500546000000,603590000000,713270000000,761743000000,869768000000,954282000000,797692000000,749509000000,569770000000,441444000000,449964000000,440248000000,408309000000,406733000000,421406000000,432593000000,434675000000,457637000000,519282000000,527200000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,69784000000,71983000000,- -,- -,- -,- -,- -,- -,- -,- -,485000000,485000000,485000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,843477000,1265210000,1265210000,1897804000,2847000000,4152000000,6189000000,6876000000,6878000000,6878000000,6878000000,6878000000,6878000000,6878000000,7370000000,354000000,368000000,4766000000,4766000000,4766000000,4766000000,4766000000,4766000000,4766000000,4766000000,4766000000,4766000000,4766000000
64,Retained Earnings,3015600000,3763700000,4755700000,5906600000,7153700000,8500300000,9946300000,11486600000,13301500000,15340928000,17697739000,20420881000,22920991000,25513000000,31040000000,34304000000,47218000000,52270000000,60960000000,64393000000,72330000000,84996000000,89029000000,-12368000000,-11491000000,-3466000000,14332000000,14176000000,22965000000,29775000000,30943000000,28711000000,21457000000,20884000000,23084000000,15504000000,23785000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,691000000,4244000000,9593000000,6967000000,9110000000,4643000000,-6328000000,5693000000,7624000000,5008000000,12574000000,6360000000,10617000000,2537000000,3230000000,5465000000,-1413000000,4982000000,13511000000,6687000000
66,Other Total Stockholders Equity,687800000,1104100000,1004500000,1095900000,1251400000,1404100000,1517100000,1395600000,2122700000,437256000,1264154000,758133000,- -,- -,- -,591000000,- -,-736000000,-829000000,-257000000,142000000,693000000,-4749000000,64016000000,5484000000,8810000000,80845000000,66486000000,66379000000,61740000000,51412000000,39593000000,33483000000,32124000000,32358000000,32096000000,30233000000
67,Total Stockholders Equity,3703400000,4867800000,5760200000,7002500000,8405100000,9904400000,11463400000,12882200000,15424200000,16621661000,20227103000,22444224000,24401127000,27531000000,34656000000,41084000000,53659000000,59103000000,71253000000,80607000000,86317000000,101677000000,95801000000,52710000000,69824000000,85319000000,104951000000,98002000000,100470000000,106898000000,89658000000,76300000000,65171000000,56361000000,65675000000,66362000000,65956000000
68,Total Liabilities And Stockholders Equity,15570700000,21022900000,27907700000,37408700000,46142900000,58143100000,69389500000,79835200000,101014800000,114346117000,134136398000,148431002000,163970687000,194398000000,268238000000,306577000000,492982000000,559649000000,674843000000,793877000000,848060000000,971445000000,1050083000000,850402000000,819333000000,655089000000,546395000000,547966000000,540718000000,515207000000,496391000000,497706000000,497764000000,491036000000,523312000000,585644000000,593156000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1580000000,3503000000,4783000000,5310000000,7969000000,10422000000,10016000000,28252000000,28354000000,9378000000,667000000,611000000,374000000,552000000,558000000,537000000,948000000,1752000000,837000000,2956000000
70,Total Liabilities & Equity,15570700000,21022900000,27907700000,37408700000,46142900000,58143100000,69389500000,79835200000,101014800000,114346117000,134136398000,148431002000,163970687000,194398000000,268238000000,306577000000,492982000000,561229000000,678346000000,798660000000,853370000000,979414000000,1060505000000,860418000000,847585000000,683443000000,555773000000,548633000000,541329000000,515581000000,496943000000,498264000000,498301000000,491984000000,525064000000,586481000000,596112000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5272/000110465921025742/0001104659-21-025742-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000110465922024701/0001104659-22-024701-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1367500000,1442300000,1553000000,1656900000,1938800000,2175515000,2510383000,2897257000,3332335000,3766000000,5055000000,5636000000,5363000000,5519000000,9274000000,9731000000,10477000000,14048000000,6200000000,-99289000000,-10949000000,7786000000,17798000000,3438000000,9085000000,7529000000,2196000000,-849000000,-6084000000,-6000000,3348000000,-5944000000,9388000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,325100000,391900000,472200000,581900000,734600000,805600000,872900000,932000000,1071000000,1176000000,1437000000,1458000000,1926000000,2349000000,2492000000,16394000000,2790000000,3523000000,14631000000,11320000000,9883000000,5307000000,4713000000,4448000000,4629000000,4090000000,3874000000,5362000000,5006000000,4120000000,4633000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-411800000,723500000,-76600000,296300000,-215100000,2654236000,4362261000,3755703000,24464000,2706000000,4386000000,300000000,1700000000,9354000000,24029000000,24752000000,13581000000,-19638000000,3263000000,-44239000000,-6803000000,-480000000,-33635000000,-3609000000,-5506000000,-4313000000,-4127000000,-1471000000,-6258000000,-6702000000,-10066000000,-4216000000,-1683000000
78,Accounts Receivable,- -,- -,- -,- -,-1104500000,-550200000,29400000,391400000,219700000,-557700000,337800000,-654800000,-5281300000,-1446000000,-8071000000,-10578000000,-10466000000,-6802000000,-2285000000,-5096000000,1664000000,-18938000000,- -,- -,2460000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5351900000,-455000000,11196000000,13847000000,10555000000,18262000000,23851000000,22432000000,15256000000,20425000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,4665372000,4938889000,6029687000,-1466487000,6998000000,-952000000,-4124000000,2830000000,-7354000000,-14701000000,-4172000000,-15541000000,-7200000000,22390000000,5014000000,1527000000,11425000000,-18045000000,2857000000,773000000,1976000000,-1489000000,224000000,6794000000,1354000000,344000000,308000000,-663000000
82,Other Non-Cash Items,- -,- -,- -,- -,2516900000,2223100000,2689700000,1833000000,4271600000,-22856000,-398863000,2116347000,-1194711000,-368000000,-191000000,-1176000000,-790000000,2357000000,926000000,-1251000000,-1412000000,-3975000000,22918000000,140760000000,21705000000,-1716000000,5989000000,-1460000000,-2427000000,-2657000000,179000000,613000000,-117000000,1407000000,784000000,7078000000,-6059000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3472600000,4388900000,4491200000,4178100000,6467500000,5388795000,7208381000,9574907000,3034988000,7036000000,10321000000,5936000000,7710000000,18688000000,36155000000,35581000000,25138000000,6829000000,35171000000,755000000,18584000000,16910000000,35000000,3676000000,5865000000,5007000000,2877000000,2383000000,-8585000000,61000000,-928000000,1038000000,6279000000
84,CAPEX,- -,- -,- -,- -,-346600000,-612900000,-1370200000,-1996500000,-2800200000,-3196550000,-3619919000,-3835565000,-3952330000,-3784000000,-3967000000,-4465000000,-5115000000,-6226000000,-6640000000,-5912000000,-8211000000,-6009000000,-5642000000,-4817000000,-504000000,-267000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79596000,-53552000,-38566000,-40349000,-516000000,-44000000,-79000000,-924000000,-479000000,-2091000000,- -,- -,- -,-1361000000,-5000000000,5278000000,21760000000,587000000,- -,- -,2348000000,- -,2809000000,792000000,-5707000000,2000000,2173000000,4683000000
