,https://roic.ai/company/DDOG,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,176674000,1292532000,1283473000
33,Cash and Short-Term Investments,60024000,53639000,773971000,1517459000,1554446000
34,Net Receivables,32853000,56348000,104972000,171195000,268824000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,7542000,11964000,24999000,29426000,47678000
37,Total Current Assets,100419000,121951000,903942000,1718080000,1870948000
38,PP&E,11121000,21649000,85751000,105026000,136507000
39,Goodwill,6292000,7626000,9058000,17609000,292176000
40,Intangible Assets,974000,1288000,1435000,2069000,15704000
41,Intangible Assets,7266000,8914000,10493000,19678000,307880000
42,Investments,- -,- -,- -,1292532000,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8256000,27236000,37855000,-1245031000,65459000
45,Total Non-Current Assets,26643000,57799000,134099000,172205000,509846000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,127062000,179750000,1038041000,1890285000,2380794000
48,Accounts Payable,5316000,12638000,15429000,21342000,25270000
49,Short-Term Debt,- -,- -,11916000,16326000,20157000
50,Tax Payable,487000,1663000,2368000,12558000,- -
51,Deferred Revenue,35283000,69306000,134148000,204825000,371985000
52,Other Current Liabilities,16656000,30290000,38746000,55351000,111284000
53,Total Current Liabilities,57255000,112234000,200239000,297844000,528696000
54,Long-Term Debt,- -,- -,- -,575864000,787588000
55,Deferred Revenue,3818000,1393000,4340000,3450000,13896000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,141690000,142164000,51121000,55695000,9411000
58,Total Non-Current Liabilities,145508000,143557000,55461000,635009000,810895000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,60426000,67759000,72263000
61,Total Liabilities,202763000,255791000,255700000,932853000,1339591000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,3000,3000
64,Retained Earnings,-95369000,-106906000,-123616000,-148163000,-152106000
65,Other Comprehensive Income/Loss,-48000,31000,133000,2287000,-3830000
66,Other Total Stockholders Equity,23196000,39931000,905821000,1103305000,- -
67,Total Stockholders Equity,-75701000,-76041000,782341000,957432000,1041203000
68,Total Liabilities And Stockholders Equity,127062000,179750000,1038041000,1890285000,2380794000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,127062000,179750000,1038041000,1890285000,2380794000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1561550/000156459020006422/0001564590-20-006422-index.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459021009770/0001564590-21-009770-index.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000009/0001561550-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-2570000,-10762000,-16710000,-24547000,-20745000
74,Depreciation and Amortization,2704000,6026000,12370000,15450000,22938000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,3068000,5244000,19034000,74374000,163737000
77,Change in Working Capital,8974000,-33447000,693986000,716533000,63378000
78,Accounts Receivable,-19274000,-25322000,-47510000,-64248000,-107112000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,4647000,7241000,2484000,6539000,3078000
81,Other Working Capital,43164000,9717000,703703000,1420236000,133506000
82,Other Non-Cash Items,1656000,43768000,-684446000,-672719000,57237000
83,Cash Provided by Operating Activities,13832000,10829000,24234000,109091000,286545000
84,CAPEX,-7803000,-15838000,-23443000,-25883000,-36025000
85,Acquisitions Net,-4957000,-1618000,-2138000,-2363000,-226505000
86,Purchases of Investments,- -,- -,-176639000,-1794562000,-1125519000
87,Sales/Maturities of Investments,- -,- -,- -,670184000,1114309000
88,Other Investing Activites,-5452000,-6176000,-10128000,-20468000,-26069000
89,Cash Used for Investing Activites,-12760000,-17456000,-202220000,-1152624000,-273740000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,706317000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-421000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,462000,7782000,7899000,670697000,34940000
95,Cash Used/Provided by Financing Activities,462000,7782000,714216000,670276000,34940000
96,Effect of Forex Changes on Cash,-54000,47000,-21000,779000,-1993000
97,Net Change In Cash,1480000,1202000,536209000,-372478000,45752000
98,Cash at the End of Period,63778000,64980000,601189000,228711000,274463000
99,Cash at the Beginning of Period,62298000,63778000,64980000,601189000,228711000
100,Free Cash Flow,6029000,-5009000,791000,83208000,250520000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1561550/000156459020006422/0001564590-20-006422-index.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459021009770/0001564590-21-009770-index.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000009/0001561550-22-000009-index.htm
102,false,,,,,
