,https://roic.ai/company/RPRX,2017,2018,2019,2020,2021
37,Total Current Assets,- -,2608554000,832072000,2696898000,2878211000
38,PP&E,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,75648000,51724000,28666000,5670000
41,Intangible Assets,- -,75648000,51724000,28666000,5670000
42,Investments,- -,143595000,124061000,454936000,14627839000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,8542350000,11442038000,12839786000,4145000
45,Total Non-Current Assets,- -,8761593000,11617823000,13323388000,14637654000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,11370147000,12449895000,16020286000,17515865000
48,Accounts Payable,- -,4477000,11177000,10775000,5620000
49,Short-Term Debt,- -,281436000,281984000,281984000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,294259000,40256000,15128000,165630000
53,Total Current Liabilities,- -,580172000,333417000,307887000,171250000
54,Long-Term Debt,- -,6237896000,5956138000,5816584000,7096070000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,18902000,- -,- -
58,Total Non-Current Liabilities,- -,6237896000,5975040000,5816584000,7096070000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,- -,6818068000,6308457000,6124471000,7267320000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,3282516000,3282516000,102000,106000
64,Retained Earnings,- -,1215953000,2825212000,1920635000,2255179000
65,Other Comprehensive Income/Loss,- -,- -,2000000,34000000,16491000
66,Other Total Stockholders Equity,- -,-10255000,-4173000,2864042000,- -
67,Total Stockholders Equity,- -,4488214000,6105555000,4818779000,5776594000
68,Total Liabilities And Stockholders Equity,- -,11306282000,12414012000,10943250000,13043914000
69,Minority Interest,- -,63865000,35883000,5077036000,4471951000
70,Total Liabilities & Equity,- -,11370147000,12449895000,16020286000,17515865000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1802768/000180276821000006/0001802768-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1802768/000180276822000011/0001802768-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,1210025000,1377729000,2348535000,975040000,619728000
74,Depreciation and Amortization,33267000,33267000,23924000,23058000,22996000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,5428000,2443000
77,Change in Working Capital,-1475619000,129372000,-1529727000,1890356000,-16322000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-766000,-4586000
81,Other Working Capital,1899010000,2028382000,498655000,2389011000,- -
82,Other Non-Cash Items,1650640000,77949000,824507000,-859253000,1388691000
83,Cash Provided by Operating Activities,1418313000,1618317000,1667239000,2034629000,2017536000
84,CAPEX,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-34855000
86,Purchases of Investments,-2300707000,-422403000,-2363651000,-3937529000,-1402154000
87,Sales/Maturities of Investments,715000000,750000000,524551000,1203280000,1776308000
88,Other Investing Activites,-2000000,-24173000,-277042000,-25071000,-2209579000
89,Cash Used for Investing Activites,-1587707000,303424000,-2116142000,-2759320000,-1870280000
90,Debt Repayment,-193000000,-294000000,-294000000,-11210396000,- -
91,Common Stock Issued,- -,- -,- -,1908744000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,-735174000,-814359000,-739276000,-397843000,-285184000
94,Other Financing Activites,804920000,-270742000,-158350000,11186667000,670296000
95,Cash Used/Provided by Financing Activities,-123254000,-1379101000,-1191626000,1487172000,385112000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-292648000,542640000,-1640529000,762481000,532368000
98,Cash at the End of Period,1381571000,1924211000,283682000,1008680000,1541048000
99,Cash at the Beginning of Period,1674219000,1381571000,1924211000,246199000,1008680000
100,Free Cash Flow,1418313000,1618317000,1667239000,2034629000,2017536000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1802768/000180276821000006/0001802768-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1802768/000180276822000011/0001802768-22-000011-index.htm
102,false,,,,,
