,https://roic.ai/company/HSTC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,100000,400000,1600000,2300000,4300000,2000000,2300000,3000000,3300000,5200000,4300000,4300000,580000,280000,200000,2400000,917956,109572,182822,64356,1157946,1289283,143485,1513333,1316110,751980,344238,342155,157348,148954,160047,137274,152995,142587,151554,207978,145718
11,COGS and Expenses,200000,500000,2900000,3770000,4060000,4230000,6740000,8310000,8040000,13900000,12580000,10170000,580000,280000,200000,2770000,2820000,110000,-520000,60000,1160000,12310000,140000,1510000,1320000,750000,500000,340000,160000,148950,160050,137270,153000,142590,-444450,207978,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,400000,300000,- -,- -,- -,- -,- -,- -,4574,14351,- -,153703,- -,- -,46502,95870,36112,33768,35387,35748,35748,35748,35748,35748,17874,1014,-2642
14,Depreciation and Amortization,- -,- -,100000,120000,-200000,-200000,-300000,-400000,-300000,-500000,-500000,-400000,420000,400000,- -,70000,58718,4893,- -,- -,- -,807521,- -,484,972,972,488,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,- -,-200000,-200000,-90000,-80000,-310000,240000,-950000,-560000,160000,-2190000,-3440000,-370000,1860000,-210000,-1340000,-1421282,-100000,500000,-90000,-1140000,201224,80000,-1510000,-1410000,-950000,-503888,-413768,-225387,-220450,-160052,-137272,-200838,-214088,444444,-207978,-145718
16,EBITDA ratio,- -,-0.6667,-0.0870,-0.0253,-0.0195,-0.0709,0.0337,-0.1224,-0.0719,0.0110,-0.2090,-0.5037,-12.3333,10.3333,-Infinity,-1.2072,-1.1944,-Infinity,Infinity,-Infinity,-Infinity,0.0203,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
17,Operating Income,- -,-200000,-600000,-210000,40000,140000,390000,-550000,-250000,690000,-2090000,-3340000,-550000,-100000,-200000,-1660000,-440632,-109572,-182822,-64356,-1157946,-2416473,-143485,-1510000,-1316110,-751980,-504238,-342155,-157348,-148954,-160047,-137274,-152995,-142587,-151554,-207978,-145718
18,Operating Income ratio,- -,-0.6667,-0.2609,-0.0590,0.0097,0.0320,0.0548,-0.0709,-0.0321,0.0473,-0.1994,-0.4890,-18.3333,-0.5556,-Infinity,-1.4955,-0.3703,-Infinity,-Infinity,-Infinity,-Infinity,-0.2443,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,200000,- -,- -,- -,- -,- -,-210000,-330000,- -,- -,- -,- -,- -,- -,-1199368,9572,692822,-15644,-2054,-113527,3485,- -,-43890,-98020,-35762,-37845,-32652,-35746,-35753,-35746,-12095,-35753,578124,-1014,-2642
20,Income Before Tax,- -,- -,- -,-210000,40000,140000,390000,-550000,-460000,360000,-2090000,-3340000,-550000,-100000,-200000,-1660000,-1640000,-100000,510000,-80000,-1160000,-2530000,-140000,-1510000,-1360000,-850000,-540000,-380000,-190000,-184700,-195800,-173020,-165090,-178340,426570,-208992,-148360
21,Income Before Tax Ratio,- -,- -,- -,-0.0590,0.0097,0.0320,0.0548,-0.0709,-0.0591,0.0247,-0.1994,-0.4890,-18.3333,-0.5556,-Infinity,-1.4955,-1.3782,-Infinity,Infinity,-Infinity,-Infinity,-0.2558,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,20000,40000,150000,- -,- -,-270000,300000,- -,130000,- -,- -,- -,- -,- -,- -,- -,- -,-120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-200000,-300000,-210000,100000,-150000,390000,-550000,-460000,630000,-2390000,-3340000,-920000,1460000,-210000,-1410000,-1480000,-100000,510000,-80000,-1140000,-640000,80000,-1510000,-1360000,-850000,-540000,-380000,-190000,-184700,-195800,-173020,-165090,-178340,426570,-208992,-148360
24,Net Income ratio,- -,-0.6667,-0.1304,-0.0590,0.0243,-0.0343,0.0548,-0.0709,-0.0591,0.0432,-0.2281,-0.4890,-30.6667,8.1111,-Infinity,-1.2703,-1.2437,-Infinity,Infinity,-Infinity,-Infinity,-0.0647,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
25,EPS,- -,-3.14,-4.71,-3.14,1.57,-1.57,3.14,-7.84,-7.84,9.41,-37.64,-51.76,-92.00,-48151.49,-21.00,-141.00,-45.00,-1.80,105.00,-0.45,-0.60,-0.30,1.14,-0.90,-0.75,-0.45,-0.15,-0.15,-0.15,-0.15,-0.15,-0.07,-0.07,-0.07,0.13,-0.04,-0.03
26,EPS Diluted,- -,-3.14,-4.71,-3.14,1.57,-1.57,3.14,-7.84,-7.84,9.41,-37.64,-51.76,-92.00,-48151.49,-21.00,-141.00,-45.00,-1.80,105.00,-0.45,-0.60,-0.30,1.14,-0.90,-0.75,-0.45,-0.15,-0.15,-0.15,-0.15,-0.15,-0.07,-0.07,-0.07,0.13,-0.04,-0.03
27,Weighted Average Shares Outstanding,63754,63754,63754,63754,63754,63754,63754,63754,63754,63754,63754,63754,10000,10000,10000,10000,33079,51224,5085,196642,1702578,1722622,1722622,1625792,1674267,1908833,2403557,2448002,2448002,2448002,2448002,2448002,2448002,2448002,3268814,4771066,5248582
28,Weighted Average Shares Outstanding Diluted,63754,63754,63754,63754,63754,63754,63754,63754,63754,63754,63754,63754,10000,10000,10000,10000,33079,51224,5085,196642,1702578,1722622,1722622,1625792,1674267,1908833,2403557,2448002,2448002,2448002,2448002,2448002,2448002,2448002,3268814,4771066,5248582
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797564/000136086508000076/0001360865-08-000076-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000136086509000049/0001360865-09-000049-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797564/000136086513000068/0001360865-13-000068-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000136086514000033/0001360865-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000136086515000004/0001360865-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000136086516000021/0001360865-16-000021-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000167479617000002/0001674796-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/797564/000167479618000005/0001674796-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/797564/000167479619000049/0001674796-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/797564/000167479620000011/0001674796-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000167479621000012/0001674796-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000167479622000007/0001674796-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1100000,800000,740000,1620000,690000,340000,710000,300000,230000,130000,110000,10000,- -,20000,- -,10000,- -,100000,40000,- -,- -,10000,- -,- -,- -,- -,160,200,470,290,- -,1960,660,225
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,1100000,800000,740000,1620000,690000,340000,710000,300000,230000,130000,110000,10000,- -,20000,- -,10000,- -,100000,40000,- -,- -,10000,- -,- -,- -,- -,160,200,470,290,- -,1960,660,225
34,Net Receivables,- -,- -,- -,320000,430000,350000,780000,670000,1940000,2090000,1240000,360000,300000,1190000,40000,180000,- -,- -,- -,- -,- -,3240000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,80000,90000,190000,270000,110000,100000,210000,260000,140000,120000,120000,- -,- -,- -,- -,- -,- -,- -,2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,50000,60000,130000,250000,180000,100000,120000,170000,30000,- -,20000,-10000,- -,- -,- -,- -,- -,40000,3540000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,1550000,1380000,1410000,2920000,1650000,2480000,3130000,1970000,760000,550000,1440000,40000,180000,20000,- -,10000,- -,140000,9720000,1900000,- -,10000,- -,- -,- -,- -,160,200,470,290,- -,1960,660,225
38,PP&E,- -,- -,- -,780000,870000,1380000,2140000,2380000,2830000,2770000,2890000,2360000,2070000,1830000,- -,130000,20000,- -,- -,10000,- -,4820000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,300000,430000,510000,460000,440000,1670000,1630000,1710000,230000,- -,- -,- -,950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,300000,430000,510000,460000,440000,1670000,1630000,1710000,230000,- -,- -,- -,950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,70000,- -,- -,630000,630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,280000,1440000,1000000,290000,270000,360000,730000,190000,70000,20000,10000,40000,50000,- -,- -,- -,-10000,410000,6570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,1430000,2740000,2890000,3520000,3720000,4860000,5130000,4790000,2660000,2090000,1840000,40000,1130000,20000,- -,- -,20000,410000,11390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2980000,4120000,4300000,6440000,5370000,7340000,8260000,6760000,3420000,2640000,3280000,80000,1310000,40000,- -,10000,20000,550000,21110000,1900000,- -,10000,- -,- -,- -,- -,160,200,470,290,- -,1960,660,225
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3910,4918,- -
49,Short-Term Debt,- -,- -,- -,400000,- -,800000,400000,- -,100000,300000,800000,700000,- -,80000,- -,20000,- -,- -,200000,204000,- -,1384911,- -,100000,300000,- -,- -,- -,- -,1277100,1299469,1321669,1351369,1375126,- -,25676,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,240000,210000,340000,620000,600000,1700000,1460000,1600000,1880000,3360000,1400000,170000,810000,460000,1450000,410000,216000,890000,16815089,1850000,300000,1030000,1850000,1910000,2280000,2470000,1381760,1555221,1706311,1841531,1995814,1480,122489,301008
53,Total Current Liabilities,- -,- -,- -,640000,210000,1140000,1020000,600000,1800000,1760000,2400000,2580000,3360000,1480000,170000,830000,460000,1450000,610000,420000,890000,18200000,1850000,400000,1330000,1850000,1910000,2280000,2470000,2658860,2854690,3027980,3192900,3370940,5390,153083,301008
54,Long-Term Debt,- -,- -,- -,- -,650000,40000,1780000,1680000,3100000,2960000,3190000,1110000,360000,460000,- -,- -,- -,- -,- -,- -,- -,310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-10000,- -,- -,- -,260000,90000,230000,320000,-10000,- -,1200000,1330000,- -,- -,- -,- -,3310000,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,650000,30000,1780000,1680000,3100000,3220000,3280000,1340000,680000,450000,- -,1200000,1330000,- -,- -,- -,- -,3620000,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,640000,860000,1170000,2800000,2280000,4900000,4980000,5680000,3920000,4040000,1930000,170000,2030000,1790000,1450000,610000,420000,890000,21820000,2030000,400000,1330000,1850000,1910000,2280000,2470000,2658860,2854690,3027980,3192900,3370940,5390,153083,301008
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,50000,50000,50000,50000,50000,70000,80000,80000,90000,20000,60000,60000,130000,40000,10000,120000,- -,30000,30000,30000,30000,30000,30000,40000,40000,40000,36720,36720,36720,36720,36720,4250,5249,5248
64,Retained Earnings,- -,- -,- -,-730000,-620000,-770000,-400000,-970000,-2200000,-1570000,-3970000,-7310000,-8230000,-6600000,-6980000,-8400000,-9880000,-9640000,-9130000,-9210000,-1140000,-1780000,-1010000,-1620000,-2980000,-3830000,-4370000,-4700000,-4900000,-5080240,-5276040,-5449060,-5614150,-5792490,-5365910,- -,-5723267
65,Other Comprehensive Income/Loss,- -,- -,- -,-150000,-220000,-310000,-440000,-740000,-970000,-1380000,-1550000,-1760000,-2170000,-2600000,- -,-180000,-10000,- -,- -,- -,-82945,191171,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,3130000,4090000,4130000,4390000,4760000,5500000,6170000,6540000,8480000,8980000,10480000,6830000,7730000,8097231,8183743,8405086,8815894,855679,853875,852563,1190335,1621862,1955012,2424662,2378739,2386004,2384822,2384827,2384825,2384823,2384828,5358230,-157672,5417236
67,Total Stockholders Equity,- -,- -,- -,2300000,3300000,3100000,3600000,3100000,2400000,3300000,1100000,-500000,-1400000,1340000,-90000,-720000,-1752769,-1446257,-604914,-394106,-337266,-704954,-127437,-399665,-1328138,-1844988,-1905338,-2281261,-2473996,-2658698,-2854493,-3027515,-3192607,-3370942,-3430,-152423,-300783
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2940000,4160000,4270000,6400000,5380000,7300000,8280000,6780000,3420000,2640000,3270000,80000,1310000,37231,3743,5086,25894,552734,21115046,1902563,335,1862,5012,4662,-1261,-3996,162,197,465,293,-2,1960,660,225
69,Minority Interest,- -,- -,- -,40000,-40000,30000,40000,-10000,40000,-20000,-20000,- -,- -,10000,- -,- -,2769,-3743,4914,-5894,-2734,-5046,-2563,-335,8138,-5012,-4662,1261,3996,-2,3,5,-3,2,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,2980000,4120000,4300000,6440000,5370000,7340000,8260000,6760000,3420000,2640000,3280000,80000,1310000,40000,- -,10000,20000,550000,21110000,1900000,- -,10000,- -,- -,- -,- -,160,200,470,290,- -,1960,660,225
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797564/000136086508000076/0001360865-08-000076-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000136086509000049/0001360865-09-000049-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797564/000136086513000068/0001360865-13-000068-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000136086514000033/0001360865-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000136086515000004/0001360865-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000136086516000021/0001360865-16-000021-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000167479617000002/0001674796-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/797564/000167479618000005/0001674796-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/797564/000167479619000049/0001674796-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/797564/000167479620000011/0001674796-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000167479621000012/0001674796-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/797564/000167479622000007/0001674796-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-210000,100000,-150000,390000,-550000,-460000,630000,-2390000,-3340000,-920000,1460000,-210000,-1410000,-1480000,-100000,510000,-80000,-1140000,-640000,80000,-1510000,-1360000,-850000,-540000,-380000,-190000,-184700,-195800,-173020,-165090,-178340,426570,-208992,-148360
74,Depreciation and Amortization,- -,- -,- -,120000,-200000,-200000,-300000,-400000,-300000,-500000,-500000,-400000,420000,400000,- -,70000,58718,4893,- -,- -,- -,807521,- -,484,972,972,488,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120800
77,Change in Working Capital,- -,- -,- -,-310000,260000,-900000,1630000,-850000,-370000,690000,-1800000,-1390000,-990000,2770000,-90000,-520000,210000,-1010000,850000,180000,-330000,-7730000,8530000,-450000,-920000,-530000,-60000,-370000,-190000,-188700,-195790,-173020,-165100,-178330,3367510,-148993,-148360
78,Accounts Receivable,- -,- -,- -,- -,-300000,200000,-200000,-100000,-500000,- -,200000,900000,70000,-20000,310000,-180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-100000,- -,- -,200000,100000,- -,- -,100000,20000,- -,- -,- -,- -,- -,- -,- -,- -,788953,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-100000,- -,100000,- -,- -,-200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537537,-46323,-36900,- -,- -,- -,- -,- -,-3121,-1461,2606,1007,-4918
81,Other Working Capital,- -,- -,- -,910000,1170000,270000,1900000,1050000,680000,1370000,-430000,-1820000,-2810000,-40000,-130000,-650000,-440000,-1450000,-600000,-420000,-750000,-8480000,50000,-400000,-1320000,-1850000,-1910000,-2280000,-2470000,-2658700,-2854490,-3027510,-3192610,-3370940,-3430,-152423,-300783
82,Other Non-Cash Items,- -,- -,- -,170000,-260000,1250000,-1820000,1700000,830000,-820000,4090000,5730000,1550000,-4720000,300000,2220000,1359002,1080107,-1367083,-126856,1437707,6637409,-8642754,677810,1462815,1051045,520244,688006,341851,348850,374021,324110,300316,335579,-3885985,331014,146084
83,Cash Provided by Operating Activities,- -,- -,- -,-230000,-100000,- -,-100000,-100000,-300000,-300000,-300000,600000,60000,-90000,- -,360000,147720,-25000,-7083,-26856,-32293,-925070,-32754,-1281706,-816213,-327983,-79268,-61994,-38149,-24550,-17569,-21930,-29874,-21091,-91905,-26971,-29836
84,CAPEX,- -,- -,- -,-190000,-200000,-600000,-300000,-400000,-100000,-300000,-1100000,-200000,-170000,-160000,- -,-70000,- -,- -,- -,-8176,- -,-1114060,- -,-2917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5765,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-290000,-200000,300000,-100000,100000,-300000,- -,- -,- -,50000,- -,- -,-400000,- -,25000,- -,-15000,- -,618692,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-480000,-400000,-300000,-300000,-300000,-400000,- -,-1100000,-200000,-120000,-160000,- -,-470000,- -,25000,- -,-23176,- -,-495368,-5765,-2917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-300000,-500000,-600000,-500000,-1300000,-500000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3036,- -,- -,-641,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,45500,121000,- -,- -,1049000,176250,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-50000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,180000,40000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
