,https://roic.ai/company/SNNY,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,793500,342159,741383,743604,745823,748046,750014,752179,754422,754422
28,Weighted Average Shares Outstanding Diluted,793500,342159,741383,743604,745823,748046,750014,752179,754422,754422
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1571398/000157104914000987/0001571049-14-000987-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000157104915002297/0001571049-15-002297-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000157104916013338/0001571049-16-013338-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000157104917003050/0001571049-17-003050-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315218003991/0001493152-18-003991-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315219004140/0001493152-19-004140-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315220004899/0001493152-20-004899-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315221007263/0001493152-21-007263-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000149315222008199/0001493152-22-008199-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,5434472,2636523,3719882,3326660,2923442,1229036,1217621,2819744,2146691,3470090
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,29426745,37978622,- -,53411654
33,Cash and Short-Term Investments,5434472,2636523,3719882,3326660,2923442,1229036,30644366,40798366,2146691,56881744
34,Net Receivables,280199,267796,275571,332474,443062,490239,516757,503280,39266472,31633926
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,38240458,34511669,30750302,29331278,29175525,- -,-37978622,-39266472,- -
37,Total Current Assets,- -,41144777,38507122,34409436,32697782,30894800,31161123,3323024,2146691,88515670
38,PP&E,1615410,1602451,1612029,1465439,1335654,1229457,1108873,1052512,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,43398643,42906966,40665906,35486575,33285827,29832363,30055271,38402916,50448328,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,922727
44,Other Non-Current Assets,- -,5596806,12368323,20247349,22955205,22978377,17375460,43464065,- -,- -
45,Total Non-Current Assets,- -,50106223,54646258,57199363,57576686,54040197,48539604,82919493,- -,922727
46,Other Assets,94054603,- -,- -,- -,- -,- -,- -,- -,95355421,6806353
47,Total Assets,94054603,91251000,93153380,91608799,90274468,84934997,79700727,86242517,97502112,94399296
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3750000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,685308,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,714120000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,3750000,714120000,685308,- -
54,Long-Term Debt,- -,- -,- -,- -,3000000,- -,3750000,1749520,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1046964,929235,1231696,-1729425,682438,-2927462,-1035400,- -,- -
58,Total Non-Current Liabilities,- -,1046964,929235,1231696,1270575,682438,822538,714120,- -,- -
59,Other Liabilities,87840598,80361961,81884498,80986971,80313450,74341922,65908153,- -,85215823,84795035
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,87840598,79314997,80955263,79755275,79042875,73659484,68835615,74838186,85901131,84795035
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,7935,7935,7935,7935,7935,7935,7935,7935,-347140
64,Retained Earnings,6705732,6645906,6435539,6355056,6237637,6152648,6204754,5866598,5630970,4337274
65,Other Comprehensive Income/Loss,-2206128,-2340287,-2492965,-2645333,-2790537,-2926456,-3061471,-3170136,-765320,-1506993
66,Other Total Stockholders Equity,1714401,7622449,8247608,8135866,7776558,8041386,7713894,8699934,6727396,7121120
67,Total Stockholders Equity,6214005,11936003,12198117,11853524,11231593,11275513,10865112,11404331,11600981,9604261
68,Total Liabilities And Stockholders Equity,94054603,91251000,93153380,91608799,90274468,84934997,79700727,86242517,97502112,94399296
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,94054603,91251000,93153380,91608799,90274468,84934997,79700727,86242517,97502112,94399296
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1571398/000157104914000987/0001571049-14-000987-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000157104915002297/0001571049-15-002297-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000157104916013338/0001571049-16-013338-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000157104917003050/0001571049-17-003050-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315218003991/0001493152-18-003991-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315219004140/0001493152-19-004140-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315220004899/0001493152-20-004899-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315221007263/0001493152-21-007263-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000149315222008199/0001493152-22-008199-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-320481,-59826,-210367,-80483,-117419,-327049,52106,-338156,-235628,-1293696
74,Depreciation and Amortization,130022,134259,152678,152368,145204,135919,135016,108664,112929,126403
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40264
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,71467,53561,35482,38649
77,Change in Working Capital,243814,41144777,-2637655,-4097686,-1711654,-1802982,-3483677,-738208099,712258359,87054287
78,Accounts Receivable,-16431,12403,-7775,-56903,-110588,-47177,-26518,13477,-22488,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,41144777,38507122,34409436,32697782,30894800,27411123,-710796976,1461383,88515670
82,Other Non-Cash Items,315708,-41207739,2669077,4202119,1711702,2296584,3609620,738335869,-712266297,-86979385
83,Cash Provided by Operating Activities,369063,11471,-26267,176318,27833,302472,384532,-48161,-95155,-1094006
84,CAPEX,-9905,-121300,-162256,-5778,-15419,-29722,-14432,-52303,-49201,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-35122886,-22825587,-5552844,-10928583,-23475710,-12619769,-8573949,-18222745,-109390110,-65145792
87,Sales/Maturities of Investments,21751059,21953425,8496144,15836624,25002052,16224951,7865756,10501627,97755272,60576055
88,Other Investing Activites,-972991,-176860,-3240804,-3923034,-1053309,-632601,5437862,2175294,1012694,7895816
89,Cash Used for Investing Activites,-14354723,-1170322,-459760,979229,457614,2942859,4715237,-5598127,-10671345,3326079
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-150480,-366826,-374978
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-122325,-8511,-15488,-3282,-480,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5159602,-1639098,1569386,-1548769,-766340,-4931226,-5095696,6402911,11460015,-533696
95,Cash Used/Provided by Financing Activities,5159602,-1639098,1569386,-1548769,-888665,-4939737,-5111184,6249149,11092709,-908674
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-8826078,-2797949,1083359,-393222,-403218,-1694406,-11415,602861,326209,1323399
98,Cash at the End of Period,5434472,2636523,3719882,3326660,2923442,1229036,1217621,1820482,2146691,3470090
99,Cash at the Beginning of Period,14260550,5434472,2636523,3719882,3326660,2923442,1229036,1217621,1820482,2146691
100,Free Cash Flow,359158,-109829,-188523,170540,12414,272750,370100,-100464,-144356,-1094006
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1571398/000157104914000987/0001571049-14-000987-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000157104915002297/0001571049-15-002297-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000157104916013338/0001571049-16-013338-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000157104917003050/0001571049-17-003050-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315218003991/0001493152-18-003991-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315219004140/0001493152-19-004140-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315220004899/0001493152-20-004899-index.html,https://www.sec.gov/Archives/edgar/data/1571398/000149315221007263/0001493152-21-007263-index.htm,https://www.sec.gov/Archives/edgar/data/1571398/000149315222008199/0001493152-22-008199-index.htm
102,false,,,,,,,,,,
