,https://roic.ai/company/DRTT,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.39,0.07,0.16,0.07,-0.07,0.03,-0.05,-0.13,-0.63
27,Weighted Average Shares Outstanding,39230344,72151809,81170086,84645393,84679000,84477000,87920000,86907692,85325000
28,Weighted Average Shares Outstanding Diluted,39230344,74042768,83010711,85692458,84679000,85009000,87920000,86907692,85325000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340476/000119312520048711/0001193125-20-048711-index.html,https://www.sec.gov/Archives/edgar/data/1340476/000156459021008164/0001564590-21-008164-index.htm,https://www.sec.gov/Archives/edgar/data/1340476/000156459022006322/0001564590-22-006322-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,32282089,34315938,65868458,69603452,63332803,53497353,47174000,45846000,60313000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,32282089,34315938,65868458,69603452,63332803,53497353,47174000,45846000,60313000
34,Net Receivables,16121792,24486157,16987944,23865784,19191252,43943232,24941000,18953000,17540000
35,Inventory,10683997,13005014,15579128,15937058,19321670,18679471,17566000,15978000,18457000
36,Other Current Assets,993642,1596230,1163084,1531136,2027038,2220950,3340000,4068000,7494000
37,Total Current Assets,60081520,73403339,99598614,110937430,103872763,118341006,93021000,84845000,103804000
38,PP&E,28161950,30719467,34759925,41373410,48397614,36786268,62026000,83490000,82577000
39,Goodwill,1732769,1589339,1329548,1372666,1467197,1354596,1421000,1449000,- -
40,Intangible Assets,9496887,9926262,10971471,14850830,19656461,13892499,8213000,8344000,7395000
41,Intangible Assets,11229655,11515601,12301018,16223495,21123658,15247094,9634000,9793000,7395000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1847347,1808142,5245408,4205044,6652087,6327320,5364000,- -,- -
44,Other Non-Current Assets,946683,938098,1047064,855591,976541,1751063,5518000,5016000,5663000
45,Total Non-Current Assets,42185636,44981307,53353415,62657540,77149901,60111745,82542000,98299000,95635000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,102267156,118384646,152952028,173594971,181022664,178452751,175563000,183144000,199439000
48,Accounts Payable,6149685,9968472,11079564,14529425,21137177,19014265,7620000,4921000,7820000
49,Short-Term Debt,2271852,3028789,2639639,3787665,4544732,2504350,5287000,6401000,9537000
50,Tax Payable,294899,209328,1710757,306525,779324,448595,- -,- -,- -
51,Deferred Revenue,7860853,6263460,5112093,3142623,5825050,7218637,3567000,1819000,2420000
52,Other Current Liabilities,6372268,10697242,5924954,5711629,9155467,19116319,17951000,18208000,17310000
53,Total Current Liabilities,22654658,29957962,24756250,27171341,40662425,47853572,34425000,31349000,37087000
54,Long-Term Debt,14629450,5458023,3961980,10169630,5611928,3129887,- -,34850000,94586000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,555989,446221,1123450,870471,992445,964736,- -,414000,- -
57,Other Non-Current Liabilities,0,0,- -,- -,- -,1301733,16151000,- -,- -
58,Total Non-Current Liabilities,15185439,5904243,5085430,11040101,6604374,5396357,16151000,35264000,94586000
59,Other Liabilities,- -,- -,- -,- -,- -,10792714,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,21403000,36182000,35867000
61,Total Liabilities,37840097,35862206,29841679,38211443,47266799,53249928,50576000,66613000,131673000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,115637180,123517048,139789146,145078491,155591252,145776525,180639000,180639000,181782000
64,Retained Earnings,-59327366,-49287597,-28337741,-23837512,-36253678,-31270971,-45967000,-57265000,-111300000
65,Other Comprehensive Income/Loss,1214347,3153696,6685211,6486869,4749901,4704008,-18028000,-17018000,-15916000
66,Other Total Stockholders Equity,6902899,5139293,4973733,7655680,9668390,5993260,8343000,10175000,- -
67,Total Stockholders Equity,64427059,82522440,123110349,135383528,133755865,125202822,124987000,116531000,67766000
68,Total Liabilities And Stockholders Equity,102267156,118384646,152952028,173594971,181022664,178452751,175563000,183144000,199439000
69,Minority Interest,- -,- -,- -,-0,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,102267156,118384646,152952028,173594971,181022664,178452751,175563000,183144000,199439000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340476/000119312520048711/0001193125-20-048711-index.html,https://www.sec.gov/Archives/edgar/data/1340476/000156459021008164/0001564590-21-008164-index.htm,https://www.sec.gov/Archives/edgar/data/1340476/000156459022006322/0001564590-22-006322-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-15491609,5128956,12893370,5419240,-5891849,2200392,-4396000,-11298000,-53668000
74,Depreciation and Amortization,7755666,8516100,9042365,11520720,14248111,14297776,12242000,11706000,14513000
75,Deferred Income Tax,789842,548731,209701,3609850,1196024,-939774,-45000,5625000,-414000
76,Stock Based Compensation,370972,1204280,2240414,2839818,2570974,1292923,202000,2351000,4248000
77,Change in Working Capital,-1524273,6018515,31396987,8923725,-20555751,7277096,-11891434,3401000,2192000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-3112409,-3205382,-4699897,147310,-2287078,-271653,1667000,1638000,-2449000
80,Accounts Payable,312744,8944231,-1818850,4144781,8205169,8032129,-12183000,- -,2702000
81,Other Working Capital,37426862,43445377,74842364,83766089,63210338,70487434,58596000,-1754000,601000
82,Other Non-Cash Items,5542981,-9538319,-32223541,-17315214,31579210,-12398863,17247434,700000,1919000
83,Cash Provided by Operating Activities,-2556421,11878263,23559296,14998140,23146720,11729551,13359000,12485000,-31210000
84,CAPEX,-6592034,-13446927,-18615829,-21070605,-23243738,-14009236,-16154000,-20112000,-14121000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3696573,-4080595,-5350619,-6481661,-8327634,-5750240,-2487000,-2795000,-2357000
89,Cash Used for Investing Activites,-6576068,-13394380,-18553135,-20732088,-23129225,-13953437,-15189000,-19392000,-14138000
90,Debt Repayment,-9815265,-2108781,-3044628,-2631501,-3896620,-4396379,-5561000,-406000,-1808000
91,Common Stock Issued,42262648,- -,31138799,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7952286,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,678081,8330893,4061426,10291645,2020676,1049169,77000,6130000,64260000
95,Cash Used/Provided by Financing Activities,33125464,6222111,32155597,7660144,-9828231,-3347210,-5484000,5724000,62452000
96,Effect of Forex Changes on Cash,- -,- -,- -,-327357,-1253280,596169,1076000,-145000,458000
97,Net Change In Cash,23992975,4705994,37161758,1598839,-11064016,-4974927,-6238000,-1328000,17562000
98,Cash at the End of Period,32282089,34315938,65868458,69603452,63332803,53497353,47174000,45846000,63408000
99,Cash at the Beginning of Period,8289114,29609944,28706700,68004613,74396819,58472280,53412000,47174000,45846000
100,Free Cash Flow,-9148455,-1568665,4943467,-6072465,-97018,-2279685,-2795000,-7627000,-45331000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340476/000119312520048711/0001193125-20-048711-index.html,https://www.sec.gov/Archives/edgar/data/1340476/000156459021008164/0001564590-21-008164-index.htm,https://www.sec.gov/Archives/edgar/data/1340476/000156459022006322/0001564590-22-006322-index.htm
102,false,,,,,,,,,
