,https://roic.ai/company/LXRX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,39196000,54430000,-71233000,-96884000,-93419000,-101801000,-116215000,-110211000,-104126000,-100364000,-4682000,-141429000,-141711000,-120548000,124119000,-58574000,-87758000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.5179,0.7477,-1.4213,-2.9976,-8.7307,-20.7419,-62.8529,-101.2039,-46.8614,-4.3915,-0.0360,-1.6971,-1.5687,-1.9071,0.3854,-2.4411,-294.4899
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,119000,-119000,- -,- -,-102000,-26000,- -,- -,- -,-70000,- -,- -,-12661000,- -,-6014000,- -,- -
23,Net Income,-12500000,-25994080,-35172000,-59670000,-64198000,-47172000,-36315000,-54311000,-58794000,-76860000,-82780000,-101775000,-116215000,-110211000,-104126000,-100294000,-4682000,-141429000,-129050000,-120548000,130133000,-58574000,-87758000
24,Net Income ratio,-2.6596,-1.7978,-0.1151,-1.6952,-1.4986,-0.7640,-0.4798,-0.7461,-1.1731,-2.3780,-7.7364,-20.7366,-62.8529,-101.2039,-46.8614,-4.3885,-0.0360,-1.6971,-1.4286,-1.9071,0.4040,-2.4411,-294.4899
25,EPS,-3.71,-4.41,-4.90,-7.98,-7.91,-5.18,-3.99,-5.67,-4.13,-3.92,-3.99,-2.38,-2.38,-1.61,-1.40,-1.33,-0.05,-1.36,-1.23,-1.14,1.23,-0.53,-0.60
26,EPS Diluted,-3.71,-4.41,-4.90,-7.98,-7.91,-5.18,-3.99,-5.67,-4.13,-3.92,-3.99,-2.38,-2.38,-1.61,-1.40,-1.33,-0.05,-1.36,-1.23,-1.14,1.16,-0.53,-0.60
27,Weighted Average Shares Outstanding,3369269,5945433,7173278,7466135,8117134,9046705,9137419,9553704,14256842,19542409,20780693,43263385,48680094,69958072,73302355,76347352,103591000,103863000,105237000,105830000,106218000,110841000,145820000
28,Weighted Average Shares Outstanding Diluted,3369269,5945433,7173278,7466135,8117134,9046705,9137419,9553704,14256842,19542409,20780693,43263385,48680094,69958072,73302355,76347352,103591000,103863000,105237000,105830000,116747000,110841000,145820000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012901001459/0000950129-01-001459-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012903001416/0000950129-03-001416-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000095012904001242/0000950129-04-001242-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000095012905002315/0000950129-05-002315-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012907001322/h43048e10vk.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282208000023/form10-k_2007.htm,- -,https://www.sec.gov/Archives/edgar/data/1062822/000106282210000015/0001062822-10-000015-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282211000021/form10k12312010.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282212000010/0001062822-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282213000008/0001062822-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282214000009/form10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282215000013/form10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282216000051/0001062822-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282217000013/0001062822-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282218000008/0001062822-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282219000007/0001062822-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282220000015/0001062822-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282221000013/0001062822-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282222000005/0001062822-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2000000,37811039,23048000,39362000,81915000,14612000,21970000,30226000,22938000,85873000,100554000,47208000,186309000,30423000,37499000,137266000,202989000,46600000,61661000,80386000,36112000,126263000,64065000
32,Short-Term Investments,7100000,164869291,133394000,54247000,22123000,72946000,77725000,49773000,235837000,17239000,61959000,163903000,95383000,192785000,91629000,202073000,318363000,299904000,249127000,79666000,235547000,26012000,- -
33,Cash and Short-Term Investments,9100000,202680330,156442000,93609000,104038000,87558000,99695000,79999000,258775000,103112000,162513000,211111000,281692000,223208000,129128000,339339000,521352000,346504000,310788000,160052000,271659000,152275000,64065000
34,Net Receivables,3400000,2814707,4544000,5143000,6571000,6397000,2608000,1186000,1763000,568000,815000,744000,350000,1378000,790000,1035000,911000,7492000,4825000,5924000,56532000,395000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1948000,4680000,4243000,- -,- -
36,Other Current Assets,100000,536480,5456000,34380000,60896000,4793000,3744000,4367000,4112000,5487000,6356000,2883000,3748000,6349000,4636000,28613000,10137000,3878000,4434000,2668000,5320000,5049000,- -
37,Total Current Assets,12600000,206031517,166442000,133132000,171505000,98748000,106047000,85552000,264650000,109167000,169684000,214738000,285790000,230935000,134554000,368987000,532400000,357874000,321995000,173324000,337754000,157719000,- -
38,PP&E,9400000,14477235,26707000,37362000,83676000,84573000,85265000,78192000,70829000,65087000,58754000,53427000,46417000,42634000,41362000,1080000,21227000,19390000,17687000,15865000,14047000,295000,1176000
39,Goodwill,- -,- -,25798000,- -,- -,- -,- -,25798000,25798000,25798000,25798000,44543000,44543000,44543000,44543000,44543000,44543000,44543000,44543000,44543000,44543000,44543000,44543000
40,Intangible Assets,- -,- -,5440000,30038000,28838000,27638000,26438000,- -,- -,- -,- -,53557000,53557000,53557000,53557000,53357000,53357000,53357000,51885000,50119000,19716000,- -,- -
41,Intangible Assets,- -,- -,31238000,30038000,28838000,27638000,26438000,25798000,25798000,25798000,25798000,98100000,98100000,98100000,98100000,97900000,97900000,97900000,96428000,94662000,64259000,44543000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,184200,15603000,1240000,180000,1021000,964000,724000,8019000,61456000,3525000,619000,205000,109000,144000,3409000,3305000,461000,429000,285000,1655000,1231000,- -
45,Total Non-Current Assets,9700000,14661435,73548000,68640000,112694000,113232000,112667000,104714000,104646000,152341000,88077000,152146000,144722000,140843000,139606000,102389000,122432000,117751000,114544000,110812000,79961000,46069000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136909000
47,Total Assets,22300000,220692952,239990000,201772000,284199000,211980000,218714000,190266000,369296000,261508000,257761000,366884000,430512000,371778000,274160000,471376000,654832000,475625000,436539000,284136000,417715000,203788000,136909000
48,Accounts Payable,1200000,5546447,3168000,4378000,5884000,7574000,6883000,6513000,7344000,7926000,5919000,3159000,6042000,7661000,9715000,13064000,19725000,52877000,57652000,17759000,12178000,5469000,- -
49,Short-Term Debt,- -,1012246,- -,- -,- -,4691000,4751000,816000,880000,963000,38482000,1138000,1443000,1574000,1710000,20167000,2015000,16280000,14094000,1115000,11012000,12199000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,10595000,12760000,21125000,19500000,39042000,31312000,18030000,5672000,942000,214000,119000,128000,195000,1618000,76499000,63372000,40099000,3395000,- -,- -,- -
52,Other Current Liabilities,9400000,4671818,5016000,4161000,4757000,6945000,6787000,7325000,9093000,6615000,5611000,6264000,13786000,8922000,7674000,10120000,24757000,32114000,12282000,14482000,42151000,29138000,- -
53,Total Current Liabilities,10600000,11230511,18779000,21299000,31766000,38710000,57463000,45966000,35347000,21176000,50954000,10775000,21390000,18285000,19294000,44969000,122996000,164643000,124127000,36751000,65341000,46806000,- -
54,Long-Term Debt,3600000,1833982,- -,4000000,56344000,32940000,32189000,31372000,30493000,29529000,28482000,27345000,23451000,21877000,20167000,87500000,103793000,85167000,231576000,243887000,234171000,11646000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14212000,14212000,14212000,13910000,13405000,12679000,109151000,48934000,22428000,23651000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18745000,18745000,18745000,18745000,18675000,18675000,18675000,6014000,6014000,- -,- -,- -
57,Other Non-Current Liabilities,-100000,- -,2839000,6571000,29873000,18736000,43260000,27427000,16885000,14976000,616000,48783000,55146000,32283000,32386000,23535000,14367000,805000,292000,238000,1102000,-11035000,- -
58,Total Non-Current Liabilities,3500000,1833982,2839000,10571000,86217000,51676000,75449000,58799000,47378000,44505000,43310000,109085000,111554000,86815000,84703000,142389000,245986000,153581000,260310000,273790000,235273000,611000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23314000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1102000,1164000,- -
61,Total Liabilities,14100000,13064493,21618000,31870000,117983000,90386000,132912000,104765000,82725000,65681000,94264000,119860000,132944000,105100000,103997000,187358000,368982000,318224000,384437000,310541000,300614000,47417000,23314000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,48272,52000,52000,63000,63000,64000,78000,137000,137000,176000,338000,480000,512000,514000,726000,104000,105000,106000,106000,106000,142000,- -
64,Retained Earnings,-28900000,-54902713,-90075000,-149745000,-213943000,-261115000,-297430000,-351741000,-410535000,-487395000,-570175000,-673406000,-789621000,-899832000,-1003958000,-1104252000,-1108934000,-1250363000,-1381404000,-1471577000,-1341444000,-1400018000,-1487776000
65,Other Comprehensive Income/Loss,-3100000,-5708366,-10747000,-11106000,-899000,-20000,-54000,-16000,-4000,- -,-75795000,5000,21000,23000,2000,-63000,-219000,-195000,-222000,-12000,84000,-6000,-10000
66,Other Total Stockholders Equity,40200000,268191266,319142000,330701000,380995000,382666000,383222000,437180000,666702000,- -,809581000,920087000,1086688000,1165975000,1173605000,1387607000,1394899000,1407854000,1433622000,1445078000,1458355000,1556253000,- -
67,Total Stockholders Equity,8200000,207628459,218372000,169902000,166216000,121594000,85802000,85501000,256300000,185580000,163787000,247024000,297568000,266678000,170163000,284018000,285850000,157401000,52102000,-26405000,117101000,156371000,-1487776000
68,Total Liabilities And Stockholders Equity,22300000,220692952,239990000,201772000,284199000,211980000,218714000,190266000,339025000,251261000,258051000,366884000,430512000,371778000,274160000,471376000,654832000,475625000,436539000,284136000,417715000,203788000,-1464462000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,30271000,10247000,-290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1601371000
70,Total Liabilities & Equity,22300000,220692952,239990000,201772000,284199000,211980000,218714000,190266000,369296000,261508000,257761000,366884000,430512000,371778000,274160000,471376000,654832000,475625000,436539000,284136000,417715000,203788000,136909000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012901001459/0000950129-01-001459-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012903001416/0000950129-03-001416-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000095012904001242/0000950129-04-001242-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000095012905002315/0000950129-05-002315-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012907001322/h43048e10vk.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282208000023/form10-k_2007.htm,- -,https://www.sec.gov/Archives/edgar/data/1062822/000106282210000015/0001062822-10-000015-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282211000021/form10k12312010.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282212000010/0001062822-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282213000008/0001062822-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282214000009/form10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282215000013/form10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282216000051/0001062822-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282217000013/0001062822-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282218000008/0001062822-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282219000007/0001062822-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282220000015/0001062822-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282221000013/0001062822-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282222000005/0001062822-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-12500000,-25994080,-35172000,-59670000,-64198000,-47172000,-36315000,-54311000,-58794000,-76860000,-82780000,-101775000,-116215000,-110211000,-104126000,-100294000,-4682000,-141429000,-129050000,-120548000,130133000,-58574000,-87758000
74,Depreciation and Amortization,2000000,2620969,16550000,20579000,21530000,12872000,11635000,11201000,10422000,10070000,6159000,5394000,4887000,4190000,2863000,1928000,727000,2056000,3399000,3683000,3654000,2934000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000,- -,- -,-12661000,- -,-6014000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5274000,5478000,5707000,6495000,7421000,7081000,6843000,7452000,9472000,11696000,14218000,13274000,- -
77,Change in Working Capital,900000,192801006,-47138006,-35830000,27906000,-79701000,-11454000,-8998000,189717000,-141312000,30739000,85233000,60437000,-51750000,-97390000,208758000,85386000,-216173000,4637000,-61295000,135840000,-161500000,-44116000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1028000,588000,457000,124000,-4080000,166000,-1099000,-50608000,53227000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1948000,-2732000,437000,345000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5238000,- -,-995000,3119000,1266000,6203000,27650000,-7172000,-18857000,20097000,-20969000,- -
81,Other Working Capital,2000000,194801006,147663000,111833000,139739000,60038000,48584000,39586000,229303000,87991000,118730000,203963000,264400000,212650000,115260000,324018000,409404000,193231000,197868000,136573000,272413000,110913000,66797000
82,Other Non-Cash Items,- -,-170929386,47770006,46129000,7046000,71745000,59576000,-4801000,-215668000,112502000,-48408000,-76698000,-42754000,56816000,100153000,-193025000,96502000,172466000,-61191000,17857000,-164024000,60897000,131874000
83,Cash Provided by Operating Activities,-9600000,-1501491,-17990000,-28792000,-7716000,-42256000,23442000,-56909000,-74323000,-95600000,-89016000,-82368000,-87938000,-94460000,-91079000,-75622000,184776000,-175628000,-185394000,-148607000,113807000,-142969000,- -
84,CAPEX,-4100000,-7709580,-13471000,-19766000,-4824000,-11811000,-11281000,-3579000,-1900000,-2187000,-369000,-1132000,-1206000,-492000,-1721000,-80000,-910000,-231000,-228000,-95000,-70000,-87000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5561000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-12500000,-269846653,-366704000,-91962000,-33313000,-178355000,-175235000,-67688000,-305730000,-39847000,-64205000,-155856000,-108092000,-233250000,-111490000,-221953000,-326446000,-425673000,-267873000,-119987000,-322385000,-58555000,- -
87,Sales/Maturities of Investments,21800000,112108210,387345000,181747000,65437000,216182000,170404000,95676000,119678000,201449000,76344000,48641000,176628000,135850000,212625000,111444000,210000000,444156000,318623000,289658000,166600000,268000000,- -
88,Other Investing Activites,- -,- -,-752000,-22794000,-27428000,14463000,123000,56000,1000,- -,107000,64000,2625000,85000,130000,2170000,335000,- -,- -,- -,- -,171398000,- -
89,Cash Used for Investing Activites,5200000,-165448023,6418000,47225000,-128000,40479000,-15989000,24465000,-187951000,159415000,11877000,-113844000,69955000,-97807000,99544000,-108419000,-117021000,18252000,50522000,169576000,-155855000,380756000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2120000,-49858000,-3589000,-1443000,-1574000,-1710000,-1859000,-2016000,-2280000,-14533000,-1285000,-216580000,- -
91,Common Stock Issued,- -,204329844,718000,574000,50397000,1712000,596000,41451000,213091000,1000,55436000,181496000,160781000,38109000,1084000,202270000,114000,3624000,7987000,732000,- -,69970000,517000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88000,-149000,-108000,-285000,-873000,-887000,-357000,-621000,-1679000,-972000,-941000,-1026000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3400000,-1594876,-3909000,4000000,- -,-21179000,-691000,-751000,41895000,-881000,38592000,11377000,- -,- -,-26000,84135000,70000,- -,145905000,12529000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,3400000,202734968,-3191000,4574000,50397000,-19467000,-95000,40700000,254986000,-880000,91820000,142866000,157084000,36381000,-1389000,283808000,-2032000,987000,149933000,-2244000,-2226000,-147636000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1000000,35785454,-14763000,23007000,42553000,-21244000,7358000,8256000,-7288000,62935000,14681000,-53346000,139101000,-155886000,7076000,99767000,65723000,-156389000,15061000,18725000,-44274000,90151000,- -
98,Cash at the End of Period,2000000,37811039,23048000,39362000,81915000,14612000,21970000,30226000,22938000,85873000,100554000,47208000,186309000,30423000,37499000,137266000,202989000,46600000,61661000,80386000,36112000,126263000,- -
99,Cash at the Beginning of Period,3000000,2025585,37811000,16355000,39362000,35856000,14612000,21970000,30226000,22938000,85873000,100554000,47208000,186309000,30423000,37499000,137266000,202989000,46600000,61661000,80386000,36112000,126263000
100,Free Cash Flow,-13700000,-9211071,-31461000,-48558000,-12540000,-54067000,12161000,-60488000,-76223000,-97787000,-89385000,-83500000,-89144000,-94952000,-92800000,-75702000,183866000,-175859000,-185622000,-148702000,113737000,-143056000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012901001459/0000950129-01-001459-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012903001416/0000950129-03-001416-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000095012904001242/0000950129-04-001242-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000095012905002315/0000950129-05-002315-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062822/000095012907001322/h43048e10vk.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282208000023/form10-k_2007.htm,- -,https://www.sec.gov/Archives/edgar/data/1062822/000106282210000015/0001062822-10-000015-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282211000021/form10k12312010.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282212000010/0001062822-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282213000008/0001062822-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282214000009/form10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282215000013/form10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282216000051/0001062822-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282217000013/0001062822-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282218000008/0001062822-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282219000007/0001062822-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282220000015/0001062822-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1062822/000106282221000013/0001062822-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1062822/000106282222000005/0001062822-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
