,https://roic.ai/company/VTNR,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,5775574,1132085,909233,300000,79000,76000,1000,1000,6786477,20980908,25088206,11296388,7639018,7547987,8139345,16733971,49102377,63354394,133822231,95338688,86882071,83906469,82722195,119982546,120782080,220616231
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1191962,- -,- -,103897,399005,1438213,777373,1317878,45443888
70,Total Liabilities & Equity,5775574,1132085,909233,300000,79000,76000,1000,1000,6786477,20980908,25088206,11296388,7639018,7547987,8139345,16733971,49102377,64546356,133822231,95338688,86985968,84305474,84160408,120759919,122099958,266060119
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890447/000101968707000902/0001019687-07-000902-index.html,- -,https://www.sec.gov/Archives/edgar/data/890447/000135448809000395/0001354488-09-000395-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209310000181/0001432093-10-000181-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209311000145/0001432093-11-000145-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209312000177/0001432093-12-000177-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000121478213000147/0001214782-13-000147-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000144530514001139/0001445305-14-001139-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828015002098/0001628280-15-002098-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828016014012/0001628280-16-014012-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828017002541/0001628280-17-002541-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828018002827/0001628280-18-002827-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828019002489/0001628280-19-002489-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828020002802/0001628280-20-002802-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828021004184/0001628280-21-004184-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828022005958/0001628280-22-005958-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4834240,-3713300,252914,-800000,-395000,-159000,1827000,-16000,-2474218,-3151860,-24956520,-15352669,-4946350,-609384,1228426,5753515,3658267,7879470,-5546243,-22516889,-3952821,-8433233,-2217767,-7327950,-27171357,-20356113
74,Depreciation and Amortization,832415,741498,398350,200000,2000,- -,- -,- -,8315,418163,3178771,2702060,6354,65572,145977,161048,711555,2320735,4277843,6636593,6277215,6643324,6991010,7180089,6985940,594092
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1930000,-1432000,-1944000,- -,5306000,- -,-274423,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324589,182321,138859,178968,175152,332266,423911,527869,606446,659836,642840,656111,862564
77,Change in Working Capital,5025484,1107613,-269337,-1050829,-394000,-164000,1852000,-13000,-513874,1593112,12525720,-3170076,-3105813,-7935230,1853778,4125163,-1641035,4329844,-37370042,17134944,10924317,4791740,3023753,-3937692,3325368,-1923008
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1933472,705913,-3955955,130643,-3468033,714698,1929871,-4636805,-336772,2143834,-2652864,2641220,-677786
79,Inventory,980613,632889,-100633,200000,83000,9000,- -,- -,- -,- -,- -,- -,- -,-2397911,-922898,-2506999,551438,-2670338,1891932,9072305,-809647,-1910884,-1786555,1543918,3084152,-2245732
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130254,5044446,-120459,213451,-315863,4220957,7255722,-8539803,- -,- -,1493324,-1171433,1840874,835914
81,Other Working Capital,-1087447,20166,-249171,-1300000,-1694000,-1858000,-6000,-19000,-532874,1060238,13585958,10415882,7310069,-625161,1228617,5353780,3712745,8042589,-29327453,-12192509,-1268192,3523548,6547301,2609609,5934977,- -
82,Other Non-Cash Items,617960,-466386,-762046,1750829,664000,323000,-3714000,11000,2355979,-1967643,3882193,11606850,4918342,8868134,-2635524,-8319451,1524359,-8368571,36780688,-19955457,-27922187,-6297045,-3080545,5915880,16127541,5302829
83,Cash Provided by Operating Activities,1641619,-2330575,-380119,100000,-123000,- -,-35000,-18000,-623798,-3108228,-5369836,-4213835,-3127467,713681,774978,-70866,3000114,4392630,-1525488,-12970898,-14145607,-2963191,5376287,2473167,-76397,-15519636
84,CAPEX,-259569,-165970,-18437,- -,- -,- -,- -,- -,-4978510,-11637405,-4972824,-136679,- -,-84114,-305229,-304509,-1343636,-2603369,-5940890,-1811653,-1628859,-2125667,-2499117,-3858460,-6685684,-1144787
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1804389,-539325,-31114140,-1082649,- -,-1999580,-269826,- -,-1822690,-13660852
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,18000,- -,- -,- -,- -,6870073,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-259569,94769,-18437,- -,- -,25000,- -,- -,-269442,9439,68321,-7259362,1124143,-1731889,-288015,-241454,-209061,675558,-3150000,2414797,17511845,327718,- -,-257073,25736,75168
89,Cash Used for Investing Activites,-259569,94769,-18437,- -,- -,25000,- -,18000,-5247952,-11627966,-4904503,-7396041,7994216,-1816003,-305229,-304509,-3148025,-2467136,-40205030,-479505,15882986,-3797529,-2768943,-3626440,-8433409,-14730471
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-581962,-8744088,-11337128,-111947345,-20986063,-13057978,-4888264,-5394124,-13912045,-16555765
91,Common Stock Issued,15156,150000,300,- -,- -,- -,- -,- -,6837975,12534182,22648226,- -,- -,- -,- -,- -,- -,8628346,17315143,- -,- -,- -,- -,2216711,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11189849,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3265439,1893750,435000,- -,- -,- -,- -,- -,-5342,3937887,-907424,-9764,- -,1598842,-239572,306250,862625,60936,39090951,120146036,31374604,17718327,4024964,5680680,29217195,150585713
95,Cash Used/Provided by Financing Activities,-3250283,2043750,435300,- -,- -,- -,- -,- -,6832633,16472069,21740802,-9764,- -,1598842,-239572,306250,280663,-54806,45068966,8198691,-801308,4660349,-863300,2503267,15305150,134029948
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1868233,-192056,36744,- -,-123000,25000,-35000,- -,960883,1735875,11466463,-11619640,4866749,496520,230177,-69125,132752,1870688,3338448,-5251712,936071,-2100371,1744044,1349994,6795344,125631770
98,Cash at the End of Period,226615,34559,109605,100000,11000,36000,1000,- -,1128502,2864377,14330840,2711200,7577949,514136,744313,675188,807940,2678628,6017076,765364,1701435,1105787,2849831,4199825,10995169,136626939
99,Cash at the Beginning of Period,2094848,226615,72861,100000,134000,11000,36000,1000,167619,1128502,2864377,14330840,2711200,17616,514136,744313,675188,807940,2678628,6017076,765364,3206158,1105787,2849831,4199825,10995169
100,Free Cash Flow,1382050,-2496545,-398556,100000,-123000,- -,-35000,-18000,-5602308,-14745633,-10342660,-4350514,-3127467,629567,469749,-375375,1656478,1789261,-7466378,-14782551,-15774466,-5088858,2877170,-1385293,-6762081,-16664423
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890447/000101968707000902/0001019687-07-000902-index.html,- -,https://www.sec.gov/Archives/edgar/data/890447/000135448809000395/0001354488-09-000395-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209310000181/0001432093-10-000181-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209311000145/0001432093-11-000145-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209312000177/0001432093-12-000177-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000121478213000147/0001214782-13-000147-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000144530514001139/0001445305-14-001139-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828015002098/0001628280-15-002098-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828016014012/0001628280-16-014012-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828017002541/0001628280-17-002541-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828018002827/0001628280-18-002827-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828019002489/0001628280-19-002489-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828020002802/0001628280-20-002802-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828021004184/0001628280-21-004184-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828022005958/0001628280-22-005958-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
